Date,Alaska : all sectors,California : electric utility,Massachusetts : independent power producers,Texas : all commercial,Florida : all industrial
2001-01-01,590,5187,3571,36,419
2001-02-01,546,4415,2969,32,375
2001-03-01,587,5119,3343,36,386
2001-04-01,489,5298,2214,38,413
2001-05-01,485,5819,2212,40,410
2001-06-01,488,7173,3088,42,402
2001-07-01,554,7289,3134,47,442
2001-08-01,587,7384,3550,50,469
2001-09-01,640,6098,2807,44,412
2001-10-01,580,5724,3019,41,520
2001-11-01,564,5024,2958,39,489
2001-12-01,634,5601,3078,37,504
2002-01-01,647,6292,3256,34,369
2002-02-01,550,5392,2918,33,413
2002-03-01,586,6573,3316,36,462
2002-04-01,539,6564,2784,39,315
2002-05-01,531,6230,3029,39,379
2002-06-01,524,6344,3081,41,391
2002-07-01,531,7559,3676,46,370
2002-08-01,507,7267,3629,46,307
2002-09-01,540,6620,3391,42,343
2002-10-01,579,5545,3646,41,344
2002-11-01,585,4546,3243,36,377
2002-12-01,649,5657,3916,36,339
2003-01-01,609,5737,3609,37,512
2003-02-01,540,5125,3370,35,417
2003-03-01,558,5841,3356,38,473
2003-04-01,490,6345,3452,40,502
2003-05-01,480,8341,2990,43,460
2003-06-01,458,7970,3583,44,457
2003-07-01,492,8645,4704,47,500
2003-08-01,472,8013,4664,48,531
2003-09-01,502,7008,3831,45,523
2003-10-01,540,6441,4266,44,499
2003-11-01,566,5795,3851,39,485
2003-12-01,632,6467,3804,37,534
2004-01-01,630,6421,4144,35,454
2004-02-01,567,5679,3628,36,416
2004-03-01,549,6443,4121,38,438
2004-04-01,485,6216,4111,34,461
2004-05-01,494,6563,3286,40,494
2004-06-01,500,7061,3612,43,487
2004-07-01,557,8176,4193,45,528
2004-08-01,549,7689,4032,43,474
2004-09-01,524,6550,3503,43,417
2004-10-01,521,5257,3445,44,447
2004-11-01,543,4143,3257,40,457
2004-12-01,607,4980,3756,36,452
2005-01-01,627,6073,3802,38,456
2005-02-01,525,5877,3276,38,420
2005-03-01,536,7281,3573,37,478
2005-04-01,492,7698,3670,39,427
2005-05-01,497,8877,2882,43,468
2005-06-01,497,9173,3915,48,456
2005-07-01,562,9417,4383,52,496
2005-08-01,568,8640,4595,53,474
2005-09-01,499,7016,4122,47,434
2005-10-01,559,6565,3752,40,405
2005-11-01,576,5518,3133,38,413
2005-12-01,637,7214,3915,36,435
2006-01-01,630,7923,3405,38,455
2006-02-01,539,6901,3183,36,365
2006-03-01,571,8464,3217,42,399
2006-04-01,529,7941,3107,43,406
2006-05-01,523,9579,3480,46,411
2006-06-01,517,10429,3973,46,374
2006-07-01,563,10857,4822,49,403
2006-08-01,559,9770,4328,50,399
2006-09-01,469,8184,3688,43,400
2006-10-01,556,7168,3902,46,440
2006-11-01,610,6335,3379,42,392
2006-12-01,609,6786,3301,40,389
2007-01-01,618,6965,3369,35,436
2007-02-01,552,6388,3339,33,396
2007-03-01,640,7273,3708,39,435
2007-04-01,539,7242,3575,37,407
2007-05-01,532,7329,3535,40,396
