Date,catchment_daily_precipitation_armley,catchment_daily_precipitation_kildwick,discharge_armley,discharge_kildwick,river_level_snaygill,river_level_kildwick,river_level_kirkstall
2017-11-14,2.309285968,3.413742054,7.43,3.69,0.417,0.366,1.514
2017-11-15,1.518701876,2.413454738,9.66,4.56,0.695,0.496,1.545
2017-11-16,1.579436573,1.811364962,10.3,5.45,0.715,0.497,1.544
2017-11-17,0.330846047,0.467808808,9.69,4.19,0.631,0.476,1.562
2017-11-18,0.038513284,0.008439891,8.37,3.55,0.534,0.43,1.536
2017-11-19,7.020941617,8.772471918,7.89,3.18,0.461,0.4,1.529
2017-11-20,14.8964305,18.7188925,17.7,10.9,1.086,0.586,1.57
2017-11-21,6.690628574,7.936671181,45.3,28.1,2.719,1.208,1.785
2017-11-22,12.89298909,19.76574789,49.3,34.8,2.827,1.233,1.82
2017-11-23,3.477755679,4.410215413,57.4,33.4,3.666,1.854,1.925
2017-11-24,3.399954329,2.241955447,35.0,17.3,2.244,1.109,1.823
2017-11-25,1.241037014,1.016424906,23.8,11.6,1.501,0.824,1.724
2017-11-26,6.831660408,7.991255806,20.3,10.2,1.153,0.677,1.64
2017-11-27,2.759419003,3.071581436,32.2,15.0,1.649,0.778,1.685
2017-11-28,0.061002509,0.030248033,22.2,9.85,1.585,0.815,1.711
2017-11-29,0.016770145,0.018009583,16.6,7.33,1.585,0.815,1.711
2017-11-30,0.970228821,0.728667268,13.9,5.87,0.838,0.563,1.604
2017-12-01,0.080927332,0.063351412,12.1,5.04,0.703,0.504,1.584
2017-12-02,0.12277215,0.163463178,11.2,4.72,0.657,0.481,1.565
2017-12-03,0.155833662,0.169492747,10.6,4.35,0.623,0.466,1.56
2017-12-04,0.184552855,0.181196834,9.83,3.95,0.559,0.441,1.557
2017-12-05,0.158866564,0.21228692,9.4,3.74,0.545,0.43,1.544
2017-12-06,7.66839884,9.026217012,9.14,3.66,0.517,0.415,1.531
2017-12-07,4.56528379,5.008299317,18.1,9.36,1.078,0.593,1.589
2017-12-08,0.259817927,0.268201569,16.2,6.95,1.029,0.634,1.652
2017-12-09,0.165216689,0.262186996,11.7,5.02,0.7,0.508,1.581
2017-12-10,0.112318148,0.164873494,10.9,4.51,0.644,0.477,1.563
2017-12-11,0.061193233,0.042443745,9.56,3.64,0.527,0.433,1.556
2017-12-12,4.306047756,5.372269748,9.2,3.68,0.471,0.402,1.539
2017-12-13,8.892319412,9.309714658,33.5,18.6,1.87,0.815,1.641
2017-12-14,7.039881414,6.935778342,39.2,16.3,1.868,0.925,1.813
2017-12-15,0.242945362,0.182719601,28.6,11.3,1.546,0.802,1.743
2017-12-16,0.391815037,0.712576962,17.5,6.98,1.027,0.651,1.67
2017-12-17,2.897555388,3.80187302,17.2,8.63,0.84,0.549,1.607
2017-12-18,0.13492957,0.175385774,17.7,7.37,1.075,0.655,1.657
2017-12-19,0.79680676,1.35942519,14.1,6.21,0.852,0.557,1.607
2017-12-20,1.097751272,1.264871125,13.3,6.02,0.826,0.542,1.59
2017-12-21,3.780120133,5.444741991,13.7,7.58,0.81,0.536,1.586
2017-12-22,0.330571662,0.624987107,19.1,9.63,1.397,0.727,1.636
2017-12-23,0.317916321,0.688218466,14.9,7.13,0.988,0.603,1.617
2017-12-24,0.244842173,0.563719633,13.3,6.21,0.877,0.562,1.589
