time,sensor value
1900-01-01 00:00:00.000000000,-8.921
1900-01-01 00:00:00.003906250,-8.433
1900-01-01 00:00:00.007812500,-2.574
1900-01-01 00:00:00.011718750,5.239
1900-01-01 00:00:00.015625000,11.587
1900-01-01 00:00:00.019531250,14.028
1900-01-01 00:00:00.023437500,11.587
1900-01-01 00:00:00.027343750,6.704
1900-01-01 00:00:00.031250000,1.821
1900-01-01 00:00:00.035156250,-1.109
1900-01-01 00:00:00.039062500,-2.085
1900-01-01 00:00:00.042968750,-1.597
1900-01-01 00:00:00.046875000,0.356
1900-01-01 00:00:00.050781250,2.309
1900-01-01 00:00:00.054687500,2.797
1900-01-01 00:00:00.058593750,2.309
1900-01-01 00:00:00.062500000,0.356
1900-01-01 00:00:00.066406250,-0.132
1900-01-01 00:00:00.070312500,-0.132
1900-01-01 00:00:00.074218750,0.356
1900-01-01 00:00:00.078125000,0.844
1900-01-01 00:00:00.082031250,1.333
1900-01-01 00:00:00.085937500,2.797
1900-01-01 00:00:00.089843750,6.215
1900-01-01 00:00:00.093750000,9.633
1900-01-01 00:00:00.097656250,10.61
1900-01-01 00:00:00.101562500,6.704
1900-01-01 00:00:00.105468750,-0.621
1900-01-01 00:00:00.109375000,-5.992
1900-01-01 00:00:00.113281250,-6.48
1900-01-01 00:00:00.117187500,-1.597
1900-01-01 00:00:00.121093750,4.262
1900-01-01 00:00:00.125000000,7.68
1900-01-01 00:00:00.128906250,5.727
1900-01-01 00:00:00.132812500,1.821
1900-01-01 00:00:00.136718750,0.356
1900-01-01 00:00:00.140625000,3.286
1900-01-01 00:00:00.144531250,9.145
1900-01-01 00:00:00.148437500,14.028
1900-01-01 00:00:00.152343750,13.54
1900-01-01 00:00:00.156250000,8.169
1900-01-01 00:00:00.160156250,1.821
1900-01-01 00:00:00.164062500,-1.109
1900-01-01 00:00:00.167968750,2.309
1900-01-01 00:00:00.171875000,9.633
1900-01-01 00:00:00.175781250,16.469
1900-01-01 00:00:00.179687500,18.911
1900-01-01 00:00:00.183593750,15.004
1900-01-01 00:00:00.187500000,8.169
1900-01-01 00:00:00.191406250,2.309
1900-01-01 00:00:00.195312500,1.333
1900-01-01 00:00:00.199218750,4.262
1900-01-01 00:00:00.203125000,9.145
1900-01-01 00:00:00.207031250,11.587
1900-01-01 00:00:00.210937500,9.633
1900-01-01 00:00:00.214843750,5.727
1900-01-01 00:00:00.218750000,3.286
1900-01-01 00:00:00.222656250,4.751
1900-01-01 00:00:00.226562500,10.122
1900-01-01 00:00:00.230468750,15.004
1900-01-01 00:00:00.234375000,14.516
1900-01-01 00:00:00.238281250,8.169
1900-01-01 00:00:00.242187500,-1.109
1900-01-01 00:00:00.246093750,-8.433
1900-01-01 00:00:00.250000000,-10.386
1900-01-01 00:00:00.253906250,-7.456
1900-01-01 00:00:00.257812500,-3.062
1900-01-01 00:00:00.261718750,0.356
1900-01-01 00:00:00.265625000,0.844
1900-01-01 00:00:00.269531250,-0.132
1900-01-01 00:00:00.273437500,-2.085
1900-01-01 00:00:00.277343750,-3.062
1900-01-01 00:00:00.281250000,-3.55
1900-01-01 00:00:00.285156250,-3.062
1900-01-01 00:00:00.289062500,-2.574
1900-01-01 00:00:00.292968750,-2.574
1900-01-01 00:00:00.296875000,-3.55
1900-01-01 00:00:00.300781250,-5.503
1900-01-01 00:00:00.304687500,-7.456
1900-01-01 00:00:00.308593750,-7.945
1900-01-01 00:00:00.312500000,-6.48
1900-01-01 00:00:00.316406250,-4.038
1900-01-01 00:00:00.320312500,-1.597
1900-01-01 00:00:00.324218750,-0.132
1900-01-01 00:00:00.328125000,-0.132
1900-01-01 00:00:00.332031250,-0.132
1900-01-01 00:00:00.335937500,1.333
1900-01-01 00:00:00.339843750,2.309
1900-01-01 00:00:00.343750000,2.309
1900-01-01 00:00:00.347656250,0.356
1900-01-01 00:00:00.351562500,-4.038
1900-01-01 00:00:00.355468750,-8.433
1900-01-01 00:00:00.359375000,-9.898
1900-01-01 00:00:00.363281250,-8.921
1900-01-01 00:00:00.367187500,-5.503
1900-01-01 00:00:00.371093750,-2.574
1900-01-01 00:00:00.375000000,-1.597
1900-01-01 00:00:00.378906250,-2.574
1900-01-01 00:00:00.382812500,-4.038
1900-01-01 00:00:00.386718750,-4.527
1900-01-01 00:00:00.390625000,-4.527
1900-01-01 00:00:00.394531250,-5.503
1900-01-01 00:00:00.398437500,-7.945
1900-01-01 00:00:00.402343750,-11.363
1900-01-01 00:00:00.406250000,-13.316
1900-01-01 00:00:00.410156250,-11.363
1900-01-01 00:00:00.414062500,-7.456
1900-01-01 00:00:00.417968750,-3.062
1900-01-01 00:00:00.421875000,-1.597
1900-01-01 00:00:00.425781250,-2.085
1900-01-01 00:00:00.429687500,-3.55
1900-01-01 00:00:00.433593750,-3.55
1900-01-01 00:00:00.437500000,-2.574
1900-01-01 00:00:00.441406250,-2.574
1900-01-01 00:00:00.445312500,-4.038
