Date,Apple(Jholey),Bamboo Shoot,Banana,Bitter Gourd,Bottle Gourd,Brd Leaf Mustard,Brinjal Long,Cabbage(Local),Capsicum,Carrot(Local),Cauli Local,Chilli Dry,Chilli Green,Coriander Green,Cress Leaf,Cucumber(Local),French Bean(Local),Garlic Dry Chinese,Garlic Green,Ginger,Lime,Mint,Mushroom(Kanya),Okara,Onion Dry (Indian),Onion Green,Pineapple,Pomegranate,Potato Red,Pumpkin,Raddish White(Local),Spinach Leaf,Sugarbeet,Tamarind,Tofu,Tomato Small(Local),Water Melon(Green)
2013-06-16,110.0,55.0,75.0,15.0,17.5,47.5,17.0,8.0,57.5,32.5,32.5,175.0,35.0,100.0,57.5,27.5,27.5,105.0,47.5,145.0,300.0,125.0,155.0,22.5,29.0,42.5,65.0,210.0,20.5,19.0,27.5,52.5,37.5,67.5,57.5,29.0,16.5
2013-06-17,120.0,55.0,75.0,18.0,19.0,42.5,19.0,8.0,57.5,37.5,27.5,175.0,35.0,95.0,42.5,27.5,32.5,105.0,47.5,145.0,300.0,125.0,190.0,20.0,29.5,42.5,65.0,210.0,20.5,19.0,32.5,47.5,37.5,67.5,57.5,22.5,15.0
2013-06-18,115.0,55.0,75.0,19.0,23.0,42.5,22.5,9.0,57.5,37.5,27.5,175.0,37.5,95.0,47.5,27.5,32.5,105.0,47.5,145.0,300.0,125.0,190.0,22.5,34.0,37.5,65.0,210.0,19.5,19.0,32.5,47.5,37.5,67.5,57.5,24.0,13.5
2013-06-19,115.0,55.0,75.0,22.5,19.0,42.5,24.0,12.5,57.5,40.0,27.5,175.0,37.5,95.0,42.5,32.5,32.5,105.0,47.5,145.0,300.0,125.0,190.0,37.5,34.5,42.5,75.0,210.0,20.5,19.0,32.5,42.5,47.5,67.5,57.5,26.0,15.0
2013-06-20,115.0,55.0,75.0,22.5,22.5,42.5,22.5,12.5,52.5,41.0,22.5,175.0,45.0,55.0,47.5,32.5,35.0,105.0,42.5,145.0,300.0,125.0,210.0,37.5,35.5,37.5,65.0,195.0,20.5,19.0,30.0,47.5,37.5,67.5,57.5,24.0,15.0
2013-06-21,115.0,55.0,75.0,20.0,21.0,47.5,20.0,10.0,52.5,42.5,22.0,175.0,55.0,60.0,47.5,27.5,37.5,105.0,47.5,135.0,300.0,125.0,190.0,50.0,34.5,37.5,65.0,205.0,21.5,19.0,27.5,47.5,37.5,67.5,57.5,17.5,17.0
2013-06-22,115.0,55.0,75.0,20.0,21.0,47.5,20.0,10.0,52.5,42.5,22.0,175.0,55.0,60.0,47.5,27.5,37.5,105.0,47.5,135.0,300.0,125.0,190.0,50.0,34.5,37.5,65.0,205.0,21.5,19.0,27.5,47.5,37.5,67.5,57.5,17.5,17.0
2013-06-23,115.0,55.0,75.0,20.0,21.0,47.5,20.0,10.0,52.5,42.5,22.0,175.0,55.0,60.0,47.5,27.5,37.5,105.0,47.5,135.0,300.0,125.0,190.0,50.0,34.5,37.5,65.0,205.0,21.5,19.0,27.5,47.5,37.5,67.5,57.5,17.5,17.0
2013-06-24,115.0,55.0,75.0,20.0,21.0,47.5,20.0,10.0,52.5,42.5,22.0,175.0,55.0,60.0,47.5,27.5,37.5,105.0,47.5,135.0,300.0,125.0,190.0,50.0,34.5,37.5,65.0,205.0,21.5,19.0,27.5,47.5,37.5,67.5,57.5,17.5,17.0
2013-06-25,120.0,55.0,65.0,27.5,32.5,42.5,37.5,12.5,75.0,42.5,22.5,175.0,35.0,47.5,47.5,27.5,37.5,105.0,47.5,145.0,300.0,125.0,160.0,42.5,34.0,42.5,65.0,240.0,24.0,19.0,22.5,47.5,37.5,67.5,57.5,27.5,17.5
