seconds,'uV','uV'.1,'uV'.2,'uV'.3
1900-01-01 00:00:00.000,-39.0,-117.0,-69.5,-46.5
1900-01-01 00:00:00.001,-33.5,-110.5,-62.0,-39.0
1900-01-01 00:00:00.002,-27.5,-104.0,-55.0,-31.5
1900-01-01 00:00:00.003,-22.0,-97.0,-47.5,-24.0
1900-01-01 00:00:00.004,-16.5,-91.0,-40.0,-16.5
1900-01-01 00:00:00.005,-12.0,-85.5,-33.5,-10.0
1900-01-01 00:00:00.006,-9.0,-81.0,-28.5,-5.0
1900-01-01 00:00:00.007,-6.5,-78.0,-25.5,-2.0
1900-01-01 00:00:00.008,-5.5,-77.0,-24.0,-1.0
1900-01-01 00:00:00.009,-5.5,-77.0,-24.5,-2.0
1900-01-01 00:00:00.010,-6.0,-78.0,-26.5,-4.5
1900-01-01 00:00:00.011,-6.5,-80.0,-29.5,-8.5
1900-01-01 00:00:00.012,-7.0,-81.5,-32.5,-13.0
1900-01-01 00:00:00.013,-7.0,-83.0,-35.0,-16.5
1900-01-01 00:00:00.014,-6.0,-83.0,-36.5,-19.0
1900-01-01 00:00:00.015,-4.5,-82.5,-36.5,-20.5
1900-01-01 00:00:00.016,-3.0,-81.0,-36.5,-21.0
1900-01-01 00:00:00.017,-1.0,-80.0,-35.5,-21.0
1900-01-01 00:00:00.018,1.0,-78.5,-34.5,-21.0
1900-01-01 00:00:00.019,2.5,-77.0,-33.5,-20.5
1900-01-01 00:00:00.020,4.0,-75.5,-32.5,-19.5
1900-01-01 00:00:00.021,5.0,-74.0,-31.0,-18.5
1900-01-01 00:00:00.022,6.5,-72.5,-29.0,-16.5
1900-01-01 00:00:00.023,8.0,-70.5,-27.0,-14.5
1900-01-01 00:00:00.024,9.5,-68.5,-24.5,-11.5
1900-01-01 00:00:00.025,10.0,-67.0,-22.0,-9.0
1900-01-01 00:00:00.026,10.0,-66.5,-21.0,-8.0
1900-01-01 00:00:00.027,8.0,-68.0,-21.5,-8.5
1900-01-01 00:00:00.028,5.0,-71.0,-24.5,-11.5
1900-01-01 00:00:00.029,0.5,-75.5,-29.5,-16.5
1900-01-01 00:00:00.030,-4.5,-81.5,-35.5,-22.5
1900-01-01 00:00:00.031,-10.0,-87.5,-42.5,-30.0
1900-01-01 00:00:00.032,-15.0,-93.5,-49.5,-36.5
1900-01-01 00:00:00.033,-19.0,-98.5,-55.0,-42.5
1900-01-01 00:00:00.034,-22.0,-102.0,-59.0,-46.0
1900-01-01 00:00:00.035,-23.5,-104.0,-61.5,-48.5
1900-01-01 00:00:00.036,-24.5,-105.5,-63.0,-50.0
1900-01-01 00:00:00.037,-25.0,-106.0,-64.0,-51.0
1900-01-01 00:00:00.038,-25.5,-106.5,-64.0,-51.0
1900-01-01 00:00:00.039,-25.5,-106.0,-64.0,-51.0
1900-01-01 00:00:00.040,-25.0,-105.5,-63.0,-50.0
1900-01-01 00:00:00.041,-24.5,-104.5,-62.0,-48.5
1900-01-01 00:00:00.042,-23.5,-102.5,-60.0,-46.0
1900-01-01 00:00:00.043,-21.5,-100.0,-57.0,-43.0
1900-01-01 00:00:00.044,-19.0,-97.0,-53.0,-39.0
1900-01-01 00:00:00.045,-17.0,-93.5,-49.5,-35.5
1900-01-01 00:00:00.046,-16.0,-91.5,-47.0,-32.5
1900-01-01 00:00:00.047,-15.5,-90.5,-45.5,-31.5
