datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-05,14.0,11.67,21.3,185.95,41.0,0.0,32.0,7.0
2014-01-12,29.33,12.68,37.9,190.7,88.0,5.0,21.0,7.2
2014-01-19,30.67,26.34,45.9,218.4,80.0,8.0,29.0,12.0
2014-01-26,34.0,32.37,31.5,179.6,80.0,8.0,23.0,10.0
2014-02-02,31.02,23.35,20.7,159.88,84.0,12.0,29.0,12.0
2014-02-09,22.65,29.72,53.3,226.8,98.0,7.0,31.0,6.0
2014-02-16,33.33,30.69,47.3,320.7,89.0,14.0,18.0,16.2
2014-02-23,39.01,34.25,44.2,232.7,99.0,5.0,35.0,7.0
2014-03-02,36.68,28.75,40.355,222.5,52.0,2.0,16.0,10.1
2014-03-09,25.02,21.11,31.8,202.375,48.0,4.0,16.0,9.2
2014-03-16,32.35,23.77,36.2,164.8,90.0,5.0,36.0,19.0
2014-03-23,39.36,23.72,26.1,202.8,36.0,4.0,27.0,23.6
2014-03-30,25.69,17.33,36.2,136.6,42.0,6.0,29.0,24.5
2014-04-06,19.68,22.05,36.4,153.7,31.0,7.0,27.0,20.0
2014-04-13,36.03,20.38,21.2,141.0,46.0,4.0,22.0,20.3
2014-04-20,27.36,19.38,35.15,134.2,59.0,1.0,24.0,20.0
2014-04-27,26.36,20.215,22.0,182.5,54.0,4.0,16.0,13.0
2014-05-04,22.02,27.16,23.9,176.6,49.0,6.0,24.0,13.9
2014-05-11,24.67,32.485,29.6,151.6,69.0,11.0,15.0,36.0
2014-05-18,22.38,26.4,35.2,154.0,56.0,2.0,42.0,18.5
2014-05-25,25.02,22.278,33.7,115.7,56.0,5.0,20.0,36.6
2014-06-01,17.71,22.08,25.1,143.38,69.0,3.0,19.0,28.1
2014-06-08,23.34,23.06,33.9,154.425,64.0,8.0,19.0,27.5
2014-06-15,29.03,17.4,23.6,95.3,87.0,8.0,20.0,36.8
2014-06-22,31.68,20.73,26.1,106.7,66.0,5.0,11.0,24.0
2014-06-29,21.02,27.5,37.3,156.8,96.0,1.0,6.0,18.0
2014-07-06,27.35,24.74,30.0,135.8,64.0,3.0,8.0,10.0
2014-07-13,26.01,22.38,34.7,122.8,83.0,7.0,27.0,16.2
2014-07-20,33.67,20.76,20.5,96.0,84.0,6.0,12.0,14.4
2014-07-27,28.01,28.77,33.1,116.2,77.0,2.0,8.0,16.0
2014-08-03,20.02,7.71,23.2,95.1,80.0,9.0,11.0,16.5
2014-08-10,28.36,19.74,28.4,123.6,83.0,8.0,3.0,16.9
2014-08-17,26.02,19.53,34.7,103.4,99.0,5.0,3.0,23.6
2014-08-24,36.36,25.225,20.5,111.2,92.0,7.0,14.0,11.3
2014-08-31,22.05,31.275,29.0,160.15,112.0,3.0,12.0,15.0
2014-09-07,29.7,29.369,23.6,113.72,109.0,5.0,9.0,18.6
2014-09-14,18.7,22.41,22.4,216.35,104.0,0.0,28.0,10.2
2014-09-21,18.02,22.915,28.7,227.1,69.0,3.0,44.0,8.0
2014-09-28,25.36,25.38,31.1,239.55,95.0,4.0,2.0,16.0
2014-10-05,32.35,26.456,30.6,272.04,73.0,3.0,81.0,14.0
2014-10-12,23.7,23.085,33.1,296.975,103.0,7.0,21.0,10.5
2014-10-19,23.115,30.6103125,28.3375,223.621875,96.0625,4.625,28.0,13.1875
2014-10-26,19.69,25.14,25.2,213.6,95.0,3.0,30.0,10.0
2014-11-02,25.67,14.82,34.1,203.8,112.5,4.0,39.0,7.0
2014-11-09,40.67,31.05,29.8,177.9,152.0,5.0,25.0,6.2
2014-11-16,31.67,24.34,31.3,177.1,110.0,4.0,22.0,10.2
2014-11-23,28.35,25.04,37.5,161.5,105.5,3.0,38.0,8.7
2014-11-30,31.06,18.09,39.6,161.5,96.0,7.0,20.0,18.1
2014-12-07,28.69,30.281,18.3,175.7,114.0,4.0,40.0,9.4
2014-12-14,25.02,22.02,30.4,221.58,109.0,7.0,21.0,3.0
2014-12-21,25.01,20.69,24.34,203.6,78.0,6.0,31.0,6.0
2014-12-28,36.18,32.79,27.784,282.7,154.0,4.0,54.0,12.0
2015-01-04,36.68,34.54,24.7,300.22,65.0,7.0,25.25,10.0
2015-01-11,19.34,37.311,32.9,234.4,98.0,7.0,39.0,10.0
2015-01-18,39.35,30.35,38.8,231.45,115.0,4.0,32.0,9.0
2015-01-25,29.69,14.538,32.2,246.55,128.0,3.0,58.0,8.0
2015-02-01,32.19,36.58,29.7,199.3,101.0,8.0,40.0,9.0
2015-02-08,20.34,31.329,31.6,195.25,74.0,1.0,36.0,11.0
2015-02-15,35.01,29.646,44.2,222.82,77.0,4.0,65.0,13.0
2015-02-22,21.67,32.782,20.63,283.812,34.0,2.0,69.0,14.0
2015-03-01,43.35,30.526,31.1,241.67,54.0,5.0,38.0,12.0
2015-03-08,41.68,25.777,23.7,245.35,39.0,1.0,17.0,10.0
2015-03-15,27.02,29.867,33.0,267.6,53.0,2.0,35.0,13.0
2015-03-22,42.0,27.35,24.3,254.4,55.0,2.0,58.0,6.0
2015-03-29,25.01,31.672,28.9,232.4,49.0,4.0,58.0,17.0
2015-04-05,35.01,23.807,42.1,227.87,42.0,3.0,15.0,21.0
2015-04-12,40.18,24.825,30.4,189.7,45.0,2.0,40.0,19.0
2015-04-19,41.65,22.868,32.0,224.3,42.0,0.0,19.0,26.0
2015-04-26,36.66,21.835,24.9,239.1,46.0,0.0,6.0,24.0
2015-05-03,29.34,21.013,23.94,196.8,40.0,2.0,20.0,41.7
2015-05-10,22.0,34.129,30.8,166.2,48.0,3.0,26.0,38.8
2015-05-17,35.0,31.083,39.5,198.35,34.0,0.0,12.0,36.7
2015-05-24,35.68,23.452,23.2,126.85,54.0,2.0,10.0,29.8
2015-05-31,50.33,24.047,32.5,196.1,44.0,3.0,51.0,38.5
2015-06-07,35.34,28.02,27.7,143.55,54.0,5.0,53.0,28.0
2015-06-14,28.34,24.99,30.5,167.476,55.0,3.0,26.0,27.6
2015-06-21,41.67,23.04,35.76,174.4,52.0,3.0,83.0,34.9
2015-06-28,39.84,29.31,41.5,172.987,29.0,1.0,18.0,28.0
2015-07-05,36.36,27.02,28.3,152.1,66.0,1.0,35.0,30.3
2015-07-12,30.51,26.38,24.2,198.25,52.0,0.0,21.0,40.5
2015-07-19,38.71,20.37,23.0,142.75,26.0,3.0,7.0,26.3
2015-07-26,36.35,23.34,27.8,171.85,44.0,2.0,7.0,25.0
2015-08-02,50.36,36.73,40.2,134.878,65.0,0.0,3.0,19.5
2015-08-09,33.83,22.65,31.7,168.2,42.0,4.0,11.0,17.7
2015-08-16,41.01,37.703,33.6,169.688,64.0,3.0,7.0,20.0
2015-08-23,41.17,24.746,29.0,194.0,65.0,5.0,10.0,18.0
2015-08-30,51.68,38.38,27.7,186.9,62.0,3.0,11.0,22.0
2015-09-06,39.35,41.22,25.3,180.15,66.5,3.0,22.0,21.0
2015-09-13,38.33,33.632,34.1,236.2,56.0,4.0,24.0,17.0
2015-09-20,38.67,27.551,23.9,189.1,56.5,0.0,17.0,18.0
2015-09-27,41.22,31.036,23.5,207.075,50.0,4.0,17.0,14.0
2015-10-04,44.65,30.079,22.0,245.662,41.0,0.0,50.0,10.0
2015-10-11,45.33,24.244,34.4,333.337,73.5,4.0,51.0,18.0
2015-10-18,42.66,40.093,35.9,423.174,41.5,1.0,32.0,16.0
2015-10-25,48.17,21.835,30.9,352.762,42.0,1.0,40.0,19.0
2015-11-01,29.98,28.993,35.6,377.4,59.0,2.0,33.0,12.0
2015-11-08,32.49,28.097,34.7,342.875,60.0,6.0,33.0,10.0
2015-11-15,36.97,38.11,42.4,249.3,52.0,4.0,70.0,7.0
2015-11-22,32.01,23.792,29.9,273.5,55.0,4.0,32.0,13.0
2015-11-29,31.65,28.419,28.3,253.6,45.0,3.0,19.0,11.0
2015-12-06,31.32,24.97,29.4,278.25,54.0,12.0,25.0,9.33
2015-12-13,41.51,36.286,40.2,234.887,58.0,3.0,72.0,11.1
2015-12-20,32.99,24.385,25.1,216.6,47.0,6.0,52.0,6.0
2015-12-27,31.98,26.858,26.5,330.062,75.0,5.0,50.0,11.3
2016-01-03,33.33,25.637,24.3,341.15,58.0,4.0,48.0,13.0
2016-01-10,41.65,25.136,41.3,342.2,48.0,4.0,35.0,9.0
2016-01-17,51.67,27.211,50.5,365.25,82.0,0.0,21.0,12.0
2016-01-24,27.98,33.375,39.7,320.5,65.0,9.0,46.0,17.0
2016-01-31,46.01,37.66,37.5,341.074,52.0,10.0,62.0,12.5
2016-02-07,51.66,38.957,34.6,321.824,39.0,5.0,37.0,10.0
2016-02-14,33.83,36.618,37.1,294.613,71.0,3.0,78.0,16.0
2016-02-21,38.67,23.442,24.6,272.95,52.0,7.0,60.0,12.0
