From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),Xylene (ug/m3),AT (degree C)
2022-08-17 16:00:00,2022-08-17 17:00:00,5.2,59.91,5.51,18.49,,1.61,17.55,0.34,35.46,0.36,0.2,,0.01,,42.36,,314.68,258.53,908.99,0.18,0.0,0.24,30.64
2022-08-17 17:00:00,2022-08-17 18:00:00,10.59,81.3,6.72,19.59,27.6,0.37,17.58,0.41,33.54,0.4,0.21,,0.01,,42.9,,287.14,182.21,910.08,0.18,0.0,0.26,30.25
2022-08-17 18:00:00,2022-08-17 19:00:00,16.96,81.98,8.85,21.18,34.54,0.68,14.07,0.52,25.95,0.48,0.18,,0.02,,44.98,0.25,283.41,13.96,911.41,0.18,0.0,0.3,29.45
2022-08-17 19:00:00,2022-08-17 20:00:00,19.06,88.19,21.29,26.79,67.94,4.46,5.23,1.07,15.89,0.69,0.19,,0.03,,48.8,,285.76,1.26,913.73,0.18,0.0,0.41,28.53
2022-08-17 20:00:00,2022-08-17 21:00:00,29.41,106.99,29.62,26.77,47.01,5.54,5.55,1.11,11.8,1.1,0.29,,0.04,,51.88,,278.83,0.95,916.24,0.18,0.0,0.71,27.98
2022-08-17 21:00:00,2022-08-17 22:00:00,33.72,108.06,14.35,26.88,38.52,2.88,5.08,0.58,14.62,0.79,0.26,,0.03,,56.06,,287.88,1.17,918.42,0.18,0.0,0.55,27.52
2022-08-17 22:00:00,2022-08-17 23:00:00,39.45,124.98,3.78,14.65,12.64,4.73,4.84,0.21,22.89,0.35,0.25,,0.02,,62.32,,304.18,1.39,919.37,0.18,0.0,0.29,26.86
2022-08-17 23:00:00,2022-08-18 00:00:00,33.26,119.88,1.45,8.19,8.51,4.7,4.68,0.2,21.81,0.13,0.22,,,,66.55,,281.96,1.52,920.33,0.18,0.0,0.15,26.08
2022-08-18 00:00:00,2022-08-18 01:00:00,29.27,92.69,1.37,7.37,8.82,3.55,4.1,0.2,19.81,0.06,0.22,,,,69.52,,273.98,1.31,918.4,0.18,0.0,0.1,25.54
2022-08-18 01:00:00,2022-08-18 02:00:00,24.39,68.93,1.42,6.96,8.53,3.88,4.04,0.21,17.02,0.05,0.21,,,,72.77,,265.5,1.34,916.91,0.18,0.0,0.09,25.15
2022-08-18 02:00:00,2022-08-18 03:00:00,20.05,53.44,1.38,6.9,7.44,3.36,4.21,0.2,17.18,0.05,0.22,,,,73.85,,258.55,1.43,915.74,0.18,0.0,0.08,24.88
2022-08-18 03:00:00,2022-08-18 04:00:00,19.19,47.3,1.21,5.89,7.29,3.65,4.31,0.21,18.9,0.04,0.2,,,,73.85,,280.64,1.45,915.67,0.18,0.0,0.07,24.75
2022-08-18 04:00:00,2022-08-18 05:00:00,16.9,45.04,2.86,7.33,8.96,2.59,4.3,0.2,17.57,0.04,0.21,,,,73.33,,276.05,1.49,916.04,0.18,0.0,0.07,24.8
2022-08-18 05:00:00,2022-08-18 06:00:00,14.04,48.83,1.9,7.86,11.72,3.02,4.12,0.25,17.49,0.05,0.21,,,,73.47,,257.82,1.44,917.63,0.18,0.0,0.08,24.71
