From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),AT (degree C)
2022-11-15 08:00:00,2022-11-15 09:00:00,15.05,18.82,3.0,63.86,44.35,9.28,4.78,0.76,12.3,0.01,2.39,0.1,0.29,0.2,82.25,0.1,120.79,269.76,778.94,-1.81,0.0,24.06
2022-11-15 09:00:00,2022-11-15 10:00:00,12.18,15.23,3.0,55.81,40.14,12.88,4.83,0.71,17.83,0.01,2.39,0.1,0.29,0.2,76.31,0.17,129.0,380.49,779.44,-1.82,0.0,25.14
2022-11-15 10:00:00,2022-11-15 11:00:00,23.05,28.8,3.0,45.07,34.53,18.47,4.82,0.68,37.66,0.01,2.38,0.1,0.29,0.2,70.78,0.32,114.05,528.32,781.29,-1.81,0.0,26.32
2022-11-15 11:00:00,2022-11-15 12:00:00,63.29,79.12,3.0,35.91,29.74,23.26,4.81,0.48,49.11,0.02,2.39,0.17,0.35,0.26,68.72,0.23,85.77,424.69,781.67,-1.66,0.0,26.89
2022-11-15 12:00:00,2022-11-15 13:00:00,93.06,116.33,3.0,28.93,26.09,26.91,4.78,0.33,54.97,0.02,2.4,0.2,0.39,0.3,66.41,0.42,92.73,391.48,783.53,-1.77,0.0,27.31
2022-11-15 13:00:00,2022-11-15 14:00:00,108.89,136.12,3.0,27.92,25.57,27.43,4.77,0.32,56.9,0.02,2.38,0.2,0.39,0.3,66.19,0.31,95.44,334.35,783.24,-1.79,0.0,27.19
2022-11-15 14:00:00,2022-11-15 15:00:00,117.4,146.76,3.0,29.02,26.14,26.86,4.79,0.32,54.68,0.02,2.39,0.2,0.39,0.3,64.48,0.33,31.16,248.45,782.72,-1.79,0.0,27.5
2022-11-15 15:00:00,2022-11-15 16:00:00,136.38,170.48,3.0,30.84,27.1,25.9,4.8,0.37,48.51,0.02,2.4,0.2,0.39,0.3,63.68,0.37,17.4,183.13,782.05,-1.82,0.0,27.28
2022-11-15 16:00:00,2022-11-15 17:00:00,135.81,169.77,3.0,42.84,33.37,19.63,4.78,0.57,40.43,0.02,2.4,0.2,0.39,0.3,66.54,0.3,91.75,105.32,780.89,-1.82,0.0,26.68
2022-11-15 17:00:00,2022-11-15 18:00:00,84.09,105.12,3.0,48.16,36.15,16.85,4.82,0.76,36.84,0.02,2.39,0.2,0.39,0.3,70.93,0.3,12.21,19.46,780.9,-1.82,0.0,25.89
