From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2021-03-26 09:00:00,2021-03-26 10:00:00,47.0,208.0,2.47,6.54,9.29,1.84,18.36,0.47,12.68,0.56,,0.17,0.41,,46.53,0.46,120.78,477.21,989.97,,,30.42,0.0
2021-03-26 10:00:00,2021-03-26 11:00:00,45.7,234.36,2.3,5.98,8.56,1.37,18.54,0.46,20.54,0.53,,0.15,0.36,,43.63,0.7,138.39,618.55,989.69,,,30.85,0.0
2021-03-26 11:00:00,2021-03-26 12:00:00,37.55,152.26,2.07,5.38,7.72,1.03,18.46,0.43,33.75,0.51,,0.1,0.25,,40.18,0.49,143.71,615.76,988.77,,,32.34,0.0
2021-03-26 12:00:00,2021-03-26 13:00:00,41.74,131.56,2.27,7.5,9.89,2.14,18.56,0.45,32.76,0.48,,,0.16,,39.31,0.5,132.69,602.51,987.5,,,32.94,0.0
2021-03-26 13:00:00,2021-03-26 14:00:00,43.23,143.69,2.22,8.08,10.29,2.41,19.07,0.49,27.54,0.51,,0.04,0.19,,38.43,0.58,149.95,467.87,986.35,,,33.29,0.0
2021-03-26 14:00:00,2021-03-26 15:00:00,50.54,160.29,2.07,6.25,8.48,1.51,18.49,0.49,24.58,0.56,,0.08,0.21,,38.28,0.44,157.78,318.88,985.63,,,33.35,0.0
2021-03-26 15:00:00,2021-03-26 16:00:00,36.62,170.92,2.12,6.31,8.6,1.57,18.56,0.49,23.85,0.56,,0.09,0.22,,40.39,0.35,164.05,160.82,985.27,,,32.75,0.0
2021-03-26 16:00:00,2021-03-26 17:00:00,42.95,192.93,2.23,6.31,8.74,1.46,18.44,0.5,19.74,0.56,,0.1,0.23,,54.06,0.35,156.57,63.37,985.5,,,29.06,0.0
2021-03-26 17:00:00,2021-03-26 18:00:00,34.96,196.0,2.32,6.74,9.27,1.71,18.05,0.5,17.03,0.55,,0.1,0.23,,66.54,0.31,169.78,5.8,985.92,,,25.3,0.0
2021-03-26 18:00:00,2021-03-26 19:00:00,37.88,198.36,3.38,10.79,14.39,3.95,17.9,0.54,14.88,0.64,,0.12,0.33,,73.09,0.49,202.88,,986.79,,,23.09,0.0
2021-03-26 19:00:00,2021-03-26 20:00:00,31.39,190.15,2.95,12.43,15.28,4.43,17.78,0.6,14.53,0.76,,0.15,0.42,,71.88,0.48,178.81,,988.06,,,22.8,0.0
2021-03-26 20:00:00,2021-03-26 21:00:00,32.86,177.49,3.25,12.22,15.51,4.46,17.75,0.66,9.26,0.81,,0.17,0.48,,78.93,0.27,212.07,,989.04,,,21.3,0.0
2021-03-26 21:00:00,2021-03-26 22:00:00,28.89,188.19,2.99,14.44,17.12,5.11,17.83,0.73,11.44,0.96,,0.21,0.63,,79.59,0.62,217.84,,989.29,,,20.62,0.0
