From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-09-19 15:00:00,2022-09-19 16:00:00,11.4,30.9,2.44,1.0,3.17,34.82,1.6,0.21,7.67,0.0,,,,,74.29,0.72,231.79,60.11,746.52,,,0.0
2022-09-19 16:00:00,2022-09-19 17:00:00,20.2,41.4,3.04,4.73,6.24,36.05,1.71,0.22,10.31,0.0,,,,,77.78,0.68,254.48,12.12,746.74,,,0.0
2022-09-19 17:00:00,2022-09-19 18:00:00,27.3,64.0,3.34,6.08,7.44,36.28,1.76,0.22,21.0,0.0,,,,,81.37,1.49,192.72,0.04,747.51,,,0.11
2022-09-19 18:00:00,2022-09-19 19:00:00,40.0,79.2,3.71,8.02,9.1,36.92,2.0,0.19,19.39,0.0,,,,,80.16,0.82,199.76,0.0,748.18,,,0.17
2022-09-19 19:00:00,2022-09-19 20:00:00,21.1,50.8,3.51,8.08,8.96,37.01,1.91,0.2,12.53,0.0,,,,,81.27,0.75,182.06,0.0,749.05,,,0.11
2022-09-19 20:00:00,2022-09-19 21:00:00,28.0,46.3,2.22,3.37,4.5,35.67,1.44,0.23,8.88,0.0,,,,,84.2,0.88,185.16,0.0,749.41,,,0.0
2022-09-19 21:00:00,2022-09-19 22:00:00,38.7,61.2,2.19,3.5,4.54,35.7,1.42,0.26,8.41,0.0,,,,,85.7,0.85,179.8,0.0,749.57,,,0.0
2022-09-19 22:00:00,2022-09-19 23:00:00,67.0,88.6,2.15,3.3,4.4,35.61,1.41,0.25,7.42,0.0,,,,,86.82,0.61,183.39,0.0,749.52,,,0.0
2022-09-19 23:00:00,2022-09-20 00:00:00,67.6,86.6,2.22,4.62,4.01,36.04,1.24,0.19,6.67,0.0,,,,,88.1,0.43,127.16,0.0,749.44,,,0.0
2022-09-20 00:00:00,2022-09-20 01:00:00,18.2,48.2,2.16,2.14,3.61,35.27,1.22,0.19,11.25,0.0,,,,,84.25,1.31,151.8,0.0,749.54,,,0.65
2022-09-20 01:00:00,2022-09-20 02:00:00,1.8,22.4,2.41,0.92,3.04,34.95,1.35,0.15,10.34,0.0,,,,,92.84,1.09,198.17,0.0,749.21,,,2.49
2022-09-20 02:00:00,2022-09-20 03:00:00,2.1,14.9,2.48,1.32,3.41,35.06,1.36,0.15,7.29,0.0,,,,,98.1,0.55,149.33,0.0,748.97,,,0.23
2022-09-20 03:00:00,2022-09-20 04:00:00,19.6,33.5,2.1,2.67,3.94,35.46,1.23,0.17,6.45,0.0,,,,,98.83,0.41,243.13,0.0,748.81,,,0.0
