From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2022-12-19 10:00:00,2022-12-19 11:00:00,111.0,191.0,2.7,24.1,15.0,,20.8,1.52,100.2,1.6,,,,,25.3,61.0,2.1,2.0,150.0,23.9,0.0
2022-12-19 11:00:00,2022-12-19 12:00:00,109.0,184.75,1.82,19.5,11.88,,26.65,1.45,107.25,1.45,,,,,25.08,57.0,2.17,18.0,156.25,25.45,0.0
2022-12-19 12:00:00,2022-12-19 13:00:00,96.5,157.5,1.42,17.02,10.22,,33.12,1.49,132.12,1.12,,,,,24.9,53.75,2.12,14.75,75.5,27.3,0.0
2022-12-19 13:00:00,2022-12-19 14:00:00,88.25,151.5,1.23,15.23,9.12,,33.73,1.42,128.95,1.12,,,,,24.58,51.25,1.95,16.0,82.75,28.1,0.0
2022-12-19 14:00:00,2022-12-19 15:00:00,81.25,133.5,0.93,11.33,6.75,,25.95,1.33,114.15,0.93,,,,,24.62,50.75,1.75,97.5,27.5,28.17,0.0
2022-12-19 15:00:00,2022-12-19 16:00:00,62.75,110.75,0.75,13.6,7.9,,19.02,1.28,93.88,0.8,,,,,24.55,53.25,1.1,51.0,,27.15,0.0
2022-12-19 16:00:00,2022-12-19 17:00:00,52.25,103.75,1.15,33.08,18.55,,9.62,1.46,46.5,0.83,,,,,25.08,65.25,0.9,121.5,,21.05,0.0
2022-12-19 17:00:00,2022-12-19 18:00:00,60.75,159.25,17.55,74.95,54.12,,7.55,2.06,2.22,1.82,,,,,24.8,26.5,0.88,129.5,,17.08,0.0
2022-12-19 18:00:00,2022-12-19 19:00:00,116.75,290.5,36.15,70.75,67.0,,6.0,2.2,0.33,4.12,,,,,24.27,22.0,0.75,131.25,,15.12,0.0
2022-12-19 19:00:00,2022-12-19 20:00:00,118.75,251.25,29.25,56.62,53.93,,5.68,2.11,0.95,3.5,,,,,23.88,30.25,0.95,160.75,,14.78,0.0
2022-12-19 20:00:00,2022-12-19 21:00:00,110.25,221.5,2.48,34.57,20.4,,4.92,1.79,11.6,2.65,,,,,24.05,24.75,1.05,100.75,,13.78,0.0
2022-12-19 21:00:00,2022-12-19 22:00:00,82.0,137.0,6.53,38.65,25.88,,4.17,1.66,2.58,1.62,,,,,24.18,23.75,1.15,120.25,,13.65,0.0
