From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2023-03-01 00:00:00,2023-03-01 01:00:00,73.75,138.25,0.5,18.35,10.2,3.45,72.88,5.45,38.83,0.1,,,,,67.5,1.43,19.75,11.0,19.65,0.0
2023-03-01 01:00:00,2023-03-01 02:00:00,63.25,109.75,0.43,16.9,9.35,3.55,59.52,6.51,33.98,0.1,,,,,69.25,1.05,23.5,11.0,18.93,0.0
2023-03-01 02:00:00,2023-03-01 03:00:00,73.0,105.25,0.3,19.7,10.75,3.6,70.88,7.75,27.93,0.1,,,,,70.0,1.05,29.25,10.5,18.5,0.0
2023-03-01 03:00:00,2023-03-01 04:00:00,90.75,124.5,0.6,20.4,11.35,3.52,125.45,2.41,28.53,0.1,,,,,70.75,1.07,184.0,10.5,18.2,0.0
2023-03-01 04:00:00,2023-03-01 05:00:00,83.0,114.0,0.2,17.77,9.62,3.5,86.22,6.6,26.7,0.1,,,,,72.5,0.7,89.0,10.25,17.68,0.0
2023-03-01 05:00:00,2023-03-01 06:00:00,74.25,101.0,0.33,20.18,10.98,3.52,41.08,4.49,19.77,0.1,,,,,73.5,0.8,78.75,13.5,17.48,0.0
2023-03-01 06:00:00,2023-03-01 07:00:00,81.5,118.75,1.8,26.15,15.38,3.4,33.6,3.67,18.2,0.1,,,,,70.5,0.77,256.25,42.75,18.18,0.0
2023-03-01 07:00:00,2023-03-01 08:00:00,78.25,142.75,2.88,24.23,15.25,3.58,59.42,6.49,36.45,0.1,,,,,65.0,1.02,261.25,103.75,19.8,0.0
2023-03-01 08:00:00,2023-03-01 09:00:00,88.0,167.5,1.92,21.22,12.88,3.52,44.58,4.87,51.88,0.1,,,,,56.75,1.02,253.0,172.75,22.12,0.0
2023-03-01 09:00:00,2023-03-01 10:00:00,89.25,149.25,1.1,18.78,10.9,3.52,14.55,1.58,71.05,0.1,,,,,50.75,1.32,172.5,233.0,23.83,0.0
2023-03-01 10:00:00,2023-03-01 11:00:00,68.0,129.0,1.3,20.0,11.73,3.5,21.5,2.35,84.23,0.1,,,,,44.5,1.52,77.75,260.25,25.25,0.0
2023-03-01 11:00:00,2023-03-01 12:00:00,62.25,128.0,1.27,19.23,11.22,3.55,28.08,3.07,88.65,0.1,,,,,40.25,1.75,27.5,274.75,26.1,0.0
2023-03-01 12:00:00,2023-03-01 13:00:00,54.25,102.0,1.57,19.2,11.45,3.52,10.82,1.19,92.25,0.1,,,,,37.75,1.7,27.25,248.5,27.15,0.0
2023-03-01 13:00:00,2023-03-01 14:00:00,48.0,102.75,1.5,21.1,12.45,3.52,11.05,1.21,96.88,0.1,,,,,37.25,1.65,98.0,199.5,27.68,0.0
2023-03-01 14:00:00,2023-03-01 15:00:00,50.0,104.25,1.68,23.83,14.03,3.43,10.3,1.12,96.18,0.1,,,,,35.0,2.17,15.25,135.5,28.0,0.0
2023-03-01 15:00:00,2023-03-01 16:00:00,47.5,100.75,1.7,30.27,17.48,3.48,10.8,1.18,89.9,0.1,,,,,33.25,1.95,9.5,70.25,27.75,0.0
2023-03-01 16:00:00,2023-03-01 17:00:00,53.75,125.0,2.12,46.27,26.32,3.55,44.9,4.91,72.93,0.1,,,,,38.75,1.83,7.75,25.5,26.8,0.0
2023-03-01 17:00:00,2023-03-01 18:00:00,73.75,177.75,2.7,48.67,28.07,3.48,43.6,4.76,59.35,0.1,,,,,41.25,1.6,13.25,11.25,25.3,0.0
2023-03-01 18:00:00,2023-03-01 19:00:00,89.5,187.25,2.38,50.18,28.6,3.5,57.65,6.3,43.1,0.1,,,,,44.75,1.3,21.0,11.0,24.38,0.0
2023-03-01 19:00:00,2023-03-01 20:00:00,100.75,182.25,1.12,43.75,24.18,3.5,75.33,5.15,42.6,0.1,,,,,46.0,1.07,30.5,10.75,23.73,0.0
2023-03-01 20:00:00,2023-03-01 21:00:00,119.5,200.0,2.3,47.38,27.08,3.5,69.27,7.57,33.62,0.1,,,,,48.0,1.15,21.5,11.0,23.35,0.0
2023-03-01 21:00:00,2023-03-01 22:00:00,120.0,204.25,3.53,43.95,26.25,3.45,32.72,3.58,30.03,0.1,,,,,50.5,0.9,168.5,11.0,22.82,0.0
2023-03-01 22:00:00,2023-03-01 23:00:00,110.75,201.75,5.4,58.3,35.4,3.43,46.0,5.02,7.2,0.1,,,,,58.0,0.9,198.0,10.75,21.82,0.0
2023-03-01 23:00:00,2023-03-02 00:00:00,148.25,297.0,10.35,52.45,36.28,3.4,69.83,7.63,5.33,0.1,,,,,64.0,0.88,115.0,10.0,20.97,0.0
2023-03-02 00:00:00,2023-03-02 01:00:00,162.25,309.5,3.35,47.8,28.12,3.5,31.2,3.41,3.27,0.1,,,,,68.25,0.9,104.25,11.0,20.17,0.0
2023-03-02 01:00:00,2023-03-02 02:00:00,141.0,248.5,1.47,44.25,24.7,3.52,13.4,1.46,7.57,0.1,,,,,71.25,1.0,115.0,10.5,19.55,0.0
2023-03-02 02:00:00,2023-03-02 03:00:00,120.25,183.75,0.55,34.77,18.95,3.52,8.75,0.96,15.97,0.1,,,,,73.0,1.07,123.75,11.0,18.98,0.0
2023-03-02 03:00:00,2023-03-02 04:00:00,97.75,147.5,0.45,27.85,15.2,3.5,12.65,1.38,22.02,0.1,,,,,72.5,1.27,132.5,10.5,18.5,0.0
2023-03-02 04:00:00,2023-03-02 05:00:00,90.75,134.5,0.5,25.55,14.0,3.55,6.82,0.75,20.73,0.1,,,,,72.5,0.78,217.0,10.75,18.3,0.0
2023-03-02 05:00:00,2023-03-02 06:00:00,82.5,120.25,2.12,31.75,18.6,3.6,5.05,0.55,12.35,0.1,,,,,75.5,0.82,276.0,13.75,17.75,0.0
2023-03-02 06:00:00,2023-03-02 07:00:00,85.0,137.5,3.2,28.95,17.98,3.5,5.43,0.6,15.2,0.1,,,,,72.75,0.95,210.5,43.75,18.27,0.0
