From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-03-01 00:00:00,2020-03-01 01:00:00,96.17,206.73,,,0.0,52.12,3.53,1.88,,11.58,23.97,,2.15,98.75,0.1,130.78,7.56,754.81,0.0,16.52,0.0
2020-03-01 01:00:00,2020-03-01 02:00:00,87.27,169.11,,,0.0,55.02,4.12,1.88,,11.48,23.16,,0.61,98.56,0.11,133.63,7.57,754.67,0.0,16.16,0.0
2020-03-01 02:00:00,2020-03-01 03:00:00,94.5,178.4,,,0.0,56.39,4.15,1.95,,11.91,22.84,,,98.82,0.07,100.76,7.53,754.33,0.0,15.78,0.0
2020-03-01 03:00:00,2020-03-01 04:00:00,90.12,163.42,,,0.0,47.23,4.11,1.94,,12.15,22.42,,8.0,98.88,0.14,153.42,7.63,754.14,0.0,15.63,0.0
2020-03-01 04:00:00,2020-03-01 05:00:00,86.98,136.41,,,0.0,45.66,4.34,1.85,,11.79,22.97,,4.68,98.84,0.05,173.87,7.65,754.37,0.0,15.59,0.0
2020-03-01 05:00:00,2020-03-01 06:00:00,73.81,119.41,,,0.0,54.08,4.41,1.66,,10.79,24.54,,3.07,96.96,0.15,179.57,7.57,754.9,0.0,15.34,0.0
2020-03-01 06:00:00,2020-03-01 07:00:00,74.97,121.76,,,0.0,55.38,4.73,1.7,,10.48,24.74,,,98.33,0.09,126.91,27.79,755.53,0.0,14.92,0.0
2020-03-01 07:00:00,2020-03-01 08:00:00,86.2,132.33,,,0.0,47.93,4.9,1.79,,11.57,24.82,,11.43,91.06,0.29,191.4,130.42,756.14,0.0,16.84,0.0
2020-03-01 08:00:00,2020-03-01 09:00:00,95.19,159.42,,,0.0,52.09,5.1,1.7,,12.24,25.65,,3.62,76.09,0.28,278.0,310.71,756.76,0.0,20.17,0.0
2020-03-01 09:00:00,2020-03-01 10:00:00,89.7,133.27,,,0.0,54.6,5.33,1.35,3.94,11.05,27.79,,2.75,66.81,0.28,24.26,499.68,756.94,0.0,23.19,0.0
2020-03-01 10:00:00,2020-03-01 11:00:00,81.1,95.48,,,0.0,55.28,5.49,1.13,10.29,9.29,28.31,,,58.3,0.27,130.45,649.63,756.75,0.0,24.92,0.0
2020-03-01 11:00:00,2020-03-01 12:00:00,72.66,77.48,,,0.0,49.51,5.48,0.92,16.94,7.56,30.38,,5.03,51.87,0.39,63.41,707.6,756.12,0.0,26.11,0.0
2020-03-01 12:00:00,2020-03-01 13:00:00,,,,,0.0,64.2,5.64,0.79,14.93,6.18,30.46,,4.79,47.32,0.51,62.95,756.64,755.19,0.0,26.77,0.0
2020-03-01 13:00:00,2020-03-01 14:00:00,35.34,39.57,,,0.0,42.08,5.59,0.68,14.8,0.0,0.0,,,42.92,0.36,49.84,655.82,754.38,0.0,27.45,0.0
2020-03-01 14:00:00,2020-03-01 15:00:00,35.64,36.87,,,0.0,36.88,5.29,0.6,7.46,0.0,0.0,,,44.1,0.33,79.22,500.42,753.66,0.0,27.35,0.0
2020-03-01 15:00:00,2020-03-01 16:00:00,,,,,0.0,31.93,5.04,0.54,4.14,0.0,0.0,,,45.69,0.34,231.35,390.76,753.28,0.0,27.08,0.0
2020-03-01 16:00:00,2020-03-01 17:00:00,26.43,36.73,,,0.0,34.72,4.58,0.51,0.2,0.0,0.0,,,50.75,0.36,271.0,113.05,753.03,0.0,25.77,0.0
2020-03-01 17:00:00,2020-03-01 18:00:00,22.34,29.46,,,0.0,38.69,4.38,0.52,,0.0,0.0,,,57.57,0.39,271.71,31.81,753.2,0.0,24.26,0.0
2020-03-01 18:00:00,2020-03-01 19:00:00,28.34,41.35,,,0.0,46.12,4.08,0.59,,0.0,0.0,,,64.07,0.33,272.28,7.39,753.48,0.0,23.13,0.0
2020-03-01 19:00:00,2020-03-01 20:00:00,37.94,85.76,,,0.0,45.32,3.75,0.72,,0.0,0.0,,,68.59,0.29,248.37,7.26,753.88,0.0,21.9,0.0
2020-03-01 20:00:00,2020-03-01 21:00:00,44.85,111.62,,,0.0,43.61,3.91,0.88,,0.0,0.0,,,75.15,0.1,254.29,7.41,754.22,0.0,20.69,0.0
2020-03-01 21:00:00,2020-03-01 22:00:00,52.0,133.82,,,0.0,48.41,4.54,1.03,,0.0,0.0,,,83.42,0.12,107.35,7.46,754.42,0.0,19.64,0.0
2020-03-01 22:00:00,2020-03-01 23:00:00,56.18,206.18,,,0.0,52.45,4.79,1.09,,0.0,0.0,,,86.78,0.32,195.64,7.33,754.54,0.0,18.86,0.0
2020-03-01 23:00:00,2020-03-02 00:00:00,64.42,272.83,,,0.0,54.42,5.11,1.21,,0.0,0.0,,,84.99,0.34,177.95,7.27,754.58,0.0,18.98,0.0
2020-03-02 00:00:00,2020-03-02 01:00:00,65.46,274.4,,,0.0,53.73,4.06,1.23,,0.0,0.0,,,87.79,0.19,206.01,7.28,754.17,0.0,18.48,0.0
2020-03-02 01:00:00,2020-03-02 02:00:00,61.34,256.81,,,0.0,57.7,5.04,1.15,,0.0,0.0,,,84.86,0.25,258.43,7.29,753.6,0.0,18.96,0.0
2020-03-02 02:00:00,2020-03-02 03:00:00,60.8,212.13,,,0.0,59.91,4.83,1.06,,0.0,0.0,,,89.36,0.23,294.6,7.23,753.56,0.0,18.36,0.0
2020-03-02 03:00:00,2020-03-02 04:00:00,56.32,180.67,,,0.0,53.17,4.71,0.96,,0.0,0.0,,,91.08,0.15,172.92,7.5,753.35,0.0,17.91,0.0
2020-03-02 04:00:00,2020-03-02 05:00:00,53.54,157.02,,,0.0,65.0,4.75,0.9,,0.0,0.0,,,92.62,0.12,198.33,7.39,753.37,0.0,17.49,0.0
2020-03-02 05:00:00,2020-03-02 06:00:00,46.51,127.82,,,0.0,64.09,4.34,0.85,,0.0,0.0,,,92.91,0.45,238.09,7.45,753.77,0.0,17.25,0.0
2020-03-02 06:00:00,2020-03-02 07:00:00,49.12,199.63,,,0.0,58.67,3.9,0.85,,0.0,0.0,,,94.17,0.42,224.24,27.31,754.51,0.0,17.17,0.0
2020-03-02 07:00:00,2020-03-02 08:00:00,50.28,181.69,,,0.0,50.48,3.77,0.89,,0.0,0.0,,,89.98,0.4,210.56,120.88,755.15,0.0,18.36,0.0
2020-03-02 08:00:00,2020-03-02 09:00:00,56.36,200.39,,,0.0,54.21,3.77,0.96,,0.0,0.0,,,77.98,0.28,92.11,287.87,755.59,0.0,21.17,0.0
2020-03-02 09:00:00,2020-03-02 10:00:00,58.87,197.78,,,0.0,55.42,3.7,0.94,,0.0,0.0,,,70.65,0.31,215.89,359.99,755.83,0.0,23.02,0.0
2020-03-02 10:00:00,2020-03-02 11:00:00,61.97,175.64,,,0.0,55.43,3.87,0.9,,0.0,0.0,,,64.55,0.24,248.87,576.2,755.74,0.0,24.74,0.0
2020-03-02 11:00:00,2020-03-02 12:00:00,58.42,147.17,,,0.0,45.75,4.12,0.82,5.19,0.0,0.0,,,60.56,0.46,54.97,644.4,755.15,0.0,25.93,0.0
2020-03-02 12:00:00,2020-03-02 13:00:00,45.98,114.92,,,0.0,44.91,4.45,0.74,9.91,0.0,0.0,,,53.98,0.54,52.29,659.42,754.41,0.0,26.94,0.0
2020-03-02 13:00:00,2020-03-02 14:00:00,38.01,98.32,,,0.0,32.26,5.07,0.65,14.73,0.0,0.0,,,50.84,0.5,53.2,613.24,753.6,0.0,27.4,0.0
2020-03-02 14:00:00,2020-03-02 15:00:00,36.66,91.12,,,0.0,34.76,5.75,0.6,,0.0,0.0,,,48.82,0.46,142.0,391.1,753.07,0.0,27.27,0.0
2020-03-02 15:00:00,2020-03-02 16:00:00,31.7,100.77,,,0.0,30.69,5.43,0.6,,0.0,0.0,,,54.51,0.27,285.08,233.19,752.74,0.0,26.62,0.0
2020-03-02 16:00:00,2020-03-02 17:00:00,36.54,99.66,,,0.0,33.81,5.36,0.61,,0.0,0.0,,,57.46,0.14,299.37,127.25,752.55,0.0,26.36,0.0
2020-03-02 17:00:00,2020-03-02 18:00:00,34.26,100.74,,,0.0,40.45,5.4,0.6,,0.0,0.0,,,61.67,0.22,100.84,26.82,752.5,0.0,24.65,0.0
2020-03-02 18:00:00,2020-03-02 19:00:00,32.47,117.69,,,0.0,47.6,5.73,0.59,,0.0,0.0,,,76.74,0.15,102.28,7.66,752.64,0.0,22.85,0.0
2020-03-02 19:00:00,2020-03-02 20:00:00,34.89,138.09,,,0.0,46.75,5.88,0.84,,0.0,0.0,,,84.23,0.2,160.5,7.66,753.14,0.0,21.59,0.0
2020-03-02 20:00:00,2020-03-02 21:00:00,51.78,324.17,,,0.0,53.8,6.2,1.14,,0.0,0.0,,,85.27,0.19,202.31,7.33,753.48,0.0,21.02,0.0
2020-03-02 21:00:00,2020-03-02 22:00:00,71.77,469.66,,,0.0,73.36,6.33,1.37,,0.0,0.0,,,92.59,0.13,82.72,7.36,753.74,0.0,19.81,0.0
2020-03-02 22:00:00,2020-03-02 23:00:00,84.66,450.24,,,0.0,56.03,5.63,1.75,,0.0,0.0,,,95.17,0.18,180.44,7.2,753.81,0.0,19.01,0.0
2020-03-02 23:00:00,2020-03-03 00:00:00,94.28,473.09,,,0.0,51.89,5.42,2.01,,0.0,0.0,,,91.98,0.17,234.99,7.0,753.75,0.0,18.92,0.0
2020-03-03 00:00:00,2020-03-03 01:00:00,102.62,351.08,,,0.0,50.92,4.06,2.1,,0.0,0.0,,,92.38,0.23,186.6,7.17,753.35,0.0,18.58,0.0
2020-03-03 01:00:00,2020-03-03 02:00:00,99.02,265.55,,,0.0,54.46,4.64,2.14,,0.0,0.0,,,94.56,0.17,181.45,7.32,753.14,0.0,18.05,0.0
2020-03-03 02:00:00,2020-03-03 03:00:00,99.85,296.35,,,0.0,57.44,4.57,2.07,,0.0,0.0,,,98.62,0.12,115.46,7.54,752.77,0.0,17.43,0.0
2020-03-03 03:00:00,2020-03-03 04:00:00,87.7,247.32,,,0.0,50.66,4.28,1.99,,0.0,0.0,,,98.87,0.1,122.78,7.7,752.56,0.0,17.18,0.0
2020-03-03 04:00:00,2020-03-03 05:00:00,82.98,159.1,,,0.0,55.9,4.2,1.94,,0.0,0.0,,,98.87,0.12,81.65,7.62,752.75,0.0,16.8,0.0
2020-03-03 05:00:00,2020-03-03 06:00:00,69.05,127.76,,,0.0,50.3,4.53,1.83,,0.0,0.0,,,97.34,0.19,177.8,7.58,753.12,0.0,16.95,0.0
2020-03-03 06:00:00,2020-03-03 07:00:00,70.19,181.12,,,0.0,55.77,4.64,1.72,,0.0,0.0,,,97.85,0.12,160.86,30.31,753.5,0.0,16.6,0.0
2020-03-03 07:00:00,2020-03-03 08:00:00,73.91,255.28,,,0.0,52.42,4.91,1.68,,0.0,0.0,,,88.51,0.34,241.44,143.08,753.93,0.0,18.98,0.0
2020-03-03 08:00:00,2020-03-03 09:00:00,76.43,320.7,,,0.0,58.47,5.21,1.54,,0.0,0.0,,,76.58,0.49,271.86,320.85,754.51,0.0,21.67,0.0
2020-03-03 09:00:00,2020-03-03 10:00:00,68.81,210.31,,,0.0,63.8,5.02,1.27,,0.0,0.0,,,67.25,0.51,270.43,500.58,754.71,0.0,23.87,0.0
2020-03-03 10:00:00,2020-03-03 11:00:00,62.96,169.5,,,0.0,66.56,5.21,1.04,,0.0,0.0,,,56.15,0.38,263.95,641.9,754.42,0.0,26.39,0.0
2020-03-03 11:00:00,2020-03-03 12:00:00,55.6,119.35,,,0.0,57.2,5.13,0.87,,0.0,0.0,,,52.17,0.48,249.85,729.63,753.84,0.0,27.43,0.05
2020-03-03 12:00:00,2020-03-03 13:00:00,51.5,75.83,2.6,21.71,14.33,60.12,2.8,0.64,14.86,2.17,11.09,,,46.16,0.96,221.23,733.63,753.05,0.0,27.76,0.0
2020-03-03 13:00:00,2020-03-03 14:00:00,42.28,119.77,2.34,27.14,24.8,114.54,3.79,0.76,20.77,3.14,21.4,,,46.0,0.63,254.44,651.36,752.27,0.0,28.13,0.0
2020-03-03 14:00:00,2020-03-03 15:00:00,39.73,94.73,1.94,23.65,21.7,81.28,3.87,0.59,33.95,3.73,16.49,,,42.65,0.5,267.12,537.94,751.49,0.0,28.42,0.0
2020-03-03 15:00:00,2020-03-03 16:00:00,36.21,115.82,1.59,16.07,14.48,36.63,1.68,0.46,26.43,2.41,9.73,,0.61,42.34,0.7,271.77,375.07,750.98,0.0,28.18,0.0
2020-03-03 16:00:00,2020-03-03 17:00:00,30.77,110.04,1.48,20.26,18.79,91.24,3.93,0.56,13.96,2.52,15.7,,,50.96,0.27,214.59,142.99,751.03,0.0,27.33,0.0
2020-03-03 17:00:00,2020-03-03 18:00:00,29.85,108.86,1.82,24.9,23.08,121.66,6.83,0.63,13.27,1.43,10.16,,,55.13,0.38,279.07,29.3,751.19,0.0,25.78,0.0
2020-03-03 18:00:00,2020-03-03 19:00:00,35.4,115.73,2.72,29.59,26.87,130.08,7.86,0.69,12.69,0.0,0.0,,,71.05,0.13,126.52,7.31,751.42,0.0,23.36,0.0
2020-03-03 19:00:00,2020-03-03 20:00:00,34.91,159.82,6.0,34.18,28.18,125.28,8.88,0.83,11.35,0.0,0.0,,,81.93,0.08,140.62,7.12,752.02,0.0,21.67,0.0
2020-03-03 20:00:00,2020-03-03 21:00:00,55.34,999.99,25.08,56.55,31.47,128.14,9.78,1.13,10.79,0.0,0.0,,,87.32,0.15,104.56,7.08,752.62,0.0,21.05,0.0
2020-03-03 21:00:00,2020-03-03 22:00:00,78.23,561.84,39.28,69.2,29.91,127.11,10.27,1.55,10.94,0.0,0.0,,,91.53,0.17,153.66,7.17,752.89,0.0,20.13,0.0
2020-03-03 22:00:00,2020-03-03 23:00:00,108.89,536.14,62.66,88.9,26.23,73.2,8.84,1.97,8.66,0.0,0.0,,,93.1,0.17,80.06,7.21,752.87,0.0,19.9,0.0
2020-03-03 23:00:00,2020-03-04 00:00:00,106.92,545.84,66.23,91.32,25.09,99.93,8.47,2.14,8.96,0.0,0.0,,,89.36,0.17,153.68,6.95,752.87,0.0,19.64,0.0
2020-03-04 00:00:00,2020-03-04 01:00:00,110.27,973.83,83.68,110.33,26.65,103.78,4.72,2.21,9.78,0.0,0.0,,,91.01,0.22,119.59,7.22,752.59,0.0,18.88,0.0
2020-03-04 01:00:00,2020-03-04 02:00:00,107.09,262.47,79.61,105.02,25.41,109.5,5.46,2.23,10.05,0.0,0.0,,,93.0,0.12,100.0,7.24,752.41,0.0,18.39,0.0
