From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF ()
2020-03-01 00:00:00,2020-03-01 01:00:00,,710.59,251.46,67.94,184.34,58.23,7.03,1.9,,16.27,7.75,5.34,16.8,88.86,0.13,251.65,10.78,754.68,7.23,17.67,
2020-03-01 01:00:00,2020-03-01 02:00:00,,499.74,274.34,66.22,208.12,61.55,7.09,1.73,,11.58,4.77,2.59,9.22,92.21,0.05,156.63,10.75,754.36,3.82,16.88,
2020-03-01 02:00:00,2020-03-01 03:00:00,,385.97,201.05,59.33,141.72,54.09,6.38,1.49,,9.7,4.09,1.91,7.09,92.82,0.1,274.7,10.76,754.12,2.9,16.71,
2020-03-01 03:00:00,2020-03-01 04:00:00,,352.46,145.76,44.26,101.5,48.11,6.37,1.29,,9.04,3.94,2.0,7.01,93.17,0.09,263.66,10.79,753.99,2.83,16.57,
2020-03-01 04:00:00,2020-03-01 05:00:00,,436.84,143.03,44.46,98.53,48.18,6.5,1.27,2.4,8.86,4.78,1.76,5.91,93.3,0.35,315.62,10.78,754.26,2.63,16.5,
2020-03-01 05:00:00,2020-03-01 06:00:00,,434.88,149.35,40.85,108.5,56.73,7.35,1.64,2.15,12.3,4.46,1.88,6.23,94.62,0.09,212.16,10.87,754.62,2.64,16.05,
2020-03-01 06:00:00,2020-03-01 07:00:00,,345.25,192.64,41.16,151.48,58.12,7.25,1.8,,11.28,3.55,2.55,9.67,96.27,0.08,217.28,31.09,755.27,3.94,16.01,
2020-03-01 07:00:00,2020-03-01 08:00:00,,298.02,145.56,56.38,89.17,51.42,6.82,1.72,3.34,11.8,3.52,3.35,12.33,88.07,0.19,268.81,100.27,755.98,5.1,18.09,
2020-03-01 08:00:00,2020-03-01 09:00:00,,297.08,125.44,78.8,46.45,59.06,6.7,1.73,13.44,13.87,5.68,4.05,14.63,77.1,0.76,322.16,280.09,756.57,6.17,20.29,
2020-03-01 09:00:00,2020-03-01 10:00:00,,292.06,87.47,60.5,26.98,57.49,6.83,1.44,41.18,15.36,6.12,5.02,18.52,66.12,0.34,219.47,521.91,756.63,7.67,23.36,
2020-03-01 10:00:00,2020-03-01 11:00:00,,216.86,73.91,50.38,23.54,45.29,6.77,0.96,61.12,8.28,4.99,2.37,9.09,55.99,0.55,271.0,663.06,756.56,2.69,25.34,
2020-03-01 11:00:00,2020-03-01 12:00:00,,168.53,42.46,32.79,9.67,34.35,7.09,0.65,87.28,8.5,6.28,5.33,19.86,49.54,0.32,254.35,720.21,755.9,5.33,26.21,
