From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-26 11:00:00,2021-07-26 12:00:00,20.0,130.0,2.63,42.57,24.77,14.2,1.8,0.54,55.63,0.97,71.13,8.2,,,49.33,0.63,245.0,229.0,,4.67,32.8,0.0
2021-07-26 12:00:00,2021-07-26 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 13:00:00,2021-07-26 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 14:00:00,2021-07-26 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 15:00:00,2021-07-26 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 16:00:00,2021-07-26 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 17:00:00,2021-07-26 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 18:00:00,2021-07-26 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 19:00:00,2021-07-26 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 20:00:00,2021-07-26 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 21:00:00,2021-07-26 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 22:00:00,2021-07-26 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 23:00:00,2021-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 00:00:00,2021-07-27 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 01:00:00,2021-07-27 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 02:00:00,2021-07-27 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 03:00:00,2021-07-27 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 04:00:00,2021-07-27 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 05:00:00,2021-07-27 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 06:00:00,2021-07-27 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 07:00:00,2021-07-27 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 08:00:00,2021-07-27 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 09:00:00,2021-07-27 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 10:00:00,2021-07-27 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 11:00:00,2021-07-27 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 12:00:00,2021-07-27 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 13:00:00,2021-07-27 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 14:00:00,2021-07-27 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 15:00:00,2021-07-27 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 16:00:00,2021-07-27 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 17:00:00,2021-07-27 18:00:00,,,,,,,,,,,,,,,,,,,,,,
