From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-17 16:00:00,2021-07-17 17:00:00,7.0,11.0,2.77,22.83,14.4,46.63,2.1,0.72,14.7,1.8,120.93,9.87,21.4,,,76.0,0.33,270.33,64.67,6.43,30.77,0.0
2021-07-17 17:00:00,2021-07-17 18:00:00,,5.0,1.23,16.2,9.6,43.77,2.55,0.49,16.43,1.27,140.05,10.33,17.1,,31.55,76.25,0.47,252.0,26.5,6.15,30.72,0.0
2021-07-17 18:00:00,2021-07-17 19:00:00,,7.5,0.68,15.8,8.97,37.83,3.1,0.48,10.97,1.4,150.55,12.53,20.7,,31.25,77.25,0.2,159.25,12.0,8.4,30.7,0.0
2021-07-17 19:00:00,2021-07-17 20:00:00,,18.75,0.8,16.8,9.55,42.53,3.27,0.59,8.67,1.48,148.58,16.52,30.65,,31.9,78.0,0.15,265.5,9.75,6.7,30.57,0.0
2021-07-17 20:00:00,2021-07-17 21:00:00,17.0,38.25,4.65,19.35,14.05,27.68,3.08,0.78,6.28,1.75,139.0,17.27,37.3,,30.62,79.5,0.6,159.5,8.5,14.95,30.57,0.0
2021-07-17 21:00:00,2021-07-17 22:00:00,16.25,72.25,3.57,14.85,10.8,25.45,2.73,0.55,6.03,1.65,135.12,15.55,34.38,,30.6,79.25,0.33,178.5,9.5,13.38,30.58,0.0
2021-07-17 22:00:00,2021-07-17 23:00:00,10.0,60.75,3.45,13.55,10.02,23.07,2.65,0.5,5.9,1.45,135.0,15.18,33.35,,30.6,80.0,0.47,163.75,10.0,12.82,30.58,0.0
2021-07-17 23:00:00,2021-07-18 00:00:00,9.75,52.0,2.02,10.02,6.97,22.2,2.6,0.42,8.45,1.35,136.12,15.0,33.0,,30.48,79.0,0.4,163.25,10.0,12.62,30.6,0.0
2021-07-18 00:00:00,2021-07-18 01:00:00,10.25,45.5,0.7,7.35,4.45,21.0,2.58,0.32,8.57,1.07,136.5,14.92,32.7,,30.58,78.5,0.33,143.0,10.0,12.5,30.6,0.0
2021-07-18 01:00:00,2021-07-18 02:00:00,16.0,36.0,0.6,7.7,4.58,19.98,2.48,0.32,10.8,1.08,137.07,14.93,32.58,,30.5,78.0,0.5,102.75,10.0,12.43,30.6,0.0
2021-07-18 02:00:00,2021-07-18 03:00:00,18.0,37.25,0.8,6.25,3.95,19.25,2.48,0.3,11.52,1.0,137.57,15.07,32.95,,30.65,80.25,0.83,161.0,10.5,12.5,30.4,0.0
2021-07-18 03:00:00,2021-07-18 04:00:00,14.25,17.75,0.8,6.03,3.85,17.93,2.25,0.32,11.75,0.9,136.88,15.05,33.03,,30.55,81.25,0.47,154.25,10.0,12.53,30.37,0.0
2021-07-18 04:00:00,2021-07-18 05:00:00,11.25,17.0,1.43,8.6,5.72,17.0,2.47,0.3,10.55,0.9,136.35,14.97,33.08,,30.55,81.0,0.47,149.0,9.75,12.55,30.28,0.0
2021-07-18 05:00:00,2021-07-18 06:00:00,11.0,21.5,1.73,16.02,9.9,15.7,2.92,0.33,8.1,0.9,137.5,15.1,33.12,,30.63,79.5,0.42,134.75,19.5,12.6,30.27,0.0
2021-07-18 06:00:00,2021-07-18 07:00:00,10.25,54.5,2.48,17.88,11.52,15.7,3.03,0.41,11.23,1.23,137.12,15.12,33.78,,30.62,77.5,0.53,144.25,51.0,12.8,30.48,0.0
2021-07-18 07:00:00,2021-07-18 08:00:00,17.0,99.25,2.17,15.98,10.22,14.8,3.2,0.53,10.5,1.32,137.05,15.38,34.8,,30.6,75.75,0.57,121.0,64.75,13.08,30.72,0.0
2021-07-18 08:00:00,2021-07-18 09:00:00,15.0,45.5,2.33,15.65,10.2,14.18,2.8,0.54,11.58,1.4,137.78,15.6,35.67,,30.68,73.0,0.53,105.25,108.5,13.4,30.98,0.0
2021-07-18 09:00:00,2021-07-18 10:00:00,18.25,43.0,1.88,15.68,9.9,37.0,3.5,0.6,15.27,1.45,148.38,15.78,34.93,,31.42,70.0,0.57,84.75,108.25,6.95,31.3,0.0
2021-07-18 10:00:00,2021-07-18 11:00:00,15.75,70.25,2.55,17.77,11.52,54.75,4.62,0.76,13.77,1.48,163.23,18.0,30.9,,31.22,69.0,0.62,114.5,76.25,12.35,31.3,0.0
2021-07-18 11:00:00,2021-07-18 12:00:00,7.75,84.25,1.15,15.25,9.05,57.27,6.05,0.67,11.85,1.73,175.65,22.27,37.07,,30.65,70.25,0.33,52.25,65.25,14.65,31.38,0.0
2021-07-18 12:00:00,2021-07-18 13:00:00,14.25,52.25,0.85,11.22,6.65,41.85,3.33,0.53,13.5,1.52,161.35,22.0,43.9,,25.7,69.25,0.43,56.25,68.5,16.48,31.55,0.0
2021-07-18 13:00:00,2021-07-18 14:00:00,8.5,60.5,3.45,17.98,12.38,37.2,3.43,0.73,10.07,1.55,132.62,22.17,64.67,,25.12,67.75,0.53,129.0,113.0,22.25,31.6,0.0
2021-07-18 14:00:00,2021-07-18 15:00:00,11.5,83.25,2.95,16.85,11.33,34.3,4.55,0.66,13.6,1.7,144.22,31.48,97.55,,25.35,64.0,0.73,135.75,145.75,23.9,31.77,0.0
2021-07-18 15:00:00,2021-07-18 16:00:00,14.5,73.75,2.05,14.0,9.1,78.07,4.0,0.56,13.68,1.52,144.3,28.05,84.65,,25.6,64.0,0.78,153.0,153.25,22.3,31.88,0.0
2021-07-18 16:00:00,2021-07-18 17:00:00,8.5,63.5,2.12,15.35,9.88,111.08,4.08,0.57,13.45,1.48,141.4,26.7,79.88,,25.07,62.25,0.67,155.0,75.75,26.35,31.98,0.0
