From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-08 12:00:00,2021-07-08 13:00:00,5.0,,0.2,9.9,5.4,23.6,0.3,0.41,,,,,,79.0,1.4,216.0,42.0,,29.2,0.0
2021-07-08 13:00:00,2021-07-08 14:00:00,5.0,,0.2,9.9,5.4,23.6,0.3,0.41,,,,,,79.0,1.4,216.0,42.0,,29.2,0.0
2021-07-08 14:00:00,2021-07-08 15:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 15:00:00,2021-07-08 16:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 16:00:00,2021-07-08 17:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 17:00:00,2021-07-08 18:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 18:00:00,2021-07-08 19:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 19:00:00,2021-07-08 20:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 20:00:00,2021-07-08 21:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 21:00:00,2021-07-08 22:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 22:00:00,2021-07-08 23:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-08 23:00:00,2021-07-09 00:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-09 00:00:00,2021-07-09 01:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-09 01:00:00,2021-07-09 02:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-09 02:00:00,2021-07-09 03:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-09 03:00:00,2021-07-09 04:00:00,,,,,,,,,,,,,,,,,,,,
2021-07-09 04:00:00,2021-07-09 05:00:00,,,,,,,,,,,,,,,,,,,,
