From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-22 11:00:00,2021-07-22 12:00:00,,39.33,0.7,11.82,6.88,8.68,2.72,0.47,47.12,0.25,119.77,6.35,16.9,,26.0,0.88,155.75,263.5,8.68,31.95,0.0
2021-07-22 12:00:00,2021-07-22 13:00:00,,37.0,0.68,11.72,6.77,9.45,4.02,0.45,50.12,0.2,129.97,6.6,17.05,,22.25,0.97,151.0,470.0,8.9,32.5,0.0
2021-07-22 13:00:00,2021-07-22 14:00:00,,34.25,0.17,9.45,5.15,9.57,5.0,0.45,62.75,0.2,111.9,6.2,17.0,,21.5,0.98,159.25,390.75,8.55,32.8,0.0
2021-07-22 14:00:00,2021-07-22 15:00:00,,34.0,0.43,8.55,4.88,8.95,4.35,0.44,54.58,0.2,105.22,6.08,16.95,,20.75,1.02,157.75,312.5,8.35,32.9,0.0
2021-07-22 15:00:00,2021-07-22 16:00:00,,33.25,0.45,8.82,5.03,8.1,3.95,0.46,51.8,0.2,85.6,4.92,13.5,,27.75,0.93,155.25,150.25,7.02,32.7,0.0
2021-07-22 16:00:00,2021-07-22 17:00:00,,39.5,0.57,10.32,5.95,8.02,3.58,0.49,43.35,0.2,103.62,5.9,16.1,,47.75,0.8,173.25,86.25,8.6,32.5,0.0
2021-07-22 17:00:00,2021-07-22 18:00:00,,48.0,0.42,12.9,7.2,8.57,2.98,0.54,48.45,0.3,162.0,12.22,36.15,,53.25,0.73,148.25,35.25,17.27,32.2,0.0
2021-07-22 18:00:00,2021-07-22 19:00:00,,68.0,0.4,13.0,7.2,8.3,3.0,0.57,48.5,0.3,129.7,9.2,27.5,,56.0,0.6,133.0,12.0,13.4,32.0,0.0
2021-07-22 19:00:00,2021-07-22 20:00:00,,,,,,,,,,,,,,,,,,,,,
2021-07-22 20:00:00,2021-07-22 21:00:00,,,,,,,,,,,,,,,,,,,,,
2021-07-22 21:00:00,2021-07-22 22:00:00,,,,,,,,,,,,,,,,,,,,,
2021-07-22 22:00:00,2021-07-22 23:00:00,,,,,,,,,,,,,,,,,,,,,
2021-07-22 23:00:00,2021-07-23 00:00:00,,,,,,,,,,,,,,,,,,,,,
2021-07-23 00:00:00,2021-07-23 01:00:00,,,,,,,,,,,,,,,,,,,,,
2021-07-23 01:00:00,2021-07-23 02:00:00,,,,,,,,,,,,,,,,,,,,,
2021-07-23 02:00:00,2021-07-23 03:00:00,,,,,,,,,,,,,,,,,,,,,
2021-07-23 03:00:00,2021-07-23 04:00:00,,,,,,,,,,,,,,,,,,,,,
