From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2022-03-23 16:00:00,2022-03-23 17:00:00,49.33,166.0,0.7,43.63,23.73,20.8,2.57,,8.3,0.1,1.2,0.7,2.0,,10.0,0.7,296.0,23.0,,0.77,0.0,48.57
2022-03-23 17:00:00,2022-03-23 18:00:00,50.75,193.0,0.9,50.47,27.6,20.8,2.6,,5.8,0.1,1.2,0.7,2.0,,16.0,0.35,306.5,11.0,,0.7,0.0,45.83
2022-03-23 18:00:00,2022-03-23 19:00:00,73.0,301.25,1.45,61.5,33.95,20.93,2.65,,4.28,0.17,1.25,0.72,2.0,,21.0,0.2,186.25,7.0,,0.72,0.0,42.62
2022-03-23 19:00:00,2022-03-23 20:00:00,107.75,360.75,3.4,69.17,39.58,21.23,2.78,,2.73,0.2,1.4,0.8,2.05,,26.5,0.32,253.25,6.5,,0.8,0.0,40.27
2022-03-23 20:00:00,2022-03-23 21:00:00,148.0,414.75,5.15,73.92,43.5,21.6,2.8,,2.82,0.2,1.5,0.9,2.1,,29.5,0.53,274.25,7.0,,0.85,0.0,38.73
2022-03-23 21:00:00,2022-03-23 22:00:00,155.0,367.0,4.45,71.0,41.35,21.75,2.8,,2.57,0.2,1.5,0.9,2.1,,35.0,0.22,232.5,6.25,,0.85,0.0,36.58
2022-03-23 22:00:00,2022-03-23 23:00:00,,,26.6,140.0,96.1,23.6,2.93,,1.7,0.23,1.45,0.93,2.15,,40.0,0.2,158.25,6.5,,0.9,0.0,34.55
2022-03-23 23:00:00,2022-03-24 00:00:00,302.5,,34.85,150.1,108.15,27.38,2.93,,0.87,0.3,1.5,1.0,2.2,,42.75,0.2,173.75,7.0,,0.97,0.0,33.35
2022-03-24 00:00:00,2022-03-24 01:00:00,255.0,939.0,40.12,161.82,118.68,28.55,2.93,,1.03,0.22,1.4,1.0,2.2,,49.5,0.2,142.5,7.0,,1.0,0.0,31.7
2022-03-24 01:00:00,2022-03-24 02:00:00,212.25,875.33,38.67,152.25,112.4,28.27,2.93,,1.23,0.2,1.4,0.92,2.12,,46.5,0.4,265.75,7.0,,1.0,0.0,32.02
