From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2022-04-04 16:00:00,2022-04-04 17:00:00,18.33,152.0,0.7,12.27,6.0,82.3,5.33,0.8,,,,,,,,19.33,0.6,172.0,31.33,,,0.0,31.17
2022-04-04 17:00:00,2022-04-04 18:00:00,23.33,159.25,,35.1,17.4,86.2,7.1,0.97,10.18,,,,,,28.1,29.5,0.15,215.67,9.5,,,0.0,29.7
2022-04-04 18:00:00,2022-04-04 19:00:00,173.0,208.0,22.95,123.25,84.2,113.28,59.28,6.39,,,,,,,30.15,48.75,0.2,279.75,5.5,,,0.0,28.0
2022-04-04 19:00:00,2022-04-04 20:00:00,451.33,,58.38,141.07,122.5,143.65,52.8,8.78,,,,,,,33.18,56.75,0.23,262.5,5.75,,,0.0,27.23
2022-04-04 20:00:00,2022-04-04 21:00:00,398.0,799.0,75.03,134.62,132.62,143.87,37.3,6.09,,,,,,,33.55,60.5,0.12,207.75,6.0,,,0.0,26.55
2022-04-04 21:00:00,2022-04-04 22:00:00,300.33,730.25,,,,,,,,,,,,,33.57,65.0,0.2,229.75,6.0,,,0.0,26.35
2022-04-04 22:00:00,2022-04-04 23:00:00,278.0,659.25,37.1,107.85,67.55,129.93,18.1,3.93,3.8,,,,,,31.17,66.0,0.38,234.25,6.75,,,0.0,26.1
2022-04-04 23:00:00,2022-04-05 00:00:00,219.0,526.5,,73.45,24.62,104.28,15.5,2.1,3.15,,,,,,28.8,60.0,1.1,317.75,6.5,,,0.0,26.2
2022-04-05 00:00:00,2022-04-05 01:00:00,157.5,296.0,,61.32,16.35,88.83,6.47,0.46,3.15,,,,,,28.77,86.0,1.23,311.75,6.0,,,0.0,25.78
2022-04-05 01:00:00,2022-04-05 02:00:00,88.0,236.0,,52.9,12.53,80.6,3.12,,3.5,,,,,,28.88,96.25,0.6,220.25,6.75,,,0.0,25.52
2022-04-05 02:00:00,2022-04-05 03:00:00,72.75,180.5,,51.3,12.05,79.08,2.12,,1.95,,,,,,30.6,,1.0,301.25,6.75,,,0.0,25.35
2022-04-05 03:00:00,2022-04-05 04:00:00,57.0,141.25,,69.95,21.82,80.12,2.25,,1.13,,,,,,33.4,,0.53,290.25,6.5,,,0.0,25.18
2022-04-05 04:00:00,2022-04-05 05:00:00,43.25,102.5,,76.38,25.25,74.22,1.95,,2.23,,,,,,33.55,,1.0,287.0,5.75,,,0.0,25.02
2022-04-05 05:00:00,2022-04-05 06:00:00,43.75,117.75,,71.45,23.25,71.35,1.83,,2.65,,,,,,33.62,,1.03,274.75,8.75,,,0.0,25.1
2022-04-05 06:00:00,2022-04-05 07:00:00,55.5,166.75,,58.47,15.95,68.25,1.75,0.67,2.6,,,,,,31.28,,0.95,258.5,24.75,,,0.0,25.2
2022-04-05 07:00:00,2022-04-05 08:00:00,45.0,157.75,,44.88,9.7,60.07,2.1,0.56,3.23,,,,,,28.8,94.0,0.95,277.75,68.5,,,0.0,25.67
2022-04-05 08:00:00,2022-04-05 09:00:00,60.75,155.75,,30.17,0.9,57.53,4.2,0.4,8.2,,,,,,28.3,82.0,1.1,265.25,122.25,,,0.0,26.95
2022-04-05 09:00:00,2022-04-05 10:00:00,58.67,151.25,,22.95,,66.5,4.75,0.32,6.12,,,,,,28.23,68.5,0.88,272.75,169.0,,,0.0,28.2
