From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2021-09-22 15:00:00,2021-09-22 16:00:00,19.41,73.63,6.24,,21.96,8.03,2.2,65.71,0.1,174.16,105.61,980.0,33.41,0.0
2021-09-22 16:00:00,2021-09-22 17:00:00,23.09,70.54,5.92,14.67,20.75,8.16,2.12,74.45,0.14,201.82,41.19,972.95,34.13,0.0
2021-09-22 17:00:00,2021-09-22 18:00:00,21.2,64.23,5.75,14.92,20.68,8.11,1.75,77.66,0.15,215.23,29.43,973.1,34.16,0.0
2021-09-22 18:00:00,2021-09-22 19:00:00,19.81,74.94,5.47,13.82,19.29,9.56,1.33,80.19,0.15,237.15,19.17,970.77,34.1,0.0
2021-09-22 19:00:00,2021-09-22 20:00:00,21.16,88.91,5.44,13.75,19.19,9.47,1.6,82.39,0.14,196.59,19.25,972.02,32.78,0.0
2021-09-22 20:00:00,2021-09-22 21:00:00,21.94,80.51,5.4,13.55,18.96,9.44,1.62,86.76,0.14,176.45,19.19,971.47,33.21,0.0
2021-09-22 21:00:00,2021-09-22 22:00:00,21.59,80.36,5.35,13.68,19.03,9.85,1.37,83.73,0.15,169.69,18.12,970.65,33.99,0.0
2021-09-22 22:00:00,2021-09-22 23:00:00,22.05,60.01,5.2,13.75,18.95,8.96,1.3,86.21,0.15,155.75,18.91,971.73,33.79,0.0
2021-09-22 23:00:00,2021-09-23 00:00:00,22.34,48.05,5.44,13.51,18.95,9.13,1.37,88.37,0.15,159.3,19.22,971.83,33.45,0.0
2021-09-23 00:00:00,2021-09-23 01:00:00,23.83,56.32,5.31,13.29,18.6,9.12,1.68,91.31,0.14,155.49,19.19,972.55,32.59,0.0
2021-09-23 01:00:00,2021-09-23 02:00:00,26.02,59.48,5.25,13.88,19.13,9.8,1.58,85.47,0.12,97.88,19.21,970.17,34.59,0.0
2021-09-23 02:00:00,2021-09-23 03:00:00,24.59,42.88,5.32,13.59,18.91,9.94,1.48,89.31,0.09,129.17,19.35,971.85,33.74,0.0
2021-09-23 03:00:00,2021-09-23 04:00:00,22.28,27.52,5.3,13.84,19.14,10.14,1.42,92.33,0.12,161.24,19.72,971.77,33.74,0.0
2021-09-23 04:00:00,2021-09-23 05:00:00,22.45,27.18,5.4,13.54,18.94,9.04,1.65,92.44,0.13,306.73,20.87,973.5,32.69,0.0
2021-09-23 05:00:00,2021-09-23 06:00:00,23.83,28.11,5.54,13.42,18.96,9.32,1.57,92.45,0.11,190.04,19.69,972.47,33.08,0.0
2021-09-23 06:00:00,2021-09-23 07:00:00,23.89,27.0,5.33,13.43,18.76,10.1,1.68,92.44,0.12,140.77,41.04,974.68,32.8,0.0
2021-09-23 07:00:00,2021-09-23 08:00:00,,,5.38,14.03,19.41,11.22,1.55,92.48,0.14,102.0,121.7,981.32,35.7,0.0
2021-09-23 08:00:00,2021-09-23 09:00:00,20.24,27.42,5.25,13.94,19.2,8.58,1.8,88.52,0.1,118.89,225.11,991.22,35.09,0.0
2021-09-23 09:00:00,2021-09-23 10:00:00,19.86,39.47,6.32,14.95,21.26,8.47,1.7,84.0,0.09,124.97,270.99,992.33,34.77,0.0
2021-09-23 10:00:00,2021-09-23 11:00:00,19.63,41.24,6.27,15.5,21.77,8.52,1.98,80.53,0.07,65.66,357.94,,34.2,0.0
