From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Xylene (ug/m3)
2021-11-16 15:00:00,2021-11-16 16:00:00,,58.0,,,,,14.49,0.35,,,,,,,
2021-11-16 16:00:00,2021-11-16 17:00:00,,58.77,,,,,13.27,0.38,,,,,,,
2021-11-16 17:00:00,2021-11-16 18:00:00,,59.45,,,,,11.96,0.55,,,,,,,
2021-11-16 18:00:00,2021-11-16 19:00:00,,71.3,,,,,11.38,0.83,,,,,,,
2021-11-16 19:00:00,2021-11-16 20:00:00,,89.3,,,,,10.9,0.85,,,,,,,
2021-11-16 20:00:00,2021-11-16 21:00:00,,96.22,,,,,11.23,1.08,,,,,,,
2021-11-16 21:00:00,2021-11-16 22:00:00,,102.93,,,,,14.66,1.45,,,,,,,
2021-11-16 22:00:00,2021-11-16 23:00:00,,102.15,,,,,21.33,2.09,,,,,,,
2021-11-16 23:00:00,2021-11-17 00:00:00,,98.73,,,,,30.63,1.78,,,,,,,
2021-11-17 00:00:00,2021-11-17 01:00:00,,88.0,,,,,55.13,0.8,,,,,,,
2021-11-17 01:00:00,2021-11-17 02:00:00,,77.67,,,,,74.67,0.14,,,,,,,
2021-11-17 02:00:00,2021-11-17 03:00:00,,69.85,,,,,,0.12,,,,,,,
2021-11-17 03:00:00,2021-11-17 04:00:00,,68.2,,,,,,0.03,,,,,,,
2021-11-17 04:00:00,2021-11-17 05:00:00,,71.67,,,,,79.21,0.0,,,,,,,
2021-11-17 05:00:00,2021-11-17 06:00:00,,72.5,,,,,73.99,0.0,,,,,,,
2021-11-17 06:00:00,2021-11-17 07:00:00,,71.0,,,,,69.74,0.0,,,,,,,
2021-11-17 07:00:00,2021-11-17 08:00:00,,71.38,,,,,58.19,0.0,,,,,,,
2021-11-17 08:00:00,2021-11-17 09:00:00,,70.07,,,,,49.07,0.0,,,,,,,
2021-11-17 09:00:00,2021-11-17 10:00:00,,70.75,,,,,41.32,0.0,,,,,,,
2021-11-17 10:00:00,2021-11-17 11:00:00,,70.95,,,,,35.8,0.0,,,,,,,
2021-11-17 11:00:00,2021-11-17 12:00:00,,69.03,,,,,32.74,0.0,,,,,,,
2021-11-17 12:00:00,2021-11-17 13:00:00,,65.52,,,,,30.89,0.0,,,,,,,
2021-11-17 13:00:00,2021-11-17 14:00:00,,61.4,10.71,20.17,30.89,1.81,29.2,0.0,,,,,,,
2021-11-17 14:00:00,2021-11-17 15:00:00,,,,,,,,,,,,,,,
2021-11-17 15:00:00,2021-11-17 16:00:00,,58.1,10.94,19.94,30.86,1.97,15.73,0.43,,,,,,,
2021-11-17 16:00:00,2021-11-17 17:00:00,,46.4,11.0,19.99,30.99,2.04,11.36,0.36,,,,,,,
2021-11-17 17:00:00,2021-11-17 18:00:00,,47.8,10.84,20.25,31.09,1.93,8.57,0.64,,,,,,,
2021-11-17 18:00:00,2021-11-17 19:00:00,,50.7,10.88,19.73,30.61,2.01,7.0,0.9,,,,,,,
2021-11-17 19:00:00,2021-11-17 20:00:00,,73.1,11.02,20.05,31.06,2.02,6.68,1.3,,,,,,,
2021-11-17 20:00:00,2021-11-17 21:00:00,,77.6,10.92,19.97,30.94,2.06,7.41,1.43,,,,,,,
2021-11-17 21:00:00,2021-11-17 22:00:00,,79.92,11.31,20.52,31.83,2.07,12.44,1.68,,,,,,,
2021-11-17 22:00:00,2021-11-17 23:00:00,,,,,,,,,,,,,,,
2021-11-17 23:00:00,2021-11-18 00:00:00,,77.2,10.97,20.02,31.0,1.91,41.8,1.42,,,,,,,
2021-11-18 00:00:00,2021-11-18 01:00:00,,,,,30.4,,,,,,,,,,
2021-11-18 01:00:00,2021-11-18 02:00:00,,83.03,10.85,19.98,30.84,1.74,,2.19,,,,,,,
2021-11-18 02:00:00,2021-11-18 03:00:00,,,,,30.82,,,,,,,,,,
2021-11-18 03:00:00,2021-11-18 04:00:00,,79.5,10.77,20.14,30.57,1.86,,1.7,,,,,,,
2021-11-18 04:00:00,2021-11-18 05:00:00,,72.9,10.9,19.86,30.8,1.81,,0.67,,,,,,,
2021-11-18 05:00:00,2021-11-18 06:00:00,,62.13,10.82,19.94,30.78,1.79,,0.31,,,,,,,
2021-11-18 06:00:00,2021-11-18 07:00:00,,63.3,10.74,19.83,30.69,1.91,,0.27,,,,,,,
2021-11-18 07:00:00,2021-11-18 08:00:00,,65.77,10.8,19.78,30.52,1.9,,0.33,,,,,,,
2021-11-18 08:00:00,2021-11-18 09:00:00,,67.1,11.06,20.12,31.58,1.97,,0.31,,,,,,,
2021-11-18 09:00:00,2021-11-18 10:00:00,,,,,30.87,,,,,,,,,,
