From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),RF (m/s),AT (degree C)
2023-01-20 15:00:00,2023-01-20 16:00:00,34.09,73.01,2.88,22.86,16.64,17.01,37.87,0.64,114.93,1.69,42.49,0.98,348.67,185.83,0.0,28.77
2023-01-20 16:00:00,2023-01-20 17:00:00,32.2,61.8,2.76,21.65,15.91,17.83,29.69,0.6,104.8,1.5,43.74,0.7,322.14,112.17,0.0,28.42
2023-01-20 17:00:00,2023-01-20 18:00:00,30.68,65.27,3.24,36.87,24.25,14.78,17.29,0.69,33.23,1.9,60.95,0.3,124.39,40.62,0.0,25.2
2023-01-20 18:00:00,2023-01-20 19:00:00,33.91,126.2,4.34,57.7,36.01,11.03,22.47,0.93,13.97,2.65,68.78,0.41,167.71,33.07,0.0,22.91
2023-01-20 19:00:00,2023-01-20 20:00:00,47.39,241.05,9.36,61.34,41.94,11.57,14.53,0.95,6.45,4.23,78.49,0.57,110.81,34.35,0.0,21.12
2023-01-20 20:00:00,2023-01-20 21:00:00,56.09,272.99,8.24,54.98,37.73,14.32,8.83,0.9,8.79,3.58,82.05,0.52,110.77,33.38,0.0,20.39
2023-01-20 21:00:00,2023-01-20 22:00:00,55.83,257.44,10.84,51.7,38.09,14.73,6.9,0.89,4.76,3.96,86.18,0.35,102.48,33.55,0.0,19.51
2023-01-20 22:00:00,2023-01-20 23:00:00,58.23,254.83,10.29,43.15,33.18,16.3,5.3,0.92,3.51,4.1,89.67,0.23,69.15,33.6,0.0,18.8
2023-01-20 23:00:00,2023-01-21 00:00:00,55.07,171.68,13.63,45.95,37.32,18.22,5.66,0.95,6.83,3.93,90.63,0.5,118.27,33.35,0.0,18.8
2023-01-21 00:00:00,2023-01-21 01:00:00,52.11,136.47,9.43,42.41,32.11,19.48,6.83,0.99,7.2,5.76,92.07,0.45,97.59,33.55,0.0,18.26
2023-01-21 01:00:00,2023-01-21 02:00:00,50.16,107.23,11.3,35.09,29.79,18.89,6.43,1.02,4.4,6.2,93.8,0.13,271.79,33.98,0.0,17.47
2023-01-21 02:00:00,2023-01-21 03:00:00,47.11,85.07,12.08,31.78,28.68,19.5,5.55,1.0,2.4,6.22,95.1,0.21,124.35,33.67,0.0,16.64
2023-01-21 03:00:00,2023-01-21 04:00:00,44.43,83.25,12.12,31.23,28.42,20.33,5.31,1.0,4.19,6.16,95.64,0.29,100.23,33.62,0.0,16.28
2023-01-21 04:00:00,2023-01-21 05:00:00,43.81,100.47,13.7,36.93,32.66,19.64,5.7,1.04,6.79,5.84,95.55,0.48,101.17,33.52,0.0,16.4
2023-01-21 05:00:00,2023-01-21 06:00:00,45.58,134.59,15.21,31.39,30.99,19.9,5.1,1.03,2.79,5.79,95.56,0.2,167.27,34.0,0.0,15.5
2023-01-21 06:00:00,2023-01-21 07:00:00,43.58,121.29,18.71,27.49,31.75,20.55,4.82,1.05,2.36,6.38,96.01,0.24,150.89,38.85,0.0,15.05
2023-01-21 07:00:00,2023-01-21 08:00:00,42.28,102.25,16.02,32.82,32.38,20.74,5.08,1.07,4.04,6.17,96.06,0.35,69.22,82.17,0.05,16.35
