From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2023-01-17 16:00:00,2023-01-17 17:00:00,39.28,104.02,3.28,78.9,45.29,16.75,,1.09,73.02,0.51,51.31,0.35,135.82,48.98,32.86,0.0
2023-01-17 17:00:00,2023-01-17 18:00:00,34.92,104.57,10.18,122.68,73.69,11.12,,1.24,32.7,0.85,61.72,0.17,86.24,35.9,29.95,0.0
2023-01-17 18:00:00,2023-01-17 19:00:00,38.26,115.92,6.59,100.8,59.38,11.88,54.1,1.18,35.52,2.14,71.3,0.18,170.78,34.72,27.32,0.0
2023-01-17 19:00:00,2023-01-17 20:00:00,36.75,120.53,3.06,60.37,35.43,20.04,57.22,1.11,34.38,2.16,80.19,0.32,163.48,34.6,25.94,0.0
2023-01-17 20:00:00,2023-01-17 21:00:00,46.86,121.39,4.48,64.05,38.49,19.43,53.66,1.42,21.48,3.27,81.64,0.36,100.14,34.65,25.38,0.0
2023-01-17 21:00:00,2023-01-17 22:00:00,42.49,120.03,4.17,57.39,34.76,20.7,43.06,1.23,20.8,3.73,83.66,0.28,97.22,34.47,24.67,0.0
2023-01-17 22:00:00,2023-01-17 23:00:00,27.38,106.11,6.58,55.98,35.96,18.91,23.34,1.15,18.51,2.45,86.57,0.17,220.38,34.52,23.86,0.0
2023-01-17 23:00:00,2023-01-18 00:00:00,18.51,94.55,4.13,42.41,26.91,21.88,17.87,1.16,17.09,2.41,90.73,0.22,233.94,34.4,23.05,0.0
2023-01-18 00:00:00,2023-01-18 01:00:00,23.14,94.84,13.95,65.74,46.96,17.03,20.07,1.22,5.99,2.7,92.83,0.21,167.44,34.48,22.37,0.0
2023-01-18 01:00:00,2023-01-18 02:00:00,29.89,103.21,12.94,64.25,45.37,16.72,12.63,1.29,5.73,3.03,93.71,0.18,160.72,34.35,22.28,0.0
2023-01-18 02:00:00,2023-01-18 03:00:00,39.2,123.06,11.88,53.26,38.79,18.43,7.55,1.3,5.67,3.2,93.21,0.21,180.34,34.42,23.68,0.0
2023-01-18 03:00:00,2023-01-18 04:00:00,46.8,133.75,4.68,48.62,30.59,21.2,5.32,1.31,6.82,0.88,94.73,0.18,178.68,34.4,23.67,0.0
2023-01-18 04:00:00,2023-01-18 05:00:00,53.65,124.52,18.75,58.56,47.06,17.76,4.16,1.32,5.55,0.1,95.6,0.3,108.41,34.35,22.99,0.0
2023-01-18 05:00:00,2023-01-18 06:00:00,63.36,129.22,28.81,57.54,54.61,16.09,2.1,1.32,4.8,0.11,95.84,0.21,129.33,34.32,22.79,0.0
2023-01-18 06:00:00,2023-01-18 07:00:00,51.48,136.68,38.6,68.34,68.09,13.57,11.58,1.35,4.74,0.1,95.78,0.14,197.11,35.33,23.71,0.0
2023-01-18 07:00:00,2023-01-18 08:00:00,55.19,147.15,23.12,57.02,49.77,19.0,11.67,1.24,6.26,0.1,92.99,0.2,305.66,45.23,21.8,0.0
2023-01-18 08:00:00,2023-01-18 09:00:00,63.75,140.29,7.59,42.68,29.82,25.25,15.14,1.22,16.61,0.1,84.49,0.32,161.96,61.83,23.52,0.0
2023-01-18 09:00:00,2023-01-18 10:00:00,51.44,119.68,3.4,27.38,18.47,25.74,35.2,1.21,50.15,0.98,68.2,0.31,91.66,73.52,27.53,0.0
2023-01-18 10:00:00,2023-01-18 11:00:00,40.29,106.06,2.87,23.42,15.96,23.39,56.31,1.23,64.56,3.54,62.41,0.4,105.51,90.38,31.15,0.0
2023-01-18 11:00:00,2023-01-18 12:00:00,40.64,100.26,3.21,37.17,23.42,22.79,,1.47,71.22,3.68,59.63,0.37,134.67,97.45,32.54,0.0
2023-01-18 12:00:00,2023-01-18 13:00:00,39.58,102.11,3.44,44.89,27.64,22.02,16.32,1.24,73.16,2.59,58.38,0.34,128.75,98.93,34.66,0.0
2023-01-18 13:00:00,2023-01-18 14:00:00,36.58,93.03,4.87,78.22,46.2,17.7,144.17,1.12,63.85,1.29,56.19,0.36,163.76,112.22,33.95,0.0
2023-01-18 14:00:00,2023-01-18 15:00:00,22.27,88.4,9.8,149.0,87.14,7.26,,1.1,47.59,0.53,54.96,0.35,244.61,75.93,34.57,0.0
2023-01-18 15:00:00,2023-01-18 16:00:00,17.67,87.97,3.85,83.48,48.14,17.83,,1.1,71.66,0.72,53.29,0.42,193.12,77.28,30.79,0.0
2023-01-18 16:00:00,2023-01-18 17:00:00,30.41,88.11,3.82,83.51,48.13,18.72,,0.99,70.66,0.67,54.49,0.42,93.99,50.02,30.19,0.0
2023-01-18 17:00:00,2023-01-18 18:00:00,25.51,88.86,3.17,64.11,37.47,20.8,,1.02,56.98,0.83,64.98,0.22,74.91,36.0,27.74,0.0
2023-01-18 18:00:00,2023-01-18 19:00:00,30.38,91.25,3.06,67.14,38.95,19.25,71.85,1.12,47.93,1.63,76.36,0.35,99.96,34.55,25.67,0.0
2023-01-18 19:00:00,2023-01-18 20:00:00,29.47,96.02,6.45,84.28,50.64,17.04,62.52,1.34,21.6,2.89,82.53,0.29,102.43,34.52,26.62,0.0
2023-01-18 20:00:00,2023-01-18 21:00:00,39.82,109.33,4.83,68.41,41.05,20.48,40.0,1.31,18.45,3.26,88.95,0.23,55.73,34.27,24.21,0.0
2023-01-18 21:00:00,2023-01-18 22:00:00,38.42,111.95,10.99,78.28,51.14,17.82,22.74,1.24,10.89,3.72,90.08,0.13,64.88,34.25,25.13,0.0
2023-01-18 22:00:00,2023-01-18 23:00:00,39.48,113.24,19.45,76.79,57.15,15.21,9.71,1.21,8.71,2.45,91.65,0.15,255.01,34.3,24.41,0.0
2023-01-18 23:00:00,2023-01-19 00:00:00,39.28,126.22,8.56,56.37,37.75,21.89,6.5,1.16,14.82,2.32,94.11,0.12,269.73,34.32,22.25,0.0
2023-01-19 00:00:00,2023-01-19 01:00:00,43.46,113.64,13.24,62.55,44.73,19.37,15.09,1.18,6.6,2.42,94.84,0.18,210.29,34.4,21.77,0.0
2023-01-19 01:00:00,2023-01-19 02:00:00,44.58,124.75,16.72,61.11,46.77,19.65,10.28,1.47,5.37,1.38,95.78,0.18,254.79,34.42,20.92,0.0
2023-01-19 02:00:00,2023-01-19 03:00:00,51.48,131.98,18.96,63.0,49.55,17.85,5.03,1.76,6.19,0.1,95.67,0.17,151.51,34.27,22.16,0.0
