From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (%),WS (m/s),WD (degree),SR (ug/m3),RF (mm),AT (degree C)
2023-01-13 17:00:00,2023-01-13 18:00:00,39.31,104.97,2.56,24.01,16.03,17.52,40.31,0.69,91.36,0.69,66.26,0.43,16.48,29.4,0.0,23.17
2023-01-13 18:00:00,2023-01-13 19:00:00,41.66,113.06,12.0,58.53,45.78,17.58,31.52,1.3,31.6,0.74,78.6,0.48,112.12,23.35,0.0,20.43
2023-01-13 19:00:00,2023-01-13 20:00:00,57.11,315.72,5.42,52.55,33.23,17.74,26.09,1.36,17.0,0.83,86.22,0.17,84.6,23.1,0.0,18.47
2023-01-13 20:00:00,2023-01-13 21:00:00,60.06,205.38,3.92,37.14,23.98,17.65,13.21,1.1,17.07,0.78,91.4,0.14,58.08,23.02,0.0,17.09
2023-01-13 21:00:00,2023-01-13 22:00:00,57.05,110.87,2.9,18.99,13.68,17.38,11.65,0.89,28.3,0.71,92.9,0.13,140.88,23.0,0.0,16.13
2023-01-13 22:00:00,2023-01-13 23:00:00,54.19,79.29,2.65,17.43,12.66,17.12,11.1,0.85,33.8,0.72,93.97,0.17,61.65,22.9,0.0,15.55
2023-01-13 23:00:00,2023-01-14 00:00:00,49.04,74.06,2.75,11.9,9.85,16.99,10.99,0.79,25.78,0.69,95.64,0.15,88.9,22.85,0.0,14.9
2023-01-14 00:00:00,2023-01-14 01:00:00,39.93,70.62,3.99,11.1,10.43,16.91,9.64,0.74,17.51,0.69,96.96,0.12,145.2,22.88,0.0,14.39
2023-01-14 01:00:00,2023-01-14 02:00:00,38.11,68.26,2.8,9.96,8.88,16.84,8.8,0.75,13.67,0.7,97.68,0.14,168.94,22.9,0.0,13.99
2023-01-14 02:00:00,2023-01-14 03:00:00,38.96,59.53,2.61,9.3,8.38,16.86,8.52,0.81,19.46,0.71,99.47,0.18,183.52,22.8,0.0,13.89
2023-01-14 03:00:00,2023-01-14 04:00:00,38.04,63.16,2.73,8.4,8.0,16.85,7.86,0.84,10.98,0.71,99.57,0.24,143.62,22.98,0.0,13.35
2023-01-14 04:00:00,2023-01-14 05:00:00,29.52,43.47,2.76,9.57,8.65,16.82,8.79,0.85,12.0,0.71,,0.17,151.03,22.77,0.0,13.09
2023-01-14 05:00:00,2023-01-14 06:00:00,36.17,50.91,11.23,15.09,18.33,16.88,8.7,0.91,9.15,0.71,99.79,0.28,34.8,22.98,0.0,13.04
2023-01-14 06:00:00,2023-01-14 07:00:00,40.8,117.11,20.63,18.71,27.75,17.78,7.85,1.09,2.3,0.77,99.69,0.24,66.93,28.77,0.0,12.69
