From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2021-08-06 17:00:00,2021-08-06 18:00:00,54.5,111.25,2.58,64.6,36.45,34.35,9.3,0.61,89.03,0.55,4.8,1.1,1.55,,67.5,0.6,187.25,64.75,3.3,31.0,0.0
2021-08-06 18:00:00,2021-08-06 19:00:00,,,,,,,,,,,,,,,,,,,,,
2021-08-06 19:00:00,2021-08-06 20:00:00,,,,,,,,,,,,,,,,,,,,,
2021-08-06 20:00:00,2021-08-06 21:00:00,,,,,,,,,,,,,,,,,,,,,
2021-08-06 21:00:00,2021-08-06 22:00:00,239.67,276.67,12.27,101.43,63.9,19.83,2.2,1.09,11.83,2.0,23.97,5.27,8.57,,80.67,0.23,59.33,10.0,6.53,29.5,0.0
2021-08-06 22:00:00,2021-08-06 23:00:00,151.0,187.0,6.43,80.17,47.9,14.2,1.47,0.92,17.07,1.35,14.12,3.77,6.1,,82.75,0.2,248.75,10.0,5.0,29.3,0.0
2021-08-06 23:00:00,2021-08-07 00:00:00,,,7.53,80.45,48.88,17.08,0.7,0.94,8.03,1.47,18.9,4.9,6.38,,84.0,0.17,251.5,9.75,5.03,29.15,0.0
2021-08-07 00:00:00,2021-08-07 01:00:00,67.0,123.0,3.9,68.85,39.8,30.17,16.62,0.69,13.27,1.23,13.4,3.58,5.38,,81.5,0.22,206.5,10.0,4.88,29.1,0.0
2021-08-07 01:00:00,2021-08-07 02:00:00,59.25,119.75,4.53,68.0,39.87,26.8,10.13,0.66,21.45,0.97,12.0,3.53,4.7,,83.5,0.18,157.0,10.0,4.45,28.98,0.0
2021-08-07 02:00:00,2021-08-07 03:00:00,63.0,117.75,2.8,51.5,29.7,21.8,5.1,0.49,14.85,0.87,9.82,2.98,4.08,,84.25,0.25,62.75,10.0,4.12,28.92,0.0
2021-08-07 03:00:00,2021-08-07 04:00:00,54.5,103.0,1.8,46.0,25.9,22.08,4.6,0.4,20.35,0.6,7.03,2.6,3.3,,80.25,0.47,96.5,10.0,3.58,28.95,0.0
2021-08-07 04:00:00,2021-08-07 05:00:00,36.0,67.75,1.27,39.83,22.23,17.93,3.52,0.34,27.27,0.33,3.4,0.95,1.45,,76.75,0.72,116.75,9.5,2.55,28.98,0.0
2021-08-07 05:00:00,2021-08-07 06:00:00,33.25,54.5,1.4,37.85,21.27,17.45,1.98,0.36,26.2,0.2,2.45,0.57,1.0,,75.25,0.68,112.0,11.5,2.35,28.95,0.0
2021-08-07 06:00:00,2021-08-07 07:00:00,25.5,51.75,5.58,49.05,30.67,16.55,3.1,0.45,20.6,0.33,2.95,0.73,1.33,,76.0,0.55,128.0,21.75,2.62,29.08,0.0
2021-08-07 07:00:00,2021-08-07 08:00:00,42.5,71.25,4.42,49.23,29.8,17.07,7.32,0.59,29.83,0.57,3.8,0.82,1.55,,76.5,0.9,150.5,54.5,2.78,29.25,0.0
2021-08-07 08:00:00,2021-08-07 09:00:00,51.25,92.0,4.55,56.42,33.7,19.8,8.55,0.63,43.42,0.9,4.47,1.2,2.3,,75.25,1.05,152.5,128.75,3.33,29.9,0.0
2021-08-07 09:00:00,2021-08-07 10:00:00,49.5,105.5,4.55,50.83,30.7,18.98,8.22,0.59,72.53,0.75,4.17,1.12,1.92,,70.75,1.28,158.75,251.75,3.12,30.55,0.0
2021-08-07 10:00:00,2021-08-07 11:00:00,46.0,94.25,1.45,47.62,26.5,20.05,12.77,0.58,93.12,0.78,4.53,1.15,1.7,,67.0,1.1,167.5,371.25,2.65,31.05,0.0
2021-08-07 11:00:00,2021-08-07 12:00:00,57.5,123.25,1.45,49.83,27.68,22.32,17.77,0.55,98.97,0.68,4.72,1.3,1.73,,65.0,0.95,169.75,287.5,2.47,31.32,0.0
2021-08-07 12:00:00,2021-08-07 13:00:00,57.25,118.5,0.98,50.23,27.5,16.22,5.92,0.56,97.57,0.95,4.58,1.18,1.65,,68.75,0.55,251.5,102.25,2.28,30.95,0.0
2021-08-07 13:00:00,2021-08-07 14:00:00,81.5,128.75,4.42,59.83,35.4,12.93,0.25,0.59,79.78,0.98,6.28,2.05,2.55,,73.75,0.53,274.75,158.0,2.72,30.58,0.0
2021-08-07 14:00:00,2021-08-07 15:00:00,111.5,162.5,3.85,55.95,32.9,10.85,0.1,0.58,80.1,0.65,10.22,1.38,2.08,,68.75,0.78,193.0,130.0,2.75,30.62,0.0
2021-08-07 15:00:00,2021-08-07 16:00:00,85.25,100.75,7.85,64.12,40.5,10.6,0.1,0.63,46.95,0.72,27.25,2.85,4.47,,69.25,0.75,87.25,95.75,5.25,29.8,0.0
2021-08-07 16:00:00,2021-08-07 17:00:00,47.0,53.75,6.55,67.65,41.33,46.17,2.12,0.64,40.0,0.93,15.82,2.62,4.22,,70.75,0.7,91.25,79.75,4.42,29.85,0.0
2021-08-07 17:00:00,2021-08-07 18:00:00,,57.25,14.2,80.45,54.35,24.17,3.65,0.78,34.1,1.02,145.45,10.72,16.7,,70.75,0.38,59.25,46.0,24.03,30.15,0.0
2021-08-07 18:00:00,2021-08-07 19:00:00,,72.0,,,,,,,35.2,1.1,51.1,4.05,6.83,,73.0,0.2,170.75,17.25,6.38,30.05,0.0
2021-08-07 19:00:00,2021-08-07 20:00:00,,,25.17,77.4,61.6,15.15,3.77,1.03,14.27,1.65,21.82,5.0,7.68,,75.25,0.27,144.25,10.0,5.35,29.88,0.0
2021-08-07 20:00:00,2021-08-07 21:00:00,37.25,79.5,29.25,71.15,61.65,16.03,2.42,1.1,18.27,1.7,22.73,4.55,8.02,,77.5,0.4,96.0,10.0,5.95,29.65,0.0
2021-08-07 21:00:00,2021-08-07 22:00:00,59.25,99.5,16.35,59.38,44.9,12.9,1.7,0.88,14.43,1.38,13.57,3.7,6.35,,78.25,0.43,90.75,9.75,5.15,29.55,0.0
2021-08-07 22:00:00,2021-08-07 23:00:00,42.75,87.5,7.17,48.67,31.75,17.05,1.77,0.65,15.97,0.85,10.12,2.6,4.2,,77.0,1.03,138.0,10.0,3.82,29.42,0.0
2021-08-07 23:00:00,2021-08-08 00:00:00,35.25,61.5,5.47,45.35,28.55,17.4,1.37,0.55,15.73,0.47,5.8,1.55,2.6,,78.25,0.45,89.0,9.5,3.22,29.23,0.0
2021-08-08 00:00:00,2021-08-08 01:00:00,20.0,55.25,5.57,50.0,31.15,25.2,1.57,0.5,6.03,0.43,5.47,1.18,2.3,,79.0,0.28,140.0,9.75,3.25,29.07,0.0
2021-08-08 01:00:00,2021-08-08 02:00:00,12.25,50.5,4.47,50.27,30.37,24.1,1.93,0.46,31.85,0.4,5.3,1.43,2.25,,77.25,0.6,141.5,10.0,3.2,29.25,0.0
2021-08-08 02:00:00,2021-08-08 03:00:00,17.5,40.75,1.7,40.4,22.9,19.7,3.5,0.4,24.7,0.3,3.85,0.9,1.62,,79.25,0.53,130.0,10.0,2.72,29.15,0.0
2021-08-08 03:00:00,2021-08-08 04:00:00,24.5,40.5,1.38,37.9,21.25,18.27,3.93,0.38,27.15,0.35,5.25,0.88,1.6,,80.25,0.77,138.0,10.0,2.98,29.1,0.0
2021-08-08 04:00:00,2021-08-08 05:00:00,31.25,50.5,1.6,33.73,19.23,15.15,2.08,0.39,34.15,0.27,3.6,0.72,1.3,,80.25,0.68,121.75,9.25,2.62,29.02,0.0
2021-08-08 05:00:00,2021-08-08 06:00:00,39.0,48.75,1.03,32.83,18.3,12.4,2.42,0.41,29.35,0.23,2.83,0.6,1.05,,80.5,0.65,156.25,12.25,2.28,28.92,0.0
2021-08-08 06:00:00,2021-08-08 07:00:00,56.25,73.75,1.3,38.53,21.55,13.12,15.7,0.48,37.23,0.43,3.83,0.93,1.6,,80.25,0.57,169.25,38.0,2.73,29.12,0.0
2021-08-08 07:00:00,2021-08-08 08:00:00,99.67,113.67,2.83,37.93,22.47,13.2,7.0,0.54,44.97,0.67,5.77,1.17,1.87,,77.67,0.73,143.0,105.33,3.03,29.47,0.0
2021-08-08 08:00:00,2021-08-08 09:00:00,83.25,104.75,1.1,34.35,19.18,20.35,15.03,0.44,59.58,0.5,3.35,0.9,1.47,,72.25,0.7,186.75,238.5,2.8,30.12,0.0
2021-08-08 09:00:00,2021-08-08 10:00:00,47.25,80.0,0.7,34.8,19.05,23.05,12.6,0.42,81.85,0.4,2.9,0.62,1.05,,69.5,0.6,189.0,177.0,2.67,30.38,0.0
2021-08-08 10:00:00,2021-08-08 11:00:00,35.5,63.5,0.77,37.62,20.62,19.48,14.15,0.51,115.0,0.85,3.05,0.62,0.97,,66.75,0.7,177.75,372.75,2.42,30.9,0.0
2021-08-08 11:00:00,2021-08-08 12:00:00,49.5,,0.68,34.93,19.1,17.23,9.8,0.51,123.55,1.5,4.62,0.82,1.17,,64.25,0.68,195.25,257.5,2.1,31.1,0.0
2021-08-08 12:00:00,2021-08-08 13:00:00,58.0,,0.5,35.77,19.47,19.07,3.88,0.5,123.97,1.1,3.55,0.78,1.2,,62.0,0.55,234.5,200.5,1.88,31.35,0.0
2021-08-08 13:00:00,2021-08-08 14:00:00,,,0.62,34.05,18.62,11.05,1.85,0.54,111.95,1.0,2.65,0.53,0.82,,64.75,0.43,202.5,73.5,1.48,31.1,0.0
2021-08-08 14:00:00,2021-08-08 15:00:00,,,1.07,33.5,18.65,8.22,2.38,0.46,93.7,0.55,3.55,0.77,1.25,,86.25,1.35,199.5,27.75,1.95,28.25,1.0
2021-08-08 15:00:00,2021-08-08 16:00:00,63.5,,10.03,61.22,40.7,13.3,2.75,0.78,58.42,0.28,5.2,1.38,1.78,,92.5,0.57,161.75,48.25,2.02,27.68,1.0
2021-08-08 16:00:00,2021-08-08 17:00:00,19.0,,5.73,61.75,37.52,28.5,3.65,0.87,47.38,0.82,8.02,3.0,4.92,,87.5,0.47,84.75,117.0,3.88,29.27,0.0
2021-08-08 17:00:00,2021-08-08 18:00:00,,,4.5,63.75,37.58,18.4,4.17,0.79,51.08,0.75,6.35,1.85,3.43,,82.5,0.43,165.5,73.25,3.42,34.38,0.0
2021-08-08 18:00:00,2021-08-08 19:00:00,,,5.75,69.4,41.6,17.93,4.12,0.83,20.62,0.9,6.8,2.08,4.08,,84.75,0.4,204.0,22.0,3.7,29.73,0.0
2021-08-08 19:00:00,2021-08-08 20:00:00,35.75,,10.75,76.8,49.58,14.0,3.95,1.02,13.93,1.2,8.93,1.95,3.88,,88.25,0.22,257.25,10.0,3.5,29.47,0.0
2021-08-08 20:00:00,2021-08-08 21:00:00,75.75,186.5,69.75,79.82,99.2,21.33,3.37,1.78,14.82,2.08,15.17,3.53,6.7,,89.25,0.27,142.25,10.0,4.55,29.48,0.0
2021-08-08 21:00:00,2021-08-08 22:00:00,132.0,195.5,59.68,60.3,80.58,12.53,2.83,1.75,10.2,2.55,22.25,4.8,9.8,,89.75,0.3,99.75,10.0,6.33,29.35,0.0
2021-08-08 22:00:00,2021-08-08 23:00:00,200.0,237.0,14.5,47.88,37.22,12.05,1.83,0.97,12.0,1.55,12.73,3.38,6.52,,88.0,0.62,125.0,10.0,4.95,29.35,0.0
2021-08-08 23:00:00,2021-08-09 00:00:00,251.0,,11.08,42.6,31.62,11.22,2.33,0.79,9.82,0.77,5.67,1.45,3.23,,89.75,0.2,93.0,10.0,3.0,29.17,0.0
2021-08-09 00:00:00,2021-08-09 01:00:00,331.25,,12.82,39.2,31.27,8.43,4.08,0.75,12.47,0.9,6.7,1.68,3.62,,90.5,0.23,72.5,10.0,3.2,29.05,0.0
2021-08-09 01:00:00,2021-08-09 02:00:00,517.0,,2.97,23.93,15.13,5.8,4.03,0.53,86.7,0.53,4.33,1.07,2.27,,87.25,0.78,125.75,10.0,2.45,29.05,0.0
2021-08-09 02:00:00,2021-08-09 03:00:00,262.25,,0.3,24.3,13.2,7.6,4.7,0.42,66.72,0.27,2.15,0.53,1.25,,86.75,0.57,114.0,10.0,1.7,28.57,0.0
2021-08-09 03:00:00,2021-08-09 04:00:00,152.0,,0.28,21.68,11.75,7.95,4.47,0.43,49.42,0.28,2.67,0.6,1.07,,88.75,0.67,163.0,10.0,1.68,28.75,0.0
2021-08-09 04:00:00,2021-08-09 05:00:00,264.5,,0.25,23.2,12.58,13.7,3.72,0.42,57.67,0.62,3.23,0.73,1.25,,87.5,0.75,166.5,10.0,1.73,28.65,0.0
2021-08-09 05:00:00,2021-08-09 06:00:00,187.75,,0.2,27.58,14.8,27.8,3.6,0.46,43.9,2.38,9.0,0.88,1.32,,89.25,0.57,168.5,10.75,1.92,28.5,0.0
2021-08-09 06:00:00,2021-08-09 07:00:00,352.75,,0.68,33.42,18.3,20.3,3.12,0.51,39.05,3.67,8.97,1.08,1.5,,89.0,0.6,179.25,19.25,2.15,28.55,0.0
2021-08-09 07:00:00,2021-08-09 08:00:00,,,2.0,42.15,24.05,17.92,3.15,0.58,32.7,5.05,14.25,1.38,1.8,,86.0,0.55,197.75,47.25,2.35,28.8,0.0
2021-08-09 08:00:00,2021-08-09 09:00:00,750.0,,0.75,37.75,20.65,10.83,3.97,0.49,84.1,1.57,7.05,1.12,1.48,,85.75,0.38,274.25,32.25,2.1,28.5,0.25
2021-08-09 09:00:00,2021-08-09 10:00:00,194.25,,3.12,61.12,35.05,7.47,4.62,0.77,62.6,0.75,4.67,1.05,2.33,,86.0,0.57,144.0,213.0,2.52,28.42,0.0
2021-08-09 10:00:00,2021-08-09 11:00:00,154.75,,2.17,58.85,33.08,15.1,4.55,0.73,96.08,1.1,6.08,1.42,2.9,,74.5,0.47,221.75,372.0,2.83,29.57,0.0
2021-08-09 11:00:00,2021-08-09 12:00:00,141.67,,0.72,65.38,35.35,24.15,6.03,0.51,128.78,2.25,3.95,37.35,21.97,,67.0,0.57,290.25,305.5,7.7,30.25,0.0
2021-08-09 12:00:00,2021-08-09 13:00:00,,20.0,0.62,55.85,30.18,23.42,6.15,0.4,142.32,1.4,1.67,1.43,1.57,,63.75,0.65,287.5,279.25,3.38,30.75,0.0
2021-08-09 13:00:00,2021-08-09 14:00:00,,,0.67,40.85,22.25,17.3,1.07,0.38,147.0,0.62,1.27,0.67,1.0,,63.0,0.82,283.25,281.75,3.12,30.98,0.0
2021-08-09 14:00:00,2021-08-09 15:00:00,32.0,,0.62,30.58,16.75,19.52,0.67,0.45,130.12,0.33,1.0,0.43,0.65,,64.5,0.85,286.25,298.75,2.18,31.07,0.0
2021-08-09 15:00:00,2021-08-09 16:00:00,30.0,54.0,0.57,27.62,15.13,23.6,1.05,0.5,104.47,0.3,0.97,0.4,0.68,,65.5,0.65,286.25,201.0,1.82,31.25,0.0
2021-08-09 16:00:00,2021-08-09 17:00:00,29.25,59.0,0.5,26.2,14.38,13.08,1.55,0.51,109.7,0.3,0.93,0.43,0.62,,65.0,0.88,290.5,150.0,1.52,31.28,0.0
2021-08-09 17:00:00,2021-08-09 18:00:00,29.75,51.0,0.45,35.92,19.45,9.9,3.0,0.54,91.7,0.38,1.45,0.73,0.95,,71.0,0.82,284.0,76.5,1.73,30.85,0.0
2021-08-09 18:00:00,2021-08-09 19:00:00,41.25,69.0,0.35,47.38,25.48,16.55,3.12,0.49,78.95,0.47,2.08,1.15,1.32,,72.75,0.5,287.5,23.5,1.7,30.43,0.0
2021-08-09 19:00:00,2021-08-09 20:00:00,39.25,75.75,0.38,62.77,33.73,29.32,3.8,0.57,69.85,0.72,4.58,2.4,3.0,,75.5,0.6,286.0,10.25,2.65,29.85,0.0
2021-08-09 20:00:00,2021-08-09 21:00:00,30.75,72.0,0.4,62.92,33.75,41.58,2.68,0.67,59.0,1.1,6.2,3.52,4.25,,81.25,0.38,279.75,10.0,3.35,29.45,0.0
2021-08-09 21:00:00,2021-08-09 22:00:00,37.5,75.5,0.53,48.27,26.1,21.62,0.4,0.66,53.0,1.12,4.95,2.42,3.15,,82.5,0.33,283.5,9.5,2.47,29.25,0.0
2021-08-09 22:00:00,2021-08-09 23:00:00,41.0,75.5,0.38,40.12,21.68,20.3,0.35,0.67,33.05,1.12,5.05,1.82,2.85,,86.25,0.45,283.0,9.5,2.45,29.1,0.0
2021-08-09 23:00:00,2021-08-10 00:00:00,45.75,83.75,0.33,32.73,17.67,19.75,1.27,0.64,30.75,1.15,4.0,1.6,2.23,,87.5,0.38,283.25,10.0,2.3,28.92,0.0
2021-08-10 00:00:00,2021-08-10 01:00:00,48.25,77.5,0.47,38.42,20.8,16.85,4.65,0.69,25.7,1.1,6.25,1.95,2.4,,88.75,0.2,299.75,9.75,2.5,28.9,0.0
2021-08-10 01:00:00,2021-08-10 02:00:00,43.75,71.5,0.37,45.63,24.6,21.97,5.0,0.69,25.9,0.88,5.67,1.25,2.02,,89.75,0.22,185.0,10.0,2.48,28.87,0.0
2021-08-10 02:00:00,2021-08-10 03:00:00,39.0,69.0,0.5,47.2,25.5,25.9,6.0,0.65,19.5,0.9,6.8,1.3,2.53,,89.33,0.4,116.67,10.0,2.4,28.87,0.0
2021-08-10 03:00:00,2021-08-10 04:00:00,43.25,71.75,0.62,49.65,26.92,26.72,5.18,0.62,22.8,0.8,7.83,1.48,2.2,,86.75,0.53,152.75,10.0,2.35,28.85,0.0
2021-08-10 04:00:00,2021-08-10 05:00:00,60.0,86.75,0.47,54.6,29.45,31.7,4.83,0.59,23.55,0.78,5.8,1.33,1.95,,89.75,0.62,160.75,9.25,2.27,28.78,0.0
2021-08-10 05:00:00,2021-08-10 06:00:00,65.25,109.75,0.55,53.2,28.77,35.65,4.25,0.62,21.98,1.4,6.75,1.62,2.07,,90.0,0.45,182.25,10.5,2.38,28.7,0.0
2021-08-10 06:00:00,2021-08-10 07:00:00,86.0,126.5,0.48,51.6,27.85,36.12,4.2,0.62,30.82,1.32,6.65,1.55,2.08,,88.5,0.38,147.0,18.75,2.4,28.75,0.0
2021-08-10 07:00:00,2021-08-10 08:00:00,82.25,135.25,5.38,58.47,35.47,24.23,4.35,0.7,20.57,1.22,6.58,1.5,2.25,,86.0,0.45,92.75,53.5,2.47,28.95,0.0
2021-08-10 08:00:00,2021-08-10 09:00:00,66.25,129.75,2.7,56.05,32.05,23.0,5.12,0.71,47.72,1.1,5.52,1.35,2.15,,81.75,0.47,238.25,114.25,2.38,29.52,0.0
2021-08-10 09:00:00,2021-08-10 10:00:00,63.25,118.25,0.72,66.15,35.77,26.77,6.75,0.6,66.12,0.78,3.88,1.0,1.55,,79.5,0.7,287.25,175.5,2.27,29.9,0.0
2021-08-10 10:00:00,2021-08-10 11:00:00,62.0,106.25,0.75,72.38,39.12,37.9,7.05,0.48,91.95,0.68,3.5,1.0,1.38,,71.25,0.77,288.25,349.0,2.1,30.67,0.0
2021-08-10 11:00:00,2021-08-10 12:00:00,53.5,103.0,0.62,100.75,54.1,38.4,6.7,0.41,105.02,0.43,2.05,0.75,0.88,,65.75,0.77,289.25,299.75,1.52,31.15,0.0
2021-08-10 12:00:00,2021-08-10 13:00:00,51.0,106.75,0.62,93.33,50.15,35.05,2.9,0.46,114.47,0.33,1.38,0.5,0.65,,61.5,0.83,287.75,296.0,1.15,31.55,0.0
2021-08-10 13:00:00,2021-08-10 14:00:00,49.75,122.25,0.6,57.45,31.05,23.43,0.93,0.46,137.5,0.35,1.45,0.4,0.55,,61.5,1.18,285.75,277.25,0.97,31.6,0.0
2021-08-10 14:00:00,2021-08-10 15:00:00,45.5,123.25,0.53,48.0,25.95,35.35,0.82,0.49,132.98,0.38,1.5,0.47,0.6,,60.5,1.0,285.75,287.75,1.1,31.78,0.0
2021-08-10 15:00:00,2021-08-10 16:00:00,52.75,124.75,0.67,44.1,23.98,22.0,0.7,0.51,129.45,0.4,1.52,0.62,0.57,,63.5,0.82,284.75,174.25,1.08,31.58,0.0
2021-08-10 16:00:00,2021-08-10 17:00:00,56.75,118.75,0.7,42.88,23.4,16.5,1.02,0.52,118.1,0.43,2.7,0.93,1.08,,61.75,0.65,286.25,104.5,1.45,31.3,0.0
2021-08-10 17:00:00,2021-08-10 18:00:00,43.5,99.25,0.47,49.75,26.88,8.9,2.45,0.59,108.83,0.4,2.3,0.82,1.18,,63.25,0.67,280.5,51.25,1.55,31.05,0.0
