From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm),AT (degree C)
2022-01-31 11:00:00,2022-01-31 12:00:00,202.33,263.33,7.27,31.9,22.9,38.7,24.65,1.0,38.63,1.13,15.5,6.07,12.63,,72.33,1.2,124.67,187.33,7.3,0.0,13.87
2022-01-31 12:00:00,2022-01-31 13:00:00,215.25,260.0,4.52,26.88,17.98,42.52,20.25,1.03,46.83,1.1,13.82,4.8,9.55,,70.75,0.88,185.75,189.5,5.42,0.0,14.27
2022-01-31 13:00:00,2022-01-31 14:00:00,200.5,243.25,2.33,21.52,13.3,43.33,11.07,1.05,47.42,1.25,16.98,6.3,12.7,,73.0,0.98,173.0,170.25,7.38,0.0,14.15
2022-01-31 14:00:00,2022-01-31 15:00:00,172.5,209.25,2.95,22.0,14.1,41.33,9.33,0.99,45.85,1.05,15.92,5.42,10.45,,73.75,0.75,179.5,134.75,6.2,0.0,14.12
2022-01-31 15:00:00,2022-01-31 16:00:00,177.0,210.75,17.38,32.4,31.35,41.33,9.7,0.99,38.88,1.3,14.88,4.78,8.73,,78.5,0.67,206.25,76.5,5.08,0.0,13.82
2022-01-31 16:00:00,2022-01-31 17:00:00,193.0,234.0,2.45,26.15,15.88,37.08,8.72,1.04,36.38,1.3,13.82,4.67,8.57,,81.5,0.6,126.5,40.0,5.12,0.0,13.55
2022-01-31 17:00:00,2022-01-31 18:00:00,185.25,213.0,1.3,40.25,22.45,38.27,8.8,1.23,21.6,1.1,10.75,3.77,6.75,,84.5,0.27,179.25,15.0,4.25,0.0,13.3
2022-01-31 18:00:00,2022-01-31 19:00:00,163.25,204.0,82.9,60.9,99.8,38.52,9.75,1.52,4.85,1.42,10.72,3.62,6.12,,87.25,0.15,94.5,10.0,3.8,0.0,13.0
2022-01-31 19:00:00,2022-01-31 20:00:00,164.75,236.5,112.43,62.65,124.75,38.05,12.97,1.75,4.25,1.68,13.05,4.8,9.55,,89.25,0.25,162.0,10.0,5.62,0.0,12.9
2022-01-31 20:00:00,2022-01-31 21:00:00,172.75,266.75,104.82,55.55,114.8,41.6,15.32,1.95,4.3,1.68,14.5,6.12,12.8,,90.0,0.15,95.75,10.0,7.72,0.0,12.78
2022-01-31 21:00:00,2022-01-31 22:00:00,191.5,291.25,182.53,61.22,180.93,41.65,17.95,2.32,4.12,1.88,17.57,8.17,17.62,,90.75,0.2,48.25,10.0,10.77,0.0,12.67
2022-01-31 22:00:00,2022-01-31 23:00:00,186.25,311.25,187.95,51.82,180.38,36.92,16.43,2.55,3.72,1.9,18.35,9.28,20.38,,91.0,0.2,138.5,10.0,12.57,0.0,12.5
2022-01-31 23:00:00,2022-02-01 00:00:00,157.5,277.25,161.78,35.9,150.63,34.0,15.57,2.62,4.0,1.82,18.48,9.9,22.35,,91.0,0.15,276.0,10.0,13.62,0.0,12.32
2022-02-01 00:00:00,2022-02-01 01:00:00,157.75,262.75,120.7,30.83,114.5,30.75,11.03,2.63,4.1,1.8,18.38,10.22,23.43,,91.5,0.28,123.75,10.0,14.23,0.0,12.3
2022-02-01 01:00:00,2022-02-01 02:00:00,143.5,217.5,54.63,25.1,57.77,25.6,5.9,2.51,3.55,1.6,15.52,8.98,20.88,,92.0,0.2,78.75,10.0,12.7,0.0,12.22
2022-02-01 02:00:00,2022-02-01 03:00:00,106.75,155.5,21.85,21.0,28.9,28.0,3.65,2.04,3.42,1.45,14.68,8.55,20.0,,91.5,0.2,284.5,10.0,12.28,0.0,11.95
2022-02-01 03:00:00,2022-02-01 04:00:00,83.5,116.25,7.5,18.12,15.73,25.27,1.75,1.79,3.8,1.3,14.05,8.18,19.0,,92.0,0.33,338.5,10.0,11.68,0.0,11.9
2022-02-01 04:00:00,2022-02-01 05:00:00,59.75,80.75,2.35,18.88,11.95,26.27,0.92,1.55,4.38,1.2,13.72,7.98,18.33,,92.5,0.25,274.75,10.0,11.32,0.0,11.95
2022-02-01 05:00:00,2022-02-01 06:00:00,54.5,73.0,3.12,21.82,14.15,32.6,1.77,1.4,7.12,1.2,15.6,9.38,20.7,,93.0,0.33,84.0,10.0,12.78,0.0,12.3
2022-02-01 06:00:00,2022-02-01 07:00:00,48.5,78.75,1.75,22.17,13.25,33.12,2.75,1.28,10.0,1.2,16.08,9.97,22.0,,93.0,0.33,285.0,10.0,13.52,0.0,12.43
2022-02-01 07:00:00,2022-02-01 08:00:00,49.75,87.75,3.12,24.92,15.83,32.98,2.88,1.21,8.88,1.12,15.93,10.07,22.8,,93.0,0.5,326.25,14.0,14.0,0.0,12.45
2022-02-01 08:00:00,2022-02-01 09:00:00,66.75,116.5,3.62,22.48,14.88,30.25,2.75,1.15,12.27,1.1,14.83,9.38,21.47,,93.0,0.7,317.5,25.5,13.18,0.0,12.45
2022-02-01 09:00:00,2022-02-01 10:00:00,70.75,120.5,7.25,21.55,17.35,28.1,2.58,1.11,12.1,1.0,8.97,4.83,10.78,,93.0,0.65,347.0,46.0,6.4,0.0,12.5
2022-02-01 10:00:00,2022-02-01 11:00:00,87.0,140.5,5.55,20.9,15.65,30.8,3.3,1.05,20.77,1.0,6.98,3.83,5.7,,93.0,0.62,316.75,87.5,3.83,0.0,12.75
2022-02-01 11:00:00,2022-02-01 12:00:00,102.25,157.25,3.95,23.72,15.8,33.52,4.47,1.0,25.45,1.0,6.82,3.88,5.0,,90.0,0.57,280.0,139.0,4.0,0.0,13.07
2022-02-01 12:00:00,2022-02-01 13:00:00,142.0,188.25,3.75,23.45,15.52,38.1,7.65,1.03,38.25,1.0,7.32,3.98,5.22,,77.5,0.8,294.5,217.75,4.02,0.0,13.95
2022-02-01 13:00:00,2022-02-01 14:00:00,176.75,221.5,3.0,21.7,13.95,44.23,12.8,1.93,46.1,1.02,10.15,4.62,9.1,,71.75,0.75,283.0,204.25,5.88,0.0,14.53
2022-02-01 14:00:00,2022-02-01 15:00:00,167.25,203.25,1.27,16.02,9.55,43.92,8.35,0.99,57.25,0.97,9.95,4.7,9.25,,71.0,0.9,277.5,160.75,6.0,0.0,14.77
2022-02-01 15:00:00,2022-02-01 16:00:00,151.75,182.5,0.55,14.93,8.4,45.4,10.6,0.94,66.97,0.9,9.95,4.7,9.3,,70.0,0.77,273.75,103.0,6.12,0.0,14.92
2022-02-01 16:00:00,2022-02-01 17:00:00,162.5,195.5,0.3,17.02,9.3,74.07,5.3,1.11,73.2,1.67,11.62,5.15,10.77,,71.5,0.65,289.5,46.75,7.42,0.0,14.78
2022-02-01 17:00:00,2022-02-01 18:00:00,190.5,224.25,1.32,21.3,12.4,58.53,6.63,1.09,57.9,1.38,9.52,4.22,8.28,,77.5,0.57,288.5,15.0,5.8,0.0,14.2
2022-02-01 18:00:00,2022-02-01 19:00:00,230.0,267.25,1.52,25.7,14.93,57.02,9.75,1.04,37.55,1.12,9.15,4.62,9.45,,84.5,0.55,287.0,10.0,6.55,0.0,13.75
2022-02-01 19:00:00,2022-02-01 20:00:00,244.0,285.0,2.4,33.17,19.57,54.4,8.75,1.13,25.1,1.1,9.62,5.4,12.15,,87.25,0.5,308.25,10.0,8.55,0.0,13.45
2022-02-01 20:00:00,2022-02-01 21:00:00,235.0,275.5,2.83,28.88,17.68,52.85,7.18,1.19,27.18,1.08,10.07,4.53,14.15,,88.25,0.45,326.25,10.0,9.85,0.0,13.25
2022-02-01 21:00:00,2022-02-01 22:00:00,212.0,254.0,2.33,31.62,18.72,55.4,6.0,1.24,17.2,1.1,11.85,7.6,17.35,,89.75,0.35,296.5,10.0,11.95,0.0,13.12
2022-02-01 22:00:00,2022-02-01 23:00:00,195.0,247.5,1.73,22.85,13.55,49.95,5.7,1.25,15.9,1.1,12.78,8.62,20.0,,90.75,0.28,259.5,10.0,13.53,0.0,12.85
2022-02-01 23:00:00,2022-02-02 00:00:00,185.5,243.5,1.62,20.83,12.4,45.62,5.4,1.23,15.5,1.1,13.0,9.15,21.45,,91.0,0.3,254.5,10.0,14.3,0.0,12.67
2022-02-02 00:00:00,2022-02-02 01:00:00,170.0,226.67,1.67,20.23,12.13,39.03,4.2,1.17,15.8,1.1,12.93,9.5,22.53,,91.67,0.27,306.67,10.0,14.8,0.0,12.47
2022-02-02 01:00:00,2022-02-02 02:00:00,151.75,194.5,2.3,20.67,12.83,30.43,2.5,1.14,14.95,1.02,11.12,8.53,20.88,,92.0,0.28,277.25,10.0,13.5,0.0,12.22
2022-02-02 02:00:00,2022-02-02 03:00:00,127.0,158.0,1.45,12.65,7.95,33.85,2.4,1.06,21.07,0.97,10.82,7.9,19.12,,92.0,0.3,274.75,10.0,12.65,0.0,12.18
2022-02-02 03:00:00,2022-02-02 04:00:00,121.25,159.25,1.38,9.9,6.38,32.27,1.9,1.03,26.12,0.9,9.53,7.15,17.48,,92.0,0.42,319.5,10.0,11.67,0.0,12.17
2022-02-02 04:00:00,2022-02-02 05:00:00,106.0,127.5,1.5,10.9,7.0,32.4,1.9,0.98,22.05,0.9,9.1,6.95,17.3,,92.5,0.3,305.5,10.0,11.3,0.0,11.95
2022-02-02 05:00:00,2022-02-02 06:00:00,103.0,125.5,1.57,12.78,8.07,35.33,2.57,0.96,15.03,0.9,10.03,7.65,18.73,,93.0,0.23,295.0,10.0,12.18,0.0,11.88
2022-02-02 06:00:00,2022-02-02 07:00:00,87.5,118.25,2.62,23.95,14.88,33.88,4.5,0.96,11.23,0.9,10.77,8.47,20.45,,93.0,0.2,205.75,10.25,13.25,0.0,12.05
2022-02-02 07:00:00,2022-02-02 08:00:00,86.0,118.25,6.38,28.4,20.27,31.7,4.4,0.97,10.98,0.93,10.82,8.83,21.38,,93.0,0.22,236.5,18.75,13.65,0.0,12.03
2022-02-02 08:00:00,2022-02-02 09:00:00,96.5,129.25,13.62,35.75,30.1,33.12,7.2,1.06,9.85,0.93,10.78,8.93,21.88,,93.0,0.28,175.0,37.25,13.95,0.0,12.25
2022-02-02 09:00:00,2022-02-02 10:00:00,131.25,178.0,15.18,36.55,31.77,32.47,6.27,1.11,14.62,1.02,9.35,8.62,20.85,,92.75,0.48,103.75,73.75,13.0,0.0,12.5
2022-02-02 10:00:00,2022-02-02 11:00:00,147.25,218.5,24.87,43.2,43.17,40.62,7.45,1.24,12.3,1.08,8.8,7.55,18.48,,90.25,0.72,164.5,91.5,11.55,0.0,12.62
2022-02-02 11:00:00,2022-02-02 12:00:00,173.75,266.5,8.85,36.33,26.53,46.48,8.23,1.25,20.1,1.25,7.0,4.5,10.28,,85.75,0.62,199.0,85.5,6.4,0.0,13.23
2022-02-02 12:00:00,2022-02-02 13:00:00,199.25,281.75,6.97,33.33,23.4,46.25,7.67,1.2,24.92,1.38,6.75,4.2,9.03,,84.25,0.7,154.5,75.75,5.95,0.0,13.15
2022-02-02 13:00:00,2022-02-02 14:00:00,216.75,272.0,9.0,35.23,26.05,53.18,15.43,1.18,28.85,1.65,8.1,5.22,11.93,,78.0,0.93,119.25,100.75,7.97,0.0,13.6
2022-02-02 14:00:00,2022-02-02 15:00:00,243.25,304.0,9.8,39.0,28.7,47.0,31.25,1.09,26.15,1.4,7.82,5.05,11.4,,75.25,0.93,119.75,70.5,7.75,0.0,13.95
2022-02-02 15:00:00,2022-02-02 16:00:00,212.25,273.25,8.0,36.73,26.05,40.98,11.65,1.08,23.38,1.15,7.43,4.9,11.02,,75.75,1.02,116.5,47.75,7.45,0.0,13.9
2022-02-02 16:00:00,2022-02-02 17:00:00,172.75,217.0,11.47,42.08,31.73,39.33,22.17,1.12,18.93,1.1,7.8,5.38,12.55,,77.75,0.9,111.0,30.5,8.6,0.0,13.8
2022-02-02 17:00:00,2022-02-02 18:00:00,189.0,231.5,8.18,45.17,30.67,40.17,25.87,1.2,11.98,1.05,6.4,4.55,10.7,,82.75,0.55,121.75,13.0,7.35,0.0,13.48
2022-02-02 18:00:00,2022-02-02 19:00:00,226.5,281.0,7.33,41.28,27.93,44.4,12.5,1.25,10.7,1.12,6.68,4.98,12.0,,84.75,0.53,127.75,10.0,8.2,0.0,13.28
2022-02-02 19:00:00,2022-02-02 20:00:00,240.0,303.5,22.65,53.75,47.02,44.7,23.02,1.32,9.0,1.32,7.38,5.6,13.75,,83.0,1.12,107.0,10.0,9.28,0.0,13.3
2022-02-02 20:00:00,2022-02-02 21:00:00,236.25,311.75,7.03,35.55,24.67,43.55,27.55,1.28,20.38,1.2,7.43,5.88,14.55,,82.0,1.15,113.5,10.0,9.82,0.0,13.38
2022-02-02 21:00:00,2022-02-02 22:00:00,221.0,288.0,5.07,31.27,20.77,46.48,34.92,1.23,25.7,1.17,8.07,6.68,16.45,,81.75,1.27,112.0,10.0,10.97,0.0,13.42
2022-02-02 22:00:00,2022-02-02 23:00:00,204.25,257.5,3.1,25.98,16.35,42.6,30.02,1.16,32.88,1.1,8.65,7.6,18.62,,79.75,1.18,111.5,10.0,12.22,0.0,13.5
2022-02-02 23:00:00,2022-02-03 00:00:00,183.25,229.5,2.45,21.15,13.25,38.15,17.57,1.08,41.77,1.0,8.7,8.0,19.77,,77.0,1.55,103.0,10.0,12.88,0.0,13.68
2022-02-03 00:00:00,2022-02-03 01:00:00,162.5,201.5,1.85,17.5,10.83,35.38,21.18,0.99,42.9,0.92,8.65,8.22,20.48,,76.5,1.15,114.25,10.0,13.25,0.0,13.65
