From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3)
2020-01-22 15:00:00,2020-01-22 16:00:00,,,,69.0,,55.0,
2020-01-22 16:00:00,2020-01-22 17:00:00,,,,69.0,,55.0,0.03
2020-01-22 17:00:00,2020-01-22 18:00:00,,,,69.0,,55.0,0.03
2020-01-22 18:00:00,2020-01-22 19:00:00,,,,69.0,,55.0,0.03
2020-01-22 19:00:00,2020-01-22 20:00:00,,,,,,,
2020-01-22 20:00:00,2020-01-22 21:00:00,,,,,,,
2020-01-22 21:00:00,2020-01-22 22:00:00,,,,,,,
2020-01-22 22:00:00,2020-01-22 23:00:00,50.5,156.0,,118.67,,142.67,
2020-01-22 23:00:00,2020-01-23 00:00:00,32.13,78.0,,41.67,,140.67,0.67
2020-01-23 00:00:00,2020-01-23 01:00:00,32.13,78.0,,37.67,,139.0,1.67
2020-01-23 01:00:00,2020-01-23 02:00:00,53.87,99.25,,37.25,,135.25,1.75
2020-01-23 02:00:00,2020-01-23 03:00:00,31.5,104.0,,40.33,,132.67,1.0
2020-01-23 03:00:00,2020-01-23 04:00:00,18.06,110.67,,32.67,,130.33,1.67
2020-01-23 04:00:00,2020-01-23 05:00:00,52.08,98.33,,29.33,,129.0,1.33
2020-01-23 05:00:00,2020-01-23 06:00:00,47.88,103.0,,31.67,,126.67,1.67
2020-01-23 06:00:00,2020-01-23 07:00:00,45.52,75.75,,27.5,,124.5,2.25
2020-01-23 07:00:00,2020-01-23 08:00:00,31.92,70.0,,27.0,,122.67,2.0
2020-01-23 08:00:00,2020-01-23 09:00:00,19.74,89.67,,27.0,,122.33,2.33
2020-01-23 09:00:00,2020-01-23 10:00:00,44.41,101.5,,25.0,,123.75,2.5
2020-01-23 10:00:00,2020-01-23 11:00:00,,139.0,,36.33,,113.0,2.5
2020-01-23 11:00:00,2020-01-23 12:00:00,108.68,128.0,,32.75,,90.5,1.75
2020-01-23 12:00:00,2020-01-23 13:00:00,38.22,92.67,,60.0,,62.67,2.67
2020-01-23 13:00:00,2020-01-23 14:00:00,55.95,110.33,,56.33,,60.0,3.0
2020-01-23 14:00:00,2020-01-23 15:00:00,43.67,89.0,,21.67,,64.0,3.0
2020-01-23 15:00:00,2020-01-23 16:00:00,17.0,77.0,,18.67,,64.33,2.67
2020-01-23 16:00:00,2020-01-23 17:00:00,34.0,78.5,,18.5,,64.75,2.5
2020-01-23 17:00:00,2020-01-23 18:00:00,52.0,75.33,,21.67,,63.0,2.33
