From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2021-06-17 15:00:00,2021-06-17 16:00:00,,213.8,6.86,10.55,17.41,11.7,3.61,0.86,26.5,2.86,,,,,51.48,1.4,52.01,,0.0,23.73,4.33
2021-06-17 16:00:00,2021-06-17 17:00:00,59.6,120.25,7.55,11.01,18.56,12.22,3.28,0.87,25.68,2.35,,0.01,,,51.65,0.45,49.16,,0.0,25.14,0.0
2021-06-17 17:00:00,2021-06-17 18:00:00,58.3,115.62,7.19,10.93,18.12,11.62,3.15,0.91,19.92,1.75,,,,,53.67,0.17,48.35,,0.0,26.28,0.0
2021-06-17 18:00:00,2021-06-17 19:00:00,41.3,80.22,6.47,10.74,17.21,11.82,2.96,1.03,17.17,2.62,,0.08,,,47.15,0.1,57.23,,0.01,26.27,0.0
2021-06-17 19:00:00,2021-06-17 20:00:00,37.6,71.62,7.14,10.6,17.74,11.72,3.1,1.35,11.97,6.06,,1.37,,,48.72,0.08,60.12,,0.01,26.17,0.0
2021-06-17 20:00:00,2021-06-17 21:00:00,55.18,105.93,7.62,11.08,18.7,11.95,2.66,1.34,8.05,9.67,,3.52,,,50.62,0.07,58.44,,0.18,26.29,0.0
2021-06-17 21:00:00,2021-06-17 22:00:00,46.7,89.53,8.34,11.35,19.7,11.75,2.86,1.37,5.54,10.43,,3.58,,,51.33,0.23,57.26,,0.64,26.52,0.0
2021-06-17 22:00:00,2021-06-17 23:00:00,87.88,166.4,8.29,10.8,19.09,11.71,2.65,1.28,6.58,13.75,,3.23,,,51.63,0.06,56.75,,1.15,26.63,0.0
2021-06-17 23:00:00,2021-06-18 00:00:00,43.8,83.1,7.23,10.29,17.52,11.98,2.88,1.05,10.2,7.64,,1.88,,,51.46,0.28,55.93,,0.42,26.46,0.0
2021-06-18 00:00:00,2021-06-18 01:00:00,113.47,217.6,7.26,10.46,17.72,11.8,2.93,0.94,10.64,4.88,,0.59,,,51.84,0.05,53.43,,0.03,26.28,0.0
2021-06-18 01:00:00,2021-06-18 02:00:00,92.5,184.82,7.28,10.24,17.52,12.12,3.23,0.92,11.46,5.74,,0.62,,,51.94,0.04,58.1,,0.02,25.81,0.0
2021-06-18 02:00:00,2021-06-18 03:00:00,42.65,84.38,8.05,10.57,18.63,11.9,2.92,0.93,12.76,2.35,,0.22,,,51.09,0.16,54.2,,0.01,25.31,0.0
2021-06-18 03:00:00,2021-06-18 04:00:00,45.58,89.2,7.24,10.73,17.97,11.84,2.93,0.92,11.32,2.21,,0.01,,,50.61,0.11,52.99,,0.0,25.17,0.0
2021-06-18 04:00:00,2021-06-18 05:00:00,43.38,83.43,7.22,10.52,17.75,11.79,3.2,0.87,11.99,2.15,,0.1,,,50.05,0.1,52.87,,0.0,25.31,0.0
2021-06-18 05:00:00,2021-06-18 06:00:00,45.25,86.43,7.7,10.6,18.29,11.75,3.39,0.9,9.98,1.92,,,,,49.32,0.05,50.87,,0.0,25.38,0.0
2021-06-18 06:00:00,2021-06-18 07:00:00,38.1,73.2,8.09,10.41,18.5,12.25,2.57,0.98,8.85,2.41,,0.02,,,48.68,0.07,49.64,,0.0,25.74,0.0
2021-06-18 07:00:00,2021-06-18 08:00:00,66.0,130.78,6.48,10.06,16.54,11.87,2.72,1.02,10.71,7.36,,0.12,,,44.56,0.24,57.84,,0.05,26.46,0.0
2021-06-18 08:00:00,2021-06-18 09:00:00,40.2,83.38,6.76,10.3,17.06,12.01,3.06,1.02,13.7,5.46,,0.1,,,31.84,0.25,58.55,,0.01,27.45,0.0
