From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),Xylene (ug/m3),AT (degree C),RF (mm)
2021-06-16 15:00:00,2021-06-16 16:00:00,21.4,48.9,14.1,7.28,15.11,5.6,8.58,1.28,23.36,,,,,,40.19,,0.8,,35.91,0.0
2021-06-16 16:00:00,2021-06-16 17:00:00,49.97,113.83,8.45,3.14,11.57,5.57,2.31,0.97,18.86,,,,,,54.2,0.65,355.17,,33.3,0.0
2021-06-16 17:00:00,2021-06-16 18:00:00,53.3,117.2,10.58,4.39,14.96,7.31,2.36,1.16,7.58,,,,,,47.42,0.7,357.33,,34.76,0.0
2021-06-16 18:00:00,2021-06-16 19:00:00,69.25,153.75,10.79,3.65,14.44,7.73,2.46,1.24,7.6,,,,,,50.79,1.06,355.14,,33.91,0.0
2021-06-16 19:00:00,2021-06-16 20:00:00,65.9,147.57,10.39,3.53,14.03,7.52,2.45,1.25,7.63,,,,,,64.57,0.77,236.1,,30.88,0.0
2021-06-16 20:00:00,2021-06-16 21:00:00,46.03,95.88,10.39,3.58,13.97,7.3,2.2,1.04,9.68,,,,,,93.66,0.95,358.05,,24.98,0.0
2021-06-16 21:00:00,2021-06-16 22:00:00,18.67,34.07,9.48,2.92,12.4,5.76,1.99,0.91,10.08,,,,,,96.26,0.93,359.39,,23.31,0.0
2021-06-16 22:00:00,2021-06-16 23:00:00,53.98,101.3,9.47,3.06,12.54,6.03,2.3,0.97,8.21,,,,,,91.39,0.5,,,24.12,0.0
2021-06-16 23:00:00,2021-06-17 00:00:00,86.53,163.3,10.42,2.42,12.83,5.87,2.29,0.99,5.23,,,,,,95.25,0.32,,,23.74,0.0
2021-06-17 00:00:00,2021-06-17 01:00:00,52.38,94.3,9.81,2.98,12.79,6.09,1.95,0.96,6.02,,,,,,93.17,0.21,,,23.93,0.0
2021-06-17 01:00:00,2021-06-17 02:00:00,32.12,58.42,9.69,2.97,12.66,6.03,1.96,0.91,6.47,,,,,,93.45,0.25,359.84,,24.02,0.0
2021-06-17 02:00:00,2021-06-17 03:00:00,23.75,42.88,10.38,2.88,13.26,6.65,1.68,0.78,4.95,,,,,,93.66,0.31,359.26,,24.2,0.0
2021-06-17 03:00:00,2021-06-17 04:00:00,16.73,30.48,11.05,3.39,14.43,7.67,1.86,0.91,2.81,,,,,,96.41,0.09,359.25,,24.3,0.0
2021-06-17 04:00:00,2021-06-17 05:00:00,25.68,46.6,12.33,3.91,16.24,8.73,1.99,0.93,3.29,,,,,,90.09,0.39,272.83,,24.75,0.0
2021-06-17 05:00:00,2021-06-17 06:00:00,27.73,51.5,12.93,3.91,16.84,9.34,2.03,1.0,3.98,,,,,,88.94,0.17,25.0,,24.99,0.0
2021-06-17 06:00:00,2021-06-17 07:00:00,25.25,48.38,12.64,3.86,16.5,9.58,1.91,1.07,4.78,,,,,,90.02,0.07,144.78,,25.57,0.0
2021-06-17 07:00:00,2021-06-17 08:00:00,31.8,63.53,12.7,3.81,16.52,8.84,1.76,1.06,4.95,,,,,,84.01,0.39,14.44,,26.62,0.0
2021-06-17 08:00:00,2021-06-17 09:00:00,33.03,66.3,13.69,4.12,17.81,10.02,1.87,1.22,3.98,,,,,,81.63,0.52,66.59,,27.51,0.0
2021-06-17 09:00:00,2021-06-17 10:00:00,35.38,71.65,14.39,4.64,19.04,10.89,1.98,1.28,4.94,,,,,,76.04,0.72,110.49,,29.23,0.0
2021-06-17 10:00:00,2021-06-17 11:00:00,50.62,103.62,14.46,4.51,18.97,11.11,2.04,1.15,6.38,,,,,,70.49,0.27,247.98,,30.63,0.0
2021-06-17 11:00:00,2021-06-17 12:00:00,52.02,107.03,14.19,4.39,18.59,10.46,1.91,1.1,8.78,,,,,,65.99,0.21,153.05,,31.74,0.0
2021-06-17 12:00:00,2021-06-17 13:00:00,46.92,98.58,13.51,4.33,17.84,10.11,1.55,0.96,12.54,,,,,,61.07,0.34,210.05,,32.54,0.0
2021-06-17 13:00:00,2021-06-17 14:00:00,38.7,81.57,12.77,4.34,17.11,9.46,1.47,0.85,12.49,,,,,,57.0,0.79,0.01,,33.13,0.0
2021-06-17 14:00:00,2021-06-17 15:00:00,37.1,77.43,11.79,4.36,16.14,8.77,1.86,1.1,10.34,,,,,,79.81,1.46,0.71,,26.62,0.0
2021-06-17 15:00:00,2021-06-17 16:00:00,25.8,49.6,11.14,4.17,15.3,7.82,1.81,1.08,7.63,,,,,,92.73,0.76,238.42,,24.58,0.0
2021-06-17 16:00:00,2021-06-17 17:00:00,33.48,64.3,11.04,3.74,14.78,7.48,1.87,1.16,6.68,,,,,,85.89,0.5,169.32,,26.02,0.0
2021-06-17 17:00:00,2021-06-17 18:00:00,42.48,86.1,10.75,3.8,14.55,7.67,1.94,1.59,7.05,,,,,,80.36,0.23,263.43,,26.91,0.0
2021-06-17 18:00:00,2021-06-17 19:00:00,52.02,106.5,11.3,4.0,15.3,8.18,2.07,2.06,5.34,,,,,,77.04,0.24,177.52,,27.76,0.0
2021-06-17 19:00:00,2021-06-17 20:00:00,46.38,94.7,12.89,4.85,17.75,10.34,2.21,1.77,3.51,,,,,,78.11,0.29,170.28,,27.54,0.0
2021-06-17 20:00:00,2021-06-17 21:00:00,41.67,82.95,12.62,4.6,17.22,9.75,2.09,1.3,4.67,,,,,,81.03,0.26,167.24,,27.19,0.0
2021-06-17 21:00:00,2021-06-17 22:00:00,39.62,76.5,12.28,4.03,16.31,9.39,1.99,1.18,5.23,,,,,,83.94,0.15,194.61,,26.95,0.0
2021-06-17 22:00:00,2021-06-17 23:00:00,44.02,84.22,11.57,3.67,15.25,8.41,1.89,1.04,6.74,,,,,,84.73,0.1,177.24,,26.79,0.0
2021-06-17 23:00:00,2021-06-18 00:00:00,40.65,77.7,11.71,3.66,15.37,8.0,1.6,0.89,6.25,,,,,,81.54,0.58,152.79,,26.67,0.0
2021-06-18 00:00:00,2021-06-18 01:00:00,24.57,46.28,11.9,3.62,15.52,8.13,2.23,0.95,5.0,,,,,,85.02,0.42,,,25.73,0.0
2021-06-18 01:00:00,2021-06-18 02:00:00,17.27,32.23,11.85,3.89,15.75,8.43,2.4,1.01,4.17,,,,,,87.17,0.22,359.79,,25.65,0.0
2021-06-18 02:00:00,2021-06-18 03:00:00,24.6,45.85,12.24,3.78,16.02,8.76,2.41,1.1,3.61,,,,,,89.82,0.31,357.33,,25.51,0.0
2021-06-18 03:00:00,2021-06-18 04:00:00,48.25,91.85,12.92,4.3,17.22,9.45,2.47,1.14,4.02,,,,,,91.19,0.52,356.04,,25.44,0.0
2021-06-18 04:00:00,2021-06-18 05:00:00,47.77,91.72,12.52,4.3,16.82,9.33,2.47,1.02,3.92,,,,,,91.56,0.21,355.7,,25.49,0.0
2021-06-18 05:00:00,2021-06-18 06:00:00,37.85,72.1,13.29,4.02,17.32,9.68,2.27,1.03,3.41,,,,,,89.95,0.26,355.68,,25.62,0.0
2021-06-18 06:00:00,2021-06-18 07:00:00,35.52,68.12,13.54,4.32,17.86,10.43,2.49,1.01,4.12,,,,,,88.77,0.36,356.69,,25.59,0.0
