From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2022-11-03 17:00:00,2022-11-03 18:00:00,75.5,121.77,1.37,9.27,6.04,4.6,0.97,47.93,1.62,63.95,31.55,1009.38,33.0,0.0
2022-11-03 18:00:00,2022-11-03 19:00:00,101.5,162.57,1.27,9.47,6.07,4.34,1.15,51.73,1.16,49.52,0.55,1009.99,31.08,0.0
2022-11-03 19:00:00,2022-11-03 20:00:00,98.25,148.0,1.25,9.22,5.92,4.42,1.36,52.97,1.1,66.16,0.0,1010.62,29.98,0.0
2022-11-03 20:00:00,2022-11-03 21:00:00,86.66,147.78,1.42,9.37,6.14,4.63,1.6,55.64,0.72,64.11,0.0,1011.17,29.05,0.0
2022-11-03 21:00:00,2022-11-03 22:00:00,93.75,149.1,1.14,9.45,5.95,4.57,1.81,58.49,0.49,58.25,0.0,1011.55,28.09,0.0
2022-11-03 22:00:00,2022-11-03 23:00:00,90.5,154.6,1.32,9.44,6.09,4.43,2.02,60.44,0.67,45.1,0.0,1011.56,27.81,0.0
2022-11-03 23:00:00,2022-11-04 00:00:00,87.75,147.67,1.4,9.29,6.07,4.41,2.01,60.19,0.62,47.84,0.0,1011.38,27.65,0.0
2022-11-04 00:00:00,2022-11-04 01:00:00,79.5,147.0,1.33,9.32,6.04,4.4,1.73,63.46,0.45,198.49,0.0,1011.21,26.43,0.0
2022-11-04 01:00:00,2022-11-04 02:00:00,106.05,180.97,1.12,9.69,6.07,4.63,1.59,68.48,0.82,223.11,0.0,1011.08,25.37,0.0
2022-11-04 02:00:00,2022-11-04 03:00:00,145.25,217.47,1.32,9.39,6.07,4.79,1.39,67.43,0.67,220.66,0.0,1010.83,25.12,0.0
2022-11-04 03:00:00,2022-11-04 04:00:00,141.69,216.43,1.34,9.45,6.12,5.46,1.28,67.77,0.92,219.59,0.0,1010.59,24.58,0.0
2022-11-04 04:00:00,2022-11-04 05:00:00,140.75,205.43,1.22,9.35,5.96,6.16,1.13,67.83,1.34,226.38,0.0,1010.78,24.1,0.0
