From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm),AT (degree C)
2022-03-11 17:00:00,2022-03-11 18:00:00,25.75,112.0,9.53,15.25,15.85,56.62,12.38,0.41,30.32,2.9,0.25,0.1,3.42,4.55,35.25,1.45,55.5,57.25,,0.0,29.45
2022-03-11 18:00:00,2022-03-11 19:00:00,34.25,139.75,8.8,22.0,18.82,54.65,16.25,0.53,24.9,3.32,0.4,0.1,3.75,5.33,39.75,1.52,107.5,11.5,,0.0,28.68
2022-03-11 19:00:00,2022-03-11 20:00:00,47.0,174.5,7.45,27.18,20.52,49.12,12.75,0.66,24.12,3.78,0.2,0.1,3.75,6.62,41.75,0.83,146.0,10.0,,0.0,28.37
2022-03-11 20:00:00,2022-03-11 21:00:00,59.5,172.5,8.85,28.15,22.15,52.15,13.1,0.72,19.05,4.12,0.4,0.1,4.28,9.5,44.75,0.53,137.75,10.0,,0.0,28.12
2022-03-11 21:00:00,2022-03-11 22:00:00,61.75,174.75,9.15,23.05,19.7,55.65,13.7,0.73,20.45,4.5,0.4,0.1,5.45,10.03,50.0,0.7,141.25,10.0,,0.0,27.48
2022-03-11 22:00:00,2022-03-11 23:00:00,56.0,167.5,7.2,28.65,21.1,57.75,15.52,0.75,17.32,4.7,0.47,1.73,4.65,12.22,50.25,0.53,153.75,9.75,,0.0,27.38
2022-03-11 23:00:00,2022-03-12 00:00:00,53.75,158.5,9.75,27.85,22.73,59.03,16.77,0.72,14.4,4.9,0.35,0.17,6.22,11.82,53.75,0.82,113.75,10.0,,0.0,26.83
2022-03-12 00:00:00,2022-03-12 01:00:00,58.25,165.75,9.12,32.88,24.93,59.1,23.55,0.7,14.75,4.97,0.43,0.18,6.07,12.03,60.5,1.7,107.0,9.75,,0.0,26.05
2022-03-12 01:00:00,2022-03-12 02:00:00,88.0,174.5,7.2,29.45,21.5,58.2,19.75,0.71,15.38,4.67,0.4,0.1,5.42,10.95,62.75,0.78,161.75,9.5,,0.0,25.92
2022-03-12 02:00:00,2022-03-12 03:00:00,89.25,158.5,10.1,31.1,24.75,55.0,22.52,0.75,13.62,4.8,0.53,0.1,5.35,11.4,61.0,0.65,164.0,9.5,,0.0,26.02
2022-03-12 03:00:00,2022-03-12 04:00:00,87.75,156.0,8.0,34.08,24.65,58.92,23.92,0.76,13.82,4.77,0.5,0.1,5.38,11.4,64.0,0.85,118.0,9.0,,0.0,25.75
2022-03-12 04:00:00,2022-03-12 05:00:00,91.25,169.5,7.3,29.3,21.5,59.02,19.73,0.77,12.1,4.67,0.4,0.1,5.85,11.25,66.5,0.9,127.75,9.0,,0.0,25.48
2022-03-12 05:00:00,2022-03-12 06:00:00,93.25,166.0,7.72,29.45,21.93,56.15,20.15,0.77,11.3,4.53,0.35,0.1,6.28,11.2,67.25,0.58,180.5,9.0,,0.0,25.38
2022-03-12 06:00:00,2022-03-12 07:00:00,89.0,169.75,15.32,37.5,32.38,54.7,17.52,0.89,5.92,4.58,0.32,0.08,6.62,10.77,65.0,0.55,239.75,18.75,,0.0,25.6
2022-03-12 07:00:00,2022-03-12 08:00:00,130.25,242.25,23.95,49.9,46.02,67.85,31.4,1.15,6.15,4.95,0.6,0.1,7.12,12.1,58.5,0.5,307.75,75.0,,0.0,26.15
2022-03-12 08:00:00,2022-03-12 09:00:00,252.0,435.5,27.23,63.8,56.1,76.53,25.52,1.3,12.88,5.35,0.95,0.12,7.03,13.85,52.75,0.47,81.0,179.5,,0.0,27.07
2022-03-12 09:00:00,2022-03-12 10:00:00,273.0,510.0,20.48,69.88,53.8,80.67,32.05,1.04,27.32,5.3,1.1,0.15,6.53,14.88,44.75,1.27,87.0,296.25,,0.0,28.02
2022-03-12 10:00:00,2022-03-12 11:00:00,165.75,341.25,10.5,33.17,26.17,63.92,16.7,0.57,50.7,2.77,0.28,0.03,2.02,6.7,36.75,1.93,107.5,393.5,,0.0,28.9
2022-03-12 11:00:00,2022-03-12 12:00:00,59.5,159.75,8.07,15.12,14.6,47.75,12.85,0.53,44.67,2.05,0.1,,0.9,2.97,32.0,2.9,89.25,447.75,,0.0,29.38
