From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (),CO2 (mg/m3),RF (mm)
2016-10-24 18:00:00,2016-10-24 19:00:00,59.79,127.2,25.99,10.45,38.12,2.15,25.88,,
2016-10-24 19:00:00,2016-10-24 20:00:00,,,,,,,,,
2016-10-24 20:00:00,2016-10-24 21:00:00,,,,,,,,,
2016-10-24 21:00:00,2016-10-24 22:00:00,,,,,,,,,
2016-10-24 22:00:00,2016-10-24 23:00:00,,,,,,,,,
2016-10-24 23:00:00,2016-10-25 00:00:00,,,,,,,,,
2016-10-25 00:00:00,2016-10-25 01:00:00,,,,,,,,,
2016-10-25 01:00:00,2016-10-25 02:00:00,,,,,,,,,
2016-10-25 02:00:00,2016-10-25 03:00:00,,,,,,,,,
2016-10-25 03:00:00,2016-10-25 04:00:00,,,,,,,,,
2016-10-25 04:00:00,2016-10-25 05:00:00,,,,,,,,,
2016-10-25 05:00:00,2016-10-25 06:00:00,,,,,,,,,
2016-10-25 06:00:00,2016-10-25 07:00:00,,,,,,,,,
2016-10-25 07:00:00,2016-10-25 08:00:00,,,,,,,,,
2016-10-25 08:00:00,2016-10-25 09:00:00,,,,,,,,,
2016-10-25 09:00:00,2016-10-25 10:00:00,,,,,,,,,
2016-10-25 10:00:00,2016-10-25 11:00:00,,,,,,,,,
2016-10-25 11:00:00,2016-10-25 12:00:00,,,,,,,,,
2016-10-25 12:00:00,2016-10-25 13:00:00,,,,,,,,,
2016-10-25 13:00:00,2016-10-25 14:00:00,,,,,,,,,
2016-10-25 14:00:00,2016-10-25 15:00:00,,,,,,,,,
2016-10-25 15:00:00,2016-10-25 16:00:00,,,,,,,37.56,,
2016-10-25 16:00:00,2016-10-25 17:00:00,,,,,,1.19,,,
2016-10-25 17:00:00,2016-10-25 18:00:00,,,,,,0.68,,,
2016-10-25 18:00:00,2016-10-25 19:00:00,,,,,,0.73,,,
2016-10-25 19:00:00,2016-10-25 20:00:00,,,,,,0.74,,,
2016-10-25 20:00:00,2016-10-25 21:00:00,,,,,,0.78,,,
2016-10-25 21:00:00,2016-10-25 22:00:00,,,,,,0.88,,,
2016-10-25 22:00:00,2016-10-25 23:00:00,,,,,,1.02,,,
2016-10-25 23:00:00,2016-10-26 00:00:00,,,,,,1.12,,,
2016-10-26 00:00:00,2016-10-26 01:00:00,,,,,,1.18,,,
2016-10-26 01:00:00,2016-10-26 02:00:00,,,,,,1.22,,,
2016-10-26 02:00:00,2016-10-26 03:00:00,,,,,,1.17,,,
2016-10-26 03:00:00,2016-10-26 04:00:00,,,,,,1.13,,,
2016-10-26 04:00:00,2016-10-26 05:00:00,,,,,,1.11,,,
2016-10-26 05:00:00,2016-10-26 06:00:00,,,,,,1.08,,,
2016-10-26 06:00:00,2016-10-26 07:00:00,,,,,,1.06,,,
2016-10-26 07:00:00,2016-10-26 08:00:00,,,,,,,,,
2016-10-26 08:00:00,2016-10-26 09:00:00,,,,,,,,,
2016-10-26 09:00:00,2016-10-26 10:00:00,,,,,,,,,
2016-10-26 10:00:00,2016-10-26 11:00:00,,,,,,,,,
