From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2020-03-05 15:00:00,2020-03-05 16:00:00,28.29,69.77,0.17,22.93,12.08,,3.51,0.45,75.97,3.4,1.72,6.52,11.62,53.06,2.5,108.67,489.13,9.04,24.09,0.0
2020-03-05 16:00:00,2020-03-05 17:00:00,20.72,61.56,0.45,21.02,11.33,,6.86,0.43,80.53,3.62,2.25,7.46,13.96,55.42,2.3,106.78,144.85,10.81,23.21,0.0
2020-03-05 17:00:00,2020-03-05 18:00:00,41.66,64.27,2.12,18.96,11.61,,11.88,0.45,50.88,3.93,2.78,8.7,16.19,62.08,1.97,100.09,27.33,12.57,22.33,0.0
2020-03-05 18:00:00,2020-03-05 19:00:00,51.48,59.02,0.32,21.7,11.58,,11.23,0.45,58.39,4.02,2.88,9.09,16.56,65.22,1.16,100.43,0.4,12.89,21.47,0.0
2020-03-05 19:00:00,2020-03-05 20:00:00,51.11,60.94,2.73,21.18,13.26,,15.17,0.52,25.59,4.35,3.15,9.79,17.61,73.56,0.86,214.64,,13.45,20.2,0.0
2020-03-05 20:00:00,2020-03-05 21:00:00,51.72,67.09,8.52,20.92,17.76,,14.29,0.58,37.26,4.83,3.91,11.34,20.69,91.64,1.93,181.88,0.17,15.32,14.7,0.0
2020-03-05 21:00:00,2020-03-05 22:00:00,46.73,57.89,8.0,23.41,18.64,,16.44,0.55,46.13,4.71,4.24,11.78,22.36,84.46,2.28,112.14,3.2,16.15,15.0,0.0
2020-03-05 22:00:00,2020-03-05 23:00:00,35.36,44.6,5.93,24.37,17.49,,16.19,0.52,48.61,4.17,4.11,11.07,21.15,77.05,2.2,94.56,5.8,15.46,15.93,0.0
2020-03-05 23:00:00,2020-03-06 00:00:00,32.5,34.53,4.79,23.05,15.89,,16.63,0.49,40.73,3.88,4.03,10.79,20.4,74.34,0.83,146.85,3.07,15.02,16.28,0.0
2020-03-06 00:00:00,2020-03-06 01:00:00,27.94,47.87,15.71,22.57,24.39,,18.25,0.5,31.57,3.91,4.32,11.2,21.06,81.27,1.29,58.77,1.05,15.55,15.75,0.0
2020-03-06 01:00:00,2020-03-06 02:00:00,26.01,45.59,11.79,22.71,21.32,,17.94,0.47,37.86,3.66,4.39,11.17,20.86,83.46,2.2,91.09,0.5,15.49,15.46,0.0
2020-03-06 02:00:00,2020-03-06 03:00:00,28.56,36.43,8.36,23.82,19.15,,16.62,0.45,43.52,3.7,4.19,10.48,19.53,78.82,1.86,101.64,,14.68,15.6,0.0
2020-03-06 03:00:00,2020-03-06 04:00:00,24.55,32.03,8.59,23.47,19.15,,17.48,0.44,30.98,3.7,4.21,10.34,19.51,82.98,1.97,135.81,,14.61,15.21,0.0
2020-03-06 04:00:00,2020-03-06 05:00:00,23.47,30.16,5.08,23.25,16.22,,12.49,0.41,72.49,3.62,4.29,10.54,20.32,78.27,2.89,85.66,4.15,14.96,15.24,0.0
2020-03-06 05:00:00,2020-03-06 06:00:00,,,3.61,22.68,14.74,,14.54,0.4,25.11,3.19,3.96,9.87,19.16,73.5,1.11,226.58,3.77,14.21,16.32,0.0
2020-03-06 06:00:00,2020-03-06 07:00:00,22.97,27.36,11.51,22.03,20.74,,16.57,0.43,9.45,3.57,4.28,10.54,20.54,94.81,0.81,147.46,,15.19,14.18,0.0
2020-03-06 07:00:00,2020-03-06 08:00:00,23.79,26.36,15.03,21.32,23.19,,17.29,0.45,10.46,3.74,4.49,10.96,21.19,98.91,0.64,118.24,8.72,15.62,13.64,0.0
2020-03-06 08:00:00,2020-03-06 09:00:00,26.65,31.36,14.5,20.9,22.55,,14.6,0.46,28.91,3.61,4.58,11.08,21.17,98.11,1.19,71.6,142.55,15.6,14.2,0.0
2020-03-06 09:00:00,2020-03-06 10:00:00,26.47,32.24,10.64,20.2,19.09,,17.94,0.49,35.79,4.02,4.67,11.23,21.26,89.77,2.15,78.19,373.83,15.73,16.19,0.0
2020-03-06 10:00:00,2020-03-06 11:00:00,,,9.09,21.67,18.61,,16.23,0.48,47.29,3.95,4.43,10.73,20.23,80.8,3.25,100.97,619.92,15.1,17.34,0.0
2020-03-06 11:00:00,2020-03-06 12:00:00,,,5.59,23.61,16.82,,14.1,0.46,54.58,3.97,4.0,10.11,19.08,69.81,3.18,99.59,805.42,14.35,19.09,0.0
2020-03-06 12:00:00,2020-03-06 13:00:00,,,3.49,24.64,15.67,,10.66,0.43,62.41,3.85,3.6,9.55,18.25,64.51,3.48,95.8,579.0,13.73,19.86,0.0
2020-03-06 13:00:00,2020-03-06 14:00:00,,,2.7,24.98,15.21,,11.26,0.42,56.62,3.5,3.25,8.95,17.33,68.38,3.54,100.45,535.2,13.13,19.99,0.0
2020-03-06 14:00:00,2020-03-06 15:00:00,,,2.74,24.84,15.18,,11.4,0.42,59.68,3.59,3.17,8.79,16.95,70.31,3.37,101.56,256.32,13.08,19.67,0.0
2020-03-06 15:00:00,2020-03-06 16:00:00,,,1.58,24.3,13.96,,11.79,0.43,63.0,3.38,3.16,8.87,16.9,73.84,2.67,113.0,58.9,13.12,19.23,0.0
2020-03-06 16:00:00,2020-03-06 17:00:00,26.7,35.46,4.71,23.75,16.19,,11.12,0.46,30.83,3.78,3.46,9.48,17.94,95.17,2.03,254.68,2.7,13.87,13.64,0.0
2020-03-06 17:00:00,2020-03-06 18:00:00,18.75,27.47,8.86,23.79,19.53,,15.73,0.49,33.82,3.9,4.0,10.62,20.33,99.13,0.73,66.51,6.53,15.21,12.76,0.0
