From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2023-02-27 18:00:00,2023-02-27 19:00:00,39.43,110.03,24.47,68.01,56.07,1.07,1.31,43.64
2023-02-27 19:00:00,2023-02-27 20:00:00,57.07,135.78,10.62,57.01,38.96,2.11,1.85,30.75
2023-02-27 20:00:00,2023-02-27 21:00:00,57.38,160.75,41.29,70.66,60.41,4.82,2.01,15.21
2023-02-27 21:00:00,2023-02-27 22:00:00,59.22,153.72,6.0,58.2,35.84,3.97,1.27,22.92
2023-02-27 22:00:00,2023-02-27 23:00:00,60.65,153.35,1.73,41.88,23.68,2.88,0.79,33.6
2023-02-27 23:00:00,2023-02-28 00:00:00,76.95,202.3,3.29,34.42,20.98,3.68,0.88,33.9
2023-02-28 00:00:00,2023-02-28 01:00:00,89.35,163.15,14.35,75.34,51.75,15.96,1.57,9.13
2023-02-28 01:00:00,2023-02-28 02:00:00,110.03,220.97,16.2,65.22,47.86,39.22,2.9,8.85
2023-02-28 02:00:00,2023-02-28 03:00:00,125.18,277.17,8.76,54.19,35.95,35.99,3.16,9.54
2023-02-28 03:00:00,2023-02-28 04:00:00,127.38,248.88,5.41,41.65,26.55,25.66,2.82,8.11
2023-02-28 04:00:00,2023-02-28 05:00:00,122.47,211.53,5.84,43.62,27.95,27.03,2.77,9.03
2023-02-28 05:00:00,2023-02-28 06:00:00,123.75,220.1,4.79,40.19,25.26,15.45,2.11,7.75
2023-02-28 06:00:00,2023-02-28 07:00:00,140.5,307.1,11.79,42.73,32.32,10.54,2.06,9.46
2023-02-28 07:00:00,2023-02-28 08:00:00,195.35,573.03,16.08,64.23,47.24,39.16,3.81,21.27
2023-02-28 08:00:00,2023-02-28 09:00:00,271.23,726.95,4.82,72.06,42.25,109.31,6.91,74.18
2023-02-28 09:00:00,2023-02-28 10:00:00,308.9,526.45,2.17,31.27,18.4,54.98,1.66,89.41
2023-02-28 10:00:00,2023-02-28 11:00:00,169.68,330.58,1.88,20.12,12.23,42.82,0.88,104.93
2023-02-28 11:00:00,2023-02-28 12:00:00,106.55,192.78,0.67,16.76,9.46,40.62,1.64,154.55
2023-02-28 12:00:00,2023-02-28 13:00:00,107.62,174.77,1.48,22.43,13.12,25.98,1.33,140.47
2023-02-28 13:00:00,2023-02-28 14:00:00,86.85,183.9,1.85,17.87,11.01,12.22,1.04,106.79
2023-02-28 14:00:00,2023-02-28 15:00:00,60.08,132.17,17.8,67.08,50.15,11.29,1.8,97.06
2023-02-28 15:00:00,2023-02-28 16:00:00,52.5,141.02,3.68,16.91,11.98,8.16,1.34,108.26
