From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
2021-02-09 11:00:00,2021-02-09 12:00:00,91.31,130.06,7.92,14.33,22.26,32.27,9.77,1.28,3.71,13.96,15.04,86.63,,,,74.89,0.73,,201.55,63.95,0.0
2021-02-09 12:00:00,2021-02-09 13:00:00,91.65,134.68,8.25,15.02,23.27,24.32,10.42,1.25,2.54,13.21,16.13,90.97,,,,70.84,0.35,129.67,218.55,67.12,0.0
2021-02-09 13:00:00,2021-02-09 14:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-09 14:00:00,2021-02-09 15:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-09 15:00:00,2021-02-09 16:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:00:00,2021-02-09 17:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-09 17:00:00,2021-02-09 18:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-09 18:00:00,2021-02-09 19:00:00,116.29,189.69,7.96,28.19,36.15,33.43,16.84,1.68,2.43,15.64,20.35,131.48,,,,71.28,0.31,157.1,2.0,93.08,0.0
2021-02-09 19:00:00,2021-02-09 20:00:00,124.65,217.95,10.77,32.09,42.86,29.37,16.41,1.99,4.63,18.12,23.26,149.75,,,,74.36,0.41,144.0,0.8,103.79,0.0
2021-02-09 20:00:00,2021-02-09 21:00:00,135.12,239.99,9.95,24.13,34.08,25.36,19.89,1.98,2.65,18.13,21.65,142.11,,,,77.35,0.3,171.41,,96.84,0.0
