From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),AT ()
2018-06-19 16:00:00,2018-06-19 17:00:00,0.03,0.98,1.58,5.79,7.37,5.05,0.14,0.11,24.49,0.0,,,,,52.34,0.43,209.54,
2018-06-19 17:00:00,2018-06-19 18:00:00,0.02,0.98,1.94,7.62,9.57,4.18,0.08,0.19,21.99,0.12,,,0.49,,56.16,0.43,182.63,
2018-06-19 18:00:00,2018-06-19 19:00:00,0.03,0.98,2.17,9.05,11.22,4.45,,0.18,16.72,0.05,,,0.21,,60.37,0.42,173.54,
2018-06-19 19:00:00,2018-06-19 20:00:00,,,,,,,,,,,,,,,,,,
2018-06-19 20:00:00,2018-06-19 21:00:00,0.02,0.98,2.92,6.71,9.66,,,0.1,7.47,0.05,,,0.38,,69.08,0.41,178.41,
2018-06-19 21:00:00,2018-06-19 22:00:00,,0.98,3.67,7.97,11.6,,,0.04,6.2,0.05,,,0.51,,71.93,0.4,103.33,
2018-06-19 22:00:00,2018-06-19 23:00:00,0.02,0.98,2.0,4.3,6.31,,,,6.97,0.05,,,1.66,,76.4,0.41,173.72,
2018-06-19 23:00:00,2018-06-20 00:00:00,0.02,0.98,2.25,3.61,5.83,0.13,,,7.4,0.05,,,0.81,,79.29,0.4,194.08,
2018-06-20 00:00:00,2018-06-20 01:00:00,0.03,0.98,1.93,2.89,4.83,,,,6.68,0.05,,,0.89,,82.56,0.37,203.2,
2018-06-20 01:00:00,2018-06-20 02:00:00,0.02,0.98,2.04,2.6,4.64,,,,7.04,0.05,,,0.97,,83.53,0.4,207.8,
2018-06-20 02:00:00,2018-06-20 03:00:00,0.02,0.98,1.67,2.38,4.03,,,,6.8,0.06,,,1.52,,84.46,0.41,129.43,
2018-06-20 03:00:00,2018-06-20 04:00:00,0.02,0.98,1.73,2.33,4.06,,,,8.55,0.04,,,0.96,,83.47,0.41,177.17,
2018-06-20 04:00:00,2018-06-20 05:00:00,,0.98,1.68,2.69,4.37,,,,8.21,0.03,,,2.6,,84.9,0.38,207.82,
2018-06-20 05:00:00,2018-06-20 06:00:00,,0.98,2.33,2.43,4.8,,,,9.53,0.05,,,1.09,,85.37,0.43,212.67,
2018-06-20 06:00:00,2018-06-20 07:00:00,,0.98,2.08,3.57,5.67,,,,7.71,0.03,,,1.0,,86.35,0.38,222.85,
2018-06-20 07:00:00,2018-06-20 08:00:00,,,,,,,,,,,,,,,,,,
2018-06-20 08:00:00,2018-06-20 09:00:00,,,,,,,,,,,,,,,,,,
2018-06-20 09:00:00,2018-06-20 10:00:00,,,,,,,,,,,,,,,,,,
2018-06-20 10:00:00,2018-06-20 11:00:00,,0.98,2.12,5.58,7.69,2.12,,0.22,22.62,0.04,,,1.5,,63.29,0.46,151.92,
2018-06-20 11:00:00,2018-06-20 12:00:00,0.02,0.91,1.83,6.72,8.57,4.55,,0.3,29.31,0.04,,,1.46,,60.42,0.46,176.01,
2018-06-20 12:00:00,2018-06-20 13:00:00,,,,,,,,,,,,,,,,,,
2018-06-20 13:00:00,2018-06-20 14:00:00,0.02,,1.41,5.18,6.59,9.09,,0.35,31.86,0.04,,,0.27,,53.38,0.42,139.58,
2018-06-20 14:00:00,2018-06-20 15:00:00,,,,,,,,,,,,,,,,,,
2018-06-20 15:00:00,2018-06-20 16:00:00,0.02,,1.69,5.98,7.67,5.92,,0.45,26.83,0.06,,,0.2,,53.02,0.46,182.38,
2018-06-20 16:00:00,2018-06-20 17:00:00,3.15,,1.87,6.22,8.08,7.18,,0.32,22.64,0.06,,,0.18,,52.67,0.49,151.88,
2018-06-20 17:00:00,2018-06-20 18:00:00,847.86,422.14,2.04,5.31,7.37,10.91,,0.26,22.6,0.04,,,0.15,,54.06,0.47,136.29,
2018-06-20 18:00:00,2018-06-20 19:00:00,11.0,985.0,1.6,8.3,9.9,8.0,,0.4,18.3,0.06,,,0.1,,64.6,0.45,65.0,
2018-06-20 19:00:00,2018-06-20 20:00:00,16.78,61.22,1.81,8.01,9.83,7.73,,0.36,15.75,0.07,,,0.12,,67.67,0.38,197.18,
2018-06-20 20:00:00,2018-06-20 21:00:00,27.61,36.64,1.17,4.97,6.13,4.93,,0.3,13.35,0.05,,,0.22,,72.75,0.39,192.05,
2018-06-20 21:00:00,2018-06-20 22:00:00,14.0,23.4,1.4,4.28,5.7,3.76,,0.25,11.9,0.05,,,0.33,,73.78,0.4,198.2,
2018-06-20 22:00:00,2018-06-20 23:00:00,14.0,21.0,1.73,5.65,7.41,1.44,,0.25,9.51,0.06,,,0.45,,78.38,0.38,221.19,
2018-06-20 23:00:00,2018-06-21 00:00:00,15.0,27.0,2.2,6.24,8.47,1.03,,0.22,8.29,0.06,,0.86,0.48,,80.7,0.39,149.06,
2018-06-21 00:00:00,2018-06-21 01:00:00,18.0,23.0,1.86,4.95,6.8,2.27,,0.2,11.65,0.06,,,0.48,,80.11,0.4,95.0,
2018-06-21 01:00:00,2018-06-21 02:00:00,3.0,6.0,2.23,4.57,6.83,3.67,0.02,0.34,12.11,0.06,,,0.7,,79.82,0.4,170.42,
2018-06-21 02:00:00,2018-06-21 03:00:00,5.0,12.0,1.42,4.99,6.38,3.48,0.26,0.38,11.71,0.09,,,1.04,,83.65,0.41,136.81,
2018-06-21 03:00:00,2018-06-21 04:00:00,17.0,19.0,2.0,4.35,6.34,3.07,0.16,0.33,11.77,0.1,,,1.95,,83.99,0.39,139.79,
2018-06-21 04:00:00,2018-06-21 05:00:00,9.0,9.0,2.22,4.06,6.24,2.72,0.22,0.32,12.45,0.06,,,3.7,,83.81,0.39,222.69,
2018-06-21 05:00:00,2018-06-21 06:00:00,12.0,14.0,2.47,4.06,6.54,1.94,0.23,0.43,11.07,0.06,,,4.0,,83.87,0.32,221.54,
2018-06-21 06:00:00,2018-06-21 07:00:00,10.0,16.0,3.13,5.09,8.19,1.69,0.31,0.52,10.35,0.05,,,4.09,,86.04,0.33,199.14,
2018-06-21 07:00:00,2018-06-21 08:00:00,8.0,17.0,5.0,6.55,11.59,0.85,0.24,0.45,10.52,0.06,,,4.31,,84.32,0.35,135.88,
2018-06-21 08:00:00,2018-06-21 09:00:00,11.0,26.0,4.67,5.7,10.37,0.6,0.22,0.04,11.4,0.07,,,4.29,,77.67,0.37,99.0,
