From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2019-07-19 10:00:00,2019-07-19 11:00:00,25.78,48.02,,25.46,34.34,32.74,5.04,0.73,17.74,2.24,9.39,1.09,5.51,,74.65,0.01,231.57,228.67,869.12,2.13,25.11,0.0
2019-07-19 11:00:00,2019-07-19 12:00:00,24.32,46.32,,26.54,33.72,31.81,5.83,0.85,22.06,2.38,9.15,0.97,4.5,,69.75,0.02,302.63,328.9,869.1,1.7,26.08,0.0
2019-07-19 12:00:00,2019-07-19 13:00:00,22.25,43.4,,22.96,28.05,27.39,4.72,0.5,27.45,1.7,8.73,1.66,8.76,,65.02,0.01,265.27,488.16,869.17,2.79,27.25,0.0
2019-07-19 13:00:00,2019-07-19 14:00:00,16.71,42.17,,25.97,31.98,29.86,4.82,0.64,28.37,1.15,6.72,1.01,5.46,,62.41,0.02,278.71,367.82,869.17,1.78,27.91,0.0
2019-07-19 14:00:00,2019-07-19 15:00:00,21.75,36.99,,14.67,17.5,18.62,4.75,0.36,30.67,1.14,7.57,0.9,4.8,,62.64,0.01,228.58,440.74,869.2,1.81,28.0,0.0
2019-07-19 15:00:00,2019-07-19 16:00:00,18.95,30.41,,11.3,13.65,14.46,4.88,0.32,27.88,0.94,4.39,1.11,7.43,,66.81,,220.72,400.21,869.23,2.07,27.47,0.0
2019-07-19 16:00:00,2019-07-19 17:00:00,14.19,30.99,,13.84,17.52,17.86,4.09,0.3,22.33,0.7,4.86,0.6,3.35,,84.81,0.01,219.26,204.44,869.22,1.13,24.14,0.5
2019-07-19 17:00:00,2019-07-19 18:00:00,13.96,33.84,,18.02,22.7,22.26,3.26,0.32,18.82,0.78,4.94,0.53,2.58,,93.59,0.01,219.96,141.15,869.1,0.99,22.58,0.45
2019-07-19 18:00:00,2019-07-19 19:00:00,14.73,27.08,,21.68,27.12,26.61,4.18,0.76,16.49,1.17,12.52,0.97,5.48,,93.65,0.01,207.04,118.88,869.1,2.09,22.41,0.2
2019-07-19 19:00:00,2019-07-19 20:00:00,12.12,23.31,,17.85,21.32,22.6,4.17,0.52,17.66,2.1,15.73,1.62,9.13,,90.08,0.01,225.61,108.64,869.1,3.45,22.44,0.05
2019-07-19 20:00:00,2019-07-19 21:00:00,10.12,18.57,,21.29,26.59,26.47,4.17,0.61,15.01,1.36,10.29,1.08,6.11,,89.83,0.01,227.21,110.85,869.1,2.3,22.36,0.0
2019-07-19 21:00:00,2019-07-19 22:00:00,8.23,13.69,,15.05,18.61,19.95,4.12,0.47,16.27,1.07,7.88,0.89,4.95,,89.71,0.01,209.56,111.51,869.1,1.88,22.33,0.0
2019-07-19 22:00:00,2019-07-19 23:00:00,9.14,12.04,,11.46,14.06,15.54,4.95,0.48,17.39,0.65,4.9,0.57,2.9,,90.61,,202.52,111.83,869.1,1.1,22.07,0.0
2019-07-19 23:00:00,2019-07-20 00:00:00,7.84,6.92,,8.92,10.53,12.45,5.29,0.38,20.06,0.5,3.68,0.43,2.01,,90.4,0.01,212.63,110.33,869.1,0.78,21.8,0.0
2019-07-20 00:00:00,2019-07-20 01:00:00,5.52,5.47,,6.21,7.42,9.59,4.18,0.16,25.29,0.3,1.63,0.19,0.76,,88.69,0.01,206.68,111.37,869.1,0.29,21.31,0.0
2019-07-20 01:00:00,2019-07-20 02:00:00,4.83,5.44,,5.27,5.99,8.66,3.91,0.11,29.43,0.18,1.14,0.12,0.47,,86.93,0.01,183.95,112.11,869.1,0.18,21.18,0.0
