From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-01-01 14:00:00,2020-01-01 15:00:00,43.63,91.7,0.21,4.1,4.27,5.96,6.9,0.7,70.81,,3.0,,,49.37,1.63,110.81,264.15,931.07,0.95,28.9,0.0
2020-01-01 15:00:00,2020-01-01 16:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-01 16:00:00,2020-01-01 17:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-01 17:00:00,2020-01-01 18:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-01 18:00:00,2020-01-01 19:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-01 19:00:00,2020-01-01 20:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-01 20:00:00,2020-01-01 21:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-01 21:00:00,2020-01-01 22:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-01 22:00:00,2020-01-01 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-01 23:00:00,2020-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 00:00:00,2020-01-02 01:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 01:00:00,2020-01-02 02:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 02:00:00,2020-01-02 03:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 03:00:00,2020-01-02 04:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 04:00:00,2020-01-02 05:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 05:00:00,2020-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 06:00:00,2020-01-02 07:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 07:00:00,2020-01-02 08:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 08:00:00,2020-01-02 09:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 09:00:00,2020-01-02 10:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 10:00:00,2020-01-02 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 11:00:00,2020-01-02 12:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 12:00:00,2020-01-02 13:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 13:00:00,2020-01-02 14:00:00,,,,,,,,,,,,,,,,,,,,,
2020-01-02 14:00:00,2020-01-02 15:00:00,,,,,,,,,,,,,,,,,,,,,
