From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),Xylene (ug/m3),AT (degree C)
2020-12-16 09:00:00,2020-12-16 10:00:00,51.8,85.13,13.63,11.54,25.17,8.45,20.91,0.78,4.92,,,,,,69.61,0.3,1.25,,22.92
2020-12-16 10:00:00,2020-12-16 11:00:00,42.55,74.22,12.24,14.36,26.6,9.48,21.29,0.77,5.04,,,,,,59.38,0.3,1.23,,25.14
2020-12-16 11:00:00,2020-12-16 12:00:00,48.0,73.36,8.76,19.17,27.94,8.8,20.49,0.88,5.1,,,,,,53.55,0.31,1.26,,26.39
2020-12-16 12:00:00,2020-12-16 13:00:00,43.27,58.51,7.15,18.53,25.68,8.38,20.43,0.92,5.2,,,,,,47.36,0.32,1.41,,26.36
2020-12-16 13:00:00,2020-12-16 14:00:00,32.45,62.38,6.33,19.03,25.36,8.27,20.84,0.87,4.91,,,,,,43.21,0.31,1.34,,27.96
2020-12-16 14:00:00,2020-12-16 15:00:00,27.78,75.09,7.04,19.45,26.5,8.52,21.76,0.85,5.01,,,,,,45.79,0.31,1.17,,27.77
2020-12-16 15:00:00,2020-12-16 16:00:00,29.39,67.94,8.57,19.17,27.74,8.65,24.23,1.02,5.13,,,,,,47.07,0.3,1.26,,27.2
2020-12-16 16:00:00,2020-12-16 17:00:00,29.6,85.2,11.95,18.57,30.52,8.7,23.65,1.02,4.94,,,,,,47.49,0.3,1.25,,27.12
2020-12-16 17:00:00,2020-12-16 18:00:00,32.18,93.47,14.01,20.41,34.42,7.89,23.32,0.98,4.77,,,,,,50.62,0.28,1.24,,25.86
2020-12-16 18:00:00,2020-12-16 19:00:00,39.63,100.2,17.14,18.75,35.89,8.01,22.86,1.09,5.03,,,,,,55.69,0.28,1.19,,25.29
2020-12-16 19:00:00,2020-12-16 20:00:00,43.59,108.47,17.89,18.73,36.61,7.93,22.06,1.17,4.81,,,,,,60.1,0.28,1.16,,23.97
2020-12-16 20:00:00,2020-12-16 21:00:00,47.98,104.35,17.14,18.44,35.56,7.34,20.6,1.18,5.13,,,,,,67.18,0.28,1.08,,23.7
2020-12-16 21:00:00,2020-12-16 22:00:00,49.03,71.4,10.11,24.68,34.77,6.76,20.32,1.14,4.95,,,,,,70.36,0.28,0.96,,22.84
2020-12-16 22:00:00,2020-12-16 23:00:00,44.03,64.84,7.62,22.25,29.87,6.49,19.85,1.08,5.33,,,,,,72.49,0.28,0.96,,22.89
2020-12-16 23:00:00,2020-12-17 00:00:00,42.18,111.4,10.26,17.35,27.62,6.07,21.54,1.06,4.96,,,,,,75.9,0.28,0.95,,21.66
2020-12-17 00:00:00,2020-12-17 01:00:00,38.7,105.44,12.62,13.26,25.88,5.61,21.22,0.96,4.78,,,,,,77.99,0.28,0.98,,21.86
2020-12-17 01:00:00,2020-12-17 02:00:00,34.0,45.0,13.13,10.43,23.57,6.56,21.6,0.86,5.25,,,,,,80.11,0.28,0.85,,21.45
2020-12-17 02:00:00,2020-12-17 03:00:00,47.0,70.16,14.65,8.7,23.35,6.85,21.44,0.82,5.36,,,,,,81.75,0.27,0.89,,21.3
2020-12-17 03:00:00,2020-12-17 04:00:00,43.82,67.58,15.78,9.12,24.91,6.18,20.82,0.75,5.51,,,,,,82.53,0.28,0.94,,20.97
2020-12-17 04:00:00,2020-12-17 05:00:00,31.5,49.18,14.68,9.41,24.1,5.99,18.98,0.63,5.68,,,,,,83.92,0.27,1.13,,20.41
2020-12-17 05:00:00,2020-12-17 06:00:00,20.0,25.0,12.63,10.01,22.64,5.14,18.27,0.53,5.53,,,,,,84.89,0.28,0.98,,20.35
2020-12-17 06:00:00,2020-12-17 07:00:00,36.82,46.31,10.36,10.65,21.0,5.09,17.75,0.52,5.38,,,,,,86.06,0.27,0.78,,20.14
2020-12-17 07:00:00,2020-12-17 08:00:00,41.96,56.47,10.6,10.61,21.23,4.83,18.17,0.57,5.2,,,,,,87.64,0.27,0.9,,19.91
2020-12-17 08:00:00,2020-12-17 09:00:00,51.79,67.84,11.63,9.94,21.56,6.11,21.23,0.66,5.2,,,,,,78.83,0.28,0.97,,21.83
2020-12-17 09:00:00,2020-12-17 10:00:00,49.05,85.82,12.38,9.94,22.31,6.39,20.49,0.71,5.29,,,,,,70.06,0.29,1.14,,23.64
2020-12-17 10:00:00,2020-12-17 11:00:00,45.76,78.44,9.34,14.81,24.14,6.64,20.31,0.72,5.13,,,,,,58.66,0.29,1.3,,25.64
2020-12-17 11:00:00,2020-12-17 12:00:00,49.2,87.23,7.91,17.8,25.71,7.0,20.98,0.76,5.57,,,,,,51.55,0.3,1.18,,26.37
2020-12-17 12:00:00,2020-12-17 13:00:00,44.45,90.75,8.04,17.55,25.59,7.26,20.6,0.74,5.35,,,,,,45.77,0.29,1.29,,28.12
2020-12-17 13:00:00,2020-12-17 14:00:00,37.82,84.07,6.12,18.48,24.61,7.2,20.55,0.71,5.27,,,,,,41.94,0.29,1.18,,29.29
2020-12-17 14:00:00,2020-12-17 15:00:00,34.41,64.05,3.54,18.45,21.98,9.59,21.96,0.74,5.34,,,,,,41.0,0.29,1.08,,29.62
2020-12-17 15:00:00,2020-12-17 16:00:00,30.03,60.93,6.01,18.02,24.03,8.89,21.7,0.71,5.47,,,,,,41.92,0.28,1.02,,29.34
2020-12-17 16:00:00,2020-12-17 17:00:00,31.21,71.23,4.82,21.54,26.37,10.97,24.64,0.88,5.76,,,,,,41.31,0.28,1.09,,28.21
2020-12-17 17:00:00,2020-12-17 18:00:00,38.97,88.2,5.7,20.92,26.62,10.83,22.82,0.95,5.48,,,,,,43.38,0.27,0.96,,27.14
2020-12-17 18:00:00,2020-12-17 19:00:00,51.7,173.25,10.28,18.7,28.98,9.21,21.57,1.08,5.51,,,,,,48.01,0.27,0.68,,26.21
2020-12-17 19:00:00,2020-12-17 20:00:00,74.31,331.51,20.23,22.82,43.05,8.14,21.42,1.77,4.87,,,,,,51.44,0.27,0.72,,25.54
2020-12-17 20:00:00,2020-12-17 21:00:00,79.1,331.27,24.82,29.2,54.02,7.75,22.61,2.17,4.85,,,,,,56.5,0.27,0.91,,24.51
2020-12-17 21:00:00,2020-12-17 22:00:00,50.45,124.26,16.32,28.45,44.77,6.71,21.97,1.75,5.21,,,,,,60.44,0.3,1.11,,23.47
2020-12-17 22:00:00,2020-12-17 23:00:00,44.13,122.0,11.75,25.69,37.44,6.84,22.06,1.45,4.93,,,,,,60.76,0.31,1.34,,23.38
2020-12-17 23:00:00,2020-12-18 00:00:00,50.42,108.07,8.02,22.16,30.18,6.63,21.86,1.18,5.39,,,,,,66.52,0.29,1.01,,22.73
2020-12-18 00:00:00,2020-12-18 01:00:00,45.37,60.36,7.31,17.8,25.12,6.21,22.63,1.02,5.65,,,,,,70.02,0.28,1.29,,22.19
2020-12-18 01:00:00,2020-12-18 02:00:00,43.0,46.49,7.55,14.2,21.75,6.44,23.04,0.86,4.89,,,,,,73.09,0.27,1.09,,21.91
2020-12-18 02:00:00,2020-12-18 03:00:00,42.02,48.0,7.63,11.82,19.45,6.46,22.62,0.77,5.34,,,,,,73.74,0.27,1.04,,21.32
2020-12-18 03:00:00,2020-12-18 04:00:00,,,8.22,11.22,19.45,6.04,23.13,0.71,5.03,,,,,,75.85,0.27,0.89,,21.67
2020-12-18 04:00:00,2020-12-18 05:00:00,,,8.75,11.0,19.75,6.64,22.62,0.64,5.33,,,,,,75.68,0.27,0.82,,21.19
2020-12-18 05:00:00,2020-12-18 06:00:00,57.0,66.69,10.09,11.96,22.05,5.68,21.1,0.57,5.14,,,,,,83.22,0.27,0.74,,19.98
2020-12-18 06:00:00,2020-12-18 07:00:00,57.0,78.12,10.48,11.46,21.94,5.34,19.99,0.57,5.19,,,,,,85.92,0.27,0.85,,19.23
2020-12-18 07:00:00,2020-12-18 08:00:00,,106.38,7.88,11.9,19.77,5.72,20.0,0.6,5.25,,,,,,84.2,0.27,0.9,,20.06
2020-12-18 08:00:00,2020-12-18 09:00:00,,98.76,5.17,13.17,18.34,5.87,19.71,0.68,4.95,,,,,,73.41,0.28,1.02,,22.16
2020-12-18 09:00:00,2020-12-18 10:00:00,,128.51,4.24,12.73,16.96,6.91,23.64,0.78,5.13,,,,,,64.38,0.29,1.19,,24.06
2020-12-18 10:00:00,2020-12-18 11:00:00,,119.67,3.29,20.71,24.02,8.33,24.27,0.94,4.79,,,,,,57.16,0.29,1.14,,25.63
2020-12-18 11:00:00,2020-12-18 12:00:00,,99.2,4.9,21.23,26.13,7.85,23.93,0.95,4.89,,,,,,50.68,0.3,1.4,,27.22
2020-12-18 12:00:00,2020-12-18 13:00:00,52.61,105.75,8.99,21.83,30.82,7.3,25.52,0.94,5.22,,,,,,43.35,0.3,1.38,,27.58
2020-12-18 13:00:00,2020-12-18 14:00:00,50.81,103.55,12.16,21.9,34.06,9.16,26.54,0.91,4.85,,,,,,40.19,0.3,1.25,,28.48
2020-12-18 14:00:00,2020-12-18 15:00:00,47.63,99.0,10.76,22.2,32.96,9.56,25.79,0.87,4.91,,,,,,36.23,0.29,1.05,,29.88
2020-12-18 15:00:00,2020-12-18 16:00:00,,,,,,,,,,,,,,,,,,,
2020-12-18 16:00:00,2020-12-18 17:00:00,48.0,108.0,3.46,21.64,25.1,11.63,26.07,0.68,4.86,,,,,,37.7,0.29,1.02,,28.37
2020-12-18 17:00:00,2020-12-18 18:00:00,48.4,109.95,4.37,21.43,25.8,11.29,26.59,0.71,5.16,,,,,,41.54,0.27,1.04,,27.77
2020-12-18 18:00:00,2020-12-18 19:00:00,57.74,153.64,9.99,21.22,31.2,9.6,24.97,1.02,4.94,,,,,,48.04,0.27,0.69,,26.25
2020-12-18 19:00:00,2020-12-18 20:00:00,84.11,288.82,19.84,26.65,46.5,7.53,24.05,1.71,4.98,,,,,,50.63,0.27,0.83,,25.55
2020-12-18 20:00:00,2020-12-18 21:00:00,96.85,312.78,22.53,27.38,49.92,7.34,24.31,2.06,5.03,,,,,,54.99,0.27,0.8,,24.59
2020-12-18 21:00:00,2020-12-18 22:00:00,84.02,197.71,21.3,25.89,47.19,7.61,25.07,1.98,4.5,,,,,,60.01,0.28,0.97,,23.7
2020-12-18 22:00:00,2020-12-18 23:00:00,69.95,148.48,17.37,22.78,40.15,6.83,23.58,1.75,4.94,,,,,,65.6,0.28,1.08,,23.2
2020-12-18 23:00:00,2020-12-19 00:00:00,53.19,86.0,15.05,19.05,34.11,6.39,22.77,1.45,5.54,,,,,,69.85,0.29,1.19,,22.11
2020-12-19 00:00:00,2020-12-19 01:00:00,48.44,55.45,12.1,17.62,29.71,5.63,22.02,1.19,5.31,,,,,,73.05,0.28,1.15,,21.83
2020-12-19 01:00:00,2020-12-19 02:00:00,46.6,60.0,9.91,15.41,25.31,6.08,22.09,0.99,5.49,,,,,,77.71,0.27,0.91,,21.5
2020-12-19 02:00:00,2020-12-19 03:00:00,45.61,60.0,10.4,12.4,22.79,6.34,23.57,0.89,5.17,,,,,,81.14,0.27,0.84,,20.75
2020-12-19 03:00:00,2020-12-19 04:00:00,,,11.95,8.79,20.74,6.51,23.01,0.83,5.12,,,,,,82.56,0.28,0.9,,20.4
2020-12-19 04:00:00,2020-12-19 05:00:00,55.0,67.87,12.25,8.64,20.89,6.05,22.42,0.79,5.43,,,,,,83.08,0.28,1.07,,19.93
2020-12-19 05:00:00,2020-12-19 06:00:00,62.15,71.69,13.34,8.54,21.87,6.68,22.7,0.81,5.11,,,,,,82.73,0.27,0.89,,20.07
2020-12-19 06:00:00,2020-12-19 07:00:00,73.0,80.0,13.46,9.09,22.55,7.13,22.94,0.81,5.42,,,,,,82.41,0.28,0.89,,20.12
2020-12-19 07:00:00,2020-12-19 08:00:00,,66.0,9.72,12.11,18.52,4.37,24.15,0.54,4.79,,,,,,80.81,0.29,0.98,,19.57
2020-12-19 08:00:00,2020-12-19 09:00:00,70.0,94.0,6.12,14.93,21.05,5.69,18.62,0.7,5.2,,,,,,72.63,0.3,1.24,,21.45
2020-12-19 09:00:00,2020-12-19 10:00:00,74.76,113.8,4.67,19.35,24.02,5.44,18.84,0.8,5.07,,,,,,61.73,0.31,1.35,,23.33
2020-12-19 10:00:00,2020-12-19 11:00:00,84.55,175.0,4.92,21.82,26.75,6.71,21.48,0.96,5.16,,,,,,49.46,0.31,1.27,,24.49
2020-12-19 11:00:00,2020-12-19 12:00:00,95.0,175.0,5.05,15.14,20.2,4.57,21.58,0.77,5.04,,,,,,39.71,0.31,1.42,,26.06
2020-12-19 12:00:00,2020-12-19 13:00:00,,125.0,4.4,20.76,25.16,6.33,21.45,0.85,4.95,,,,,,38.25,0.3,1.39,,26.91
2020-12-19 13:00:00,2020-12-19 14:00:00,60.37,126.73,5.74,20.5,26.24,7.17,22.92,0.9,4.96,,,,,,36.2,0.3,1.31,,27.7
2020-12-19 14:00:00,2020-12-19 15:00:00,66.2,132.25,7.17,21.94,29.11,9.19,24.16,0.94,5.24,,,,,,35.11,0.3,1.24,,28.68
2020-12-19 15:00:00,2020-12-19 16:00:00,63.42,125.67,7.43,26.19,33.62,8.73,23.14,0.98,4.7,,,,,,36.37,0.3,1.18,,28.26
2020-12-19 16:00:00,2020-12-19 17:00:00,62.97,112.78,6.64,26.57,33.21,8.55,23.05,0.96,5.05,,,,,,38.37,0.3,1.26,,27.27
2020-12-19 17:00:00,2020-12-19 18:00:00,69.57,150.33,5.58,27.16,32.73,7.31,22.3,1.01,5.17,,,,,,41.38,0.29,1.1,,25.97
2020-12-19 18:00:00,2020-12-19 19:00:00,76.98,173.0,6.2,27.37,33.57,6.67,21.72,1.04,5.04,,,,,,46.11,0.28,1.01,,24.84
2020-12-19 19:00:00,2020-12-19 20:00:00,83.14,,7.77,26.69,34.45,6.46,21.19,1.25,5.18,,,,,,48.31,0.29,1.23,,24.26
2020-12-19 20:00:00,2020-12-19 21:00:00,89.3,,4.28,33.72,38.0,7.16,22.12,1.48,5.21,,,,,,50.29,0.29,1.18,,23.31
2020-12-19 21:00:00,2020-12-19 22:00:00,77.42,,5.06,29.22,34.27,6.86,21.55,1.53,5.37,,,,,,54.04,0.29,1.09,,22.55
2020-12-19 22:00:00,2020-12-19 23:00:00,73.82,,6.07,24.73,30.81,6.83,21.95,1.44,5.11,,,,,,56.72,0.29,1.06,,22.13
2020-12-19 23:00:00,2020-12-20 00:00:00,72.0,,7.38,13.75,21.14,4.17,25.41,1.01,5.04,,,,,,59.63,0.28,0.83,,21.33
