From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2022-12-14 08:00:00,2022-12-14 09:00:00,28.04,55.69,4.73,14.59,11.59,11.05,0.24,0.51,27.37,0.63,0.65,0.27,0.78,,76.77,1.42,90.97,277.62,901.78,0.0,21.71
2022-12-14 09:00:00,2022-12-14 10:00:00,23.44,48.62,4.73,13.48,11.01,11.12,0.4,0.48,29.61,0.58,0.67,0.28,0.8,0.3,72.52,1.45,93.18,325.4,905.26,0.0,22.65
2022-12-14 10:00:00,2022-12-14 11:00:00,19.62,42.74,4.73,10.84,9.6,10.62,0.31,0.39,29.14,0.38,0.52,0.23,0.54,0.32,68.44,1.59,96.63,472.05,911.66,0.0,23.61
2022-12-14 11:00:00,2022-12-14 12:00:00,18.6,41.18,4.73,10.69,9.52,10.48,0.36,0.33,27.97,0.34,0.68,0.42,0.55,0.33,66.94,1.37,97.87,345.5,912.67,0.0,23.93
2022-12-14 12:00:00,2022-12-14 13:00:00,20.94,44.78,4.73,11.9,10.16,10.85,0.4,0.37,27.81,0.31,0.77,0.62,0.64,0.78,64.33,1.47,103.79,438.13,910.35,0.0,24.58
2022-12-14 13:00:00,2022-12-14 14:00:00,20.16,43.58,4.73,11.26,9.82,10.79,0.46,0.36,28.94,0.33,1.15,0.64,0.65,0.58,60.26,1.37,87.18,446.21,911.73,0.0,25.64
2022-12-14 14:00:00,2022-12-14 15:00:00,21.46,45.57,4.73,9.86,9.07,10.52,0.55,0.36,31.16,0.24,0.8,0.38,0.36,0.27,56.72,1.38,101.8,396.94,913.21,0.0,26.29
2022-12-14 15:00:00,2022-12-14 16:00:00,19.13,41.97,4.73,10.06,9.18,10.39,0.53,0.4,28.93,0.3,1.14,0.52,0.51,0.39,54.64,1.03,111.19,298.25,914.69,0.0,26.7
2022-12-14 16:00:00,2022-12-14 17:00:00,16.8,38.4,4.73,11.52,9.96,10.31,0.69,0.43,29.36,0.39,2.11,0.68,0.67,0.44,54.49,1.09,102.08,112.89,912.1,0.0,26.0
2022-12-14 17:00:00,2022-12-14 18:00:00,14.97,35.59,4.73,16.15,12.43,10.27,0.8,0.51,30.85,0.38,1.87,1.6,1.38,2.89,59.98,0.93,94.83,26.11,907.59,0.0,24.69
2022-12-14 18:00:00,2022-12-14 19:00:00,17.42,39.36,4.73,26.17,17.75,8.62,0.58,0.75,28.05,1.14,3.15,1.61,3.41,2.44,69.99,0.64,75.7,3.57,908.13,0.0,23.36
2022-12-14 19:00:00,2022-12-14 20:00:00,23.48,48.68,4.73,41.07,25.68,7.56,0.87,1.24,28.41,2.6,4.91,2.05,6.54,3.3,78.2,0.58,83.7,2.95,905.21,0.0,21.72
2022-12-14 20:00:00,2022-12-14 21:00:00,29.46,57.89,4.74,61.63,36.62,7.07,1.08,1.76,28.71,5.08,8.0,4.05,12.73,5.9,83.0,0.35,113.23,2.99,899.8,0.0,21.06
2022-12-14 21:00:00,2022-12-14 22:00:00,36.91,69.34,4.74,84.6,48.84,7.14,1.48,2.03,29.49,6.71,10.55,5.56,17.13,7.97,88.0,0.41,85.02,3.23,900.12,0.0,20.47
2022-12-14 22:00:00,2022-12-14 23:00:00,61.16,106.64,4.74,62.47,37.07,12.14,0.96,1.3,30.71,6.49,10.5,5.27,17.32,8.06,86.2,0.51,118.28,2.83,901.43,0.0,20.55
2022-12-14 23:00:00,2022-12-15 00:00:00,46.28,83.76,4.73,28.05,18.75,11.72,0.37,0.54,29.89,2.18,4.11,1.62,6.24,2.64,84.9,0.83,65.03,3.22,902.28,0.0,21.26
2022-12-15 00:00:00,2022-12-15 01:00:00,53.87,95.42,4.73,10.42,9.37,11.23,0.2,0.06,31.04,0.68,1.17,0.5,1.34,0.58,85.28,0.67,55.56,3.52,902.44,0.0,21.27
2022-12-15 01:00:00,2022-12-15 02:00:00,56.42,99.36,4.73,11.49,9.94,11.52,0.46,0.12,29.2,0.47,0.83,0.35,0.74,0.35,88.22,0.65,61.81,2.89,898.42,0.0,20.5
2022-12-15 02:00:00,2022-12-15 03:00:00,42.37,77.74,4.73,8.84,8.53,11.03,0.3,0.07,28.16,0.44,0.8,0.33,0.67,0.33,88.28,0.91,66.03,2.62,902.28,0.0,20.11
2022-12-15 03:00:00,2022-12-15 04:00:00,45.43,82.45,4.73,9.98,9.14,11.95,0.51,0.08,26.53,0.34,0.58,0.25,0.46,0.23,88.69,0.76,68.5,2.5,896.28,0.0,19.61
