From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm),Xylene (),AT (degree C)
2022-12-11 19:00:00,2022-12-11 20:00:00,42.26,62.6,4.88,10.23,9.41,21.91,2.88,1.0,3.73,0.0,6.18,,0.46,,74.08,26.76,236.93,932.8,971.01,0.0,,21.54
2022-12-11 20:00:00,2022-12-11 21:00:00,42.32,62.66,4.81,10.31,9.4,21.54,2.89,0.81,4.6,0.0,5.01,,2.07,,74.64,18.55,223.73,929.76,971.31,0.0,,21.54
2022-12-11 21:00:00,2022-12-11 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-11 22:00:00,2022-12-11 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-11 23:00:00,2022-12-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 00:00:00,2022-12-12 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 01:00:00,2022-12-12 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 02:00:00,2022-12-12 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 03:00:00,2022-12-12 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 04:00:00,2022-12-12 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 05:00:00,2022-12-12 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 06:00:00,2022-12-12 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 07:00:00,2022-12-12 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 08:00:00,2022-12-12 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 09:00:00,2022-12-12 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 10:00:00,2022-12-12 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 11:00:00,2022-12-12 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 12:00:00,2022-12-12 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 13:00:00,2022-12-12 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 14:00:00,2022-12-12 15:00:00,17.97,38.31,4.84,10.26,9.39,21.99,3.03,0.73,14.27,0.0,0.92,,0.13,,48.32,18.64,257.68,978.71,969.27,0.0,,25.34
2022-12-12 15:00:00,2022-12-12 16:00:00,19.87,40.21,4.86,10.23,9.39,21.89,2.96,0.72,15.13,0.0,1.31,0.04,0.49,,47.59,18.17,235.75,981.58,969.23,0.0,,24.89
2022-12-12 16:00:00,2022-12-12 17:00:00,21.94,42.28,4.88,10.21,9.4,21.77,2.96,0.72,14.77,0.0,1.39,0.04,0.48,,49.28,18.38,239.6,984.21,969.39,0.0,,23.34
2022-12-12 17:00:00,2022-12-12 18:00:00,21.16,41.5,4.93,10.14,9.4,21.97,2.88,0.76,10.62,0.0,1.83,0.06,0.67,,55.56,19.52,206.94,966.14,969.9,0.0,,21.78
2022-12-12 18:00:00,2022-12-12 19:00:00,19.35,39.69,4.88,10.22,9.4,21.84,2.87,0.79,8.53,0.0,2.64,0.04,1.22,,60.11,20.59,199.58,948.41,970.34,0.0,,21.52
2022-12-12 19:00:00,2022-12-12 20:00:00,16.41,36.75,4.88,10.22,9.41,21.99,2.84,0.77,7.06,0.0,2.3,0.17,1.12,,63.69,20.38,223.82,939.01,970.92,0.0,,21.52
2022-12-12 20:00:00,2022-12-12 21:00:00,16.05,36.39,4.89,10.2,9.4,22.35,2.79,0.75,7.92,0.0,1.98,,0.88,,64.75,17.16,227.29,933.08,971.51,0.0,,21.5
2022-12-12 21:00:00,2022-12-12 22:00:00,19.71,40.05,4.86,10.24,9.39,21.86,2.74,0.72,7.93,0.0,1.45,0.11,0.54,,66.31,20.85,247.54,922.72,971.84,0.0,,21.52
2022-12-12 22:00:00,2022-12-12 23:00:00,20.2,40.54,4.82,10.28,9.39,21.62,2.71,0.71,8.69,0.0,1.21,0.03,0.35,,67.6,22.25,272.3,920.89,971.85,0.0,,21.51
2022-12-12 23:00:00,2022-12-13 00:00:00,17.77,38.11,4.81,10.29,9.39,21.59,2.74,0.71,8.82,0.0,1.11,0.06,0.27,,67.76,21.79,243.9,916.86,971.68,0.0,,21.5
2022-12-13 00:00:00,2022-12-13 01:00:00,19.25,39.59,4.88,10.2,9.39,21.02,2.68,0.64,7.57,0.0,1.27,,0.36,,68.2,16.19,275.62,910.79,971.27,0.0,,21.51
2022-12-13 01:00:00,2022-12-13 02:00:00,22.4,42.74,4.89,10.19,9.4,21.47,2.69,0.64,6.05,0.0,1.3,0.04,0.31,,70.2,9.82,306.41,904.09,970.83,0.0,,21.52
2022-12-13 02:00:00,2022-12-13 03:00:00,24.5,44.84,4.82,10.29,9.39,21.38,2.67,0.62,4.94,0.0,1.32,0.06,0.21,,72.67,15.54,274.06,897.67,970.69,0.0,,21.5
2022-12-13 03:00:00,2022-12-13 04:00:00,25.91,46.26,4.87,10.22,9.4,22.27,2.67,0.62,4.38,0.0,1.33,0.02,0.19,,74.05,5.7,331.45,896.05,970.73,0.0,,21.5
2022-12-13 04:00:00,2022-12-13 05:00:00,25.2,45.54,4.87,10.22,9.39,22.3,2.61,0.63,4.16,0.0,1.36,,0.16,,74.64,4.96,223.87,895.38,970.98,0.0,,21.5
2022-12-13 05:00:00,2022-12-13 06:00:00,24.5,44.84,4.86,10.25,9.39,22.02,2.57,0.63,4.27,0.0,1.26,0.02,0.18,,74.06,8.28,315.16,897.38,971.39,0.0,,21.5
2022-12-13 06:00:00,2022-12-13 07:00:00,29.48,49.82,4.81,10.3,9.4,21.43,2.52,0.65,3.67,0.0,1.23,,0.2,,73.63,4.75,341.18,897.19,971.88,0.0,,21.55
2022-12-13 07:00:00,2022-12-13 08:00:00,32.12,52.46,4.87,10.22,9.4,21.76,2.46,0.67,3.63,0.0,1.19,,0.27,,72.19,4.47,176.68,900.27,972.32,0.0,,22.49
2022-12-13 08:00:00,2022-12-13 09:00:00,28.26,48.59,4.94,10.13,9.4,21.65,2.52,0.7,4.69,0.0,1.29,,0.2,,68.92,12.64,276.37,912.83,972.94,0.0,,23.77
2022-12-13 09:00:00,2022-12-13 10:00:00,22.2,42.54,4.9,10.17,9.39,21.65,2.47,0.68,6.12,0.0,1.99,,0.91,,64.22,21.11,257.0,929.13,973.3,0.0,,25.2
2022-12-13 10:00:00,2022-12-13 11:00:00,15.77,36.11,4.85,10.24,9.39,21.17,2.53,0.65,7.96,0.0,1.48,0.04,0.41,,58.08,21.71,243.26,945.55,973.17,0.0,,27.11
2022-12-13 11:00:00,2022-12-13 12:00:00,11.6,31.93,5.15,9.84,9.41,21.64,2.58,0.66,8.39,0.0,1.51,,0.82,,52.56,19.6,188.94,962.94,972.69,0.0,,27.99
2022-12-13 12:00:00,2022-12-13 13:00:00,10.55,30.89,5.14,9.85,9.41,22.4,2.54,0.65,9.74,0.0,1.27,,0.57,,48.6,18.86,210.5,973.51,971.98,0.0,,26.76
2022-12-13 13:00:00,2022-12-13 14:00:00,12.19,32.53,5.13,9.85,9.41,22.29,2.55,0.66,9.98,0.0,1.45,0.07,0.61,,47.2,16.71,187.76,974.31,971.3,0.0,,26.09
2022-12-13 14:00:00,2022-12-13 15:00:00,11.67,32.01,4.99,10.04,9.4,21.83,2.51,0.65,11.93,0.0,1.43,,0.73,,45.83,18.09,220.09,977.27,970.78,0.0,,25.04
2022-12-13 15:00:00,2022-12-13 16:00:00,12.17,32.51,4.86,10.24,9.39,21.09,2.54,0.66,10.83,0.0,1.63,,0.73,,46.62,18.36,163.87,975.41,970.56,0.0,,24.17
2022-12-13 16:00:00,2022-12-13 17:00:00,14.66,34.99,4.9,10.18,9.4,20.84,2.56,0.67,9.3,0.0,2.19,0.04,1.07,,47.49,20.74,206.38,969.43,970.49,0.0,,23.63
