From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),AT (degree C),RF (mm)
2019-05-23 12:00:00,2019-05-23 13:00:00,5.96,34.61,8.78,33.06,40.84,34.04,,1.01,9.72,55.12,1.19,266.18,36.95,0.0
2019-05-23 13:00:00,2019-05-23 14:00:00,5.28,29.62,8.43,29.47,36.91,33.37,,0.82,12.31,56.34,1.51,283.82,36.52,0.0
2019-05-23 14:00:00,2019-05-23 15:00:00,4.3,24.88,8.17,25.36,32.52,32.9,,0.58,14.07,60.16,1.86,284.12,35.89,0.0
2019-05-23 15:00:00,2019-05-23 16:00:00,3.61,23.89,8.07,22.76,29.84,32.62,,0.47,13.91,63.85,1.98,283.87,34.79,0.0
2019-05-23 16:00:00,2019-05-23 17:00:00,3.13,21.9,8.09,21.12,28.22,32.51,3.85,0.54,14.15,67.72,1.9,285.99,33.99,0.0
2019-05-23 17:00:00,2019-05-23 18:00:00,2.79,20.9,8.12,19.88,27.01,32.44,3.47,0.66,14.25,69.33,1.63,287.85,33.53,0.0
2019-05-23 18:00:00,2019-05-23 19:00:00,2.95,17.99,8.04,18.82,25.86,32.41,7.0,0.61,14.67,69.07,0.58,254.95,32.97,0.0
2019-05-23 19:00:00,2019-05-23 20:00:00,2.28,22.9,7.96,17.5,24.46,32.2,6.42,0.86,15.61,67.34,0.98,96.41,31.99,0.0
2019-05-23 20:00:00,2019-05-23 21:00:00,18.09,31.55,8.51,15.73,23.24,33.02,8.79,0.88,16.87,77.66,0.84,92.17,29.38,0.0
2019-05-23 21:00:00,2019-05-23 22:00:00,36.74,47.94,8.46,16.45,23.91,33.19,7.24,0.89,15.78,77.13,0.78,101.43,29.14,0.0
2019-05-23 22:00:00,2019-05-23 23:00:00,29.14,44.78,8.39,16.18,23.57,32.94,5.95,0.85,17.49,79.72,1.04,97.56,28.64,0.0
2019-05-23 23:00:00,2019-05-24 00:00:00,22.88,41.02,8.34,16.1,23.44,32.68,2.38,0.79,15.46,81.66,0.42,98.31,28.58,0.0
2019-05-24 00:00:00,2019-05-24 01:00:00,24.69,34.36,8.29,15.41,22.7,32.53,5.12,0.77,15.43,82.34,0.58,97.81,28.68,0.0
2019-05-24 01:00:00,2019-05-24 02:00:00,22.36,30.29,8.3,14.86,22.15,32.52,2.7,0.86,16.59,84.77,0.79,90.32,28.25,0.0
2019-05-24 02:00:00,2019-05-24 03:00:00,16.9,25.32,8.23,14.4,21.62,32.42,1.02,0.84,16.16,84.92,0.59,95.2,28.21,0.0
2019-05-24 03:00:00,2019-05-24 04:00:00,14.86,24.66,8.22,15.34,22.56,32.36,3.86,0.91,14.74,86.41,0.62,91.28,28.07,0.0
2019-05-24 04:00:00,2019-05-24 05:00:00,13.84,22.91,8.32,14.7,22.02,32.38,3.86,1.1,13.68,86.11,0.54,81.43,29.33,0.0
2019-05-24 05:00:00,2019-05-24 06:00:00,12.79,17.66,8.26,14.23,21.49,32.19,3.16,1.21,14.24,87.06,0.57,119.41,29.2,0.0
2019-05-24 06:00:00,2019-05-24 07:00:00,11.45,17.4,8.37,13.83,21.2,32.07,2.74,0.84,14.19,86.0,0.39,100.73,29.77,0.0
2019-05-24 07:00:00,2019-05-24 08:00:00,10.39,17.63,8.41,13.86,21.27,31.97,3.11,0.96,14.7,80.69,0.65,90.22,31.45,0.0
2019-05-24 08:00:00,2019-05-24 09:00:00,9.04,17.34,8.28,14.01,21.29,31.97,6.97,1.03,15.63,75.64,0.85,105.3,33.04,0.0
2019-05-24 09:00:00,2019-05-24 10:00:00,8.51,17.93,8.24,13.98,21.22,32.03,7.36,1.06,17.8,71.72,0.73,113.35,35.05,0.0
2019-05-24 10:00:00,2019-05-24 11:00:00,7.82,16.77,8.19,14.77,21.96,32.07,6.14,1.12,18.34,68.63,0.59,228.58,37.27,0.0
2019-05-24 11:00:00,2019-05-24 12:00:00,8.08,23.88,8.29,18.75,26.05,32.61,33.12,1.03,13.86,65.62,0.61,241.53,38.22,0.0
2019-05-24 12:00:00,2019-05-24 13:00:00,7.08,41.62,8.68,23.12,30.8,33.41,14.09,0.76,11.11,65.03,0.98,272.16,34.91,0.0
2019-05-24 13:00:00,2019-05-24 14:00:00,5.56,42.27,8.91,28.7,36.6,33.97,26.7,0.65,10.47,62.36,1.28,257.55,37.36,0.0
2019-05-24 14:00:00,2019-05-24 15:00:00,4.49,33.95,8.95,30.92,38.87,33.97,19.61,0.43,10.23,66.53,1.33,268.87,38.84,0.0
2019-05-24 15:00:00,2019-05-24 16:00:00,3.74,26.88,8.76,28.72,36.48,33.61,3.37,0.3,12.95,67.06,1.53,277.35,39.54,0.0
2019-05-24 16:00:00,2019-05-24 17:00:00,3.22,22.37,8.57,24.82,32.38,33.09,2.9,0.14,13.81,71.3,1.39,245.55,36.36,0.0
2019-05-24 17:00:00,2019-05-24 18:00:00,2.85,23.2,8.39,21.83,29.22,32.81,,0.01,14.69,75.49,0.89,242.29,32.24,0.0
2019-05-24 18:00:00,2019-05-24 19:00:00,2.86,20.7,8.43,21.65,29.08,32.68,,0.61,13.49,77.91,1.0,287.99,32.14,0.0
2019-05-24 19:00:00,2019-05-24 20:00:00,2.73,44.61,8.43,19.34,26.76,32.84,,1.01,14.14,81.86,1.02,64.0,30.16,0.0
2019-05-24 20:00:00,2019-05-24 21:00:00,4.46,43.36,8.4,18.82,26.23,32.5,4.29,1.05,14.04,76.43,0.76,65.97,29.45,0.0
2019-05-24 21:00:00,2019-05-24 22:00:00,12.81,34.17,8.38,17.57,24.95,32.5,4.66,1.38,13.82,86.44,0.99,88.73,29.21,2.75
2019-05-24 22:00:00,2019-05-24 23:00:00,17.06,30.18,8.28,16.8,24.08,32.24,5.05,1.43,15.48,95.57,0.89,267.65,28.76,0.55
2019-05-24 23:00:00,2019-05-25 00:00:00,15.07,27.75,8.22,16.12,23.34,32.12,4.67,1.45,15.69,93.58,0.88,172.76,32.73,0.0
2019-05-25 00:00:00,2019-05-25 01:00:00,12.36,22.39,8.16,15.19,22.35,31.96,6.26,0.84,16.92,91.28,0.85,310.54,27.94,0.0
2019-05-25 01:00:00,2019-05-25 02:00:00,10.66,22.37,8.09,14.61,21.7,31.94,7.02,0.85,16.49,90.56,0.71,93.35,28.22,0.0
2019-05-25 02:00:00,2019-05-25 03:00:00,10.17,20.39,8.2,15.51,22.71,32.17,18.0,0.91,14.24,89.68,0.43,127.07,28.44,0.0
2019-05-25 03:00:00,2019-05-25 04:00:00,9.71,16.27,8.22,14.87,22.1,32.06,10.55,0.75,13.92,91.14,0.37,73.71,28.66,0.0
2019-05-25 04:00:00,2019-05-25 05:00:00,8.13,14.75,8.27,14.45,21.72,31.96,4.8,0.88,14.03,93.5,0.63,86.69,28.48,0.0
2019-05-25 05:00:00,2019-05-25 06:00:00,9.46,16.76,8.27,13.95,21.21,31.89,2.5,0.89,14.51,93.69,0.61,93.74,28.53,0.0
2019-05-25 06:00:00,2019-05-25 07:00:00,13.04,16.27,8.35,13.96,21.31,31.75,1.99,0.82,14.2,93.92,0.59,76.17,28.71,0.0
2019-05-25 07:00:00,2019-05-25 08:00:00,13.51,18.5,8.44,14.19,21.63,31.66,1.8,0.92,14.83,91.67,0.43,135.89,29.5,0.0
2019-05-25 08:00:00,2019-05-25 09:00:00,12.23,18.11,8.29,13.88,21.17,31.85,5.66,0.92,16.83,83.37,0.76,103.97,31.19,0.0
2019-05-25 09:00:00,2019-05-25 10:00:00,11.26,22.43,8.21,15.18,22.39,31.98,11.36,0.96,16.5,78.08,0.72,105.9,32.77,0.0
2019-05-25 10:00:00,2019-05-25 11:00:00,9.9,23.09,8.21,14.72,21.93,32.03,7.23,0.89,17.53,72.52,0.77,196.67,33.77,0.05
2019-05-25 11:00:00,2019-05-25 12:00:00,8.22,17.98,8.15,14.58,21.72,31.87,5.78,0.97,18.36,71.1,1.11,223.97,34.12,0.0
2019-05-25 12:00:00,2019-05-25 13:00:00,7.3,24.16,8.14,13.86,21.0,31.84,6.94,0.59,19.37,68.36,1.24,242.3,34.88,0.0
2019-05-25 13:00:00,2019-05-25 14:00:00,7.36,26.0,8.11,13.68,20.79,31.83,8.15,0.58,19.42,70.35,1.26,242.65,34.59,0.0
2019-05-25 14:00:00,2019-05-25 15:00:00,6.42,27.48,8.16,16.01,23.18,31.94,19.66,0.51,16.91,74.35,1.35,232.2,33.99,0.0
2019-05-25 15:00:00,2019-05-25 16:00:00,5.85,26.39,8.18,15.64,22.81,32.02,23.01,0.23,16.26,75.3,1.32,222.11,33.84,0.0
2019-05-25 16:00:00,2019-05-25 17:00:00,6.35,21.72,8.13,14.98,22.11,31.91,4.77,0.17,17.31,76.81,1.05,230.21,33.48,0.0
2019-05-25 17:00:00,2019-05-25 18:00:00,7.21,20.9,8.11,14.45,21.56,31.83,0.99,0.05,17.77,79.22,1.27,217.45,33.03,0.0
2019-05-25 18:00:00,2019-05-25 19:00:00,6.84,18.48,8.03,14.02,21.05,31.78,,0.45,18.66,80.93,0.73,214.29,32.85,0.0
2019-05-25 19:00:00,2019-05-25 20:00:00,7.23,14.62,8.14,14.09,21.23,31.82,,0.68,16.1,83.37,0.6,190.97,32.9,0.0
2019-05-25 20:00:00,2019-05-25 21:00:00,10.88,15.89,8.12,14.4,21.52,31.83,5.53,0.65,17.33,85.67,0.73,188.96,32.77,0.0
2019-05-25 21:00:00,2019-05-25 22:00:00,11.45,16.29,8.24,15.09,22.33,31.79,5.88,0.8,15.2,86.69,0.38,145.74,32.7,0.0
2019-05-25 22:00:00,2019-05-25 23:00:00,9.43,17.95,8.48,16.21,23.7,31.8,7.15,1.13,12.82,87.45,0.57,98.21,31.96,0.0
2019-05-25 23:00:00,2019-05-26 00:00:00,7.85,20.28,8.28,15.67,22.96,31.84,2.11,1.15,13.86,88.32,0.75,100.44,31.8,0.0
2019-05-26 00:00:00,2019-05-26 01:00:00,6.98,18.93,8.13,14.44,21.57,31.89,6.48,0.79,15.61,91.81,0.54,26.29,48.01,1.15
2019-05-26 01:00:00,2019-05-26 02:00:00,7.11,18.15,8.16,13.42,20.58,31.87,7.57,0.88,16.56,94.71,0.52,51.84,49.64,0.05
2019-05-26 02:00:00,2019-05-26 03:00:00,6.9,16.63,8.12,13.01,20.13,31.86,7.32,0.86,15.79,94.99,0.45,145.12,49.78,0.1
2019-05-26 03:00:00,2019-05-26 04:00:00,6.01,15.21,8.14,13.16,20.3,31.72,7.23,0.88,15.31,94.44,0.66,193.78,32.77,0.05
2019-05-26 04:00:00,2019-05-26 05:00:00,4.96,17.46,8.09,12.8,19.89,31.71,5.53,0.8,17.29,92.06,0.22,136.26,30.18,0.0
2019-05-26 05:00:00,2019-05-26 06:00:00,4.67,21.67,8.14,14.17,21.32,31.77,9.85,0.89,16.59,92.58,0.64,182.4,48.82,0.0
2019-05-26 06:00:00,2019-05-26 07:00:00,4.39,20.63,8.4,14.07,21.47,31.69,7.84,0.73,14.43,90.92,0.56,113.32,52.33,0.0
2019-05-26 07:00:00,2019-05-26 08:00:00,4.7,16.1,8.48,14.05,21.52,31.62,4.56,0.81,15.02,91.95,0.4,146.68,47.62,0.0
2019-05-26 08:00:00,2019-05-26 09:00:00,10.77,14.05,8.19,13.39,20.58,31.78,5.96,0.79,16.89,87.98,0.63,337.48,35.38,0.0
2019-05-26 09:00:00,2019-05-26 10:00:00,13.14,15.88,8.04,12.88,19.91,31.67,5.01,0.62,19.47,79.09,1.05,310.7,37.15,0.0
2019-05-26 10:00:00,2019-05-26 11:00:00,11.66,21.91,8.08,12.66,19.74,31.63,4.75,0.62,20.77,74.95,1.02,282.85,36.64,0.0
2019-05-26 11:00:00,2019-05-26 12:00:00,11.01,25.34,8.06,12.56,19.62,31.66,5.38,0.5,19.79,72.12,1.28,254.71,39.38,0.0
2019-05-26 12:00:00,2019-05-26 13:00:00,9.29,25.19,8.13,13.23,20.36,31.66,8.95,0.47,19.68,71.47,1.64,261.39,36.85,0.0
2019-05-26 13:00:00,2019-05-26 14:00:00,8.38,23.84,8.13,13.66,20.79,31.79,10.54,0.51,17.5,71.61,1.69,278.53,32.83,0.0
2019-05-26 14:00:00,2019-05-26 15:00:00,7.05,25.98,8.09,13.43,20.51,31.73,4.75,0.49,19.13,71.73,1.73,272.88,32.88,0.0
2019-05-26 15:00:00,2019-05-26 16:00:00,5.54,26.35,8.07,13.18,20.25,31.68,3.94,0.52,19.6,72.29,1.82,288.08,32.79,0.0
2019-05-26 16:00:00,2019-05-26 17:00:00,4.47,23.39,8.04,13.14,20.19,31.7,5.38,0.62,19.21,72.86,2.29,297.53,32.26,0.0
2019-05-26 17:00:00,2019-05-26 18:00:00,3.73,20.71,8.07,13.16,20.23,31.73,5.6,0.77,18.96,72.51,1.74,284.09,32.35,0.0
2019-05-26 18:00:00,2019-05-26 19:00:00,3.21,17.35,8.07,12.94,20.0,31.66,5.43,0.53,18.27,77.4,1.32,283.63,33.1,0.0
2019-05-26 19:00:00,2019-05-26 20:00:00,3.42,19.21,8.01,12.9,19.91,31.71,6.21,0.68,18.32,77.29,1.15,296.91,37.02,0.0
2019-05-26 20:00:00,2019-05-26 21:00:00,3.89,21.11,8.1,14.48,21.58,31.87,15.04,0.86,16.7,78.61,1.44,297.66,33.1,0.0
2019-05-26 21:00:00,2019-05-26 22:00:00,5.33,23.95,8.1,14.41,21.51,31.85,15.15,0.77,15.6,79.25,1.26,304.8,31.67,0.0
2019-05-26 22:00:00,2019-05-26 23:00:00,7.19,27.1,8.07,14.0,21.07,31.81,10.36,0.63,17.18,79.71,1.08,311.98,31.44,0.0
2019-05-26 23:00:00,2019-05-27 00:00:00,10.48,25.64,8.02,13.43,20.45,31.78,9.16,0.6,18.81,80.56,0.98,321.5,31.19,0.0
2019-05-27 00:00:00,2019-05-27 01:00:00,11.42,31.05,8.04,12.48,19.52,31.9,4.29,0.53,17.0,82.69,0.52,265.63,30.91,0.0
2019-05-27 01:00:00,2019-05-27 02:00:00,10.6,32.19,8.07,12.48,19.55,31.78,1.36,0.64,16.4,85.48,0.28,197.77,31.48,0.0
2019-05-27 02:00:00,2019-05-27 03:00:00,10.39,30.42,8.09,12.71,19.8,31.72,0.13,0.64,15.88,87.12,0.38,125.07,36.24,0.0
2019-05-27 03:00:00,2019-05-27 04:00:00,9.16,28.83,8.18,13.46,20.64,31.72,2.01,0.71,15.43,90.02,0.64,68.17,39.62,0.0
2019-05-27 04:00:00,2019-05-27 05:00:00,7.39,27.05,8.19,13.66,20.85,31.82,3.38,0.77,14.37,91.46,0.6,78.76,35.09,0.0
2019-05-27 05:00:00,2019-05-27 06:00:00,7.54,23.17,8.21,13.58,20.77,31.72,1.38,0.83,15.86,93.68,0.88,120.54,30.41,0.0
2019-05-27 06:00:00,2019-05-27 07:00:00,7.7,22.69,8.26,13.02,20.29,31.66,1.09,0.75,16.32,93.39,0.42,28.07,37.75,0.0
2019-05-27 07:00:00,2019-05-27 08:00:00,7.75,22.08,8.38,13.27,20.65,31.54,0.72,0.94,15.71,88.82,0.67,33.01,51.44,0.0
2019-05-27 08:00:00,2019-05-27 09:00:00,7.37,20.01,8.17,13.13,20.3,31.66,6.81,0.9,17.74,78.98,0.76,20.65,37.11,0.0
2019-05-27 09:00:00,2019-05-27 10:00:00,7.94,21.55,8.04,12.79,19.83,31.64,6.96,0.82,20.01,71.38,1.15,337.41,37.48,0.0
2019-05-27 10:00:00,2019-05-27 11:00:00,8.56,22.3,8.05,12.76,19.81,31.62,6.95,0.8,20.77,68.69,1.1,298.0,38.23,0.0
2019-05-27 11:00:00,2019-05-27 12:00:00,8.5,27.3,8.12,15.39,22.51,31.86,19.19,0.9,17.09,67.3,1.63,308.88,34.82,0.0
2019-05-27 12:00:00,2019-05-27 13:00:00,7.97,36.21,8.25,18.95,26.2,32.4,11.52,0.68,12.71,66.39,1.7,286.22,33.8,0.0
2019-05-27 13:00:00,2019-05-27 14:00:00,8.44,35.89,8.36,21.14,28.5,32.66,14.54,0.55,13.9,65.01,1.9,289.86,34.12,0.0
2019-05-27 14:00:00,2019-05-27 15:00:00,8.65,28.99,8.26,20.92,28.17,32.47,1.18,0.38,15.03,63.11,1.82,296.56,34.41,0.0
2019-05-27 15:00:00,2019-05-27 16:00:00,7.67,33.95,8.43,23.59,31.03,32.83,13.8,0.22,12.3,64.9,1.44,277.74,34.61,0.0
2019-05-27 16:00:00,2019-05-27 17:00:00,6.23,33.27,8.47,24.65,32.12,33.11,3.44,0.06,13.2,64.13,1.63,284.35,34.65,0.0
2019-05-27 17:00:00,2019-05-27 18:00:00,5.52,24.66,8.32,23.14,30.46,32.76,,0.03,14.92,68.58,1.67,303.56,33.34,0.0
2019-05-27 18:00:00,2019-05-27 19:00:00,6.45,22.35,8.29,21.89,29.19,32.52,,0.58,14.37,73.22,1.64,312.13,32.34,0.0
2019-05-27 19:00:00,2019-05-27 20:00:00,7.87,25.21,8.25,20.64,27.88,32.52,,0.78,13.97,78.7,1.52,314.15,31.59,0.0
2019-05-27 20:00:00,2019-05-27 21:00:00,9.11,23.65,8.27,19.34,26.61,32.31,5.9,0.79,15.12,79.63,1.37,317.72,31.77,0.0
2019-05-27 21:00:00,2019-05-27 22:00:00,23.46,21.51,8.19,17.89,25.07,32.16,5.15,0.83,14.95,81.24,0.9,319.16,31.66,0.0
2019-05-27 22:00:00,2019-05-27 23:00:00,26.48,,8.14,16.45,23.59,32.24,,0.95,13.82,81.18,0.57,134.92,32.16,0.0
2019-05-27 23:00:00,2019-05-28 00:00:00,22.36,21.18,8.2,16.25,23.46,32.12,5.9,1.03,13.98,82.36,0.43,220.36,31.78,0.0
2019-05-28 00:00:00,2019-05-28 01:00:00,17.8,24.52,8.12,14.87,21.99,32.13,5.34,0.7,14.78,85.31,0.26,114.48,31.33,0.0
2019-05-28 01:00:00,2019-05-28 02:00:00,13.98,22.83,8.35,15.14,22.48,31.98,5.28,0.81,13.67,86.15,0.23,261.7,31.23,0.0
2019-05-28 02:00:00,2019-05-28 03:00:00,11.89,22.04,8.33,16.31,23.64,32.28,18.89,0.82,12.62,88.49,0.47,125.8,31.16,0.0
2019-05-28 03:00:00,2019-05-28 04:00:00,11.04,20.36,8.28,15.74,23.03,32.33,20.02,0.88,12.56,91.35,0.72,78.4,30.0,0.0
2019-05-28 04:00:00,2019-05-28 05:00:00,9.19,17.22,8.12,15.14,22.26,32.17,5.67,0.81,16.04,84.3,0.66,61.97,29.26,0.0
2019-05-28 05:00:00,2019-05-28 06:00:00,9.48,19.82,8.11,14.67,21.77,32.05,4.46,0.76,17.34,80.0,0.74,78.25,28.97,0.0
2019-05-28 06:00:00,2019-05-28 07:00:00,9.39,19.45,8.25,15.12,22.38,31.8,2.86,0.76,15.93,82.28,0.5,87.94,28.74,0.0
2019-05-28 07:00:00,2019-05-28 08:00:00,8.52,18.85,8.41,15.5,22.91,31.64,1.27,1.02,15.86,80.34,0.6,95.92,30.09,0.0
2019-05-28 08:00:00,2019-05-28 09:00:00,15.03,19.86,8.26,15.34,22.6,31.81,4.85,1.03,16.76,76.61,0.53,90.0,32.16,0.0
2019-05-28 09:00:00,2019-05-28 10:00:00,16.38,22.32,8.13,15.83,22.96,31.9,8.71,0.92,17.37,70.56,1.16,246.71,33.61,0.0
2019-05-28 10:00:00,2019-05-28 11:00:00,13.16,28.26,8.09,15.45,22.53,31.99,6.7,0.9,17.83,64.44,1.17,311.58,34.83,0.0
2019-05-28 11:00:00,2019-05-28 12:00:00,11.42,28.86,8.09,15.19,22.28,31.91,0.09,0.95,18.4,62.55,1.34,295.94,35.22,0.0
2019-05-28 12:00:00,2019-05-28 13:00:00,9.77,35.26,8.08,14.88,21.95,31.86,5.53,0.65,18.9,61.15,1.85,298.79,35.57,0.0
2019-05-28 13:00:00,2019-05-28 14:00:00,7.78,35.29,8.09,14.71,21.8,31.83,4.62,0.65,18.7,60.6,1.82,287.13,35.53,0.0
2019-05-28 14:00:00,2019-05-28 15:00:00,6.18,34.51,8.09,14.7,21.78,31.84,3.77,0.62,17.62,60.3,1.85,290.01,35.42,0.0
2019-05-28 15:00:00,2019-05-28 16:00:00,5.1,31.97,8.11,14.87,21.97,31.84,3.85,0.62,17.71,60.81,1.9,287.19,34.97,0.0
