From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Xylene (ug/m3)
2020-01-22 12:00:00,2020-01-22 13:00:00,33.83,78.25,130.28,7.63,137.91,103.77,,2.02,0.5,,,0.46,0.0
2020-01-22 13:00:00,2020-01-22 14:00:00,41.0,87.0,128.78,7.77,136.52,102.78,,2.1,0.87,,0.14,0.9,0.21
2020-01-22 14:00:00,2020-01-22 15:00:00,,,,,,,,,,,,,
2020-01-22 15:00:00,2020-01-22 16:00:00,40.1,83.36,125.7,7.9,133.62,100.35,3.35,1.78,0.53,0.72,,0.35,0.0
2020-01-22 16:00:00,2020-01-22 17:00:00,35.0,74.0,126.4,7.78,134.19,100.94,3.33,1.83,0.6,1.1,0.11,0.6,0.22
2020-01-22 17:00:00,2020-01-22 18:00:00,,,,,,,,,,,,,
2020-01-22 18:00:00,2020-01-22 19:00:00,,,,,,,,,,,,,
2020-01-22 19:00:00,2020-01-22 20:00:00,,,,,,,,,,,,,
2020-01-22 20:00:00,2020-01-22 21:00:00,,,,,,,,,,,,,
2020-01-22 21:00:00,2020-01-22 22:00:00,,,,,,,,,,,,,
2020-01-22 22:00:00,2020-01-22 23:00:00,,,,,,,,,,,,,
2020-01-22 23:00:00,2020-01-23 00:00:00,,,,,,,,,,,,,
2020-01-23 00:00:00,2020-01-23 01:00:00,,,,,,,,,,,,,
2020-01-23 01:00:00,2020-01-23 02:00:00,,,,,,,,,,,,,
2020-01-23 02:00:00,2020-01-23 03:00:00,,,,,,,,,,,,,
2020-01-23 03:00:00,2020-01-23 04:00:00,,,,,,,,,,,,,
2020-01-23 04:00:00,2020-01-23 05:00:00,,,,,,,,,,,,,
2020-01-23 05:00:00,2020-01-23 06:00:00,,,,,,,,,,,,,
2020-01-23 06:00:00,2020-01-23 07:00:00,,,,,,,,,,,,,
2020-01-23 07:00:00,2020-01-23 08:00:00,,,,,,,,,,,,,
2020-01-23 08:00:00,2020-01-23 09:00:00,,,,,,,,,,,,,
2020-01-23 09:00:00,2020-01-23 10:00:00,,,,,,,,,,,,,
2020-01-23 10:00:00,2020-01-23 11:00:00,,,,,,,,,,,,,
2020-01-23 11:00:00,2020-01-23 12:00:00,,,,,,,,,,,,,
2020-01-23 12:00:00,2020-01-23 13:00:00,,,,,,,,,,,,,
2020-01-23 13:00:00,2020-01-23 14:00:00,,,,,,,,,,,,,
2020-01-23 14:00:00,2020-01-23 15:00:00,,,,,,,,,,,,,
2020-01-23 15:00:00,2020-01-23 16:00:00,,,,,,,,,,,,,
2020-01-23 16:00:00,2020-01-23 17:00:00,,,,,,,,,,,,,
2020-01-23 17:00:00,2020-01-23 18:00:00,,,,,,,,,,,,,
2020-01-23 18:00:00,2020-01-23 19:00:00,,,,,,,,,,,,,
2020-01-23 19:00:00,2020-01-23 20:00:00,,,,,,,,,,,,,
2020-01-23 20:00:00,2020-01-23 21:00:00,,,,,,,,,,,,,
2020-01-23 21:00:00,2020-01-23 22:00:00,,,,,,,,,,,,,
2020-01-23 22:00:00,2020-01-23 23:00:00,,,,,,,,,,,,,
2020-01-23 23:00:00,2020-01-24 00:00:00,,,,,,,,,,,,,
2020-01-24 00:00:00,2020-01-24 01:00:00,,,,,,,,,,,,,
2020-01-24 01:00:00,2020-01-24 02:00:00,,,,,,,,,,,,,
2020-01-24 02:00:00,2020-01-24 03:00:00,,,,,,,,,,,,,
2020-01-24 03:00:00,2020-01-24 04:00:00,,,,,,,,,,,,,
2020-01-24 04:00:00,2020-01-24 05:00:00,,,,,,,,,,,,,
2020-01-24 05:00:00,2020-01-24 06:00:00,,,,,,,,,,,,,
2020-01-24 06:00:00,2020-01-24 07:00:00,,,,,,,,,,,,,
2020-01-24 07:00:00,2020-01-24 08:00:00,,,,,,,,,,,,,
2020-01-24 08:00:00,2020-01-24 09:00:00,,,,,,,,,,,,,
2020-01-24 09:00:00,2020-01-24 10:00:00,,,,,,,,,,,,,
2020-01-24 10:00:00,2020-01-24 11:00:00,,,,,,,,,,,,,
2020-01-24 11:00:00,2020-01-24 12:00:00,57.59,92.51,126.35,7.9,134.25,102.7,3.94,1.35,1.23,2.78,0.56,2.0,0.69
2020-01-24 12:00:00,2020-01-24 13:00:00,42.0,74.16,125.35,8.04,133.4,101.84,3.61,1.32,0.96,2.23,0.29,1.31,0.37
2020-01-24 13:00:00,2020-01-24 14:00:00,42.16,80.05,125.92,7.98,133.89,102.26,3.56,1.3,0.98,2.66,0.28,1.53,0.49
2020-01-24 14:00:00,2020-01-24 15:00:00,48.18,82.23,126.25,8.02,134.28,102.7,3.43,1.4,0.79,2.14,0.09,1.32,0.15
2020-01-24 15:00:00,2020-01-24 16:00:00,54.87,90.66,124.85,8.12,132.98,101.81,3.4,1.29,0.81,2.17,0.23,1.4,0.29
2020-01-24 16:00:00,2020-01-24 17:00:00,49.72,77.59,123.9,8.13,132.04,101.23,3.32,0.92,0.57,1.65,0.21,1.02,0.21
2020-01-24 17:00:00,2020-01-24 18:00:00,38.97,63.11,125.89,7.76,133.66,103.12,3.42,1.28,0.57,1.66,0.12,1.11,0.23
2020-01-24 18:00:00,2020-01-24 19:00:00,37.79,66.69,130.09,7.09,137.18,107.53,3.51,0.95,0.75,2.43,0.23,1.79,0.67
2020-01-24 19:00:00,2020-01-24 20:00:00,30.02,54.82,128.49,7.54,136.04,105.48,3.38,0.84,0.44,1.38,0.08,0.9,0.03
2020-01-24 20:00:00,2020-01-24 21:00:00,30.92,47.87,125.02,8.11,133.14,101.99,3.3,0.7,0.34,0.93,0.05,0.64,0.08
2020-01-24 21:00:00,2020-01-24 22:00:00,28.13,43.22,123.83,8.27,132.1,100.95,3.33,0.77,0.32,0.82,,0.51,0.12
2020-01-24 22:00:00,2020-01-24 23:00:00,33.23,51.65,123.19,8.39,131.56,100.35,3.33,1.28,0.45,1.55,0.25,1.0,0.38
2020-01-24 23:00:00,2020-01-25 00:00:00,42.42,75.37,124.28,8.22,132.52,102.0,3.53,1.43,0.9,2.41,0.2,1.45,0.32
2020-01-25 00:00:00,2020-01-25 01:00:00,59.13,89.97,128.71,7.45,136.19,107.21,3.64,1.22,0.99,2.55,0.47,1.49,0.14
2020-01-25 01:00:00,2020-01-25 02:00:00,63.84,88.87,129.83,7.23,137.05,108.41,3.63,1.1,0.81,1.96,0.31,0.87,0.0
2020-01-25 02:00:00,2020-01-25 03:00:00,58.39,84.47,130.73,6.97,137.71,109.31,3.64,1.03,1.11,2.56,0.74,1.37,0.23
2020-01-25 03:00:00,2020-01-25 04:00:00,72.64,101.59,130.44,7.04,137.47,108.88,3.65,0.91,1.03,2.19,0.84,1.16,0.0
2020-01-25 04:00:00,2020-01-25 05:00:00,58.84,85.92,125.47,8.03,133.5,102.72,3.38,0.94,1.02,1.52,1.05,1.18,0.14
2020-01-25 05:00:00,2020-01-25 06:00:00,53.31,83.05,123.24,8.36,131.6,100.49,3.31,1.09,1.0,1.72,0.54,0.88,0.12
2020-01-25 06:00:00,2020-01-25 07:00:00,65.03,85.16,122.24,8.47,130.7,99.48,3.31,1.26,0.86,1.29,0.37,0.69,0.0
2020-01-25 07:00:00,2020-01-25 08:00:00,66.18,91.52,121.95,8.51,130.46,99.2,3.38,1.53,0.91,1.58,0.69,1.08,0.28
2020-01-25 08:00:00,2020-01-25 09:00:00,73.13,111.52,122.92,8.37,131.28,100.46,3.43,1.88,1.35,2.11,0.13,1.3,0.28
2020-01-25 09:00:00,2020-01-25 10:00:00,77.87,130.82,123.89,8.18,132.07,101.29,3.53,1.92,1.87,3.15,0.54,2.18,1.08
2020-01-25 10:00:00,2020-01-25 11:00:00,72.66,123.22,124.3,8.03,132.33,101.92,3.43,1.41,1.45,2.62,0.39,1.65,0.65
2020-01-25 11:00:00,2020-01-25 12:00:00,59.74,94.05,126.55,7.62,134.19,103.79,3.42,1.03,0.97,1.72,0.21,0.71,0.09
2020-01-25 12:00:00,2020-01-25 13:00:00,50.13,96.08,128.57,7.34,135.91,105.85,3.47,0.95,0.62,1.38,0.06,0.49,0.0
2020-01-25 13:00:00,2020-01-25 14:00:00,54.56,98.14,131.07,6.97,138.04,109.1,3.64,0.82,0.49,0.85,,0.34,0.0
2020-01-25 14:00:00,2020-01-25 15:00:00,38.0,66.08,126.04,7.9,133.95,103.06,3.38,0.74,0.45,0.79,,0.33,0.0
2020-01-25 15:00:00,2020-01-25 16:00:00,38.05,69.43,124.98,8.07,133.06,101.96,3.33,0.75,0.33,0.54,,0.19,0.0
2020-01-25 16:00:00,2020-01-25 17:00:00,39.84,84.31,123.97,8.21,132.18,101.03,3.28,0.73,0.32,0.47,,0.03,0.0
2020-01-25 17:00:00,2020-01-25 18:00:00,34.1,57.95,123.08,8.4,131.5,100.33,3.33,0.83,0.44,0.84,0.09,0.41,0.0
2020-01-25 18:00:00,2020-01-25 19:00:00,37.97,56.0,121.06,8.64,129.71,99.12,3.36,1.09,0.42,0.79,0.07,0.49,0.09
2020-01-25 19:00:00,2020-01-25 20:00:00,36.97,55.97,127.96,7.47,135.44,107.09,3.6,1.19,0.7,1.7,0.2,1.55,0.23
2020-01-25 20:00:00,2020-01-25 21:00:00,36.28,55.59,129.42,7.18,136.59,108.35,3.61,1.6,1.24,4.72,0.49,2.78,0.61
2020-01-25 21:00:00,2020-01-25 22:00:00,46.72,77.72,129.28,7.21,136.48,108.16,3.59,1.21,1.13,3.37,0.39,2.11,0.22
2020-01-25 22:00:00,2020-01-25 23:00:00,36.13,67.05,129.23,7.28,136.52,108.03,3.61,1.33,1.19,3.6,0.07,1.92,0.1
2020-01-25 23:00:00,2020-01-26 00:00:00,41.39,69.54,127.46,7.66,135.11,106.08,3.62,1.71,1.39,3.68,0.48,2.56,0.64
2020-01-26 00:00:00,2020-01-26 01:00:00,57.52,91.62,123.21,8.37,131.57,100.83,3.37,1.74,1.77,4.25,1.19,2.66,1.22
2020-01-26 01:00:00,2020-01-26 02:00:00,77.44,115.34,122.77,8.45,131.22,100.31,3.37,1.67,1.67,3.17,1.64,2.19,0.85
2020-01-26 02:00:00,2020-01-26 03:00:00,94.1,128.1,123.24,8.39,131.63,101.01,3.45,1.6,2.06,2.56,0.99,1.55,0.19
2020-01-26 03:00:00,2020-01-26 04:00:00,98.08,131.97,127.18,7.6,134.8,106.15,3.63,1.55,2.0,2.4,0.8,1.08,0.0
2020-01-26 04:00:00,2020-01-26 05:00:00,100.74,131.05,128.63,7.34,135.98,107.63,3.62,1.46,2.47,3.04,0.86,1.27,0.0
2020-01-26 05:00:00,2020-01-26 06:00:00,90.56,132.2,127.11,7.55,134.66,105.34,3.52,1.27,1.88,2.14,1.04,1.18,0.14
2020-01-26 06:00:00,2020-01-26 07:00:00,73.92,102.03,126.21,7.76,133.97,104.11,3.49,1.31,2.06,2.07,0.47,0.96,0.0
2020-01-26 07:00:00,2020-01-26 08:00:00,70.48,102.59,122.9,8.37,131.28,100.13,3.37,1.25,1.05,1.73,0.35,0.96,0.1
2020-01-26 08:00:00,2020-01-26 09:00:00,51.36,87.34,121.97,8.52,130.48,99.16,3.46,1.32,0.93,1.53,0.3,0.9,0.04
2020-01-26 09:00:00,2020-01-26 10:00:00,65.08,99.92,120.76,8.65,129.41,98.01,4.1,1.15,1.32,1.61,0.17,0.91,0.2
2020-01-26 10:00:00,2020-01-26 11:00:00,67.38,96.33,120.01,8.78,128.78,97.33,4.04,0.93,1.41,1.83,0.12,1.08,0.21
2020-01-26 11:00:00,2020-01-26 12:00:00,43.84,70.74,120.43,8.62,129.04,98.33,3.52,0.78,0.48,0.86,,0.37,0.0
