From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2019-03-03 15:00:00,2019-03-03 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-03 16:00:00,2019-03-03 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-03 17:00:00,2019-03-03 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-03 18:00:00,2019-03-03 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-03 19:00:00,2019-03-03 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-03 20:00:00,2019-03-03 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-03 21:00:00,2019-03-03 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-03 22:00:00,2019-03-03 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-03 23:00:00,2019-03-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 00:00:00,2019-03-04 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 01:00:00,2019-03-04 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 02:00:00,2019-03-04 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 03:00:00,2019-03-04 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 04:00:00,2019-03-04 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 05:00:00,2019-03-04 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 06:00:00,2019-03-04 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 07:00:00,2019-03-04 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 08:00:00,2019-03-04 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 09:00:00,2019-03-04 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 10:00:00,2019-03-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 11:00:00,2019-03-04 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 12:00:00,2019-03-04 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 13:00:00,2019-03-04 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 14:00:00,2019-03-04 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 15:00:00,2019-03-04 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 16:00:00,2019-03-04 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 17:00:00,2019-03-04 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 18:00:00,2019-03-04 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 19:00:00,2019-03-04 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 20:00:00,2019-03-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 21:00:00,2019-03-04 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 22:00:00,2019-03-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-04 23:00:00,2019-03-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 00:00:00,2019-03-05 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 01:00:00,2019-03-05 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 02:00:00,2019-03-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 03:00:00,2019-03-05 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 04:00:00,2019-03-05 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 05:00:00,2019-03-05 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 06:00:00,2019-03-05 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 07:00:00,2019-03-05 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 08:00:00,2019-03-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 09:00:00,2019-03-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 10:00:00,2019-03-05 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 11:00:00,2019-03-05 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-03-05 12:00:00,2019-03-05 13:00:00,,,,,,,,,,,,,,,,,,,,,,
