From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2019-06-24 11:00:00,2019-06-24 12:00:00,,47.58,8.77,11.41,20.19,3.82,9.01,,23.29,0.0,,,,85.14,26.39,233.41,50.04,1005.1,,,25.97,
2019-06-24 12:00:00,2019-06-24 13:00:00,,58.71,1.32,4.54,5.85,4.03,9.24,,28.94,0.0,,1.34,0.76,88.02,26.11,232.75,43.64,1004.91,,,24.65,
2019-06-24 13:00:00,2019-06-24 14:00:00,14.92,51.03,4.97,8.53,13.5,4.75,9.47,,18.77,0.55,,3.0,3.08,89.7,25.32,233.28,119.6,1004.36,,,25.15,
2019-06-24 14:00:00,2019-06-24 15:00:00,13.83,51.53,3.97,8.12,12.09,4.3,9.28,,23.72,0.47,,0.17,5.65,86.24,20.34,232.26,123.05,1003.48,,,27.02,
2019-06-24 15:00:00,2019-06-24 16:00:00,11.44,38.46,2.59,5.19,7.78,4.97,10.56,,32.18,0.69,,1.82,,82.3,27.18,55.41,150.74,1002.88,,,27.46,
2019-06-24 16:00:00,2019-06-24 17:00:00,4.68,24.11,2.81,6.35,9.16,4.79,10.01,,27.37,2.79,,1.47,5.23,80.34,25.44,232.73,134.9,1002.72,,,27.97,
2019-06-24 17:00:00,2019-06-24 18:00:00,1.78,27.62,1.7,5.13,6.83,4.8,9.81,,27.16,0.58,,,1.33,80.47,25.47,232.82,75.8,1002.62,,,27.89,
2019-06-24 18:00:00,2019-06-24 19:00:00,11.25,44.0,2.79,6.88,9.67,4.99,9.62,,25.37,0.68,,,,78.63,25.89,232.97,6.07,1002.81,,,27.84,
2019-06-24 19:00:00,2019-06-24 20:00:00,14.72,44.25,2.07,12.89,14.96,4.62,8.04,,21.42,0.0,,1.1,0.67,80.52,26.03,233.32,,1003.46,,,27.63,
2019-06-24 20:00:00,2019-06-24 21:00:00,22.52,50.86,2.44,14.98,17.42,5.29,9.13,,23.02,2.71,,1.07,0.86,81.65,26.07,233.12,,1003.85,,,27.48,
2019-06-24 21:00:00,2019-06-24 22:00:00,16.79,47.0,1.48,14.21,15.69,5.54,9.36,,19.89,1.29,,0.48,4.07,80.29,25.85,233.31,,1004.39,,,27.62,
2019-06-24 22:00:00,2019-06-24 23:00:00,14.83,46.77,0.72,4.67,5.39,5.92,9.22,,29.02,0.07,,3.02,1.6,82.0,25.71,231.46,,1004.62,,,27.79,
2019-06-24 23:00:00,2019-06-25 00:00:00,12.61,39.6,1.54,4.9,6.44,6.21,10.14,,22.32,1.13,,1.37,2.24,86.61,22.11,220.69,,1004.82,,,27.33,
2019-06-25 00:00:00,2019-06-25 01:00:00,8.08,27.96,1.87,6.9,8.77,5.71,9.89,,19.09,0.6,,0.68,0.42,87.21,30.17,76.87,,1004.58,,,27.14,
2019-06-25 01:00:00,2019-06-25 02:00:00,8.92,27.36,1.89,7.5,9.38,5.96,9.72,,19.43,3.72,,1.42,1.42,87.09,24.99,227.74,,1004.17,,,27.06,
2019-06-25 02:00:00,2019-06-25 03:00:00,7.84,36.6,1.74,2.13,3.87,6.69,9.55,,33.21,0.5,,1.11,2.32,86.1,25.97,233.12,,1003.93,,,26.25,
2019-06-25 03:00:00,2019-06-25 04:00:00,6.0,26.11,0.77,3.23,3.78,6.0,8.13,,46.19,0.55,,,1.07,86.78,25.64,232.42,,1003.79,,,25.91,
2019-06-25 04:00:00,2019-06-25 05:00:00,5.84,28.53,0.57,1.03,1.61,6.89,9.13,,52.49,1.2,,,1.11,86.75,25.43,231.11,,1004.06,,,26.16,
2019-06-25 05:00:00,2019-06-25 06:00:00,3.68,16.13,0.6,0.56,1.16,6.67,9.23,,56.83,0.32,,,1.65,86.16,24.6,230.23,,1004.19,,,26.26,
2019-06-25 06:00:00,2019-06-25 07:00:00,,20.0,0.37,2.67,2.92,6.45,9.22,,47.21,1.58,,2.77,2.12,86.25,24.67,230.28,1.1,1004.62,,,26.53,
2019-06-25 07:00:00,2019-06-25 08:00:00,0.16,19.64,0.5,3.59,4.08,6.6,10.1,,42.96,0.43,,5.34,0.42,86.36,24.39,228.14,41.66,1005.11,,,26.51,
2019-06-25 08:00:00,2019-06-25 09:00:00,1.92,10.37,1.1,2.5,3.61,6.21,9.87,,34.85,2.62,,,1.19,85.08,24.54,229.76,96.71,1005.49,,,26.87,
2019-06-25 09:00:00,2019-06-25 10:00:00,1.24,20.96,2.36,4.09,6.45,7.16,9.7,,29.41,0.35,,,1.84,82.77,24.58,229.86,179.1,1005.85,,,27.37,
2019-06-25 10:00:00,2019-06-25 11:00:00,4.0,20.18,2.03,2.64,4.68,8.47,9.67,,35.8,0.0,,1.62,0.77,81.35,25.0,230.27,672.02,1005.71,,,27.99,
2019-06-25 11:00:00,2019-06-25 12:00:00,4.64,25.04,0.95,1.4,2.35,7.44,8.44,,39.04,1.64,,1.09,1.89,80.25,25.27,229.85,739.7,1005.72,,,28.46,
2019-06-25 12:00:00,2019-06-25 13:00:00,11.76,26.29,2.09,2.64,4.72,7.36,9.18,,10.69,0.29,,0.65,2.35,72.36,26.88,142.13,726.63,1005.29,,,30.1,
2019-06-25 13:00:00,2019-06-25 14:00:00,9.0,34.0,1.55,4.12,5.66,7.65,9.32,,38.88,0.0,,2.45,,68.72,25.59,234.19,804.21,1004.79,,,30.8,
2019-06-25 14:00:00,2019-06-25 15:00:00,,,466.03,,466.03,9.87,23.38,,24.57,0.0,,,11.02,70.43,24.38,233.49,277.73,1003.67,,,30.51,
2019-06-25 15:00:00,2019-06-25 16:00:00,,40.0,427.5,,427.5,,10.87,0.38,26.28,0.16,,0.08,0.7,70.31,25.13,233.69,200.05,1003.51,,,30.79,
2019-06-25 16:00:00,2019-06-25 17:00:00,8.0,40.07,,,,,9.2,0.38,23.69,0.92,,3.64,0.57,72.12,24.83,234.08,119.56,1003.19,,,30.51,
2019-06-25 17:00:00,2019-06-25 18:00:00,8.08,42.22,,,,,9.21,0.24,20.35,2.96,,4.53,2.02,73.76,25.88,153.62,33.64,1003.13,,,29.9,
2019-06-25 18:00:00,2019-06-25 19:00:00,9.83,48.2,,,,,9.32,0.33,26.49,0.1,,2.56,6.16,74.54,25.57,101.6,16.45,1003.51,,,29.42,
2019-06-25 19:00:00,2019-06-25 20:00:00,19.56,54.23,,,,,8.4,0.44,21.97,0.24,,,1.72,76.85,26.48,233.53,,1003.98,,,28.75,
2019-06-25 20:00:00,2019-06-25 21:00:00,25.38,60.93,,,,,8.49,0.38,22.13,0.0,,2.61,1.81,77.88,26.0,233.34,,1004.88,,,28.48,
2019-06-25 21:00:00,2019-06-25 22:00:00,17.92,58.67,,,,,9.09,0.29,22.14,0.0,,,3.6,77.84,26.21,233.17,,1005.26,,,28.34,
2019-06-25 22:00:00,2019-06-25 23:00:00,17.4,49.25,,,,,8.46,0.36,19.2,0.0,,2.9,4.58,77.08,26.31,233.28,,1005.85,,,28.29,
2019-06-25 23:00:00,2019-06-26 00:00:00,21.27,56.07,,,,,10.27,0.43,13.39,1.2,,0.55,0.29,77.53,26.61,227.92,,1005.76,,,28.28,
2019-06-26 00:00:00,2019-06-26 01:00:00,12.52,57.37,,,,,10.33,0.43,19.74,1.19,,1.82,0.74,78.78,25.66,232.84,,1005.36,,,28.32,
2019-06-26 01:00:00,2019-06-26 02:00:00,6.84,39.13,,,,,9.71,0.39,23.26,1.08,,1.47,0.52,82.25,25.36,231.37,,1004.81,,,27.44,
2019-06-26 02:00:00,2019-06-26 03:00:00,5.32,42.64,,,,,9.6,0.32,24.5,8.7,,0.35,1.49,90.83,25.52,164.09,,1004.17,,,26.04,
