From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Xylene (ug/m3)
2020-11-13 14:00:00,2020-11-13 15:00:00,25.95,42.83,2.71,13.23,15.94,0.45,32.0,0.66,,,0.42,
2020-11-13 15:00:00,2020-11-13 16:00:00,17.52,30.78,2.81,13.34,16.15,0.41,33.5,0.65,,,0.41,
2020-11-13 16:00:00,2020-11-13 17:00:00,14.08,25.58,2.63,13.47,16.04,0.48,32.75,0.7,,,0.43,
2020-11-13 17:00:00,2020-11-13 18:00:00,29.0,47.99,2.71,13.59,16.3,0.89,34.25,0.79,,,0.48,
2020-11-13 18:00:00,2020-11-13 19:00:00,27.7,46.09,2.58,13.91,16.49,0.57,35.25,2.69,,,0.79,
2020-11-13 19:00:00,2020-11-13 20:00:00,41.09,66.17,3.02,14.27,17.3,0.55,36.25,2.25,,,1.37,
2020-11-13 20:00:00,2020-11-13 21:00:00,48.02,76.83,2.53,14.62,17.15,0.45,37.75,3.54,,,3.56,
2020-11-13 21:00:00,2020-11-13 22:00:00,64.78,101.69,2.94,13.86,16.8,0.44,37.0,2.67,,,2.73,
2020-11-13 22:00:00,2020-11-13 23:00:00,48.88,77.84,2.28,14.16,16.37,0.5,35.5,1.8,,,1.55,
2020-11-13 23:00:00,2020-11-14 00:00:00,49.42,78.63,2.34,14.01,16.35,0.77,36.67,2.0,,,1.63,
2020-11-14 00:00:00,2020-11-14 01:00:00,44.14,70.67,3.03,13.91,16.95,0.66,37.75,1.87,,,1.14,
2020-11-14 01:00:00,2020-11-14 02:00:00,47.9,76.36,2.37,14.37,16.74,0.49,36.25,2.05,,,1.2,
2020-11-14 02:00:00,2020-11-14 03:00:00,47.85,76.29,2.82,14.38,17.21,0.73,37.5,1.91,,,1.53,
2020-11-14 03:00:00,2020-11-14 04:00:00,46.16,73.76,2.73,14.17,16.9,0.56,37.0,2.02,,,1.29,
2020-11-14 04:00:00,2020-11-14 05:00:00,52.23,82.83,2.32,13.84,16.16,0.41,37.0,2.15,,,1.62,
2020-11-14 05:00:00,2020-11-14 06:00:00,48.46,77.2,4.02,13.95,17.97,0.88,37.25,1.58,,,1.04,
2020-11-14 06:00:00,2020-11-14 07:00:00,49.49,78.75,2.66,13.88,16.54,0.57,38.25,1.62,,,0.96,
2020-11-14 07:00:00,2020-11-14 08:00:00,53.17,84.18,2.73,14.16,16.89,0.5,37.5,2.21,,,1.2,
2020-11-14 08:00:00,2020-11-14 09:00:00,58.63,92.26,2.14,13.98,16.12,0.48,36.75,3.13,,,1.27,
2020-11-14 09:00:00,2020-11-14 10:00:00,45.63,72.98,2.44,13.59,16.03,0.4,36.0,1.47,,,0.62,
2020-11-14 10:00:00,2020-11-14 11:00:00,43.84,70.34,2.23,13.4,15.64,0.47,31.5,0.98,,,0.48,
2020-11-14 11:00:00,2020-11-14 12:00:00,38.54,62.33,2.81,13.55,16.36,0.44,35.0,0.8,,,0.43,
2020-11-14 12:00:00,2020-11-14 13:00:00,32.52,52.9,2.49,13.45,15.93,0.45,34.75,0.69,,,0.42,
2020-11-14 13:00:00,2020-11-14 14:00:00,21.56,36.78,1.96,13.6,15.56,0.4,33.0,0.68,,,0.41,
2020-11-14 14:00:00,2020-11-14 15:00:00,13.4,24.63,2.44,13.45,15.89,0.56,33.0,0.67,,,0.41,
2020-11-14 15:00:00,2020-11-14 16:00:00,9.73,19.11,2.11,13.34,15.4,0.42,33.75,0.64,,,0.38,
2020-11-14 16:00:00,2020-11-14 17:00:00,11.26,21.55,2.3,13.29,15.57,0.82,34.75,0.64,,,0.4,
2020-11-14 17:00:00,2020-11-14 18:00:00,24.51,41.2,2.31,13.4,15.71,0.53,31.75,0.59,,,0.45,
2020-11-14 18:00:00,2020-11-14 19:00:00,17.34,30.95,2.7,14.11,16.82,1.01,34.0,0.95,,,0.55,
2020-11-14 19:00:00,2020-11-14 20:00:00,35.89,58.17,2.53,14.32,16.86,0.58,35.25,1.67,,,1.03,
2020-11-14 20:00:00,2020-11-14 21:00:00,69.33,108.09,2.4,14.24,16.64,0.58,34.5,2.68,,,1.48,
2020-11-14 21:00:00,2020-11-14 22:00:00,173.83,267.23,2.86,14.68,17.54,0.64,37.25,2.75,,,1.55,
2020-11-14 22:00:00,2020-11-14 23:00:00,278.0,421.55,3.5,14.55,18.04,0.66,36.5,2.96,,,1.38,
2020-11-14 23:00:00,2020-11-15 00:00:00,301.29,456.45,2.69,13.87,16.56,0.93,37.0,1.91,,,1.03,
2020-11-15 00:00:00,2020-11-15 01:00:00,202.57,308.56,2.41,14.2,16.6,0.87,37.0,1.48,,,0.7,
2020-11-15 01:00:00,2020-11-15 02:00:00,146.86,225.4,1.98,14.29,16.27,0.57,35.5,1.48,,,0.64,
2020-11-15 02:00:00,2020-11-15 03:00:00,124.94,192.31,2.59,14.03,16.63,0.64,35.0,1.3,,,0.59,
2020-11-15 03:00:00,2020-11-15 04:00:00,98.77,152.77,2.51,13.92,16.43,0.6,37.75,1.45,,,0.61,
2020-11-15 04:00:00,2020-11-15 05:00:00,71.81,111.99,3.15,13.7,16.85,0.54,37.75,1.08,,,0.54,
2020-11-15 05:00:00,2020-11-15 06:00:00,53.44,84.56,2.34,14.02,16.36,0.46,37.25,1.08,,,0.53,
2020-11-15 06:00:00,2020-11-15 07:00:00,30.97,50.97,2.37,13.85,16.22,0.51,37.0,0.92,,,0.53,
