From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-11-10 11:00:00,2020-11-10 12:00:00,146.7,195.97,7.24,12.73,19.97,63.81,11.06,0.0,38.0,5.04,13.06,3.0,4.04,,0.36,69.02,,3.02,,
2020-11-10 12:00:00,2020-11-10 13:00:00,187.77,261.55,6.36,11.3,17.66,61.7,8.48,0.0,37.5,5.01,12.99,3.0,3.92,,0.28,71.63,,3.01,,
2020-11-10 13:00:00,2020-11-10 14:00:00,183.46,268.98,5.86,9.68,15.54,59.18,7.43,0.0,38.0,5.03,12.88,3.02,4.03,,0.26,81.32,,2.99,,
2020-11-10 14:00:00,2020-11-10 15:00:00,140.05,197.67,5.75,8.37,14.12,54.52,6.37,0.0,36.75,4.99,13.02,3.0,3.98,,0.21,75.53,,3.0,,
2020-11-10 15:00:00,2020-11-10 16:00:00,122.9,187.84,6.18,8.8,14.98,56.24,8.82,0.0,36.25,5.01,13.01,3.0,4.01,,0.36,57.22,,3.0,,
2020-11-10 16:00:00,2020-11-10 17:00:00,118.43,180.26,5.74,10.31,16.06,59.52,10.56,0.01,34.0,5.01,13.05,3.01,4.0,,0.8,92.19,,3.01,,
2020-11-10 17:00:00,2020-11-10 18:00:00,136.51,199.11,6.08,9.97,16.05,61.49,10.79,0.03,33.75,5.01,12.97,2.99,3.96,,0.76,88.09,,3.0,,
2020-11-10 18:00:00,2020-11-10 19:00:00,113.02,171.01,6.55,10.55,17.11,60.31,7.02,0.05,36.25,5.02,12.96,2.98,4.06,,0.59,98.12,,3.0,,
2020-11-10 19:00:00,2020-11-10 20:00:00,69.04,94.32,6.21,10.44,16.64,59.59,7.35,0.03,31.5,4.98,13.02,2.99,4.01,,0.59,15.58,,3.02,,
2020-11-10 20:00:00,2020-11-10 21:00:00,51.76,77.31,5.89,10.67,16.56,61.84,8.13,0.08,36.25,5.03,13.07,3.0,4.04,,0.31,28.73,,3.0,,
2020-11-10 21:00:00,2020-11-10 22:00:00,61.53,89.56,7.02,10.45,17.46,62.36,7.09,0.11,36.0,5.02,12.87,2.99,4.02,,0.24,68.69,,3.0,,
2020-11-10 22:00:00,2020-11-10 23:00:00,111.48,143.77,7.12,15.75,22.88,68.86,10.5,0.41,37.75,4.98,12.99,3.02,4.01,,0.19,63.9,,2.99,,
2020-11-10 23:00:00,2020-11-11 00:00:00,108.03,137.74,7.77,33.8,48.64,52.7,3.68,0.13,38.67,5.03,12.9,3.0,3.98,,0.19,49.47,,3.0,,
2020-11-11 00:00:00,2020-11-11 01:00:00,139.74,180.6,10.87,16.19,27.06,77.35,2.79,0.0,19.75,5.0,13.02,3.0,3.99,,0.19,62.92,,3.0,,
