From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-12-16 15:00:00,2020-12-16 16:00:00,85.0,174.0,4.83,17.24,22.07,14.47,,0.7,77.85,0.0,,24.51,1.33,67.54,1.07,252.49,42.65,,,29.6,
2020-12-16 16:00:00,2020-12-16 17:00:00,86.39,195.63,8.89,19.87,28.76,26.86,,0.76,33.86,0.69,,8.57,6.79,68.52,1.07,252.28,16.16,,,28.6,
2020-12-16 17:00:00,2020-12-16 18:00:00,81.43,183.34,25.61,34.65,60.26,60.5,8.16,0.89,43.08,3.01,,4.94,4.59,73.4,1.07,252.21,2.08,,,27.27,
2020-12-16 18:00:00,2020-12-16 19:00:00,77.27,190.53,28.48,31.8,60.29,76.11,9.32,1.29,15.96,1.56,,15.07,15.22,73.28,1.07,251.84,,,,26.8,
2020-12-16 19:00:00,2020-12-16 20:00:00,86.63,205.65,36.48,28.03,64.5,79.02,9.51,1.15,41.16,1.07,,11.55,8.31,76.0,1.07,251.5,,,,26.05,
2020-12-16 20:00:00,2020-12-16 21:00:00,80.72,148.97,44.32,21.88,66.2,81.93,8.24,1.0,17.89,1.84,,13.92,4.31,78.29,1.07,250.61,,,,25.22,
2020-12-16 21:00:00,2020-12-16 22:00:00,80.07,137.26,56.34,21.83,78.17,71.07,9.08,1.75,0.25,3.42,,5.38,3.03,84.27,1.07,250.48,,,,24.01,
2020-12-16 22:00:00,2020-12-16 23:00:00,97.35,167.81,75.74,22.86,98.6,92.53,9.91,0.64,38.36,0.99,,11.98,10.22,76.4,1.07,250.73,,,,25.17,
2020-12-16 23:00:00,2020-12-17 00:00:00,93.47,140.0,88.81,23.91,112.72,93.55,9.02,0.62,34.24,0.65,,12.0,13.27,74.57,1.07,251.51,,,,25.06,
2020-12-17 00:00:00,2020-12-17 01:00:00,84.13,121.73,101.09,21.57,122.67,96.45,8.12,0.82,12.97,2.47,,4.58,10.45,79.65,1.07,251.36,,,,23.74,
2020-12-17 01:00:00,2020-12-17 02:00:00,79.18,123.92,119.73,17.02,136.75,97.66,8.46,0.74,11.29,2.33,,8.3,8.23,83.65,1.07,251.24,,,,23.22,
2020-12-17 02:00:00,2020-12-17 03:00:00,75.53,125.35,152.43,16.17,168.6,103.57,9.12,0.61,16.59,0.0,,3.41,28.46,82.19,1.07,251.51,,,,23.57,
2020-12-17 03:00:00,2020-12-17 04:00:00,83.92,125.0,183.01,15.59,198.62,103.17,11.74,0.67,3.27,3.13,,2.74,18.16,84.26,1.07,251.53,,,,23.18,
2020-12-17 04:00:00,2020-12-17 05:00:00,96.83,135.44,198.81,20.62,219.43,101.76,12.57,0.68,2.54,2.25,,3.17,6.65,84.97,1.07,251.53,,,,22.96,
2020-12-17 05:00:00,2020-12-17 06:00:00,98.58,138.31,192.98,20.95,213.93,85.89,10.75,0.66,5.33,1.39,,5.48,9.89,85.07,1.07,251.71,,,,22.82,
2020-12-17 06:00:00,2020-12-17 07:00:00,100.28,142.26,180.83,23.61,204.43,90.92,11.15,0.65,8.53,1.04,,4.24,15.46,83.4,1.07,251.95,,,,22.99,
2020-12-17 07:00:00,2020-12-17 08:00:00,103.06,147.26,182.56,23.23,205.8,93.67,13.88,0.73,7.38,0.69,,12.15,13.53,80.21,1.07,251.36,5.64,,,23.44,
2020-12-17 08:00:00,2020-12-17 09:00:00,106.69,153.59,174.87,24.11,198.99,94.01,10.07,0.82,19.23,1.35,,5.56,16.47,78.25,1.07,251.42,31.87,,,24.04,
2020-12-17 09:00:00,2020-12-17 10:00:00,108.25,162.56,185.47,25.01,210.5,89.44,14.1,0.76,12.41,1.04,,9.44,10.83,71.07,1.07,251.77,137.97,,,25.84,
2020-12-17 10:00:00,2020-12-17 11:00:00,96.96,167.96,121.7,12.83,133.23,56.34,13.75,0.78,23.02,0.23,,7.5,26.3,64.81,1.07,251.78,301.4,,,27.63,
2020-12-17 11:00:00,2020-12-17 12:00:00,89.0,169.0,,,,,15.81,0.81,22.11,1.3,,3.4,18.95,58.29,1.07,251.94,384.62,,,29.21,
2020-12-17 12:00:00,2020-12-17 13:00:00,78.0,183.0,,,,,15.42,0.7,,1.25,,12.88,14.58,55.31,1.07,251.94,381.0,,,30.13,
2020-12-17 13:00:00,2020-12-17 14:00:00,74.25,155.05,,,,,12.74,0.67,,1.62,,10.11,10.69,52.54,1.07,251.97,98.16,,,30.87,
2020-12-17 14:00:00,2020-12-17 15:00:00,69.53,156.32,,,,,9.39,0.65,,1.26,,11.78,5.54,52.28,1.07,251.88,74.6,,,31.21,
