From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3)
2021-01-12 14:00:00,2021-01-12 15:00:00,61.63,110.37,8.75,22.06,18.85,1.69,18.33
2021-01-12 15:00:00,2021-01-12 16:00:00,59.17,103.03,8.78,22.53,19.12,1.58,20.75
2021-01-12 16:00:00,2021-01-12 17:00:00,53.78,89.97,8.48,22.63,18.93,1.55,18.5
2021-01-12 17:00:00,2021-01-12 18:00:00,64.88,121.48,8.76,22.27,18.96,1.64,17.0
2021-01-12 18:00:00,2021-01-12 19:00:00,97.07,239.35,8.48,22.62,18.92,1.81,14.75
2021-01-12 19:00:00,2021-01-12 20:00:00,49.88,107.35,8.06,22.39,18.46,1.87,13.75
2021-01-12 20:00:00,2021-01-12 21:00:00,74.07,143.7,8.22,22.71,18.76,2.2,8.75
2021-01-12 21:00:00,2021-01-12 22:00:00,62.22,129.82,8.77,22.59,19.14,2.46,11.0
2021-01-12 22:00:00,2021-01-12 23:00:00,57.98,106.68,8.42,22.62,18.88,2.43,10.25
2021-01-12 23:00:00,2021-01-13 00:00:00,70.23,127.27,8.18,22.76,18.76,2.41,10.0
2021-01-13 00:00:00,2021-01-13 01:00:00,,,,,0.0,0.0,
2021-01-13 01:00:00,2021-01-13 02:00:00,61.5,105.6,8.7,22.02,4.7,0.27,10.0
2021-01-13 02:00:00,2021-01-13 03:00:00,61.88,115.0,8.89,22.43,19.16,0.88,11.25
2021-01-13 03:00:00,2021-01-13 04:00:00,61.08,137.85,8.9,22.3,19.1,0.63,9.75
2021-01-13 04:00:00,2021-01-13 05:00:00,36.12,73.62,8.61,22.13,18.78,0.46,8.75
2021-01-13 05:00:00,2021-01-13 06:00:00,40.27,76.33,8.73,22.1,18.86,0.32,10.5
2021-01-13 06:00:00,2021-01-13 07:00:00,43.88,91.6,8.47,22.23,18.71,0.3,10.0
2021-01-13 07:00:00,2021-01-13 08:00:00,46.05,84.62,8.91,22.6,19.27,0.52,8.0
2021-01-13 08:00:00,2021-01-13 09:00:00,60.97,107.8,8.86,22.56,19.2,0.88,8.75
2021-01-13 09:00:00,2021-01-13 10:00:00,70.38,134.85,9.16,21.92,19.11,1.02,10.0
2021-01-13 10:00:00,2021-01-13 11:00:00,60.67,106.07,8.87,22.29,19.07,1.01,14.75
2021-01-13 11:00:00,2021-01-13 12:00:00,64.65,101.15,8.36,22.77,18.91,0.99,12.75
2021-01-13 12:00:00,2021-01-13 13:00:00,64.05,105.38,8.91,22.22,19.07,0.82,10.75
2021-01-13 13:00:00,2021-01-13 14:00:00,57.75,97.97,8.59,22.75,19.08,0.61,14.0
2021-01-13 14:00:00,2021-01-13 15:00:00,61.4,118.55,8.94,22.43,19.19,0.43,15.75
2021-01-13 15:00:00,2021-01-13 16:00:00,58.32,141.88,8.2,22.24,18.49,0.28,19.25
2021-01-13 16:00:00,2021-01-13 17:00:00,34.65,71.12,8.39,22.33,18.7,0.21,18.0
2021-01-13 17:00:00,2021-01-13 18:00:00,47.42,89.78,8.47,22.56,18.89,0.27,16.25
2021-01-13 18:00:00,2021-01-13 19:00:00,53.83,102.47,8.77,22.41,19.04,0.47,13.75
2021-01-13 19:00:00,2021-01-13 20:00:00,51.0,88.88,8.03,22.7,18.6,0.72,11.75
2021-01-13 20:00:00,2021-01-13 21:00:00,60.75,104.1,8.88,22.25,19.05,0.87,11.25
2021-01-13 21:00:00,2021-01-13 22:00:00,55.67,96.25,8.49,22.63,18.94,0.88,10.75
2021-01-13 22:00:00,2021-01-13 23:00:00,61.08,103.88,8.22,22.9,18.87,0.97,10.0
2021-01-13 23:00:00,2021-01-14 00:00:00,56.8,95.7,9.45,22.47,19.64,0.95,10.67
2021-01-14 00:00:00,2021-01-14 01:00:00,,,,,0.0,0.0,
2021-01-14 01:00:00,2021-01-14 02:00:00,31.6,69.6,6.16,12.19,4.59,0.14,10.0
2021-01-14 02:00:00,2021-01-14 03:00:00,36.57,79.03,6.88,12.09,18.97,0.46,10.5
2021-01-14 03:00:00,2021-01-14 04:00:00,39.0,88.12,6.95,11.96,18.91,0.3,10.25
2021-01-14 04:00:00,2021-01-14 05:00:00,30.02,61.5,7.01,14.5,18.89,0.22,10.75
2021-01-14 05:00:00,2021-01-14 06:00:00,31.55,58.12,7.24,11.85,19.09,0.16,10.0
2021-01-14 06:00:00,2021-01-14 07:00:00,35.55,63.1,7.11,12.12,19.22,0.18,11.5
2021-01-14 07:00:00,2021-01-14 08:00:00,36.6,69.95,7.51,11.93,19.44,0.24,9.75
2021-01-14 08:00:00,2021-01-14 09:00:00,48.67,91.35,6.93,12.02,18.96,0.38,9.5
2021-01-14 09:00:00,2021-01-14 10:00:00,43.18,103.3,7.19,11.79,18.98,0.51,10.25
2021-01-14 10:00:00,2021-01-14 11:00:00,50.05,99.47,7.17,11.84,19.01,0.68,11.5
2021-01-14 11:00:00,2021-01-14 12:00:00,63.15,117.78,7.04,12.01,19.05,0.71,11.75
2021-01-14 12:00:00,2021-01-14 13:00:00,60.58,143.35,7.5,11.72,19.21,0.63,11.25
2021-01-14 13:00:00,2021-01-14 14:00:00,49.38,101.9,7.13,12.12,19.25,0.48,14.0
2021-01-14 14:00:00,2021-01-14 15:00:00,50.97,100.85,7.26,11.79,19.05,0.36,16.0
2021-01-14 15:00:00,2021-01-14 16:00:00,52.45,102.4,6.85,11.87,18.72,0.23,20.0
2021-01-14 16:00:00,2021-01-14 17:00:00,53.53,99.6,7.06,11.94,19.0,0.19,19.25
2021-01-14 17:00:00,2021-01-14 18:00:00,65.95,119.45,6.9,12.12,19.02,0.29,18.25
2021-01-14 18:00:00,2021-01-14 19:00:00,142.12,265.42,6.72,11.74,18.46,0.52,14.5
2021-01-14 19:00:00,2021-01-14 20:00:00,124.95,223.7,7.23,11.83,19.06,0.75,10.75
2021-01-14 20:00:00,2021-01-14 21:00:00,104.38,186.42,7.1,12.21,18.92,0.98,10.25
2021-01-14 21:00:00,2021-01-14 22:00:00,87.72,193.12,6.7,12.05,18.75,1.04,13.25
2021-01-14 22:00:00,2021-01-14 23:00:00,45.0,104.78,7.06,11.87,18.93,1.02,11.25
2021-01-14 23:00:00,2021-01-15 00:00:00,50.2,106.27,9.22,22.59,19.51,1.24,10.33
2021-01-15 00:00:00,2021-01-15 01:00:00,,,,,0.0,0.0,
2021-01-15 01:00:00,2021-01-15 02:00:00,30.4,62.1,8.34,22.47,4.68,0.18,14.0
2021-01-15 02:00:00,2021-01-15 03:00:00,29.78,56.83,8.58,22.24,18.8,0.57,14.75
2021-01-15 03:00:00,2021-01-15 04:00:00,38.1,71.6,8.27,22.72,18.81,0.41,12.5
2021-01-15 04:00:00,2021-01-15 05:00:00,33.77,64.77,9.01,22.32,19.2,0.3,13.0
2021-01-15 05:00:00,2021-01-15 06:00:00,25.55,49.15,8.08,22.4,18.48,0.22,12.25
2021-01-15 06:00:00,2021-01-15 07:00:00,30.85,70.97,8.68,22.3,18.92,0.21,11.25
2021-01-15 07:00:00,2021-01-15 08:00:00,32.3,68.25,8.5,22.4,18.83,0.3,9.5
2021-01-15 08:00:00,2021-01-15 09:00:00,46.5,94.03,8.29,22.67,18.8,0.42,10.0
2021-01-15 09:00:00,2021-01-15 10:00:00,57.6,130.4,8.13,22.37,18.51,0.61,11.25
2021-01-15 10:00:00,2021-01-15 11:00:00,65.4,123.22,8.44,22.36,18.75,0.79,13.5
2021-01-15 11:00:00,2021-01-15 12:00:00,94.28,162.4,8.33,22.34,18.66,1.05,13.5
2021-01-15 12:00:00,2021-01-15 13:00:00,103.53,210.2,8.87,22.34,19.09,1.05,11.25
2021-01-15 13:00:00,2021-01-15 14:00:00,69.2,134.85,8.93,22.48,19.22,0.73,11.0
2021-01-15 14:00:00,2021-01-15 15:00:00,44.88,88.35,8.65,22.66,19.09,0.41,11.25
2021-01-15 15:00:00,2021-01-15 16:00:00,33.52,62.92,9.07,22.29,19.23,0.21,14.5
2021-01-15 16:00:00,2021-01-15 17:00:00,26.45,48.28,8.9,22.9,19.42,0.13,16.25
2021-01-15 17:00:00,2021-01-15 18:00:00,28.97,60.07,8.66,22.32,18.91,0.09,21.25
2021-01-15 18:00:00,2021-01-15 19:00:00,38.92,92.65,8.79,22.74,19.24,0.14,23.5
2021-01-15 19:00:00,2021-01-15 20:00:00,27.22,63.7,8.63,22.4,18.93,0.16,20.5
2021-01-15 20:00:00,2021-01-15 21:00:00,34.02,75.62,8.54,22.13,18.72,0.2,22.5
2021-01-15 21:00:00,2021-01-15 22:00:00,36.03,82.28,8.72,22.62,19.12,0.27,15.75
2021-01-15 22:00:00,2021-01-15 23:00:00,33.38,72.12,8.11,22.68,18.65,0.38,14.25
2021-01-15 23:00:00,2021-01-16 00:00:00,39.4,79.63,8.31,22.94,18.96,0.43,15.67
2021-01-16 00:00:00,2021-01-16 01:00:00,,,,,0.0,0.0,
2021-01-16 01:00:00,2021-01-16 02:00:00,35.6,70.8,7.87,22.11,4.54,0.06,13.0
2021-01-16 02:00:00,2021-01-16 03:00:00,34.3,69.58,8.93,22.83,19.4,0.23,12.5
2021-01-16 03:00:00,2021-01-16 04:00:00,32.33,72.97,8.74,22.24,18.93,0.2,13.75
2021-01-16 04:00:00,2021-01-16 05:00:00,31.05,61.25,8.45,22.51,18.85,0.26,10.25
2021-01-16 05:00:00,2021-01-16 06:00:00,36.43,72.18,8.88,22.82,19.37,0.27,9.5
2021-01-16 06:00:00,2021-01-16 07:00:00,39.53,95.12,8.57,22.34,18.86,0.2,9.75
2021-01-16 07:00:00,2021-01-16 08:00:00,30.3,68.42,8.9,22.54,19.22,0.23,10.75
2021-01-16 08:00:00,2021-01-16 09:00:00,46.0,92.8,8.79,22.33,19.02,0.36,9.75
2021-01-16 09:00:00,2021-01-16 10:00:00,47.52,99.57,8.87,22.77,19.32,0.48,10.0
2021-01-16 10:00:00,2021-01-16 11:00:00,65.32,116.65,7.97,22.67,18.54,0.66,14.25
2021-01-16 11:00:00,2021-01-16 12:00:00,78.33,130.32,8.14,22.06,18.35,1.38,13.5
2021-01-16 12:00:00,2021-01-16 13:00:00,74.35,119.85,9.04,22.72,19.45,1.47,11.75
2021-01-16 13:00:00,2021-01-16 14:00:00,84.83,132.15,8.54,22.35,18.83,1.39,19.8
2021-01-16 14:00:00,2021-01-16 15:00:00,88.28,151.72,8.55,22.21,18.77,1.31,20.5
2021-01-16 15:00:00,2021-01-16 16:00:00,97.45,233.48,8.64,22.44,18.95,1.26,20.5
2021-01-16 16:00:00,2021-01-16 17:00:00,54.35,128.55,8.26,21.93,18.38,1.24,21.25
2021-01-16 17:00:00,2021-01-16 18:00:00,83.9,174.38,8.63,22.91,19.2,1.3,21.75
2021-01-16 18:00:00,2021-01-16 19:00:00,93.45,221.75,7.92,22.62,18.47,1.29,16.5
2021-01-16 19:00:00,2021-01-16 20:00:00,57.5,128.17,8.42,22.44,18.79,1.26,15.75
2021-01-16 20:00:00,2021-01-16 21:00:00,55.35,112.95,8.99,22.63,19.35,1.2,22.0
2021-01-16 21:00:00,2021-01-16 22:00:00,64.15,140.45,9.1,22.83,19.55,1.23,17.5
2021-01-16 22:00:00,2021-01-16 23:00:00,58.25,118.55,8.28,22.61,18.76,1.31,15.25
2021-01-16 23:00:00,2021-01-17 00:00:00,57.57,118.9,8.97,22.34,19.18,1.33,14.67
2021-01-17 00:00:00,2021-01-17 01:00:00,,,,,0.0,0.0,
2021-01-17 01:00:00,2021-01-17 02:00:00,44.6,93.2,9.08,22.86,4.88,0.3,15.0
2021-01-17 02:00:00,2021-01-17 03:00:00,49.95,103.0,8.59,22.26,18.82,1.16,13.0
2021-01-17 03:00:00,2021-01-17 04:00:00,53.02,119.4,9.2,22.09,19.23,1.07,11.5
2021-01-17 04:00:00,2021-01-17 05:00:00,30.9,72.03,8.78,22.75,19.24,1.03,10.75
2021-01-17 05:00:00,2021-01-17 06:00:00,32.83,74.78,8.26,22.68,18.77,0.97,11.25
2021-01-17 06:00:00,2021-01-17 07:00:00,31.77,76.67,8.66,22.45,18.99,0.93,11.5
2021-01-17 07:00:00,2021-01-17 08:00:00,27.72,62.28,8.26,22.52,18.69,0.96,10.75
2021-01-17 08:00:00,2021-01-17 09:00:00,33.08,70.68,8.59,22.08,18.73,1.07,11.5
2021-01-17 09:00:00,2021-01-17 10:00:00,41.67,91.93,8.91,22.5,19.21,1.2,11.75
2021-01-17 10:00:00,2021-01-17 11:00:00,51.37,101.38,8.17,22.38,18.55,1.35,14.0
2021-01-17 11:00:00,2021-01-17 12:00:00,70.75,125.75,8.45,22.41,18.79,1.5,17.0
2021-01-17 12:00:00,2021-01-17 13:00:00,65.35,138.12,8.58,22.88,19.14,1.47,14.0
2021-01-17 13:00:00,2021-01-17 14:00:00,62.12,125.15,7.82,22.32,18.23,1.41,19.5
2021-01-17 14:00:00,2021-01-17 15:00:00,70.17,147.55,8.94,22.62,19.3,1.23,19.5
2021-01-17 15:00:00,2021-01-17 16:00:00,71.4,171.65,8.45,22.19,18.67,1.11,19.5
2021-01-17 16:00:00,2021-01-17 17:00:00,55.18,128.07,8.3,22.0,18.46,1.05,19.75
2021-01-17 17:00:00,2021-01-17 18:00:00,57.28,126.88,8.85,22.56,19.19,1.03,19.75
2021-01-17 18:00:00,2021-01-17 19:00:00,43.55,104.4,8.47,22.32,18.76,0.91,20.25
2021-01-17 19:00:00,2021-01-17 20:00:00,63.3,137.1,8.73,22.94,19.3,0.95,20.0
2021-01-17 20:00:00,2021-01-17 21:00:00,54.53,112.8,8.63,22.7,19.09,0.98,24.25
2021-01-17 21:00:00,2021-01-17 22:00:00,48.25,98.1,9.08,22.4,19.3,1.06,26.75
2021-01-17 22:00:00,2021-01-17 23:00:00,50.3,101.42,8.71,22.41,19.01,1.13,26.25
2021-01-17 23:00:00,2021-01-18 00:00:00,56.93,115.2,8.5,22.86,19.08,1.23,21.67
2021-01-18 00:00:00,2021-01-18 01:00:00,,,,,0.0,0.0,
2021-01-18 01:00:00,2021-01-18 02:00:00,40.6,87.9,9.07,22.45,4.83,0.31,13.0
2021-01-18 02:00:00,2021-01-18 03:00:00,46.12,101.47,8.01,22.79,18.64,1.21,15.5
