From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),BP (mmHg),AT (degree C),RF (mm)
2021-01-12 14:00:00,2021-01-12 15:00:00,60.85,104.71,6.21,21.3,11.33,5.94,0.41,147.67,51.36,,253.21,830.5,27.94,
2021-01-12 15:00:00,2021-01-12 16:00:00,77.0,127.53,6.3,20.69,11.0,5.95,0.46,155.25,52.07,1.52,272.37,832.18,27.58,
2021-01-12 16:00:00,2021-01-12 17:00:00,75.5,120.77,6.27,21.18,11.27,5.96,0.52,172.5,52.07,1.42,292.07,834.14,27.26,
2021-01-12 17:00:00,2021-01-12 18:00:00,85.79,138.63,6.59,24.02,12.78,5.85,0.48,145.75,52.08,1.27,293.58,833.93,26.9,
2021-01-12 18:00:00,2021-01-12 19:00:00,66.66,105.5,6.19,22.43,11.93,5.49,0.46,115.75,52.08,1.19,307.13,835.41,26.7,
2021-01-12 19:00:00,2021-01-12 20:00:00,65.93,101.81,6.08,22.81,12.14,5.11,0.55,175.0,52.08,1.23,320.11,835.69,26.62,
2021-01-12 20:00:00,2021-01-12 21:00:00,78.06,119.05,6.41,20.99,11.16,4.9,0.59,145.5,52.07,1.08,312.32,835.85,26.6,
2021-01-12 21:00:00,2021-01-12 22:00:00,63.44,100.59,6.15,22.1,11.75,4.78,0.59,116.5,52.07,0.89,319.26,836.26,26.64,
2021-01-12 22:00:00,2021-01-12 23:00:00,91.78,149.08,6.39,24.79,13.19,5.12,0.61,97.25,52.07,0.79,293.87,833.7,26.87,
2021-01-12 23:00:00,2021-01-13 00:00:00,74.56,122.13,6.37,18.84,10.02,4.56,0.6,111.67,52.07,0.85,281.77,832.79,26.67,
2021-01-13 00:00:00,2021-01-13 01:00:00,58.73,94.99,6.21,17.46,9.29,4.46,0.67,100.5,52.07,0.79,300.5,834.6,26.52,
2021-01-13 01:00:00,2021-01-13 02:00:00,68.52,110.79,6.49,18.22,9.69,4.3,0.68,88.0,52.08,0.93,282.75,833.11,26.51,
2021-01-13 02:00:00,2021-01-13 03:00:00,64.86,106.64,6.1,16.44,8.75,4.16,0.65,75.5,52.07,0.77,315.87,835.38,26.46,
2021-01-13 03:00:00,2021-01-13 04:00:00,56.53,95.03,6.42,17.08,9.09,4.13,0.61,64.75,52.08,0.81,290.26,833.83,26.47,
2021-01-13 04:00:00,2021-01-13 05:00:00,53.32,90.28,6.22,17.31,9.21,4.32,0.62,55.0,52.07,0.87,281.49,833.08,26.42,
2021-01-13 05:00:00,2021-01-13 06:00:00,51.59,87.9,6.38,17.92,9.53,4.2,0.64,44.25,51.74,0.8,297.06,834.27,26.36,
2021-01-13 06:00:00,2021-01-13 07:00:00,59.1,101.87,6.88,23.44,12.47,4.36,0.61,25.25,43.45,0.81,319.24,833.84,26.63,
2021-01-13 07:00:00,2021-01-13 08:00:00,69.91,120.78,8.47,31.3,16.65,4.09,0.63,19.0,37.53,0.8,296.68,834.19,26.92,
2021-01-13 08:00:00,2021-01-13 09:00:00,71.61,121.4,12.48,37.47,19.93,5.08,0.65,13.75,46.35,0.8,269.17,832.0,26.87,
2021-01-13 09:00:00,2021-01-13 10:00:00,57.42,95.74,12.13,33.64,17.89,5.29,0.63,20.5,48.01,0.76,233.13,828.52,27.41,
2021-01-13 10:00:00,2021-01-13 11:00:00,55.04,93.61,7.88,25.52,13.57,5.14,0.62,59.25,50.38,1.07,276.62,832.54,27.16,
2021-01-13 11:00:00,2021-01-13 12:00:00,62.83,107.25,6.88,23.03,12.25,4.83,0.58,95.25,48.2,1.1,281.81,832.77,27.39,
2021-01-13 12:00:00,2021-01-13 13:00:00,54.27,92.25,6.61,22.43,11.93,5.1,0.48,131.5,48.42,1.4,270.45,831.89,27.48,
2021-01-13 13:00:00,2021-01-13 14:00:00,41.91,72.07,6.32,18.73,9.96,4.89,0.46,141.0,49.3,1.6,273.61,832.27,27.47,
2021-01-13 14:00:00,2021-01-13 15:00:00,47.87,80.11,6.3,17.49,9.3,4.85,0.47,132.5,50.37,1.52,281.82,833.15,27.46,
2021-01-13 15:00:00,2021-01-13 16:00:00,54.95,92.0,11.2,31.44,16.73,5.65,0.47,106.75,46.68,1.03,313.67,835.38,27.59,
2021-01-13 16:00:00,2021-01-13 17:00:00,59.6,102.14,8.36,24.54,13.05,4.94,0.47,109.5,44.69,1.27,298.22,834.76,27.37,
2021-01-13 17:00:00,2021-01-13 18:00:00,62.8,105.06,6.32,17.13,9.12,4.11,0.42,126.0,43.92,1.2,302.26,834.0,27.11,
2021-01-13 18:00:00,2021-01-13 19:00:00,48.61,79.19,6.57,19.46,10.36,4.18,0.37,149.0,46.81,1.38,290.28,833.49,26.82,
2021-01-13 19:00:00,2021-01-13 20:00:00,47.62,76.19,6.24,17.11,9.1,4.24,0.44,183.25,52.05,1.65,290.03,834.02,26.51,
2021-01-13 20:00:00,2021-01-13 21:00:00,60.84,97.07,6.23,17.69,9.41,4.42,0.54,155.75,52.05,1.64,300.89,834.7,26.2,
2021-01-13 21:00:00,2021-01-13 22:00:00,58.02,91.19,6.04,18.75,9.97,4.21,0.53,163.5,52.05,1.43,308.24,835.78,26.16,
2021-01-13 22:00:00,2021-01-13 23:00:00,71.99,115.48,6.24,18.04,9.59,3.83,0.55,132.25,47.36,1.26,325.4,836.32,26.09,
2021-01-13 23:00:00,2021-01-14 00:00:00,74.97,120.73,6.14,18.88,10.04,3.4,0.55,120.33,40.79,1.18,297.36,834.63,26.19,
2021-01-14 00:00:00,2021-01-14 01:00:00,55.38,90.43,5.54,7.8,9.66,3.56,0.5,56.0,51.2,0.98,297.64,834.45,25.86,
2021-01-14 01:00:00,2021-01-14 02:00:00,54.98,87.77,5.22,4.78,10.0,4.02,0.48,50.5,51.25,0.83,301.46,834.54,25.91,
2021-01-14 02:00:00,2021-01-14 03:00:00,60.33,96.14,5.25,3.77,9.02,3.98,0.52,50.25,50.65,0.83,310.11,835.38,25.84,
2021-01-14 03:00:00,2021-01-14 04:00:00,64.36,103.68,5.01,3.87,8.88,4.31,0.52,43.5,50.78,0.61,308.85,829.75,25.84,
2021-01-14 04:00:00,2021-01-14 05:00:00,64.47,103.06,5.28,4.68,9.96,4.38,0.52,31.0,52.06,0.72,193.14,827.0,25.82,
2021-01-14 05:00:00,2021-01-14 06:00:00,73.67,117.03,5.23,6.05,11.28,4.63,0.54,21.0,50.6,0.6,192.64,828.68,25.87,
2021-01-14 06:00:00,2021-01-14 07:00:00,83.02,133.96,5.95,9.51,15.47,4.67,0.54,7.75,37.15,0.75,257.67,834.91,26.01,
2021-01-14 07:00:00,2021-01-14 08:00:00,79.81,133.14,6.13,10.65,16.78,3.31,0.56,10.5,33.2,0.85,255.99,835.98,26.12,
2021-01-14 08:00:00,2021-01-14 09:00:00,93.82,156.36,15.58,12.52,28.1,4.71,0.6,5.5,33.91,0.8,193.85,828.46,26.46,
2021-01-14 09:00:00,2021-01-14 10:00:00,98.77,161.84,22.0,14.72,36.72,6.14,0.64,11.5,30.73,0.64,230.0,828.61,27.74,
2021-01-14 10:00:00,2021-01-14 11:00:00,123.52,199.73,10.49,17.07,27.55,6.04,0.64,29.75,34.23,0.96,171.16,822.79,27.62,
2021-01-14 11:00:00,2021-01-14 12:00:00,83.15,134.15,5.7,13.6,19.29,6.18,0.57,65.0,38.69,1.66,123.72,819.06,27.42,
2021-01-14 12:00:00,2021-01-14 13:00:00,47.24,78.53,5.32,7.31,12.63,6.04,0.54,73.25,40.06,0.95,232.87,828.41,27.54,
2021-01-14 13:00:00,2021-01-14 14:00:00,63.75,107.39,5.2,5.65,10.86,5.76,0.53,88.75,41.24,1.55,247.6,829.94,27.35,
2021-01-14 14:00:00,2021-01-14 15:00:00,62.11,105.97,5.09,5.7,10.79,5.27,0.52,94.0,42.38,2.18,266.83,831.71,27.26,
2021-01-14 15:00:00,2021-01-14 16:00:00,65.48,110.08,5.12,5.73,10.85,5.33,0.53,93.25,42.62,2.15,272.18,832.07,27.27,
2021-01-14 16:00:00,2021-01-14 17:00:00,56.4,94.91,6.7,8.67,15.37,5.36,0.49,72.75,41.42,1.42,291.45,833.78,27.2,
2021-01-14 17:00:00,2021-01-14 18:00:00,59.93,101.0,5.71,7.18,12.89,5.17,0.45,76.25,45.12,1.26,285.35,833.52,26.96,
2021-01-14 18:00:00,2021-01-14 19:00:00,54.88,91.81,5.21,4.15,9.36,4.68,0.42,72.0,52.01,1.3,291.62,834.0,26.5,
2021-01-14 19:00:00,2021-01-14 20:00:00,43.19,72.07,5.02,3.44,8.46,4.4,0.38,87.0,52.04,1.72,287.26,833.64,26.29,
2021-01-14 20:00:00,2021-01-14 21:00:00,39.84,66.42,5.14,3.75,8.9,4.19,0.41,91.0,51.94,1.54,295.3,834.5,26.21,
2021-01-14 21:00:00,2021-01-14 22:00:00,40.85,68.08,5.04,5.41,10.45,4.04,0.47,71.5,51.71,1.08,326.68,836.77,25.99,
2021-01-14 22:00:00,2021-01-14 23:00:00,43.5,73.61,5.1,4.93,10.03,3.68,0.46,56.5,47.71,0.86,324.31,836.77,25.91,
2021-01-14 23:00:00,2021-01-15 00:00:00,48.55,82.69,5.13,5.31,10.44,3.38,0.46,52.0,46.17,0.84,304.23,834.96,25.91,
2021-01-15 00:00:00,2021-01-15 01:00:00,38.23,65.41,6.36,17.43,9.27,3.46,0.52,136.25,51.97,0.84,316.3,835.61,25.67,
2021-01-15 01:00:00,2021-01-15 02:00:00,47.14,80.27,6.28,17.46,9.29,3.66,0.51,150.75,51.97,0.84,327.2,836.65,25.77,
2021-01-15 02:00:00,2021-01-15 03:00:00,42.31,71.56,6.31,14.8,7.87,3.74,0.51,138.5,51.97,0.86,326.74,836.73,25.48,
2021-01-15 03:00:00,2021-01-15 04:00:00,35.84,61.06,6.25,14.54,7.73,3.37,0.48,140.0,51.97,0.91,316.76,835.75,25.48,
2021-01-15 04:00:00,2021-01-15 05:00:00,36.61,62.51,6.36,14.02,7.46,3.38,0.47,135.25,51.97,0.98,330.24,837.21,25.36,
2021-01-15 05:00:00,2021-01-15 06:00:00,37.79,64.5,6.24,14.58,7.75,3.44,0.48,122.5,51.97,0.87,330.96,837.33,25.16,
2021-01-15 06:00:00,2021-01-15 07:00:00,40.68,68.94,6.26,19.23,10.23,3.96,0.48,81.75,51.96,0.84,334.17,837.56,25.06,
2021-01-15 07:00:00,2021-01-15 08:00:00,56.93,92.97,6.95,28.42,15.12,4.27,0.53,42.25,51.96,0.48,247.34,827.38,25.09,
2021-01-15 08:00:00,2021-01-15 09:00:00,83.04,133.15,12.69,39.63,21.08,5.58,0.56,11.75,50.71,0.49,57.97,821.02,25.57,
2021-01-15 09:00:00,2021-01-15 10:00:00,79.48,128.79,9.1,34.02,18.09,5.26,0.59,58.0,45.57,0.7,176.24,823.33,26.05,
2021-01-15 10:00:00,2021-01-15 11:00:00,43.74,72.89,6.61,20.67,10.99,4.03,0.58,119.25,48.22,0.87,256.52,830.74,26.3,
2021-01-15 11:00:00,2021-01-15 12:00:00,54.05,90.62,6.5,19.23,10.23,4.03,0.54,125.25,47.97,0.89,259.62,830.99,26.56,
2021-01-15 12:00:00,2021-01-15 13:00:00,42.45,71.23,6.49,18.59,9.89,4.03,0.49,128.25,45.05,1.22,234.76,828.36,26.86,
2021-01-15 13:00:00,2021-01-15 14:00:00,37.7,62.91,6.42,15.94,8.47,3.71,0.41,136.0,41.18,1.97,224.22,828.01,26.88,
2021-01-15 14:00:00,2021-01-15 15:00:00,40.98,68.83,6.23,15.18,8.07,3.27,0.38,125.0,39.7,1.9,245.95,829.96,27.01,
2021-01-15 15:00:00,2021-01-15 16:00:00,44.29,72.69,6.94,17.07,9.08,3.01,0.36,108.25,39.97,2.15,279.3,832.85,26.89,
2021-01-15 16:00:00,2021-01-15 17:00:00,32.44,53.23,9.13,27.87,14.83,3.65,0.35,94.5,40.09,1.65,284.56,833.33,26.83,
2021-01-15 17:00:00,2021-01-15 18:00:00,34.23,59.34,6.62,18.36,9.77,2.71,0.32,117.25,37.48,0.97,307.92,835.06,26.74,
2021-01-15 18:00:00,2021-01-15 19:00:00,39.39,67.87,6.44,18.16,9.66,2.33,0.31,118.5,39.26,0.93,297.16,833.79,26.4,
2021-01-15 19:00:00,2021-01-15 20:00:00,31.59,52.79,6.49,18.77,9.99,2.4,0.3,116.75,40.68,0.86,305.73,834.32,26.2,
2021-01-15 20:00:00,2021-01-15 21:00:00,34.56,58.28,6.2,23.52,12.51,2.78,0.3,89.25,42.77,0.81,322.65,836.34,26.0,
2021-01-15 21:00:00,2021-01-15 22:00:00,36.54,59.26,6.33,23.22,12.35,3.12,0.36,95.25,45.33,0.96,300.13,834.63,25.88,
2021-01-15 22:00:00,2021-01-15 23:00:00,20.76,36.41,6.21,16.38,8.71,3.0,0.34,110.0,47.15,0.94,313.56,835.61,25.75,
2021-01-15 23:00:00,2021-01-16 00:00:00,29.51,52.25,6.47,17.51,9.31,2.55,0.38,111.67,38.58,0.91,336.84,837.35,25.65,
2021-01-16 00:00:00,2021-01-16 01:00:00,44.32,74.62,8.07,29.5,15.69,1.81,0.38,50.25,33.67,0.78,317.92,835.39,25.57,
2021-01-16 01:00:00,2021-01-16 02:00:00,43.65,72.26,6.87,32.46,17.26,1.71,0.42,32.25,34.54,0.72,331.41,834.85,25.49,
2021-01-16 02:00:00,2021-01-16 03:00:00,34.61,57.77,6.57,23.48,12.49,1.65,0.46,92.25,38.34,0.86,326.15,836.33,25.48,
2021-01-16 03:00:00,2021-01-16 04:00:00,30.47,51.15,6.37,18.38,9.78,2.04,0.45,91.75,40.13,0.95,333.78,837.58,25.19,
2021-01-16 04:00:00,2021-01-16 05:00:00,38.05,64.53,6.5,18.61,9.9,2.33,0.45,89.75,40.23,0.94,328.13,837.2,25.0,
2021-01-16 05:00:00,2021-01-16 06:00:00,39.17,67.03,6.3,20.46,10.88,2.57,0.45,89.0,41.66,0.92,326.45,837.0,24.84,
2021-01-16 06:00:00,2021-01-16 07:00:00,40.11,67.17,6.3,21.35,11.36,2.78,0.47,94.75,42.02,0.91,330.13,837.22,24.77,
2021-01-16 07:00:00,2021-01-16 08:00:00,52.14,85.67,6.52,24.78,13.18,2.71,0.48,80.75,39.98,0.88,330.36,837.37,24.82,
2021-01-16 08:00:00,2021-01-16 09:00:00,67.97,112.78,7.82,34.7,18.46,3.26,0.51,41.25,35.63,0.85,339.07,836.9,25.33,
2021-01-16 09:00:00,2021-01-16 10:00:00,70.05,115.72,8.59,33.7,17.93,2.28,0.53,63.5,29.93,0.74,300.2,833.92,26.36,
2021-01-16 10:00:00,2021-01-16 11:00:00,77.95,129.27,7.23,30.63,16.3,1.92,0.47,101.5,31.02,0.83,277.27,832.49,26.51,
2021-01-16 11:00:00,2021-01-16 12:00:00,64.83,109.59,6.26,21.72,11.55,1.79,0.42,141.5,32.14,0.97,245.85,829.76,26.73,
2021-01-16 12:00:00,2021-01-16 13:00:00,61.08,105.12,6.46,18.03,9.59,1.73,0.37,144.0,29.56,1.16,248.16,829.94,27.32,
2021-01-16 13:00:00,2021-01-16 14:00:00,62.31,106.16,6.32,16.76,8.92,2.06,0.35,143.0,31.56,1.19,233.02,828.73,27.31,
2021-01-16 14:00:00,2021-01-16 15:00:00,45.69,78.5,7.05,17.05,9.07,2.53,0.34,138.0,32.75,1.63,233.67,828.81,27.28,
2021-01-16 15:00:00,2021-01-16 16:00:00,51.48,88.8,6.12,15.68,8.34,2.74,0.33,138.5,34.42,2.0,222.22,827.84,27.14,
2021-01-16 16:00:00,2021-01-16 17:00:00,38.16,64.81,4.52,12.77,6.79,2.99,0.29,132.0,36.71,1.83,220.7,827.81,26.93,
2021-01-16 17:00:00,2021-01-16 18:00:00,26.25,44.93,6.23,16.21,8.62,3.15,0.3,143.75,37.97,1.4,254.27,830.69,26.69,
2021-01-16 18:00:00,2021-01-16 19:00:00,26.16,44.22,5.62,16.29,8.66,3.4,0.29,158.25,39.69,1.09,274.0,832.34,26.32,
2021-01-16 19:00:00,2021-01-16 20:00:00,27.08,44.01,6.4,17.37,9.24,3.3,0.3,171.75,39.64,0.91,284.8,833.46,26.22,
2021-01-16 20:00:00,2021-01-16 21:00:00,38.42,61.36,6.53,18.83,10.02,3.65,0.29,166.25,42.08,0.83,313.83,835.37,26.07,
2021-01-16 21:00:00,2021-01-16 22:00:00,63.57,103.77,6.16,22.29,11.86,3.99,0.32,137.75,43.98,0.86,332.58,837.49,25.86,
2021-01-16 22:00:00,2021-01-16 23:00:00,78.86,131.29,5.85,27.4,14.57,3.99,0.35,83.5,41.46,0.8,325.52,836.82,25.84,
2021-01-16 23:00:00,2021-01-17 00:00:00,83.45,135.48,6.7,28.33,15.07,3.97,0.39,98.67,40.4,0.77,309.02,835.04,25.87,
2021-01-17 00:00:00,2021-01-17 01:00:00,50.24,81.86,6.14,8.57,13.56,3.26,0.48,108.5,40.94,0.82,333.07,837.39,25.66,
2021-01-17 01:00:00,2021-01-17 02:00:00,56.2,90.23,5.87,6.26,11.04,2.84,0.48,114.75,41.15,0.88,94.18,840.02,25.52,
2021-01-17 02:00:00,2021-01-17 03:00:00,52.56,85.18,6.11,4.42,9.38,2.87,0.49,122.75,46.59,0.87,89.73,839.44,25.52,
2021-01-17 03:00:00,2021-01-17 04:00:00,49.79,80.83,5.48,4.08,8.53,3.43,0.49,115.75,51.61,0.88,91.48,838.71,25.36,
2021-01-17 04:00:00,2021-01-17 05:00:00,72.08,116.11,7.03,11.51,17.22,5.24,0.51,44.5,51.62,0.87,183.57,835.97,25.23,
2021-01-17 05:00:00,2021-01-17 06:00:00,98.74,155.88,7.56,12.33,18.48,4.99,0.56,30.5,51.61,0.86,328.82,837.23,25.21,
2021-01-17 06:00:00,2021-01-17 07:00:00,75.06,118.91,6.88,14.14,19.73,4.83,0.58,24.25,51.61,0.86,320.76,836.51,25.07,
2021-01-17 07:00:00,2021-01-17 08:00:00,112.42,178.79,9.86,18.49,26.51,5.62,0.62,13.75,49.39,0.86,331.09,837.43,25.23,
2021-01-17 08:00:00,2021-01-17 09:00:00,139.78,223.45,9.02,17.0,24.33,5.3,0.67,42.0,45.41,0.86,336.27,837.53,25.65,
2021-01-17 09:00:00,2021-01-17 10:00:00,67.02,109.27,6.75,8.99,14.48,4.06,0.67,117.0,40.54,1.01,319.5,835.68,26.18,
2021-01-17 10:00:00,2021-01-17 11:00:00,56.85,95.89,6.47,6.06,11.32,3.31,0.6,142.5,39.33,0.84,277.39,832.06,26.45,
2021-01-17 11:00:00,2021-01-17 12:00:00,63.34,106.36,6.41,5.61,10.82,3.13,0.54,152.25,37.74,0.96,236.59,828.82,26.66,
2021-01-17 12:00:00,2021-01-17 13:00:00,64.5,109.78,6.58,4.26,9.61,2.62,0.49,150.5,34.68,1.35,239.93,829.27,27.01,
2021-01-17 13:00:00,2021-01-17 14:00:00,64.98,111.24,6.32,3.23,8.36,2.09,0.43,153.5,33.32,1.27,244.44,829.89,27.2,
2021-01-17 14:00:00,2021-01-17 15:00:00,55.01,92.83,6.42,3.1,8.32,2.04,0.38,138.75,33.64,1.1,242.81,829.62,27.31,
2021-01-17 15:00:00,2021-01-17 16:00:00,72.09,121.19,6.44,3.3,8.53,2.12,0.35,129.5,34.14,0.95,237.27,829.18,27.43,
2021-01-17 16:00:00,2021-01-17 17:00:00,61.03,101.48,6.57,3.38,8.72,2.41,0.34,128.75,34.55,0.93,239.46,829.35,27.36,
2021-01-17 17:00:00,2021-01-17 18:00:00,45.97,77.22,6.24,2.81,7.88,2.25,0.34,131.0,35.87,1.16,237.95,829.63,27.15,
2021-01-17 18:00:00,2021-01-17 19:00:00,28.87,49.02,6.42,2.81,8.03,2.35,0.31,125.25,39.42,1.23,282.05,833.16,26.7,
2021-01-17 19:00:00,2021-01-17 20:00:00,19.59,33.02,6.37,2.14,7.32,2.67,0.28,123.25,42.06,1.79,284.33,833.17,26.44,
2021-01-17 20:00:00,2021-01-17 21:00:00,23.68,40.04,6.36,2.84,8.01,3.08,0.34,103.75,47.52,1.09,308.31,835.6,26.27,
2021-01-17 21:00:00,2021-01-17 22:00:00,30.85,51.85,6.47,4.63,9.89,3.3,0.37,91.5,47.69,0.81,316.95,836.02,26.1,
2021-01-17 22:00:00,2021-01-17 23:00:00,28.04,46.58,6.14,3.68,8.67,2.99,0.35,107.75,44.6,1.07,290.94,834.02,26.17,
2021-01-17 23:00:00,2021-01-18 00:00:00,25.87,43.37,6.12,2.59,7.57,2.74,0.36,115.0,47.79,0.79,303.6,834.35,26.01,
2021-01-18 00:00:00,2021-01-18 01:00:00,30.2,50.12,6.24,18.05,9.6,2.58,0.33,89.5,50.65,0.81,326.64,836.9,25.83,
2021-01-18 01:00:00,2021-01-18 02:00:00,29.19,48.33,6.4,19.94,10.61,2.92,0.41,82.5,51.71,0.82,329.04,836.94,25.71,
2021-01-18 02:00:00,2021-01-18 03:00:00,29.03,47.91,6.3,17.23,9.17,2.76,0.46,80.75,51.71,0.88,338.96,838.05,25.66,
2021-01-18 03:00:00,2021-01-18 04:00:00,23.21,38.64,6.23,15.51,8.25,2.63,0.47,94.0,51.71,0.9,328.64,836.36,25.7,
2021-01-18 04:00:00,2021-01-18 05:00:00,18.01,30.45,6.44,14.62,7.78,2.49,0.47,95.25,51.71,0.94,333.66,837.44,25.61,
2021-01-18 05:00:00,2021-01-18 06:00:00,25.07,41.41,6.18,13.99,7.44,2.24,0.45,98.75,51.71,0.97,331.45,837.3,25.56,
2021-01-18 06:00:00,2021-01-18 07:00:00,25.8,42.86,6.2,13.57,7.22,2.35,0.44,104.25,51.71,1.33,331.8,837.16,25.54,
2021-01-18 07:00:00,2021-01-18 08:00:00,34.9,58.09,6.41,16.33,8.69,2.59,0.44,88.5,51.71,1.0,329.81,836.77,25.42,
2021-01-18 08:00:00,2021-01-18 09:00:00,37.45,61.66,6.68,24.09,12.82,3.21,0.47,62.25,51.71,0.93,326.75,836.72,25.58,
2021-01-18 09:00:00,2021-01-18 10:00:00,33.45,55.45,7.05,26.47,14.08,3.61,0.52,65.75,49.13,0.79,321.35,835.37,26.2,
2021-01-18 10:00:00,2021-01-18 11:00:00,37.35,61.67,6.7,21.32,11.34,3.72,0.49,92.5,44.37,1.04,287.85,833.24,26.53,
2021-01-18 11:00:00,2021-01-18 12:00:00,41.13,67.68,6.27,18.52,9.85,3.08,0.47,112.25,41.62,1.09,261.57,830.95,26.81,
2021-01-18 12:00:00,2021-01-18 13:00:00,43.24,71.06,6.41,17.14,9.11,3.18,0.42,125.75,39.19,1.1,241.44,829.46,27.03,
2021-01-18 13:00:00,2021-01-18 14:00:00,34.66,57.55,6.54,16.31,8.68,2.99,0.35,130.25,38.58,1.06,232.46,828.79,,
2021-01-18 14:00:00,2021-01-18 15:00:00,34.28,56.95,6.56,16.3,8.67,2.95,0.33,116.75,37.35,1.06,255.29,830.81,,
2021-01-18 15:00:00,2021-01-18 16:00:00,71.4,153.7,6.48,16.2,8.62,2.71,0.33,112.25,36.26,1.12,247.55,829.95,,
2021-01-18 16:00:00,2021-01-18 17:00:00,45.29,87.48,6.16,16.34,8.69,2.95,0.33,120.0,37.08,1.09,250.63,830.32,,
2021-01-18 17:00:00,2021-01-18 18:00:00,20.39,33.69,6.22,15.61,8.3,2.67,0.31,111.0,37.61,1.25,276.15,832.65,,
