From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2019-08-27 14:00:00,2019-08-27 15:00:00,15.0,29.0,1.25,3.71,1.52,3.6,5.01,0.32,29.13,0.18,,0.4,0.58,,,,,,,,,,0.0
2019-08-27 15:00:00,2019-08-27 16:00:00,16.96,25.95,1.26,3.57,1.41,3.68,5.29,0.27,37.17,0.18,,0.48,0.63,,,,,,,,,,0.0
2019-08-27 16:00:00,2019-08-27 17:00:00,22.88,34.33,1.18,3.55,1.49,3.63,5.22,0.29,34.73,0.2,,0.59,0.62,,,,,,,,,,0.0
2019-08-27 17:00:00,2019-08-27 18:00:00,23.0,35.97,1.27,3.6,1.42,3.64,5.1,0.28,39.19,0.26,,0.38,0.65,,,,,,,,,,0.0
2019-08-27 18:00:00,2019-08-27 19:00:00,27.41,32.41,1.34,3.65,1.38,3.67,5.0,0.31,36.95,0.23,,0.21,0.43,,,,,,,,,,0.0
2019-08-27 19:00:00,2019-08-27 20:00:00,40.1,48.0,1.32,3.54,1.31,3.72,4.84,0.45,29.61,0.45,,0.24,0.48,,,,,,,,,,0.0
2019-08-27 20:00:00,2019-08-27 21:00:00,47.88,52.12,1.24,3.43,1.3,3.7,4.8,0.49,26.07,0.61,,0.21,0.48,,,,,,,,,,0.0
2019-08-27 21:00:00,2019-08-27 22:00:00,34.23,45.23,1.22,3.5,1.41,3.66,4.83,0.41,30.93,0.39,,0.14,0.4,,,,,,,,,,0.0
2019-08-27 22:00:00,2019-08-27 23:00:00,,,1.32,3.52,1.27,3.63,4.84,0.31,32.55,0.27,,0.11,0.34,,,,,,,,,,0.0
2019-08-27 23:00:00,2019-08-28 00:00:00,24.33,26.0,1.32,3.61,1.37,3.61,4.85,0.28,28.33,0.23,,0.09,0.32,,,,,,,,,,0.0
2019-08-28 00:00:00,2019-08-28 01:00:00,8.8,20.0,1.26,3.51,1.38,3.63,4.69,0.22,32.09,0.13,,0.07,0.28,,,,,,,,,,0.0
2019-08-28 01:00:00,2019-08-28 02:00:00,12.93,19.67,1.19,3.4,1.34,3.69,4.7,0.21,27.35,0.14,,0.07,0.25,,,,,,,,,,0.0
2019-08-28 02:00:00,2019-08-28 03:00:00,,,1.32,3.35,1.16,3.67,4.64,0.2,26.95,0.11,,0.1,0.33,,,,,,,,,,0.0
2019-08-28 03:00:00,2019-08-28 04:00:00,12.12,17.61,1.29,3.46,1.29,3.72,4.61,0.18,24.62,0.09,,0.05,0.15,,,,,,,,,,0.0
2019-08-28 04:00:00,2019-08-28 05:00:00,9.9,11.8,1.31,3.7,1.47,3.64,4.68,0.23,24.19,0.19,,0.09,0.3,,,,,,,,,,0.0
2019-08-28 05:00:00,2019-08-28 06:00:00,32.62,35.4,1.27,3.63,1.48,3.63,4.7,0.34,21.71,0.72,,0.14,0.49,,,,,,,,,,0.0
2019-08-28 06:00:00,2019-08-28 07:00:00,22.18,32.3,1.17,3.39,1.35,3.62,4.67,0.26,25.98,0.41,,0.14,0.53,,,,,,,,,,0.0
2019-08-28 07:00:00,2019-08-28 08:00:00,18.58,20.0,1.31,3.64,1.41,3.69,4.65,0.28,27.57,0.29,,0.14,0.51,,,,,,,,,,0.0
2019-08-28 08:00:00,2019-08-28 09:00:00,19.65,22.62,1.24,3.5,1.38,3.66,4.7,0.3,26.61,0.29,,0.18,0.56,,,,,,,,,,0.0
2019-08-28 09:00:00,2019-08-28 10:00:00,18.03,24.58,1.37,3.53,1.24,3.68,4.67,0.28,30.98,0.23,,0.19,0.58,,,,,,,,,,0.0
2019-08-28 10:00:00,2019-08-28 11:00:00,9.15,20.0,1.17,3.52,1.47,3.65,4.69,0.27,33.26,0.2,,0.18,0.55,,,,,,,,,,0.0
2019-08-28 11:00:00,2019-08-28 12:00:00,,,1.23,3.58,1.46,3.6,4.86,0.27,29.48,0.2,1.68,0.16,0.54,0.22,,,,,,,,,0.0
2019-08-28 12:00:00,2019-08-28 13:00:00,11.11,20.12,1.18,3.62,1.56,3.59,5.1,0.32,24.44,0.19,1.84,0.24,0.59,0.28,,,,,,,,,0.0
2019-08-28 13:00:00,2019-08-28 14:00:00,17.87,21.58,1.21,3.33,1.26,3.59,5.33,0.3,29.18,0.22,2.22,0.41,0.68,0.32,,,,,,,,,0.0
2019-08-28 14:00:00,2019-08-28 15:00:00,16.05,28.0,1.41,3.73,1.36,3.56,5.55,0.3,35.58,0.21,2.31,0.47,0.65,0.32,,,,,,,,,0.0
2019-08-28 15:00:00,2019-08-28 16:00:00,16.68,26.0,1.24,3.43,1.33,3.67,5.72,0.28,37.98,0.2,0.42,0.49,0.62,0.29,,,,,,,,,0.0
