From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-04-18 17:00:00,2022-04-18 18:00:00,31.2,42.0,1.44,12.05,13.47,2.78,4.22,0.38,18.44,,,,,,89.52,0.49,244.95,5.92,855.58,,19.52,0.0
2022-04-18 18:00:00,2022-04-18 19:00:00,33.1,49.2,1.68,11.55,13.33,2.78,4.23,0.42,14.33,,,,,,90.93,0.48,216.69,0.0,856.16,,19.06,0.01
2022-04-18 19:00:00,2022-04-18 20:00:00,42.1,61.3,2.17,14.35,16.69,2.67,4.15,0.57,5.63,,,,,,91.1,0.43,139.0,0.0,856.86,,18.33,0.0
2022-04-18 20:00:00,2022-04-18 21:00:00,49.2,95.1,9.31,20.7,33.03,2.71,4.19,0.87,0.23,,,,,,92.53,0.61,172.4,0.0,857.58,,17.54,0.0
2022-04-18 21:00:00,2022-04-18 22:00:00,79.5,150.4,19.78,21.55,48.99,2.45,4.18,1.18,,,,,,,93.36,0.56,158.61,0.0,857.86,,17.06,0.0
2022-04-18 22:00:00,2022-04-18 23:00:00,84.4,139.8,22.25,20.18,51.27,2.47,4.21,1.24,,,,,,,93.66,0.42,165.58,0.0,857.54,,16.65,0.0
2022-04-18 23:00:00,2022-04-19 00:00:00,60.9,113.9,18.38,20.07,45.57,2.41,4.23,1.14,,,,,,,94.09,0.48,181.7,0.0,857.11,,16.22,0.0
2022-04-19 00:00:00,2022-04-19 01:00:00,51.3,118.36,14.62,19.82,39.88,2.44,4.12,1.01,,,,,,,94.45,0.34,176.35,0.0,856.93,,16.18,0.0
2022-04-19 01:00:00,2022-04-19 02:00:00,41.8,86.0,8.89,18.77,30.61,2.38,4.08,0.83,0.1,,,,,,93.81,0.48,201.77,0.0,856.49,,16.11,0.0
2022-04-19 02:00:00,2022-04-19 03:00:00,34.0,69.5,3.74,16.44,20.96,2.5,3.98,0.66,1.19,,,,,,92.3,0.48,167.71,0.0,856.2,,15.95,0.0
2022-04-19 03:00:00,2022-04-19 04:00:00,25.7,49.9,2.41,12.73,15.53,2.29,4.04,0.52,1.82,,,,,,93.36,0.37,165.1,0.0,856.3,,15.56,0.0
2022-04-19 04:00:00,2022-04-19 05:00:00,17.3,40.9,2.12,9.88,12.39,2.19,3.91,0.43,1.31,,,,,,94.37,0.34,167.14,0.58,856.67,,15.29,0.0
2022-04-19 05:00:00,2022-04-19 06:00:00,22.7,36.7,2.44,9.2,12.21,2.18,3.98,0.4,0.81,,,,,,94.26,0.27,159.99,28.05,857.27,,15.52,0.0
2022-04-19 06:00:00,2022-04-19 07:00:00,27.9,60.1,3.81,12.82,17.63,2.4,4.04,0.46,0.61,,,,,,86.52,0.33,160.58,112.14,857.99,,17.79,0.0
2022-04-19 07:00:00,2022-04-19 08:00:00,42.0,78.9,2.33,14.05,16.65,2.56,4.11,0.48,10.5,,,,,,67.39,0.82,145.49,200.61,858.63,,21.49,0.0
2022-04-19 08:00:00,2022-04-19 09:00:00,23.7,47.5,1.36,9.6,11.02,2.72,4.24,0.42,22.39,,,,,,60.28,0.94,180.33,265.29,858.92,,23.17,0.0
2022-04-19 09:00:00,2022-04-19 10:00:00,25.4,40.9,1.3,6.68,8.2,2.78,4.32,0.37,26.55,,,,,,60.6,1.03,253.74,211.35,858.88,,23.85,0.0
2022-04-19 10:00:00,2022-04-19 11:00:00,23.4,48.9,1.25,6.04,7.52,2.71,4.35,0.34,29.64,,,,,,66.78,1.32,272.12,199.63,858.69,,23.1,0.0
2022-04-19 11:00:00,2022-04-19 12:00:00,31.2,51.0,1.09,6.53,7.74,2.59,4.31,0.34,28.98,,,,,,80.74,1.04,237.47,31.16,858.18,,20.8,1.74
2022-04-19 12:00:00,2022-04-19 13:00:00,37.5,64.6,1.41,7.22,8.84,2.72,4.18,0.36,22.52,,,,,,82.46,0.73,196.52,191.53,857.39,,20.39,1.26
2022-04-19 13:00:00,2022-04-19 14:00:00,28.3,40.5,1.23,7.0,8.39,2.54,4.16,0.38,17.96,,,,,,82.92,0.59,182.99,55.33,856.41,,20.5,0.83
2022-04-19 14:00:00,2022-04-19 15:00:00,35.8,55.5,1.61,10.36,12.1,2.64,4.22,0.45,11.33,,,,,,84.58,0.52,146.98,165.53,855.76,,20.58,1.14
2022-04-19 15:00:00,2022-04-19 16:00:00,32.4,45.9,1.38,10.55,11.96,2.65,4.23,0.46,20.42,,,,,,76.47,1.16,277.62,118.66,854.96,,22.72,0.04
2022-04-19 16:00:00,2022-04-19 17:00:00,32.3,51.2,1.41,10.52,11.97,2.59,4.18,0.47,23.42,,,,,,83.66,1.08,235.24,13.34,855.09,,20.52,1.33
2022-04-19 17:00:00,2022-04-19 18:00:00,191.95,,1.67,18.21,19.61,2.62,4.25,0.59,17.41,,,,,,89.18,0.79,190.98,11.69,855.34,,17.11,3.29
2022-04-19 18:00:00,2022-04-19 19:00:00,55.89,,6.34,31.35,38.77,2.44,3.76,0.97,2.3,,,,,,93.75,0.38,153.57,0.0,855.83,,17.2,0.16
2022-04-19 19:00:00,2022-04-19 20:00:00,198.86,,18.22,37.15,61.46,2.6,3.73,1.41,0.04,,,,,,92.79,0.64,166.9,0.0,856.16,,17.11,0.0
2022-04-19 20:00:00,2022-04-19 21:00:00,77.27,,7.13,41.72,49.72,2.71,3.55,1.25,2.58,,,,,,87.57,0.97,190.71,0.0,857.82,,17.92,0.0
2022-04-19 21:00:00,2022-04-19 22:00:00,55.4,,9.96,36.95,49.31,2.79,3.55,1.32,,,,,,,91.47,0.36,191.42,0.0,857.73,,17.06,0.0
2022-04-19 22:00:00,2022-04-19 23:00:00,55.8,,17.36,33.19,56.48,2.81,3.72,1.4,,,,,,,93.73,0.3,183.06,0.0,856.83,,16.78,0.01
2022-04-19 23:00:00,2022-04-20 00:00:00,55.5,,17.78,30.65,27.34,2.67,3.62,0.69,,0.0,,327.68,327.68,,94.07,0.23,95.58,0.0,856.14,,16.73,0.0
2022-04-20 00:00:00,2022-04-20 01:00:00,,,10.08,26.51,29.78,2.75,3.59,0.84,1.11,0.0,,491.51,491.51,,91.74,0.49,141.98,0.0,856.21,,17.83,0.0
2022-04-20 01:00:00,2022-04-20 02:00:00,,,3.34,21.17,24.83,2.75,3.48,0.9,8.39,,,,,,84.68,0.9,214.44,0.0,856.12,,17.16,0.22
2022-04-20 02:00:00,2022-04-20 03:00:00,,,1.85,8.6,10.81,2.62,3.44,0.47,34.23,,,,,,87.26,1.42,192.31,0.0,855.98,,14.05,4.47
2022-04-20 03:00:00,2022-04-20 04:00:00,,,1.9,6.71,9.11,2.76,3.46,0.32,22.88,,,,,,91.7,0.46,153.94,0.0,854.79,,13.68,3.57
2022-04-20 04:00:00,2022-04-20 05:00:00,,,2.02,8.63,11.06,2.52,3.41,0.27,13.5,,,,,,93.84,0.59,192.27,0.0,854.52,,14.04,0.58
2022-04-20 05:00:00,2022-04-20 06:00:00,,,2.13,13.15,15.49,2.55,3.43,0.26,8.64,,,,,,93.53,0.6,147.28,2.79,856.23,,14.41,0.34
2022-04-20 06:00:00,2022-04-20 07:00:00,,,1.79,13.4,15.23,2.4,3.5,0.29,9.77,,,,,,88.5,0.68,129.2,30.21,857.09,,14.77,0.66
2022-04-20 07:00:00,2022-04-20 08:00:00,,,2.03,13.24,15.45,2.6,3.5,0.34,16.5,,,,,,82.29,0.68,224.43,94.03,857.64,,16.48,0.03
2022-04-20 08:00:00,2022-04-20 09:00:00,,,1.78,15.73,17.4,2.37,3.58,0.4,15.88,,,,,,73.0,0.57,216.47,95.75,858.15,,18.54,0.0
2022-04-20 09:00:00,2022-04-20 10:00:00,15.7,,1.61,13.79,15.33,2.4,3.59,0.44,16.54,,,,,,73.41,0.72,158.81,80.98,858.46,,18.8,0.07
2022-04-20 10:00:00,2022-04-20 11:00:00,15.7,,1.93,15.85,17.75,2.51,3.59,0.45,14.81,,,,,,85.76,1.2,214.92,86.72,857.68,,16.96,0.64
2022-04-20 11:00:00,2022-04-20 12:00:00,16.09,,1.85,17.74,19.43,2.53,3.7,0.46,13.37,,,,,,72.04,0.66,163.94,202.97,856.89,,19.41,0.05
2022-04-20 12:00:00,2022-04-20 13:00:00,19.17,,1.67,15.59,17.14,2.62,3.73,0.45,22.69,,,,,,69.16,1.02,116.58,245.98,855.97,,21.33,0.02
2022-04-20 13:00:00,2022-04-20 14:00:00,38.99,,1.28,10.25,11.52,2.42,3.71,0.41,25.01,,,,,,69.45,0.92,79.53,169.98,855.14,,20.94,0.0
2022-04-20 14:00:00,2022-04-20 15:00:00,12.66,,1.55,8.18,9.98,2.37,3.67,0.35,30.09,,,,,,67.17,0.91,96.51,162.31,854.35,,20.91,0.0
2022-04-20 15:00:00,2022-04-20 16:00:00,16.56,,1.34,8.83,10.26,2.36,3.74,0.33,37.35,,,,,,71.64,0.66,98.89,109.89,854.23,,20.61,0.0
2022-04-20 16:00:00,2022-04-20 17:00:00,15.2,,1.01,9.07,10.03,2.65,4.12,0.31,92.0,,,,,,76.13,0.82,98.47,37.35,854.28,,19.28,0.0
2022-04-20 17:00:00,2022-04-20 18:00:00,16.5,,0.88,9.75,10.47,4.67,4.78,0.33,83.11,,,,,,82.56,0.83,220.1,12.01,854.7,,18.3,0.0
