From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-04-19 09:00:00,2022-04-19 10:00:00,30.33,65.6,6.07,7.01,13.59,12.77,22.18,0.3,21.15,0.42,,0.36,0.41,,65.96,0.63,233.66,0.0,,,26.92,0.0
2022-04-19 10:00:00,2022-04-19 11:00:00,33.17,73.0,6.26,7.73,14.46,13.83,22.3,0.32,26.25,0.44,,0.38,0.42,,58.55,1.17,153.13,0.0,,,29.53,0.0
2022-04-19 11:00:00,2022-04-19 12:00:00,33.57,69.62,6.6,8.96,15.97,14.6,22.57,0.32,27.42,0.45,,0.39,0.43,,54.43,1.34,198.86,0.0,,,30.77,0.0
2022-04-19 12:00:00,2022-04-19 13:00:00,32.75,62.18,6.86,8.47,15.82,16.17,23.06,0.31,20.4,0.43,,0.37,0.42,,53.91,1.99,187.03,0.0,,,30.94,0.0
2022-04-19 13:00:00,2022-04-19 14:00:00,32.25,59.17,7.15,6.72,14.72,16.71,23.63,0.3,20.55,0.42,,0.36,0.41,,55.89,2.78,157.72,0.0,,,29.94,0.0
2022-04-19 14:00:00,2022-04-19 15:00:00,27.11,56.78,7.13,6.68,14.67,17.13,24.32,0.26,22.33,0.36,,0.3,0.34,,54.83,2.04,215.81,0.0,,,30.32,0.0
2022-04-19 15:00:00,2022-04-19 16:00:00,22.88,63.28,7.28,6.7,14.96,17.41,24.67,0.26,19.41,0.35,,0.3,0.34,,53.2,1.85,218.29,0.0,,,30.7,0.0
2022-04-19 16:00:00,2022-04-19 17:00:00,23.1,59.25,7.21,7.3,15.45,17.5,24.88,0.26,14.6,0.36,,0.31,0.35,,56.98,1.42,194.93,0.0,,,29.27,0.0
2022-04-19 17:00:00,2022-04-19 18:00:00,25.73,63.33,7.26,8.16,16.23,17.38,25.03,0.3,14.31,0.41,,0.36,0.4,,66.43,1.61,216.97,0.0,,,26.07,0.0
2022-04-19 18:00:00,2022-04-19 19:00:00,34.0,77.2,7.12,9.45,17.06,16.89,25.19,0.33,22.85,0.46,,0.4,0.45,,70.06,1.66,281.77,0.0,,,24.67,0.0
2022-04-19 19:00:00,2022-04-19 20:00:00,40.75,86.28,7.15,10.18,17.66,16.2,25.38,0.35,15.95,0.49,,0.43,0.48,,75.08,1.03,269.14,0.0,,,23.75,0.0
2022-04-19 20:00:00,2022-04-19 21:00:00,52.0,119.36,7.27,14.24,21.23,15.88,25.21,0.49,5.02,0.68,,0.59,0.66,,79.93,0.51,184.34,0.0,,,22.94,0.0
2022-04-19 21:00:00,2022-04-19 22:00:00,62.0,165.83,7.13,16.48,22.87,15.52,24.78,0.55,3.99,0.77,,0.66,0.74,,81.36,0.86,196.66,0.0,,,22.42,0.0
2022-04-19 22:00:00,2022-04-19 23:00:00,50.33,136.0,6.86,12.7,19.38,14.72,24.75,0.44,8.35,0.62,,0.53,0.6,,80.36,0.66,173.8,0.0,,,21.85,0.0
2022-04-19 23:00:00,2022-04-20 00:00:00,38.75,97.97,6.75,9.8,16.64,14.02,24.35,0.38,4.57,0.53,,0.45,0.51,,83.03,0.73,181.04,0.0,,,21.5,0.0
2022-04-20 00:00:00,2022-04-20 01:00:00,34.19,89.75,6.26,7.1,13.89,12.82,24.09,0.27,39.63,0.39,,0.33,0.37,,84.35,2.86,132.0,0.0,,,19.2,1.54
2022-04-20 01:00:00,2022-04-20 02:00:00,24.57,63.5,6.1,6.18,12.95,12.1,24.12,0.21,40.24,0.29,,0.25,0.28,,96.2,1.48,80.13,0.0,,,16.81,3.82
2022-04-20 02:00:00,2022-04-20 03:00:00,17.29,35.0,5.83,6.35,12.73,11.34,23.73,0.18,41.22,0.26,,0.22,0.24,,94.9,1.94,180.39,0.0,,,16.57,2.56
2022-04-20 03:00:00,2022-04-20 04:00:00,13.14,24.18,5.71,6.2,12.47,10.68,23.47,0.17,39.2,0.24,,0.2,0.23,,96.05,1.23,100.38,0.0,,,16.52,2.04
2022-04-20 04:00:00,2022-04-20 05:00:00,11.0,22.38,5.72,6.49,12.72,10.05,23.35,0.17,35.19,0.24,,0.2,0.23,,97.86,1.1,119.9,0.0,,,16.56,0.9
2022-04-20 05:00:00,2022-04-20 06:00:00,15.4,25.0,5.67,6.46,12.67,9.7,23.09,0.19,32.29,0.26,,0.23,0.26,,98.6,0.92,198.53,0.0,,,16.76,1.1
2022-04-20 06:00:00,2022-04-20 07:00:00,19.0,33.07,5.49,7.93,13.65,9.32,22.93,0.21,31.07,0.3,,0.26,0.29,,98.9,1.46,133.07,0.0,,,16.72,0.95
2022-04-20 07:00:00,2022-04-20 08:00:00,15.57,25.75,5.41,7.55,13.22,8.88,22.8,0.21,43.81,0.29,,0.25,0.29,,98.1,1.73,195.26,0.0,,,16.75,0.29
2022-04-20 08:00:00,2022-04-20 09:00:00,15.71,24.83,5.43,6.7,12.57,8.81,22.45,0.21,34.19,0.29,,0.25,0.29,,95.56,0.68,240.92,0.0,,,17.54,0.01
