From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3)
2017-12-08 11:00:00,2017-12-08 12:00:00,131.67,219.33,38.0,33.4,15.65,0.79,151.27,0.67
2017-12-08 12:00:00,2017-12-08 13:00:00,92.0,179.5,28.1,27.1,10.22,0.61,159.15,0.4
2017-12-08 13:00:00,2017-12-08 14:00:00,62.5,148.5,29.57,22.37,8.57,0.56,148.92,0.3
2017-12-08 14:00:00,2017-12-08 15:00:00,50.0,125.5,24.02,17.28,7.2,0.49,133.0,0.2
2017-12-08 15:00:00,2017-12-08 16:00:00,35.0,103.25,22.15,18.2,5.17,0.47,123.83,0.18
2017-12-08 16:00:00,2017-12-08 17:00:00,38.5,104.25,26.2,17.0,6.63,0.62,107.15,0.2
2017-12-08 17:00:00,2017-12-08 18:00:00,69.75,162.5,56.73,17.8,10.22,0.94,41.37,0.48
2017-12-08 18:00:00,2017-12-08 19:00:00,159.75,318.25,86.48,21.97,16.32,2.28,4.18,1.3
2017-12-08 19:00:00,2017-12-08 20:00:00,267.0,533.5,89.12,26.65,22.32,3.2,3.62,2.73
2017-12-08 20:00:00,2017-12-08 21:00:00,299.25,534.25,90.15,23.38,17.95,2.59,4.3,2.42
2017-12-08 21:00:00,2017-12-08 22:00:00,158.5,295.75,70.7,20.4,11.0,1.07,23.95,1.02
2017-12-08 22:00:00,2017-12-08 23:00:00,97.25,181.75,60.2,21.4,8.72,1.16,19.7,0.72
2017-12-08 23:00:00,2017-12-09 00:00:00,111.75,192.0,52.0,20.4,7.48,1.48,7.35,0.9
2017-12-09 00:00:00,2017-12-09 01:00:00,127.0,213.75,46.63,19.6,5.05,1.56,3.73,0.9
2017-12-09 01:00:00,2017-12-09 02:00:00,131.0,205.5,40.98,19.88,4.1,1.52,4.62,0.9
2017-12-09 02:00:00,2017-12-09 03:00:00,129.0,195.0,31.28,18.85,3.98,1.14,9.05,0.72
2017-12-09 03:00:00,2017-12-09 04:00:00,111.5,174.0,32.88,21.08,3.48,1.0,11.33,0.6
2017-12-09 04:00:00,2017-12-09 05:00:00,107.5,180.75,57.18,19.25,4.55,1.12,3.18,0.68
2017-12-09 05:00:00,2017-12-09 06:00:00,143.5,242.0,65.85,20.95,7.05,1.21,2.85,1.5
2017-12-09 06:00:00,2017-12-09 07:00:00,222.25,295.75,72.67,22.6,9.35,1.53,3.17,1.5
