From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3)
2018-12-27 15:00:00,2018-12-27 16:00:00,32.22,95.47,,,38.0,6.22
2018-12-27 16:00:00,2018-12-27 17:00:00,29.89,92.04,,,43.55,5.94
2018-12-27 17:00:00,2018-12-27 18:00:00,40.34,122.92,,,67.47,5.98
2018-12-27 18:00:00,2018-12-27 19:00:00,60.67,219.75,,,106.44,5.65
2018-12-27 19:00:00,2018-12-27 20:00:00,99.2,295.04,,,116.64,6.07
2018-12-27 20:00:00,2018-12-27 21:00:00,124.98,311.09,,,143.99,7.01
2018-12-27 21:00:00,2018-12-27 22:00:00,123.69,317.53,,,164.75,7.41
2018-12-27 22:00:00,2018-12-27 23:00:00,116.81,282.42,,,171.18,7.65
2018-12-27 23:00:00,2018-12-28 00:00:00,140.82,342.52,,,182.04,8.02
2018-12-28 00:00:00,2018-12-28 01:00:00,87.3,247.53,,,151.63,7.73
2018-12-28 01:00:00,2018-12-28 02:00:00,53.95,143.34,,,108.79,6.85
2018-12-28 02:00:00,2018-12-28 03:00:00,53.84,116.82,,,84.17,6.42
2018-12-28 03:00:00,2018-12-28 04:00:00,60.19,113.66,,,81.6,6.15
2018-12-28 04:00:00,2018-12-28 05:00:00,60.32,111.58,,,106.55,6.78
2018-12-28 05:00:00,2018-12-28 06:00:00,60.45,115.59,,,82.6,6.5
2018-12-28 06:00:00,2018-12-28 07:00:00,67.29,119.93,,,75.41,5.95
2018-12-28 07:00:00,2018-12-28 08:00:00,93.57,162.36,,,86.86,6.05
2018-12-28 08:00:00,2018-12-28 09:00:00,98.67,205.51,,,90.52,6.32
2018-12-28 09:00:00,2018-12-28 10:00:00,57.13,149.22,,,65.2,6.95
2018-12-28 10:00:00,2018-12-28 11:00:00,55.37,121.0,,,48.61,9.08
2018-12-28 11:00:00,2018-12-28 12:00:00,48.88,126.94,,,50.02,10.27
2018-12-28 12:00:00,2018-12-28 13:00:00,38.64,117.27,,,47.62,10.2
2018-12-28 13:00:00,2018-12-28 14:00:00,33.72,93.36,,,39.09,7.95
2018-12-28 14:00:00,2018-12-28 15:00:00,27.71,67.56,,,35.73,7.98
2018-12-28 15:00:00,2018-12-28 16:00:00,24.73,80.99,,,43.21,8.14
2018-12-28 16:00:00,2018-12-28 17:00:00,19.93,40.6,,,50.18,7.82
2018-12-28 17:00:00,2018-12-28 18:00:00,33.72,50.83,,,69.54,6.76
2018-12-28 18:00:00,2018-12-28 19:00:00,61.45,176.24,,,91.4,6.29
2018-12-28 19:00:00,2018-12-28 20:00:00,91.79,237.43,,,136.16,7.58
2018-12-28 20:00:00,2018-12-28 21:00:00,88.67,232.8,,,133.22,7.23
2018-12-28 21:00:00,2018-12-28 22:00:00,68.45,213.28,,,117.54,7.21
2018-12-28 22:00:00,2018-12-28 23:00:00,68.68,194.8,,,108.09,7.39
2018-12-28 23:00:00,2018-12-29 00:00:00,95.42,242.09,,,126.6,7.85
2018-12-29 00:00:00,2018-12-29 01:00:00,76.67,163.05,,,133.45,7.96
2018-12-29 01:00:00,2018-12-29 02:00:00,56.49,120.17,,,94.54,6.85
2018-12-29 02:00:00,2018-12-29 03:00:00,53.18,97.31,,,61.75,6.87
2018-12-29 03:00:00,2018-12-29 04:00:00,47.22,87.24,,,38.88,9.13
2018-12-29 04:00:00,2018-12-29 05:00:00,48.44,82.25,,,27.92,8.98
2018-12-29 05:00:00,2018-12-29 06:00:00,45.46,99.91,,,29.2,9.14
2018-12-29 06:00:00,2018-12-29 07:00:00,55.3,109.28,,,37.27,7.88
2018-12-29 07:00:00,2018-12-29 08:00:00,74.45,144.22,,,43.85,8.08
2018-12-29 08:00:00,2018-12-29 09:00:00,71.72,171.3,,,42.43,7.66
2018-12-29 09:00:00,2018-12-29 10:00:00,53.03,132.49,,,45.2,7.26
2018-12-29 10:00:00,2018-12-29 11:00:00,48.12,154.04,,,48.68,7.26
2018-12-29 11:00:00,2018-12-29 12:00:00,34.96,138.57,,,42.06,7.0
2018-12-29 12:00:00,2018-12-29 13:00:00,30.96,115.3,,,37.15,6.89
2018-12-29 13:00:00,2018-12-29 14:00:00,38.34,65.93,,,39.04,6.72
2018-12-29 14:00:00,2018-12-29 15:00:00,24.19,45.04,,,36.49,6.94
2018-12-29 15:00:00,2018-12-29 16:00:00,27.66,93.19,,,36.62,6.87
2018-12-29 16:00:00,2018-12-29 17:00:00,22.91,113.46,,,43.96,6.69
2018-12-29 17:00:00,2018-12-29 18:00:00,43.38,119.58,,,64.44,6.35
2018-12-29 18:00:00,2018-12-29 19:00:00,57.58,249.45,,,86.24,6.03
2018-12-29 19:00:00,2018-12-29 20:00:00,135.8,395.32,,,106.35,6.84
2018-12-29 20:00:00,2018-12-29 21:00:00,132.43,290.65,,,125.5,7.7
