From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3)
2018-12-11 23:00:00,2018-12-12 00:00:00,,,,14.26,21.36,,0.88
2018-12-12 00:00:00,2018-12-12 01:00:00,116.5,197.62,7.33,14.32,21.8,,0.85
2018-12-12 01:00:00,2018-12-12 02:00:00,122.33,197.75,7.17,14.32,21.44,,0.97
2018-12-12 02:00:00,2018-12-12 03:00:00,143.25,222.38,7.32,14.31,21.66,,1.07
2018-12-12 03:00:00,2018-12-12 04:00:00,138.0,265.38,7.45,14.33,21.67,,1.11
2018-12-12 04:00:00,2018-12-12 05:00:00,116.0,171.25,7.14,14.29,21.45,,0.95
2018-12-12 05:00:00,2018-12-12 06:00:00,109.0,142.0,7.53,14.31,21.84,,0.82
2018-12-12 06:00:00,2018-12-12 07:00:00,110.38,142.75,7.61,14.34,22.07,,0.78
2018-12-12 07:00:00,2018-12-12 08:00:00,108.38,151.25,7.51,14.31,21.82,,0.8
2018-12-12 08:00:00,2018-12-12 09:00:00,129.38,188.67,7.2,14.33,21.4,,0.89
2018-12-12 09:00:00,2018-12-12 10:00:00,154.38,242.42,7.39,14.35,21.58,,0.85
2018-12-12 10:00:00,2018-12-12 11:00:00,116.62,177.33,7.33,14.42,21.69,,0.8
2018-12-12 11:00:00,2018-12-12 12:00:00,128.5,226.0,7.49,14.38,21.95,,0.84
2018-12-12 12:00:00,2018-12-12 13:00:00,126.0,199.83,7.46,14.29,21.71,,0.73
2018-12-12 13:00:00,2018-12-12 14:00:00,81.62,131.0,7.44,14.36,21.72,,0.6
2018-12-12 14:00:00,2018-12-12 15:00:00,65.88,125.92,7.7,14.33,21.94,,0.54
2018-12-12 15:00:00,2018-12-12 16:00:00,66.75,115.92,7.42,14.23,21.62,,0.43
2018-12-12 16:00:00,2018-12-12 17:00:00,31.75,84.75,7.12,14.27,21.49,,0.37
2018-12-12 17:00:00,2018-12-12 18:00:00,44.0,106.17,7.48,14.24,21.72,,0.51
2018-12-12 18:00:00,2018-12-12 19:00:00,95.12,464.83,7.43,14.34,21.76,,1.22
2018-12-12 19:00:00,2018-12-12 20:00:00,173.0,429.44,7.44,14.34,21.78,,1.2
2018-12-12 20:00:00,2018-12-12 21:00:00,106.33,154.0,7.17,14.33,21.42,,0.93
2018-12-12 21:00:00,2018-12-12 22:00:00,123.33,168.0,7.26,14.3,21.67,,0.82
2018-12-12 22:00:00,2018-12-12 23:00:00,123.88,180.83,7.3,14.3,21.72,,0.77
2018-12-12 23:00:00,2018-12-13 00:00:00,115.83,157.25,7.33,14.33,21.74,,0.72
2018-12-13 00:00:00,2018-12-13 01:00:00,116.17,157.67,7.32,14.31,21.56,,0.69
2018-12-13 01:00:00,2018-12-13 02:00:00,121.75,168.08,7.46,14.31,21.58,,0.69
2018-12-13 02:00:00,2018-12-13 03:00:00,120.0,152.5,7.45,14.33,21.82,,0.69
2018-12-13 03:00:00,2018-12-13 04:00:00,120.12,153.75,7.15,14.34,21.6,,0.68
