From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2019-09-17 10:00:00,2019-09-17 11:00:00,6.33,37.0,2.47,10.67,7.67,9.23,5.55,0.68,28.27,,76.0,1.03,81.0,450.33,716.0,30.27,0.0
2019-09-17 11:00:00,2019-09-17 12:00:00,7.0,41.0,3.1,15.2,10.7,8.4,,0.77,28.0,,77.0,0.8,136.0,423.0,716.0,30.2,0.0
2019-09-17 12:00:00,2019-09-17 13:00:00,,,,,,,,,,,,,,,,,
2019-09-17 13:00:00,2019-09-17 14:00:00,,,,,,,,,,,,,,,,,
2019-09-17 14:00:00,2019-09-17 15:00:00,,,,,,,,,,,,,,,,,
2019-09-17 15:00:00,2019-09-17 16:00:00,,,,,,,,,,,,,,,,,
2019-09-17 16:00:00,2019-09-17 17:00:00,,,,,,,,,,,,,,,,,
2019-09-17 17:00:00,2019-09-17 18:00:00,,,,,,,,,,,,,,,,,
2019-09-17 18:00:00,2019-09-17 19:00:00,,,,,,,,,,,,,,,,,
2019-09-17 19:00:00,2019-09-17 20:00:00,,,,,,,,,,,,,,,,,
2019-09-17 20:00:00,2019-09-17 21:00:00,,,,,,,,,,,,,,,,,
2019-09-17 21:00:00,2019-09-17 22:00:00,,,,,,,,,,,,,,,,,
2019-09-17 22:00:00,2019-09-17 23:00:00,,,,,,,,,,,,,,,,,
2019-09-17 23:00:00,2019-09-18 00:00:00,,,,,,,,,,,,,,,,,
2019-09-18 00:00:00,2019-09-18 01:00:00,,,,,,,,,,,,,,,,,
2019-09-18 01:00:00,2019-09-18 02:00:00,,,,,,,,,,,,,,,,,
2019-09-18 02:00:00,2019-09-18 03:00:00,,,,,,,,,,,,,,,,,
2019-09-18 03:00:00,2019-09-18 04:00:00,,,,,,,,,,,,,,,,,
2019-09-18 04:00:00,2019-09-18 05:00:00,,,,,,,,,,,,,,,,,
2019-09-18 05:00:00,2019-09-18 06:00:00,,,,,,,,,,,,,,,,,
2019-09-18 06:00:00,2019-09-18 07:00:00,,,,,,,,,,,,,,,,,
2019-09-18 07:00:00,2019-09-18 08:00:00,,,,,,,,,,,,,,,,,
2019-09-18 08:00:00,2019-09-18 09:00:00,,,,,,,,,,,,,,,,,
2019-09-18 09:00:00,2019-09-18 10:00:00,,,,,,,,,,,,,,,,,
2019-09-18 10:00:00,2019-09-18 11:00:00,,,,,,,,,,,,,,,,,
2019-09-18 11:00:00,2019-09-18 12:00:00,,,,,,,,,,,,,,,,,
2019-09-18 12:00:00,2019-09-18 13:00:00,,,,,,,,,,,,,,,,,
2019-09-18 13:00:00,2019-09-18 14:00:00,,,,,,,,,,,,,,,,,
