From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2019-09-17 09:00:00,2019-09-17 10:00:00,15.0,30.0,8.8,25.8,20.9,43.7,8.1,0.84,75.7,85.0,1.8,269.0,474.0,700.0,27.2,0.0
2019-09-17 10:00:00,2019-09-17 11:00:00,16.5,28.25,8.65,26.1,20.92,41.7,8.3,0.95,72.85,83.75,1.88,268.5,450.5,700.0,27.15,0.0
2019-09-17 11:00:00,2019-09-17 12:00:00,19.5,26.75,9.45,28.02,22.6,36.85,8.95,1.16,70.83,81.0,2.2,193.75,490.0,,27.67,0.0
2019-09-17 12:00:00,2019-09-17 13:00:00,16.75,40.75,8.95,28.12,22.23,33.42,9.35,1.09,74.47,79.75,2.08,234.75,500.25,,28.5,0.0
2019-09-17 13:00:00,2019-09-17 14:00:00,23.5,52.5,9.67,28.88,23.2,31.7,9.43,1.17,54.3,82.5,1.82,253.0,418.0,,28.6,0.0
2019-09-17 14:00:00,2019-09-17 15:00:00,28.75,65.0,10.72,33.27,26.45,29.62,9.25,1.37,46.92,84.5,1.77,265.0,278.5,,28.2,0.0
2019-09-17 15:00:00,2019-09-17 16:00:00,32.25,73.0,10.55,33.15,26.2,31.15,11.02,1.39,47.7,84.0,1.95,201.0,190.0,,28.1,0.0
2019-09-17 16:00:00,2019-09-17 17:00:00,30.75,69.5,10.68,38.1,28.95,29.33,11.93,1.43,43.38,85.0,1.53,171.25,26.75,,26.18,0.0
2019-09-17 17:00:00,2019-09-17 18:00:00,17.25,43.25,14.65,53.25,40.23,24.67,12.5,1.81,26.3,88.75,0.92,127.5,27.5,,25.62,0.05
2019-09-17 18:00:00,2019-09-17 19:00:00,22.25,44.5,14.2,48.5,37.35,31.4,11.97,1.77,20.5,91.0,0.68,91.5,26.75,,25.4,0.0
2019-09-17 19:00:00,2019-09-17 20:00:00,19.75,30.75,20.55,54.12,45.5,31.02,11.18,2.15,13.88,91.0,0.7,233.25,28.0,,25.42,0.0
2019-09-17 20:00:00,2019-09-17 21:00:00,28.0,37.75,21.0,44.45,40.7,37.98,11.48,1.89,17.02,91.5,0.9,251.5,29.75,,25.25,0.0
2019-09-17 21:00:00,2019-09-17 22:00:00,27.0,34.25,17.23,46.47,38.72,42.35,11.88,1.91,13.55,91.75,0.53,235.0,26.5,,25.22,0.0
2019-09-17 22:00:00,2019-09-17 23:00:00,26.5,39.0,22.17,51.92,45.62,39.95,12.1,2.29,8.6,91.0,0.65,259.0,27.25,,25.4,0.0
2019-09-17 23:00:00,2019-09-18 00:00:00,33.75,50.5,17.62,59.48,45.95,41.52,12.63,2.44,9.77,91.0,0.9,152.75,27.75,,25.37,0.0
2019-09-18 00:00:00,2019-09-18 01:00:00,31.25,46.75,12.05,45.52,34.0,50.82,9.47,1.15,17.5,91.0,0.75,174.0,26.5,,25.23,0.0
2019-09-18 01:00:00,2019-09-18 02:00:00,23.25,38.75,9.98,34.98,26.72,55.65,8.45,0.85,22.4,91.0,0.97,269.25,25.5,,25.18,0.0
2019-09-18 02:00:00,2019-09-18 03:00:00,15.0,32.5,10.05,28.45,23.32,56.6,8.47,0.7,26.52,90.75,0.93,137.75,26.75,,25.27,0.0
2019-09-18 03:00:00,2019-09-18 04:00:00,14.75,25.75,9.93,23.05,20.32,58.12,8.43,0.56,27.92,91.0,0.97,199.75,27.0,,25.12,0.0
2019-09-18 04:00:00,2019-09-18 05:00:00,13.25,25.5,9.3,19.88,18.12,58.02,8.2,0.52,33.9,90.75,1.05,145.5,27.0,,25.08,0.0
