From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3)
2020-01-21 11:00:00,2020-01-21 12:00:00,59.84,141.09,1.25,17.58,18.32,,,2.18
2020-01-21 12:00:00,2020-01-21 13:00:00,10.67,103.53,0.92,17.47,18.39,,1.29,0.72
2020-01-21 13:00:00,2020-01-21 14:00:00,15.2,73.05,0.88,15.86,16.74,,1.2,0.77
2020-01-21 14:00:00,2020-01-21 15:00:00,26.8,73.1,1.01,17.06,18.06,,1.1,0.8
2020-01-21 15:00:00,2020-01-21 16:00:00,25.71,110.34,1.18,25.3,26.48,,1.27,0.93
2020-01-21 16:00:00,2020-01-21 17:00:00,30.0,139.32,1.12,23.18,24.3,,1.2,0.78
2020-01-21 17:00:00,2020-01-21 18:00:00,40.67,112.56,0.91,16.78,17.7,,1.48,0.45
2020-01-21 18:00:00,2020-01-21 19:00:00,29.91,121.37,1.01,17.83,18.84,,1.47,0.82
2020-01-21 19:00:00,2020-01-21 20:00:00,37.59,98.2,0.95,19.68,20.63,,1.57,0.95
2020-01-21 20:00:00,2020-01-21 21:00:00,50.49,85.38,0.96,22.14,23.1,,1.66,1.05
2020-01-21 21:00:00,2020-01-21 22:00:00,42.48,90.12,0.77,22.67,23.34,,1.76,1.04
2020-01-21 22:00:00,2020-01-21 23:00:00,55.99,93.75,1.08,22.18,23.27,,1.68,1.06
2020-01-21 23:00:00,2020-01-22 00:00:00,91.02,81.13,1.0,19.82,20.82,,1.72,0.97
2020-01-22 00:00:00,2020-01-22 01:00:00,,,1.1,18.41,19.51,,1.72,0.79
2020-01-22 01:00:00,2020-01-22 02:00:00,,,1.01,16.27,17.28,,1.8,0.71
2020-01-22 02:00:00,2020-01-22 03:00:00,,,1.18,14.72,15.9,,1.79,0.81
2020-01-22 03:00:00,2020-01-22 04:00:00,,,0.93,14.81,15.74,,1.76,0.85
2020-01-22 04:00:00,2020-01-22 05:00:00,36.41,123.77,1.01,14.8,15.81,,1.91,1.05
2020-01-22 05:00:00,2020-01-22 06:00:00,38.89,94.47,1.08,14.79,15.87,,1.78,0.53
2020-01-22 06:00:00,2020-01-22 07:00:00,40.8,69.62,1.02,14.73,15.75,,1.71,0.57
2020-01-22 07:00:00,2020-01-22 08:00:00,38.14,58.76,1.01,14.48,15.49,,1.74,0.59
2020-01-22 08:00:00,2020-01-22 09:00:00,43.95,46.36,1.09,16.43,17.51,,1.76,0.69
2020-01-22 09:00:00,2020-01-22 10:00:00,35.81,59.27,0.97,17.78,18.75,,1.64,1.05
2020-01-22 10:00:00,2020-01-22 11:00:00,30.34,72.72,1.03,20.96,22.0,,1.55,2.43
2020-01-22 11:00:00,2020-01-22 12:00:00,33.58,80.05,0.93,21.54,22.46,,1.43,2.73
2020-01-22 12:00:00,2020-01-22 13:00:00,31.29,54.48,1.04,18.82,19.87,,1.32,2.62
2020-01-22 13:00:00,2020-01-22 14:00:00,38.43,51.07,0.97,20.04,21.01,,1.32,0.7
2020-01-22 14:00:00,2020-01-22 15:00:00,31.43,63.39,1.04,21.19,22.24,,1.42,0.8
2020-01-22 15:00:00,2020-01-22 16:00:00,33.26,70.31,1.1,20.02,21.12,,1.35,0.74
2020-01-22 16:00:00,2020-01-22 17:00:00,36.8,60.14,1.06,27.38,28.44,,1.4,0.79
2020-01-22 17:00:00,2020-01-22 18:00:00,30.41,63.84,0.86,30.58,31.44,,1.58,0.96
2020-01-22 18:00:00,2020-01-22 19:00:00,30.04,49.01,1.03,27.27,28.29,,1.77,0.2
2020-01-22 19:00:00,2020-01-22 20:00:00,29.85,43.34,1.03,26.31,27.34,,1.78,0.07
2020-01-22 20:00:00,2020-01-22 21:00:00,32.55,54.71,1.06,23.73,24.79,,1.83,0.1
2020-01-22 21:00:00,2020-01-22 22:00:00,36.86,56.78,0.97,23.18,24.15,,1.82,1.01
2020-01-22 22:00:00,2020-01-22 23:00:00,32.75,63.43,0.94,23.28,24.22,,1.88,0.99
2020-01-22 23:00:00,2020-01-23 00:00:00,25.75,41.15,0.98,22.82,23.79,,1.8,0.92
2020-01-23 00:00:00,2020-01-23 01:00:00,23.77,50.88,1.14,20.94,22.08,,1.64,0.86
2020-01-23 01:00:00,2020-01-23 02:00:00,27.34,33.74,1.05,18.84,19.89,,1.71,0.63
2020-01-23 02:00:00,2020-01-23 03:00:00,18.92,21.95,1.11,18.61,19.72,,1.68,0.63
2020-01-23 03:00:00,2020-01-23 04:00:00,12.08,33.91,1.14,18.86,20.0,,1.67,0.59
2020-01-23 04:00:00,2020-01-23 05:00:00,23.95,40.93,1.0,16.09,17.1,,1.92,0.55
2020-01-23 05:00:00,2020-01-23 06:00:00,24.32,25.06,1.13,15.52,16.65,,1.96,0.55
2020-01-23 06:00:00,2020-01-23 07:00:00,16.15,39.35,1.08,14.54,15.62,,1.89,0.61
2020-01-23 07:00:00,2020-01-23 08:00:00,20.94,30.29,1.04,15.39,16.43,,1.91,0.61
2020-01-23 08:00:00,2020-01-23 09:00:00,26.68,70.42,1.09,16.66,17.75,,1.78,0.73
2020-01-23 09:00:00,2020-01-23 10:00:00,36.64,65.57,1.02,16.8,17.82,,1.64,0.78
2020-01-23 10:00:00,2020-01-23 11:00:00,26.54,49.55,0.91,18.66,19.57,,1.45,1.62
2020-01-23 11:00:00,2020-01-23 12:00:00,23.02,40.7,1.14,18.93,20.07,,1.5,1.68
2020-01-23 12:00:00,2020-01-23 13:00:00,20.42,31.03,1.07,14.71,15.78,,1.87,1.49
2020-01-23 13:00:00,2020-01-23 14:00:00,,,0.89,16.86,17.76,,1.72,0.36
2020-01-23 14:00:00,2020-01-23 15:00:00,12.34,16.44,1.08,14.54,15.62,,1.6,0.43
2020-01-23 15:00:00,2020-01-23 16:00:00,7.27,15.98,1.05,15.6,16.66,,1.52,0.38
2020-01-23 16:00:00,2020-01-23 17:00:00,7.64,27.03,1.11,15.86,16.97,,2.15,0.18
2020-01-23 17:00:00,2020-01-23 18:00:00,11.28,26.43,0.95,23.17,24.12,,2.15,0.41
2020-01-23 18:00:00,2020-01-23 19:00:00,14.44,37.42,1.04,28.67,29.71,,2.51,0.0
2020-01-23 19:00:00,2020-01-23 20:00:00,19.95,27.68,1.04,29.41,30.45,,2.75,0.0
2020-01-23 20:00:00,2020-01-23 21:00:00,20.11,52.72,1.15,29.55,30.7,,1.87,0.0
2020-01-23 21:00:00,2020-01-23 22:00:00,22.73,53.94,0.99,33.65,34.65,,1.99,0.98
2020-01-23 22:00:00,2020-01-23 23:00:00,31.69,103.45,1.28,43.52,44.8,,2.25,1.69
2020-01-23 23:00:00,2020-01-24 00:00:00,36.8,165.81,1.2,42.31,43.51,,2.4,2.12
2020-01-24 00:00:00,2020-01-24 01:00:00,40.87,171.47,1.14,40.36,41.49,,1.52,1.65
2020-01-24 01:00:00,2020-01-24 02:00:00,32.49,126.57,1.35,35.38,36.74,,1.65,1.35
2020-01-24 02:00:00,2020-01-24 03:00:00,34.99,148.44,1.22,31.53,32.75,,1.77,1.16
2020-01-24 03:00:00,2020-01-24 04:00:00,22.94,139.87,0.97,29.59,30.53,,1.9,0.92
2020-01-24 04:00:00,2020-01-24 05:00:00,24.99,107.64,0.89,28.95,29.84,,1.91,0.83
2020-01-24 05:00:00,2020-01-24 06:00:00,30.06,94.68,1.04,29.06,30.11,,1.99,0.86
2020-01-24 06:00:00,2020-01-24 07:00:00,27.78,59.48,0.84,29.17,30.0,,2.01,0.81
2020-01-24 07:00:00,2020-01-24 08:00:00,21.54,43.5,1.05,28.18,29.22,,1.98,0.83
2020-01-24 08:00:00,2020-01-24 09:00:00,22.86,62.67,1.19,33.54,34.73,,1.82,1.1
2020-01-24 09:00:00,2020-01-24 10:00:00,35.27,104.1,1.04,33.37,34.41,,1.67,0.8
2020-01-24 10:00:00,2020-01-24 11:00:00,28.88,74.79,1.07,21.09,22.16,,1.46,1.09
2020-01-24 11:00:00,2020-01-24 12:00:00,14.89,46.45,1.01,16.69,17.7,,1.4,1.25
2020-01-24 12:00:00,2020-01-24 13:00:00,10.54,50.06,1.04,18.19,19.24,,1.93,1.38
2020-01-24 13:00:00,2020-01-24 14:00:00,8.24,29.2,0.96,18.06,19.02,,1.74,0.2
2020-01-24 14:00:00,2020-01-24 15:00:00,10.28,22.37,0.83,18.61,19.45,,1.61,0.25
2020-01-24 15:00:00,2020-01-24 16:00:00,11.94,48.7,1.0,17.68,18.69,,1.54,0.12
2020-01-24 16:00:00,2020-01-24 17:00:00,9.59,48.39,1.0,17.05,18.05,,1.91,0.19
2020-01-24 17:00:00,2020-01-24 18:00:00,5.58,47.46,1.08,22.74,23.81,,1.93,0.44
2020-01-24 18:00:00,2020-01-24 19:00:00,6.76,51.76,1.13,28.46,29.59,,1.91,0.53
2020-01-24 19:00:00,2020-01-24 20:00:00,15.14,64.74,1.04,36.18,37.23,,1.95,0.96
2020-01-24 20:00:00,2020-01-24 21:00:00,21.29,74.48,0.94,38.6,39.54,,2.22,1.1
2020-01-24 21:00:00,2020-01-24 22:00:00,28.75,78.78,1.11,38.28,39.38,,2.15,1.31
2020-01-24 22:00:00,2020-01-24 23:00:00,33.17,124.82,0.96,42.37,43.33,,2.34,1.74
2020-01-24 23:00:00,2020-01-25 00:00:00,40.02,176.06,1.1,40.95,42.04,,2.52,2.32
2020-01-25 00:00:00,2020-01-25 01:00:00,51.5,271.54,1.29,37.13,38.43,,1.61,2.43
2020-01-25 01:00:00,2020-01-25 02:00:00,46.95,182.81,1.14,34.32,35.46,,1.75,1.68
2020-01-25 02:00:00,2020-01-25 03:00:00,39.44,167.97,1.21,33.49,34.7,,1.83,1.27
2020-01-25 03:00:00,2020-01-25 04:00:00,30.16,153.44,0.81,32.9,33.71,,1.85,1.05
2020-01-25 04:00:00,2020-01-25 05:00:00,23.47,120.64,1.03,31.87,32.9,,1.93,0.89
2020-01-25 05:00:00,2020-01-25 06:00:00,22.09,126.45,1.26,31.73,32.99,,1.91,0.83
2020-01-25 06:00:00,2020-01-25 07:00:00,24.39,78.36,1.02,29.01,30.04,,1.82,0.75
2020-01-25 07:00:00,2020-01-25 08:00:00,27.52,43.41,1.12,31.47,32.59,,1.93,1.1
2020-01-25 08:00:00,2020-01-25 09:00:00,35.38,94.63,0.98,36.93,37.91,,1.67,1.34
2020-01-25 09:00:00,2020-01-25 10:00:00,38.25,124.94,0.89,36.98,37.84,,1.53,1.02
2020-01-25 10:00:00,2020-01-25 11:00:00,21.96,87.55,0.94,26.76,27.7,,1.41,1.6
2020-01-25 11:00:00,2020-01-25 12:00:00,22.23,84.52,1.02,19.61,20.64,,1.49,2.16
2020-01-25 12:00:00,2020-01-25 13:00:00,12.88,92.09,0.94,19.7,20.63,,1.9,2.09
2020-01-25 13:00:00,2020-01-25 14:00:00,17.71,73.14,1.05,17.5,18.55,,1.77,0.52
2020-01-25 14:00:00,2020-01-25 15:00:00,15.95,68.97,1.06,20.3,21.36,,1.54,0.56
2020-01-25 15:00:00,2020-01-25 16:00:00,12.17,60.33,0.85,23.34,24.19,,1.35,0.54
2020-01-25 16:00:00,2020-01-25 17:00:00,12.03,60.11,1.11,21.27,22.38,,1.71,0.56
2020-01-25 17:00:00,2020-01-25 18:00:00,11.97,56.2,0.99,29.19,30.18,,1.58,0.74
