From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-01-22 13:00:00,2020-01-22 14:00:00,61.0,98.0,1.35,13.3,8.2,46.4,45.7,0.74,151.75,,,,,,53.0,1.45,216.0,812.0,747.0,,21.45,0.0
2020-01-22 14:00:00,2020-01-22 15:00:00,53.0,90.0,1.9,12.53,8.23,44.97,34.67,0.72,153.33,,,,,,52.33,1.57,223.67,800.67,747.0,,21.4,0.0
2020-01-22 15:00:00,2020-01-22 16:00:00,50.0,92.67,1.77,14.37,9.07,42.77,31.75,0.42,157.03,,,,,,52.33,1.33,230.33,747.67,746.0,,21.17,0.0
2020-01-22 16:00:00,2020-01-22 17:00:00,50.0,96.0,2.1,15.0,9.7,40.3,33.1,0.39,167.0,,,,,,54.0,1.4,262.0,692.0,746.0,,20.6,0.0
2020-01-22 17:00:00,2020-01-22 18:00:00,86.0,151.5,1.65,17.35,10.6,36.35,33.3,0.29,123.95,,,,,,68.0,0.9,295.0,85.0,746.0,,17.8,0.0
2020-01-22 18:00:00,2020-01-22 19:00:00,116.75,197.25,2.1,45.58,25.93,33.77,29.18,0.42,65.78,,,,,,78.25,0.45,261.75,81.5,746.5,,16.07,0.0
2020-01-22 19:00:00,2020-01-22 20:00:00,157.5,248.0,14.7,50.08,38.6,58.12,33.87,0.49,17.95,,,,,,90.25,0.3,189.0,78.5,747.0,,13.3,0.0
2020-01-22 20:00:00,2020-01-22 21:00:00,180.25,297.5,46.95,54.95,67.38,51.45,33.18,0.5,17.7,,,,,,92.75,0.3,161.0,81.0,748.0,,12.27,0.0
2020-01-22 21:00:00,2020-01-22 22:00:00,207.75,338.75,75.58,46.8,86.33,60.65,32.43,0.62,18.15,,,,,,94.0,0.3,161.0,83.25,748.0,,11.62,0.0
2020-01-22 22:00:00,2020-01-22 23:00:00,233.25,386.25,110.47,40.88,111.57,51.0,32.0,0.7,18.3,,,,,,94.25,0.3,161.0,81.25,748.0,,11.15,0.0
2020-01-22 23:00:00,2020-01-23 00:00:00,223.75,345.5,99.88,40.12,102.53,34.0,31.53,0.75,17.6,,,,,,95.0,0.3,161.0,82.75,748.0,,10.88,0.0
2020-01-23 00:00:00,2020-01-23 01:00:00,198.25,290.25,70.6,33.9,75.45,35.7,32.2,0.48,17.7,,,,,,95.0,0.3,161.5,83.0,747.75,,10.3,0.0
2020-01-23 01:00:00,2020-01-23 02:00:00,175.75,240.25,49.47,28.72,55.5,27.43,34.27,0.34,18.43,,,,,,95.0,0.35,167.75,79.75,747.25,,9.8,0.0
