From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2022-09-19 10:00:00,2022-09-19 11:00:00,,135.0,1.5,7.2,5.1,46.7,2.2,,47.5,0.4,67.3,,7.6,,62.0,0.7,157.0,105.0,28.8,0.0,4.3
2022-09-19 11:00:00,2022-09-19 12:00:00,24.0,125.0,1.23,4.9,3.62,38.62,2.43,,48.4,0.35,86.17,4.15,6.18,,59.0,0.62,142.0,292.75,29.0,0.0,3.6
2022-09-19 12:00:00,2022-09-19 13:00:00,3.33,104.5,1.38,5.83,4.23,26.1,2.33,,45.9,0.3,94.55,4.52,6.1,,54.5,0.5,156.5,345.5,29.73,0.0,3.68
2022-09-19 13:00:00,2022-09-19 14:00:00,29.33,107.25,1.55,4.88,3.85,30.0,2.4,,41.5,0.3,100.42,3.6,5.22,,54.25,0.42,110.0,287.75,29.85,0.0,3.27
2022-09-19 14:00:00,2022-09-19 15:00:00,38.33,97.25,1.55,4.38,3.58,28.5,2.2,,48.3,0.25,109.3,3.25,4.58,,55.0,0.55,159.25,308.25,29.75,0.0,2.85
2022-09-19 15:00:00,2022-09-19 16:00:00,23.67,101.25,1.82,5.25,4.27,33.85,1.8,0.3,41.33,0.38,77.92,3.8,10.47,,55.75,0.47,140.25,274.5,29.77,0.0,6.78
2022-09-19 16:00:00,2022-09-19 17:00:00,35.5,93.5,1.42,4.67,3.62,33.5,1.88,0.37,44.12,0.22,64.35,2.7,4.65,,58.0,0.4,132.25,74.5,29.35,0.0,3.2
2022-09-19 17:00:00,2022-09-19 18:00:00,24.75,106.5,1.5,10.47,6.83,28.75,1.9,0.48,44.67,0.35,67.85,1.65,2.8,,63.75,0.33,114.75,28.5,28.65,0.0,1.68
2022-09-19 18:00:00,2022-09-19 19:00:00,29.33,130.75,1.35,14.73,8.95,31.68,2.02,0.62,38.85,0.55,71.7,2.17,3.45,,70.75,0.12,69.75,13.5,27.6,0.0,1.95
2022-09-19 19:00:00,2022-09-19 20:00:00,33.0,138.25,12.55,32.33,27.43,27.3,2.08,1.12,27.38,0.65,99.43,4.05,6.27,,75.25,0.15,178.5,13.25,27.27,0.0,3.65
2022-09-19 20:00:00,2022-09-19 21:00:00,35.75,173.0,18.65,49.25,41.35,26.93,1.98,1.7,6.55,1.85,127.95,2.0,11.3,,81.25,0.1,163.33,14.0,26.77,0.0,5.67
2022-09-19 21:00:00,2022-09-19 22:00:00,55.0,230.75,60.15,46.8,73.8,25.12,2.0,2.84,6.1,2.95,135.12,5.55,14.23,,87.25,0.12,136.0,14.0,26.43,0.0,6.75
2022-09-19 22:00:00,2022-09-19 23:00:00,61.25,212.0,37.62,35.9,49.68,23.35,1.85,2.49,6.2,3.75,138.22,8.95,15.65,,91.0,0.1,97.67,14.0,26.17,0.0,7.15
2022-09-19 23:00:00,2022-09-20 00:00:00,60.33,197.0,15.95,28.7,28.25,21.78,2.53,1.95,6.53,3.25,139.1,4.72,14.4,,92.5,0.1,111.0,14.0,25.98,0.0,6.75
