From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2022-10-26 16:00:00,2022-10-26 17:00:00,51.75,251.0,1.97,28.98,17.0,0.2,6.92,0.83,101.32,1.0,26.52,2.52,0.15,25.5,1.12,57.5,37.0,28.68,0.0,1.43
2022-10-26 17:00:00,2022-10-26 18:00:00,53.75,290.25,2.7,65.22,36.85,0.3,10.78,1.9,60.7,2.2,29.62,3.6,0.38,33.5,0.42,43.5,14.5,27.73,0.0,3.35
2022-10-26 18:00:00,2022-10-26 19:00:00,94.25,406.75,11.05,98.42,61.33,0.13,13.95,3.02,8.47,5.15,45.92,11.5,1.1,44.0,0.38,225.0,11.0,26.72,0.0,7.88
2022-10-26 19:00:00,2022-10-26 20:00:00,171.75,535.0,28.62,78.7,65.12,0.15,31.33,2.93,2.47,5.95,49.5,13.88,1.35,54.0,0.45,244.0,11.0,25.9,0.0,9.15
2022-10-26 20:00:00,2022-10-26 21:00:00,240.0,596.0,17.77,68.53,50.95,0.1,33.42,2.23,2.38,5.18,45.18,15.1,1.12,58.0,0.45,308.25,11.0,25.23,0.0,8.15
2022-10-26 21:00:00,2022-10-26 22:00:00,260.5,520.5,14.13,67.2,47.22,,65.32,1.85,3.42,3.9,37.1,12.95,0.82,58.5,0.4,319.75,11.0,24.98,0.0,5.82
2022-10-26 22:00:00,2022-10-26 23:00:00,245.5,509.0,5.28,46.83,29.2,0.2,41.73,1.11,8.12,2.83,31.67,9.7,0.57,62.0,0.47,298.25,11.0,24.5,0.0,4.57
2022-10-26 23:00:00,2022-10-27 00:00:00,184.75,402.0,1.9,31.75,18.47,0.25,50.8,0.67,18.0,1.8,24.95,5.33,0.3,62.75,0.52,299.5,11.5,24.23,0.0,2.65
2022-10-27 00:00:00,2022-10-27 01:00:00,123.0,263.5,0.73,33.15,18.25,0.5,38.12,0.4,18.17,1.43,22.27,3.67,0.2,63.25,0.55,298.5,11.0,23.98,0.0,1.73
2022-10-27 01:00:00,2022-10-27 02:00:00,84.5,197.25,0.28,25.95,14.03,0.15,31.27,0.24,35.02,1.0,19.75,2.35,0.1,61.75,0.9,294.0,11.5,23.85,0.0,0.95
2022-10-27 02:00:00,2022-10-27 03:00:00,68.0,148.5,0.1,17.33,9.22,,44.8,0.23,66.3,0.73,17.62,1.35,,57.25,1.08,305.0,11.25,23.95,0.0,0.48
2022-10-27 03:00:00,2022-10-27 04:00:00,61.75,131.25,0.15,14.6,7.85,0.1,21.15,0.21,66.23,0.7,16.77,1.02,,57.5,1.25,53.75,11.75,24.07,0.0,0.32
