From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2022-10-27 10:00:00,2022-10-27 11:00:00,36.5,90.75,2.72,5.98,5.4,11.15,5.5,0.7,117.2,0.6,137.1,0.6,0.85,14.25,0.43,109.75,416.0,27.05,0.0,0.2
2022-10-27 11:00:00,2022-10-27 12:00:00,25.0,77.25,2.6,6.55,5.6,11.0,2.9,0.68,111.78,0.6,139.55,0.67,0.88,9.5,0.6,66.0,445.0,27.15,0.0,0.22
2022-10-27 12:00:00,2022-10-27 13:00:00,18.5,70.5,2.7,6.8,5.8,10.95,2.55,0.67,109.58,0.55,141.82,0.67,0.22,7.25,0.7,114.25,422.25,27.35,0.0,0.23
2022-10-27 13:00:00,2022-10-27 14:00:00,18.25,70.75,3.3,9.43,7.68,10.43,2.02,0.68,103.35,0.65,137.57,1.07,0.17,5.5,0.8,181.75,370.5,27.48,0.0,0.55
2022-10-27 14:00:00,2022-10-27 15:00:00,14.75,70.75,3.12,9.8,7.77,10.43,1.72,0.65,103.28,0.58,138.57,2.25,0.33,5.5,0.95,22.75,285.75,27.4,0.0,0.57
2022-10-27 15:00:00,2022-10-27 16:00:00,16.0,73.0,2.97,12.95,9.3,9.85,1.9,0.68,102.38,0.67,124.62,1.02,1.2,10.0,0.57,30.75,167.0,27.35,0.0,0.62
2022-10-27 16:00:00,2022-10-27 17:00:00,18.75,82.25,3.2,18.73,12.52,8.55,2.27,0.82,97.7,0.85,116.67,1.18,0.9,14.0,0.45,40.0,63.0,26.77,0.0,0.85
2022-10-27 17:00:00,2022-10-27 18:00:00,32.5,115.0,2.75,21.18,13.5,7.32,2.35,0.94,89.03,1.4,118.88,2.03,5.23,20.75,0.28,144.0,18.5,25.65,0.0,1.95
2022-10-27 18:00:00,2022-10-27 19:00:00,48.25,166.25,3.4,41.33,24.73,4.75,2.7,1.3,61.92,1.85,117.88,2.88,7.3,24.5,0.45,186.25,15.5,25.2,0.0,2.77
2022-10-27 19:00:00,2022-10-27 20:00:00,48.25,189.25,3.55,31.15,19.48,6.15,2.52,1.17,67.65,2.53,120.8,3.98,10.8,24.25,0.43,105.5,15.0,24.7,0.0,4.15
2022-10-27 20:00:00,2022-10-27 21:00:00,46.0,170.0,2.52,16.38,10.75,9.33,1.85,0.97,78.85,1.23,119.8,1.68,4.43,22.0,0.45,88.75,15.0,24.52,0.0,1.6
2022-10-27 21:00:00,2022-10-27 22:00:00,32.75,107.25,2.6,13.7,9.43,9.98,2.0,0.88,84.1,1.02,120.75,1.32,3.52,22.0,0.33,157.75,15.0,24.35,0.0,1.2
2022-10-27 22:00:00,2022-10-27 23:00:00,32.0,105.25,3.18,29.9,18.5,10.3,2.35,1.12,59.8,1.0,126.12,1.15,2.88,28.5,0.55,182.75,15.0,23.98,0.0,0.93
2022-10-27 23:00:00,2022-10-28 00:00:00,43.0,121.75,3.55,44.23,26.4,14.4,2.47,1.38,21.48,2.77,133.82,3.95,10.55,39.0,0.55,204.25,15.0,23.35,0.0,4.12
2022-10-28 00:00:00,2022-10-28 01:00:00,70.0,186.75,4.98,42.18,26.47,13.97,2.75,1.41,16.25,3.25,137.68,4.92,13.3,43.75,0.6,206.75,15.25,23.35,0.0,5.2
2022-10-28 01:00:00,2022-10-28 02:00:00,65.0,185.25,3.15,24.72,15.72,13.92,1.55,1.12,26.0,2.05,137.5,3.15,7.83,46.25,0.78,228.25,15.0,23.0,0.0,3.12
2022-10-28 02:00:00,2022-10-28 03:00:00,53.5,121.25,2.6,15.05,10.12,14.0,1.83,0.97,40.7,1.33,132.3,1.9,4.53,44.5,0.53,214.0,15.0,22.48,0.0,1.62
2022-10-28 03:00:00,2022-10-28 04:00:00,44.5,93.25,2.47,9.95,7.28,14.15,2.38,0.89,61.57,0.97,130.83,1.02,2.17,36.5,0.58,206.0,15.5,23.08,0.0,0.62
2022-10-28 04:00:00,2022-10-28 05:00:00,44.0,92.5,2.58,7.35,6.03,14.0,2.38,0.82,75.58,0.75,130.55,0.75,1.42,32.5,0.55,205.0,15.5,23.32,0.0,0.33
2022-10-28 05:00:00,2022-10-28 06:00:00,38.0,79.0,2.3,6.45,5.3,14.0,2.6,0.77,82.83,0.65,130.75,0.73,1.23,31.0,0.57,200.75,16.0,23.27,0.0,0.33
2022-10-28 06:00:00,2022-10-28 07:00:00,34.0,75.75,2.6,6.3,5.47,14.03,2.95,0.74,84.15,0.6,133.82,0.67,1.05,30.0,0.65,210.0,28.25,23.25,0.0,0.25
2022-10-28 07:00:00,2022-10-28 08:00:00,31.75,104.0,2.98,8.82,7.08,13.95,2.78,0.8,80.08,0.67,136.88,0.9,1.85,28.75,0.6,222.75,87.25,24.4,0.0,0.53
2022-10-28 08:00:00,2022-10-28 09:00:00,36.5,154.0,3.25,13.38,9.78,14.03,2.87,0.88,81.2,1.2,139.2,1.38,3.17,26.75,0.6,236.0,235.0,25.5,0.0,1.1
2022-10-28 09:00:00,2022-10-28 10:00:00,45.5,125.5,3.15,11.65,8.75,14.0,3.1,0.91,97.63,1.45,141.6,1.5,3.07,24.0,0.6,247.0,332.0,26.05,0.0,1.0
2022-10-28 10:00:00,2022-10-28 11:00:00,39.75,113.0,2.82,7.7,6.42,14.05,2.45,0.64,104.68,0.88,134.92,1.0,1.88,16.25,0.7,233.0,404.0,26.9,0.0,0.55
2022-10-28 11:00:00,2022-10-28 12:00:00,23.5,84.25,2.5,7.6,6.1,14.0,2.07,0.56,111.65,0.65,28.0,0.45,1.23,11.5,0.65,58.25,428.75,27.3,0.0,0.42
2022-10-28 12:00:00,2022-10-28 13:00:00,21.25,86.0,2.63,9.17,7.03,13.95,2.12,0.6,104.3,0.6,43.75,0.47,1.18,9.25,1.12,101.75,413.5,27.2,0.0,0.35
2022-10-28 13:00:00,2022-10-28 14:00:00,19.5,96.5,2.92,8.97,7.18,14.0,2.43,0.6,105.58,0.62,65.82,0.73,1.62,9.75,1.07,27.5,358.75,27.28,0.0,0.47
2022-10-28 14:00:00,2022-10-28 15:00:00,21.5,94.75,3.03,8.8,7.15,13.97,2.1,0.61,111.77,0.6,70.12,0.65,1.52,12.25,0.88,24.25,261.25,27.25,0.0,0.43
2022-10-28 15:00:00,2022-10-28 16:00:00,23.75,88.5,3.25,11.4,8.72,13.93,1.57,0.66,107.75,0.68,75.5,0.93,2.0,13.25,0.75,9.75,160.25,27.12,0.0,0.65
2022-10-28 16:00:00,2022-10-28 17:00:00,26.75,96.0,2.77,16.5,11.07,13.97,2.2,0.81,94.05,0.72,61.1,1.12,2.62,17.5,0.48,19.75,61.75,26.7,0.0,0.85
2022-10-28 17:00:00,2022-10-28 18:00:00,35.25,114.5,2.3,24.7,15.05,13.97,3.4,1.03,78.5,1.8,90.68,1.88,4.7,22.5,0.28,69.25,18.25,26.15,0.0,1.75
2022-10-28 18:00:00,2022-10-28 19:00:00,48.5,135.0,2.17,23.0,14.02,13.92,3.27,1.02,69.05,1.55,107.05,2.3,6.12,27.75,0.3,88.5,15.5,25.38,0.0,2.42
2022-10-28 19:00:00,2022-10-28 20:00:00,47.25,135.25,2.38,24.23,14.8,13.92,3.48,1.01,69.47,2.0,114.12,2.72,7.22,29.25,0.55,86.5,15.0,24.53,0.0,2.95
2022-10-28 20:00:00,2022-10-28 21:00:00,59.25,159.0,2.48,14.92,9.98,14.03,3.6,0.86,86.83,1.25,116.55,1.23,3.02,28.25,0.45,88.5,15.0,24.45,0.0,1.05
2022-10-28 21:00:00,2022-10-28 22:00:00,54.0,119.0,2.48,9.75,7.2,14.03,2.85,0.8,95.58,0.98,111.97,0.7,1.47,29.25,0.33,101.5,15.0,24.35,0.0,0.53
2022-10-28 22:00:00,2022-10-28 23:00:00,54.75,118.5,2.35,13.15,8.93,14.1,12.28,0.86,84.7,0.8,112.88,0.67,1.42,32.5,0.38,159.5,15.0,24.1,0.0,0.5
2022-10-28 23:00:00,2022-10-29 00:00:00,60.25,131.0,2.47,13.7,9.32,14.0,7.83,0.83,87.2,1.05,115.45,1.27,3.2,34.25,0.42,93.25,15.0,23.92,0.0,1.15
2022-10-29 00:00:00,2022-10-29 01:00:00,54.75,127.5,2.35,6.93,5.6,14.0,3.67,0.75,113.57,0.7,116.3,0.65,1.32,34.0,0.3,88.5,15.0,23.65,0.0,0.38
2022-10-29 01:00:00,2022-10-29 02:00:00,45.5,106.0,2.72,5.2,4.95,14.03,3.02,0.74,117.75,0.6,123.17,0.5,0.65,37.25,0.28,159.75,15.0,23.27,0.0,0.2
2022-10-29 02:00:00,2022-10-29 03:00:00,34.0,99.0,2.67,18.3,11.88,14.07,1.4,0.85,45.65,0.78,128.95,1.02,2.1,51.5,0.65,220.0,15.0,22.48,0.0,0.75
2022-10-29 03:00:00,2022-10-29 04:00:00,40.0,112.5,2.38,17.98,11.5,14.0,1.4,0.82,41.35,1.15,132.75,1.65,3.85,55.5,0.57,218.25,15.0,22.02,0.0,1.33
2022-10-29 04:00:00,2022-10-29 05:00:00,42.25,103.75,2.4,15.35,10.12,13.95,0.75,0.78,55.67,1.08,132.8,1.45,2.92,53.5,0.45,208.0,15.0,21.9,0.0,1.1
2022-10-29 05:00:00,2022-10-29 06:00:00,42.0,93.75,2.58,10.7,7.75,13.9,1.65,0.73,78.68,0.78,126.55,0.95,2.0,48.5,0.55,215.5,15.25,22.1,0.0,0.62
2022-10-29 06:00:00,2022-10-29 07:00:00,40.25,103.0,2.43,7.82,6.12,13.95,2.08,0.72,94.78,0.62,124.97,0.65,1.07,44.25,0.47,207.5,27.75,22.4,0.0,0.3
2022-10-29 07:00:00,2022-10-29 08:00:00,45.0,136.5,3.15,22.4,14.47,14.05,2.4,0.89,67.68,1.05,126.85,1.22,2.78,45.5,0.47,224.0,83.0,23.12,0.0,0.98
2022-10-29 08:00:00,2022-10-29 09:00:00,60.0,204.0,3.38,19.18,12.95,13.97,2.27,0.89,77.35,1.6,126.25,1.75,3.12,38.0,0.33,214.75,207.5,24.85,0.0,1.47
2022-10-29 09:00:00,2022-10-29 10:00:00,64.25,167.0,2.98,9.03,7.2,14.12,2.6,0.81,108.0,1.0,131.35,0.95,1.97,29.5,0.38,151.0,300.25,26.23,0.0,0.55
2022-10-29 10:00:00,2022-10-29 11:00:00,40.5,106.5,3.0,5.78,5.48,14.0,2.8,0.63,121.1,0.62,102.65,0.52,0.78,22.0,0.45,114.5,367.75,26.65,0.0,0.18
2022-10-29 11:00:00,2022-10-29 12:00:00,35.75,105.0,2.65,5.8,5.25,13.92,2.37,0.63,127.5,0.53,16.62,0.2,0.35,19.0,0.6,70.75,396.75,26.75,0.0,0.1
2022-10-29 12:00:00,2022-10-29 13:00:00,33.75,104.75,2.53,7.9,6.27,14.03,2.05,0.68,128.42,0.6,33.05,0.25,0.53,17.5,0.72,47.5,304.5,26.75,0.0,0.15
2022-10-29 13:00:00,2022-10-29 14:00:00,35.25,107.25,2.8,10.47,7.82,14.0,2.18,0.71,123.78,0.7,57.73,0.55,1.2,16.75,0.85,19.5,261.5,26.67,0.0,0.35
2022-10-29 14:00:00,2022-10-29 15:00:00,36.75,117.75,2.98,11.43,8.5,14.03,2.1,0.72,124.92,0.75,74.57,0.75,1.85,16.5,1.0,267.75,247.0,26.85,0.0,0.6
2022-10-29 15:00:00,2022-10-29 16:00:00,36.0,119.75,2.83,11.3,8.3,14.0,1.55,0.72,120.25,0.67,57.07,0.73,1.55,16.5,0.8,12.5,146.0,27.15,0.0,0.47
2022-10-29 16:00:00,2022-10-29 17:00:00,35.25,121.0,2.75,21.98,13.93,13.95,1.7,0.93,100.18,0.95,80.95,4.47,4.95,22.5,0.33,44.25,58.25,26.65,0.0,1.7
2022-10-29 17:00:00,2022-10-29 18:00:00,49.0,148.75,2.78,35.97,21.4,14.03,2.7,1.25,79.22,1.95,98.82,5.4,9.7,29.5,0.42,82.75,17.75,25.2,0.0,3.88
2022-10-29 18:00:00,2022-10-29 19:00:00,59.75,177.75,2.8,31.67,19.12,14.0,2.88,1.24,75.22,2.02,116.45,3.95,9.82,30.75,0.47,82.0,15.0,24.8,0.0,3.72
2022-10-29 19:00:00,2022-10-29 20:00:00,78.5,199.0,2.6,28.42,17.22,14.0,4.25,1.22,79.58,2.32,129.07,4.28,10.05,32.75,0.7,89.0,15.0,24.43,0.0,3.77
2022-10-29 20:00:00,2022-10-29 21:00:00,95.5,215.0,2.75,22.4,14.15,13.95,2.88,1.1,100.12,1.73,129.23,3.45,8.8,33.0,0.78,78.25,15.5,24.58,0.0,3.12
2022-10-29 21:00:00,2022-10-29 22:00:00,75.75,176.25,2.53,27.47,16.7,14.0,3.23,1.14,97.6,1.45,126.3,1.9,4.58,37.75,0.53,73.75,15.5,24.12,0.0,1.8
2022-10-29 22:00:00,2022-10-29 23:00:00,72.0,159.5,2.3,15.75,10.27,13.97,3.0,1.03,114.58,1.3,122.2,1.55,3.77,41.0,0.47,91.5,15.75,23.9,0.0,1.3
2022-10-29 23:00:00,2022-10-30 00:00:00,68.0,138.25,2.58,10.85,7.87,13.95,2.93,0.95,118.15,0.85,120.83,0.75,1.45,43.5,0.3,118.0,15.25,23.6,0.0,0.4
2022-10-30 00:00:00,2022-10-30 01:00:00,66.75,131.75,2.27,16.17,10.45,14.0,3.05,0.98,94.62,0.9,128.68,0.98,1.88,47.0,0.28,155.75,15.75,23.15,0.0,0.5
2022-10-30 01:00:00,2022-10-30 02:00:00,73.0,148.25,2.45,16.15,10.6,13.95,3.27,0.95,96.6,1.08,132.88,1.2,2.55,47.75,0.33,170.25,15.25,22.95,0.0,0.8
2022-10-30 02:00:00,2022-10-30 03:00:00,77.25,147.75,2.67,11.2,8.15,13.95,4.03,0.9,94.52,0.97,135.68,0.85,1.38,47.5,0.4,200.75,15.5,22.97,0.0,0.38
2022-10-30 03:00:00,2022-10-30 04:00:00,73.5,131.25,2.3,11.97,8.25,14.03,2.73,0.88,84.22,1.12,139.5,1.15,2.25,50.75,0.38,145.25,15.0,22.55,0.0,0.7
2022-10-30 04:00:00,2022-10-30 05:00:00,68.5,127.0,2.45,8.18,6.3,14.03,3.42,0.82,118.08,0.85,134.57,0.72,1.2,46.0,0.25,144.5,15.25,22.62,0.0,0.3
2022-10-30 05:00:00,2022-10-30 06:00:00,66.25,124.0,2.4,12.8,8.8,14.1,2.42,0.88,68.0,0.95,131.2,0.88,1.6,56.75,0.43,229.25,15.25,21.85,0.0,0.47
2022-10-30 06:00:00,2022-10-30 07:00:00,72.75,137.25,2.77,17.85,11.72,14.0,1.25,0.94,31.17,1.65,129.12,1.83,3.77,64.25,0.35,216.25,28.5,21.48,0.0,1.27
2022-10-30 07:00:00,2022-10-30 08:00:00,84.5,164.0,3.4,17.28,11.95,14.03,1.52,1.0,44.28,1.75,126.97,1.58,3.53,57.5,0.35,233.25,79.25,22.45,0.0,1.18
2022-10-30 08:00:00,2022-10-30 09:00:00,97.75,194.25,4.05,23.25,15.68,14.07,2.8,1.16,49.95,2.25,134.95,2.27,5.03,50.5,0.55,257.75,186.0,23.78,0.0,1.9
2022-10-30 09:00:00,2022-10-30 10:00:00,118.5,231.25,3.22,18.93,12.7,14.03,5.25,1.17,124.7,2.6,135.43,2.33,4.88,37.0,0.4,172.5,279.75,25.15,0.0,1.83
2022-10-30 10:00:00,2022-10-30 11:00:00,113.25,208.75,2.78,11.93,8.57,14.12,6.2,0.89,153.07,1.55,132.53,1.22,2.33,22.75,0.73,40.75,350.0,25.73,0.0,0.72
2022-10-30 11:00:00,2022-10-30 12:00:00,86.5,160.25,2.7,9.6,7.3,14.1,6.13,0.86,157.88,1.12,127.95,0.77,1.1,17.25,1.05,14.0,377.0,25.98,0.0,0.3
2022-10-30 12:00:00,2022-10-30 13:00:00,81.25,148.75,2.57,9.8,7.3,13.97,5.63,0.86,157.15,1.05,117.0,0.68,0.95,16.25,0.95,31.75,367.5,25.9,0.0,0.27
2022-10-30 13:00:00,2022-10-30 14:00:00,76.75,134.5,2.38,10.05,7.27,14.03,5.18,0.84,152.32,0.97,110.58,0.65,0.88,14.0,0.9,27.5,321.25,26.08,0.0,0.25
2022-10-30 14:00:00,2022-10-30 15:00:00,69.75,122.75,2.4,10.68,7.65,13.97,4.58,0.83,146.6,0.95,105.7,0.62,1.07,15.75,0.72,29.0,239.25,26.38,0.0,0.3
2022-10-30 15:00:00,2022-10-30 16:00:00,66.5,116.0,2.48,11.07,7.92,14.12,4.1,0.84,145.27,0.95,104.5,0.62,1.1,17.0,0.82,10.33,142.0,26.37,0.0,0.3
2022-10-30 16:00:00,2022-10-30 17:00:00,66.75,126.5,2.3,15.62,10.15,14.0,4.38,0.91,133.8,1.05,110.1,0.88,1.73,20.75,0.62,103.75,56.75,25.6,0.0,0.55
2022-10-30 17:00:00,2022-10-30 18:00:00,74.0,148.0,2.47,24.18,14.85,13.85,4.62,1.09,107.73,1.65,117.52,2.15,3.88,28.0,0.33,59.0,17.75,24.75,0.0,1.32
2022-10-30 18:00:00,2022-10-30 19:00:00,87.0,174.25,2.5,23.65,14.65,13.95,5.12,1.14,92.03,2.0,125.48,2.52,4.77,32.0,0.4,84.75,15.5,24.18,0.0,1.9
2022-10-30 19:00:00,2022-10-30 20:00:00,106.5,195.5,2.5,25.3,15.5,14.0,5.6,1.18,91.48,2.3,132.57,2.97,5.5,30.75,0.6,88.0,15.0,24.02,0.0,2.7
2022-10-30 20:00:00,2022-10-30 21:00:00,115.0,194.5,2.62,20.05,12.85,14.05,4.5,1.04,106.3,1.83,130.43,1.88,4.15,28.5,0.7,88.75,15.0,24.02,0.0,1.63
2022-10-30 21:00:00,2022-10-30 22:00:00,86.25,151.25,2.72,15.65,10.53,14.03,4.55,1.03,115.17,1.23,125.68,1.05,2.1,29.5,0.45,84.25,15.0,23.52,0.0,0.72
2022-10-30 22:00:00,2022-10-30 23:00:00,97.0,160.75,2.48,31.1,18.52,13.97,6.47,1.15,86.95,1.93,126.9,1.88,4.28,32.75,0.45,84.5,15.0,23.23,0.0,1.75
2022-10-30 23:00:00,2022-10-31 00:00:00,130.5,206.0,2.52,20.0,12.68,14.0,7.27,1.06,97.25,1.5,125.67,1.32,3.02,35.25,0.38,195.5,15.0,22.95,0.0,1.05
2022-10-31 00:00:00,2022-10-31 01:00:00,95.5,170.25,2.73,34.38,20.52,14.0,4.2,1.3,36.85,1.88,131.55,2.23,4.83,49.75,0.43,212.5,15.5,22.4,0.0,1.9
2022-10-31 01:00:00,2022-10-31 02:00:00,111.0,217.0,2.8,25.93,16.05,14.0,4.05,1.22,48.38,2.4,134.95,3.1,6.42,50.25,0.28,208.25,15.25,22.17,0.0,2.55
2022-10-31 02:00:00,2022-10-31 03:00:00,103.5,181.75,2.45,19.43,12.32,13.97,4.03,1.08,70.9,1.92,137.08,2.38,4.47,46.75,0.33,205.25,15.5,22.2,0.0,1.65
2022-10-31 03:00:00,2022-10-31 04:00:00,88.75,144.5,2.35,12.5,8.58,14.0,4.25,0.99,99.8,1.35,138.73,1.57,2.62,44.0,0.33,198.25,15.5,22.05,0.0,0.83
2022-10-31 04:00:00,2022-10-31 05:00:00,79.5,126.25,2.77,8.7,6.88,13.97,8.75,0.92,120.3,1.05,135.8,1.02,1.45,42.0,0.2,169.75,15.75,22.05,0.0,0.45
2022-10-31 05:00:00,2022-10-31 06:00:00,75.25,120.0,2.58,5.9,5.22,14.0,11.05,0.86,137.5,0.85,131.07,0.55,0.6,39.25,0.17,163.75,15.5,22.25,0.0,0.12
2022-10-31 06:00:00,2022-10-31 07:00:00,71.25,112.5,2.45,6.05,5.22,14.0,4.75,0.84,129.27,0.8,129.1,0.55,0.62,40.25,0.18,187.75,28.5,22.5,0.0,0.15
